energy_ev,total_up,Ag_p_up,Ag_d_up,In_p_up,In_d_up,Se_s_up,Se_p_up
-6.00000000,15.91753815,1.08575383,13.89938091,1.20510704,0.02624158,0.09252765,0.44214576
-5.99399700,15.94202835,1.07729484,13.94035859,1.18809679,0.02678178,0.09040445,0.44972366
-5.98799400,15.97809473,1.06846682,13.99315427,1.16998896,0.02735129,0.08822651,0.45744858
-5.98199100,16.02892871,1.05959519,14.06062372,1.15101657,0.02795061,0.08603267,0.46534198
-5.97598799,16.09741254,1.05099962,14.14532021,1.13141182,0.02857941,0.08386250,0.47343516
-5.96998499,16.18605373,1.04298983,14.24943133,1.11140409,0.02923647,0.08175554,0.48176948
-5.96398199,16.29692639,1.03586173,14.37472294,1.09121814,0.02991962,0.07975058,0.49039598
-5.95797899,16.43162062,1.02989390,14.52249105,1.07107250,0.03062576,0.07788493,0.49937451
-5.95197599,16.59120058,1.02534445,14.69352270,1.05117793,0.03135084,0.07619367,0.50877211
-5.94597299,16.77617229,1.02244818,14.88806664,1.03173597,0.03208991,0.07470892,0.51866103
-5.93996998,16.98646196,1.02141401,15.10581499,1.01293750,0.03283719,0.07345923,0.52911615
-5.93396698,17.22140608,1.02242266,15.34589667,0.99496128,0.03358617,0.07246894,0.54021218
-5.92796398,17.47975410,1.02562473,15.60688357,0.97797247,0.03432972,0.07175776,0.55202055
-5.92196098,17.75968493,1.03113898,15.88681049,0.96212117,0.03506026,0.07134034,0.56460627
-5.91595798,18.05883766,1.03905115,16.18320902,0.94754091,0.03576988,0.07122608,0.57802486
-5.90995498,18.37435725,1.04941305,16.49315596,0.93434727,0.03645060,0.07141903,0.59231946
-5.90395198,18.70295479,1.06224226,16.81333569,0.92263655,0.03709450,0.07191800,0.60751831
-5.89794897,19.04098174,1.07752228,17.14011570,0.91248459,0.03769403,0.07271676,0.62363261
-5.89194597,19.38451663,1.09520321,17.46963364,0.90394578,0.03824211,0.07380448,0.64065495
-5.88594297,19.72946181,1.11520302,17.79789352,0.89705229,0.03873248,0.07516630,0.65855824
-5.87993997,20.07164755,1.13740918,18.12086818,0.89181358,0.03915977,0.07678399,0.67729532
-5.87393697,20.40693949,1.16168082,18.43460426,0.88821608,0.03951976,0.07863674,0.69679896
-5.86793397,20.73134558,1.18785124,18.73532587,0.88622319,0.03980952,0.08070206,0.71698257
-5.86193097,21.04111800,1.21573061,19.01953253,0.88577557,0.04002746,0.08295667,0.73774122
-5.85592796,21.33284574,1.24510890,19.28408736,0.88679156,0.04017344,0.08537741,0.75895319
-5.84992496,21.60353375,1.27575889,19.52629161,0.88916795,0.04024876,0.08794211,0.78048169
-5.84392196,21.85066527,1.30743918,19.74394220,0.89278097,0.04025611,0.09063042,0.80217692
-5.83791896,22.07224453,1.33989716,19.93536982,0.89748748,0.04019946,0.09342449,0.82387828
-5.83191596,22.26681851,1.37287197,20.09945617,0.90312649,0.04008393,0.09630953,0.84541667
-5.82591296,22.43347711,1.40609739,20.23562986,0.90952094,0.03991555,0.09927426,0.86661687
-5.81990995,22.57183261,1.43930472,20.34384195,0.91647988,0.03970108,0.10231114,0.88730000
-5.81390695,22.68198044,1.47222569,20.42452286,0.92380092,0.03944773,0.10541649,0.90728596
-5.80790395,22.76444428,1.50459545,20.47852383,0.93127313,0.03916287,0.10859038,0.92639596
-5.80190095,22.82010915,1.53615572,20.50704651,0.93868036,0.03885379,0.11183646,0.94445509
-5.79589795,22.85014717,1.56665812,20.51156502,0.94580490,0.03852744,0.11516156,0.96129489
-5.78989495,22.85594040,1.59586762,20.49374510,0.95243153,0.03819018,0.11857526,0.97675601
-5.78389195,22.83900551,1.62356618,20.45536498,0.95835188,0.03784761,0.12208934,0.99069093
-5.77788894,22.80092436,1.64955657,20.39824194,0.96336892,0.03750439,0.12571721,1.00296659
-5.77188594,22.74328422,1.67366603,20.32416851,0.96730158,0.03716419,0.12947324,1.01346712
-5.76588294,22.66763027,1.69574992,20.23486095,0.96998917,0.03682960,0.13337223,1.02209636
-5.75987994,22.57543212,1.71569501,20.13192188,0.97129565,0.03650214,0.13742875,1.02878028
-5.75387694,22.46806494,1.73342229,20.01681810,0.97111333,0.03618234,0.14165668,1.03346910
-5.74787394,22.34680494,1.74888912,19.89087309,0.96936594,0.03586983,0.14606868,1.03613906
-5.74187094,22.21283759,1.76209050,19.75527327,0.96601095,0.03556347,0.15067583,1.03679374
-5.73586793,22.06727647,1.77305935,19.61108583,0.96104088,0.03526152,0.15548732,1.03546482
-5.72986493,21.91118978,1.78186566,19.45928542,0.95448352,0.03496182,0.16051014,1.03221226
-5.72386193,21.74563118,1.78861439,19.30078656,0.94640108,0.03466197,0.16574895,1.02712374
-5.71785893,21.57167156,1.79344220,19.13647831,0.93688819,0.03435951,0.17120592,1.02031340
-5.71185593,21.39042825,1.79651295,18.96725784,0.92606875,0.03405211,0.17688065,1.01191986
-5.70585293,21.20308859,1.79801217,18.79405976,0.91409189,0.03373772,0.18277006,1.00210354
-5.69984992,21.01092534,1.79814052,18.61787839,0.90112694,0.03341463,0.18886836,0.99104329
-5.69384692,20.81530213,1.79710665,18.43978118,0.88735779,0.03308166,0.19516697,0.97893247
-5.68784392,20.61766767,1.79511953,18.26091161,0.87297679,0.03273811,0.20165441,0.96597458
-5.68184092,20.41953880,1.79238068,18.08248141,0.85817839,0.03238387,0.20831626,0.95237848
-5.67583792,20.22247288,1.78907653,17.90575214,0.84315284,0.03201933,0.21513503,0.93835350
-5.66983492,20.02803110,1.78537126,17.73200750,0.82808014,0.03164539,0.22209003,0.92410445
-5.66383192,19.83773492,1.78140054,17.56251817,0.81312449,0.03126337,0.22915736,0.90982682
-5.65782891,19.65301850,1.77726622,17.39850157,0.79842952,0.03087493,0.23630981,0.89570230
-5.65182591,19.47518027,1.77303257,17.24107947,0.78411435,0.03048197,0.24351689,0.88189469
-5.64582291,19.30533708,1.76872399,17.09123664,0.77027077,0.03008651,0.25074501,0.86854654
-5.63981991,19.14438428,1.76432460,16.94978346,0.75696153,0.02969060,0.25795766,0.85577653
-5.63381691,18.99296482,1.75977957,16.81732569,0.74421989,0.02929623,0.26511584,0.84367769
-5.62781391,18.85145007,1.75499850,16.69424372,0.73205027,0.02890523,0.27217864,0.83231663
-5.62181091,18.71993429,1.74986047,16.58068349,0.72043016,0.02851921,0.27910393,0.82173373
-5.61580790,18.59824402,1.74422087,16.47656022,0.70931304,0.02813954,0.28584928,0.81194440
-5.60980490,18.48596256,1.73791967,16.38157554,0.69863216,0.02776728,0.29237299,0.80294122
-5.60380190,18.38246911,1.73079081,16.29524766,0.68830513,0.02740324,0.29863530,0.79469706
-5.59779890,18.28699080,1.72267236,16.21695324,0.67823901,0.02704797,0.30459956,0.78716891
-5.59179590,18.19866524,1.71341710,16.14597918,0.66833566,0.02670183,0.31023355,0.78030227
-5.58579290,18.11661055,1.70290280,16.08158151,0.65849717,0.02636503,0.31551060,0.77403605
-5.57978989,18.03999900,1.69104206,16.02304819,0.64863113,0.02603772,0.32041078,0.76830748
-5.57378689,17.96813024,1.67779098,15.96976245,0.63865547,0.02572010,0.32492170,0.76305713
-5.56778389,17.90050009,1.66315621,15.92126280,0.62850269,0.02541243,0.32903920,0.75823343
-5.56178089,17.83686065,1.64720022,15.87729634,0.61812335,0.02511517,0.33276763,0.75379680
-5.55577789,17.77726837,1.63004421,15.83786205,0.60748859,0.02482902,0.33611987,0.74972291
-5.54977489,17.72211676,1.61186861,15.80324133,0.59659168,0.02455497,0.33911686,0.74600508
-5.54377189,17.67215174,1.59291102,15.77401370,0.58544857,0.02429434,0.34178683,0.74265551
-5.53776888,17.62846808,1.57346158,15.75105638,0.57409731,0.02404874,0.34416409,0.73970547
-5.53176588,17.59248667,1.55385601,15.73552727,0.56259658,0.02382011,0.34628754,0.73720423
-5.52576288,17.56591317,1.53446644,15.72883172,0.55102333,0.02361064,0.34819886,0.73521689
-5.51975988,17.55067965,1.51569045,15.73257442,0.53946959,0.02342270,0.34994052,0.73382115
-5.51375688,17.54887156,1.49793882,15.74849812,0.52803881,0.02325880,0.35155371,0.73310328
-5.50775388,17.56264310,1.48162239,15.77841208,0.51684171,0.02312143,0.35307618,0.73315327
-5.50175088,17.59412458,1.46713860,15.82411289,0.50599199,0.02301297,0.35454023,0.73405970
-5.49574787,17.64532568,1.45485829,15.88730123,0.49560191,0.02293560,0.35597087,0.73590429
-5.48974487,17.71803841,1.44511329,15.96949776,0.48577814,0.02289113,0.35738427,0.73875662
-5.48374187,17.81374388,1.43818515,16.07196157,0.47661784,0.02288095,0.35878655,0.74266915
-5.47773887,17.93352608,1.43429563,16.19561403,0.46820525,0.02290586,0.36017294,0.74767281
-5.47173587,18.07799610,1.43359915,16.34097107,0.46060876,0.02296606,0.36152751,0.75377346
-5.46573287,18.24722915,1.43617741,16.50808583,0.45387876,0.02306101,0.36282327,0.76094918
-5.45972986,18.44071645,1.44203649,16.69650364,0.44804600,0.02318942,0.36402275,0.76914871
-5.45372686,18.65733321,1.45110624,16.90523053,0.44312080,0.02334923,0.36507907,0.77829102
-5.44772386,18.89532354,1.46324212,17.13271594,0.43909284,0.02353756,0.36593741,0.78826603
-5.44172086,19.15230230,1.47822915,17.37684998,0.43593171,0.02375079,0.36653672,0.79893634
-5.43571786,19.42527363,1.49578794,17.63497510,0.43358794,0.02398457,0.36681181,0.81014011
-5.42971486,19.71066524,1.51558230,17.90391158,0.43199467,0.02423384,0.36669555,0.82169471
-5.42371186,20.00437748,1.53722829,18.17999618,0.43106967,0.02449300,0.36612119,0.83340110
-5.41770885,20.30184569,1.56030418,18.45913290,0.43071780,0.02475590,0.36502464,0.84504881
-5.41170585,20.59811420,1.58436105,18.73685477,0.43083367,0.02501601,0.36334671,0.85642113
-5.40570285,20.88792041,1.60893356,19.00839532,0.43130451,0.02526653,0.36103516,0.86730052
-5.39969985,21.16578699,1.63355054,19.26876833,0.43201309,0.02550049,0.35804652,0.87747390
-5.39369685,21.42612033,1.65774511,19.51285454,0.43284068,0.02571088,0.35434763,0.88673767
-5.38769385,21.66331337,1.68106385,19.73549349,0.43366982,0.02589082,0.34991682,0.89490233
-5.38169085,21.87185071,1.70307507,19.93157907,0.43438704,0.02603366,0.34474477,0.90179649
