energy_ev,total_up,In_p_up,In_d_up,Ir_p_up,Ir_d_up,Se_s_up,Se_p_up
-6.00000000,4.91808874,0.23783889,0.00645757,1.34091600,2.07028687,0.04688460,2.39500053
-5.99399700,5.17280468,0.24813894,0.00686807,1.40007177,2.19402351,0.04752070,2.51174351
-5.98799400,5.42140279,0.25882005,0.00728266,1.45592413,2.31549126,0.04843552,2.62235920
-5.98199100,5.66073563,0.26977665,0.00769604,1.50752913,2.43333333,0.04963352,2.72528684
-5.97598799,5.88768312,0.28088589,0.00810259,1.55396858,2.54621974,0.05111084,2.81906212
-5.96998499,6.09923685,0.29201083,0.00849648,1.59437875,2.65287966,0.05285547,2.90235783
-5.96398199,6.29258296,0.30300412,0.00887187,1.62797868,2.75213242,0.05484760,2.97402105
-5.95797899,6.46517992,0.31371204,0.00922310,1.65409681,2.84291541,0.05706030,3.03310523
-5.95197599,6.61482780,0.32397875,0.00954484,1.67219475,2.92430805,0.05946036,3.07889570
-5.94597299,6.73972609,0.33365045,0.00983227,1.68188721,2.99555062,0.06200929,3.11092753
-5.93996998,6.83851769,0.34257949,0.01008123,1.68295694,3.05605754,0.06466459,3.12899499
-5.93396698,6.91031764,0.35062809,0.01028834,1.67536430,3.10542453,0.06738096,3.13315240
-5.92796398,6.95472585,0.35767169,0.01045108,1.65925086,3.14342998,0.07011175,3.12370654
-5.92196098,6.97182391,0.36360174,0.01056785,1.63493694,3.17003057,0.07281029,3.10120121
-5.91595798,6.96215699,0.36832805,0.01063799,1.60291333,3.18535202,0.07543128,3.06639495
-5.90995498,6.92670242,0.37178044,0.01066180,1.56382746,3.18967573,0.07793212,3.02023312
-5.90395198,6.86682722,0.37390985,0.01064040,1.51846496,3.18342226,0.08027414,2.96381588
-5.89794897,6.78423708,0.37468894,0.01057575,1.46772715,3.16713286,0.08242365,2.89836366
-5.89194597,6.68091969,0.37411217,0.01047047,1.41260568,3.14145015,0.08435290,2.82518168
-5.88594297,6.55908516,0.37219540,0.01032774,1.35415542,3.10709880,0.08604079,2.74562498
-5.87993997,6.42110628,0.36897514,0.01015117,1.29346653,3.06486726,0.08747342,2.66106548
-5.87393697,6.26946093,0.36450748,0.00994464,1.23163687,3.01559102,0.08864432,2.57286190
-5.86793397,6.10667839,0.35886670,0.00971220,1.16974577,2.96013802,0.08955453,2.48233357
-5.86193097,5.93529129,0.35214377,0.00945792,1.10882980,2.89939617,0.09021245,2.39073852
-5.85592796,5.75779358,0.34444452,0.00918577,1.04986130,2.83426309,0.09063330,2.29925600
-5.84992496,5.57660529,0.33588778,0.00889958,0.99373015,2.76563780,0.09083858,2.20897350
-5.84392196,5.39404354,0.32660331,0.00860292,0.94122885,2.69441379,0.09085512,2.12087780
-5.83791896,5.21229953,0.31672963,0.00829911,0.89304130,2.62147328,0.09071409,2.03584958
-5.83191596,5.03342063,0.30641180,0.00799119,0.84973493,2.54768181,0.09044980,1.95466106
-5.82591296,4.85929663,0.29579904,0.00768192,0.81175617,2.47388287,0.09009838,1.87797593
-5.81990995,4.69164925,0.28504233,0.00737383,0.77942891,2.40089216,0.08969647,1.80635096
-5.81390695,4.53202425,0.27429201,0.00706921,0.75295570,2.32949113,0.08927981,1.74023880
-5.80790395,4.38178534,0.26369541,0.00677023,0.73242130,2.26041982,0.08888192,1.67999152
-5.80190095,4.24210969,0.25339451,0.00647894,0.71779832,2.19436906,0.08853287,1.62586452
-5.79589795,4.11398505,0.24352386,0.00619737,0.70895462,2.13197226,0.08825816,1.57802085
-5.78989495,3.99820860,0.23420860,0.00592755,0.70566232,2.07379740,0.08807779,1.53653587
-5.78389195,3.89538795,0.22556293,0.00567156,0.70760812,2.02033952,0.08800562,1.50140233
-5.77788894,3.80594506,0.21768878,0.00543157,0.71440485,1.97201454,0.08804889,1.47253616
-5.77188594,3.73012333,0.21067506,0.00520988,0.72560419,1.92915478,0.08820810,1.44978318
-5.76588294,3.66799866,0.20459718,0.00500890,0.74071018,1.89200687,0.08847718,1.43292685
-5.75987994,3.61949462,0.19951719,0.00483116,0.75919364,1.86073237,0.08884389,1.42169731
-5.75387694,3.58440177,0.19548422,0.00467930,0.78050708,1.83541124,0.08929053,1.41578160
-5.74787394,3.56240076,0.19253535,0.00455603,0.80409992,1.81604825,0.08979494,1.41483494
-5.74187094,3.55308864,0.19069679,0.00446409,0.82943368,1.80258204,0.09033161,1.41849288
-5.73586793,3.55600703,0.18998525,0.00440624,0.85599663,1.79489636,0.09087295,1.42638373
-5.72986493,3.57067096,0.19040928,0.00438516,0.88331757,1.79283288,0.09139068,1.43814080
-5.72386193,3.59659658,0.19197071,0.00440342,0.91097804,1.79620475,0.09185715,1.45341370
-5.71785893,3.63332607,0.19466575,0.00446345,0.93862266,1.80480999,0.09224665,1.47187812
-5.71185593,3.68044782,0.19848584,0.00456741,0.96596681,1.81844381,0.09253658,1.49324328
-5.70585293,3.73761040,0.20341800,0.00471719,0.99280158,1.83690902,0.09270837,1.51725657
-5.69984992,3.80452903,0.20944474,0.00491434,1.01899523,1.86002368,0.09274823,1.54370484
-5.69384692,3.88098353,0.21654339,0.00516000,1.04449138,1.88762554,0.09264758,1.57241212
-5.68784392,3.96680755,0.22468489,0.00545485,1.06930354,1.91957276,0.09240318,1.60323381
-5.68184092,4.06186924,0.23383211,0.00579908,1.09350637,1.95574099,0.09201703,1.63604746
-5.67583792,4.16604427,0.24393780,0.00619232,1.11722380,1.99601687,0.09149590,1.67074073
-5.66983492,4.27918266,0.25494226,0.00663361,1.14061473,2.04028842,0.09085072,1.70719726
-5.66383192,4.40107128,0.26677101,0.00712139,1.16385672,2.08843305,0.09009571,1.74528127
-5.65782891,4.53139455,0.27933251,0.00765342,1.18712865,2.14030401,0.08924741,1.78482215
-5.65182591,4.66969592,0.29251633,0.00822684,1.21059315,2.19571636,0.08832364,1.82560001
-5.64582291,4.81534280,0.30619184,0.00883808,1.23437971,2.25443347,0.08734248,1.86733343
-5.63981991,4.96749779,0.32020762,0.00948295,1.25856932,2.31615517,0.08632129,1.90967047
-5.63381691,5.12509846,0.33439191,0.01015658,1.28318163,2.38050862,0.08527584,1.95218381
-5.62781391,5.28684781,0.34855397,0.01085353,1.30816518,2.44704265,0.08421970,1.99437062
-5.62181091,5.45121690,0.36248666,0.01156776,1.33339137,2.51522633,0.08316378,2.03565770
-5.61580790,5.61646035,0.37597008,0.01229276,1.35865258,2.58445220,0.08211607,2.07541185
-5.60980490,5.78064502,0.38877628,0.01302158,1.38366456,2.65404432,0.08108172,2.11295510
