energy_ev,total_up,P_s_up,P_p_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,0.00015568,0.00000000,0.00007202,0.00000000,0.00001752,0.00004358,0.00005369
-5.99399700,0.00020928,0.00000000,0.00009682,0.00000000,0.00002355,0.00005858,0.00007217
-5.98799400,0.00027931,0.00000000,0.00012922,0.00000000,0.00003144,0.00007819,0.00009632
-5.98199100,0.00037009,0.00000000,0.00017122,0.00000000,0.00004166,0.00010360,0.00012763
-5.97598799,0.00048686,0.00000000,0.00022524,0.00000000,0.00005480,0.00013629,0.00016790
-5.96998499,0.00063588,0.00000000,0.00029418,0.00000000,0.00007157,0.00017801,0.00021929
-5.96398199,0.00082454,0.00000000,0.00038146,0.00000000,0.00009281,0.00023082,0.00028436
-5.95797899,0.00106151,0.00000000,0.00049109,0.00000000,0.00011948,0.00029716,0.00036608
-5.95197599,0.00135675,0.00000000,0.00062768,0.00000000,0.00015271,0.00037981,0.00046790
-5.94597299,0.00172166,0.00000000,0.00079650,0.00000000,0.00019378,0.00048196,0.00059375
-5.93996998,0.00216903,0.00000000,0.00100347,0.00000000,0.00024413,0.00060720,0.00074803
-5.93396698,0.00271303,0.00000000,0.00125514,0.00000000,0.00030536,0.00075948,0.00093564
-5.92796398,0.00336909,0.00000000,0.00155866,0.00000000,0.00037920,0.00094314,0.00116189
-5.92196098,0.00415375,0.00000000,0.00192167,0.00000000,0.00046752,0.00116279,0.00143249
-5.91595798,0.00508438,0.00000000,0.00235221,0.00000000,0.00057226,0.00142331,0.00175344
-5.90995498,0.00617882,0.00000000,0.00285854,0.00000000,0.00069545,0.00172969,0.00213088
-5.90395198,0.00745493,0.00000000,0.00344891,0.00000000,0.00083908,0.00208692,0.00257096
-5.89794897,0.00892999,0.00000000,0.00413132,0.00000000,0.00100510,0.00249985,0.00307967
-5.89194597,0.01062010,0.00000000,0.00491323,0.00000000,0.00119533,0.00297297,0.00366253
-5.88594297,0.01253939,0.00000000,0.00580116,0.00000000,0.00141135,0.00351026,0.00432443
-5.87993997,0.01469920,0.00000000,0.00680036,0.00000000,0.00165445,0.00411487,0.00506928
-5.87393697,0.01710730,0.00000000,0.00791443,0.00000000,0.00192548,0.00478899,0.00589976
-5.86793397,0.01976692,0.00000000,0.00914487,0.00000000,0.00222483,0.00553352,0.00681698
-5.86193097,0.02267601,0.00000000,0.01049071,0.00000000,0.00255226,0.00634789,0.00782023
-5.85592796,0.02582643,0.00000000,0.01194821,0.00000000,0.00290685,0.00722981,0.00890671
-5.84992496,0.02920332,0.00000000,0.01351048,0.00000000,0.00328693,0.00817512,0.01007130
-5.84392196,0.03278463,0.00000000,0.01516732,0.00000000,0.00369001,0.00917766,0.01130638
-5.83791896,0.03654084,0.00000001,0.01690508,0.00000000,0.00411278,0.01022916,0.01260179
-5.83191596,0.04043498,0.00000001,0.01870665,0.00000000,0.00455107,0.01131927,0.01394477
-5.82591296,0.04442286,0.00000001,0.02055160,0.00000001,0.00499991,0.01243561,0.01532008
-5.81990995,0.04845366,0.00000002,0.02241640,0.00000001,0.00545357,0.01356396,0.01671021
-5.81390695,0.05247082,0.00000003,0.02427491,0.00000002,0.00590568,0.01468847,0.01809564
-5.80790395,0.05641320,0.00000004,0.02609883,0.00000002,0.00634937,0.01579202,0.01945532
-5.80190095,0.06021656,0.00000007,0.02785846,0.00000003,0.00677738,0.01685663,0.02076708
-5.79589795,0.06381522,0.00000010,0.02952341,0.00000005,0.00718233,0.01786389,0.02200829
-5.78989495,0.06714398,0.00000014,0.03106354,0.00000007,0.00755686,0.01879553,0.02315650
-5.78389195,0.07014007,0.00000020,0.03244981,0.00000011,0.00789389,0.01963395,0.02419007
