energy_ev,total_up,Ag_p_up,Ag_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,6.40136158,0.43280527,6.21444535,0.02451982,0.07914118,0.08674270,0.00000000
-5.99399700,6.24049951,0.43576943,6.05133821,0.02492762,0.07910032,0.08658117,0.00000000
-5.98799400,6.08696753,0.44173386,5.89383051,0.02549802,0.07967104,0.08689671,0.00000000
-5.98199100,5.94172686,0.45077761,5.74285358,0.02623284,0.08086962,0.08769991,0.00000000
-5.97598799,5.80554095,0.46290847,5.59918093,0.02713081,0.08269871,0.08898930,0.00000000
-5.96998499,5.67895116,0.47805962,5.46340540,0.02818752,0.08514643,0.09075103,0.00000000
-5.96398199,5.56225626,0.49608806,5.33591914,0.02939527,0.08818591,0.09295889,0.00000000
-5.95797899,5.45549705,0.51677500,5.21689776,0.03074314,0.09177516,0.09557457,0.00000000
-5.95197599,5.35844773,0.53982839,5.10628992,0.03221709,0.09585732,0.09854836,0.00000000
-5.94597299,5.27061517,0.56488765,5.00381379,0.03380004,0.10036145,0.10182014,0.00000000
-5.93996998,5.19124693,0.59153057,4.90896093,0.03547221,0.10520366,0.10532071,0.00000000
-5.93396698,5.11934866,0.61928243,4.82100854,0.03721139,0.11028880,0.10897352,0.00000000
-5.92796398,5.05371087,0.64762719,4.73903990,0.03899340,0.11551255,0.11269659,0.00000000
-5.92196098,4.99294471,0.67602037,4.66197287,0.04079250,0.12076391,0.11640484,0.00000000
-5.91595798,4.93552579,0.70390352,4.58859569,0.04258203,0.12592803,0.12001248,0.00000000
-5.90995498,4.87984456,0.73071972,4.51760877,0.04433489,0.13088934,0.12343562,0.00000000
-5.90395198,4.82426165,0.75592976,4.44767111,0.04602428,0.13553478,0.12659491,0.00000000
-5.89794897,4.76716580,0.77902833,4.37744939,0.04762425,0.13975715,0.12941811,0.00000000
-5.89194597,4.70703232,0.79955982,4.30566781,0.04911037,0.14345841,0.13184257,0.00000000
-5.88594297,4.64247956,0.81713313,4.23115656,0.05046036,0.14655270,0.13381752,0.00000000
-5.87993997,4.57232107,0.83143485,4.15289698,0.05165461,0.14896920,0.13530593,0.00000000
-5.87393697,4.49561145,0.84224043,4.07006149,0.05267677,0.15065447,0.13628614,0.00000000
-5.86793397,4.41168385,0.84942286,3.98204667,0.05351411,0.15157428,0.13675297,0.00000000
-5.86193097,4.32017768,0.85295843,3.88849820,0.05415793,0.15171492,0.13671828,0.00000000
-5.85592796,4.22105558,0.85292942,3.78932673,0.05460379,0.15108378,0.13621115,0.00000000
-5.84992496,4.11460878,0.84952345,3.68471405,0.05485166,0.14970928,0.13527734,0.00000000
