energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,4.71833316,2.11931099,0.00000000,3.08219659,2.26857881,0.00755304,0.91832349
-5.99399700,4.65654559,2.09344348,0.00000000,3.05927537,2.23177383,0.00713900,0.90503708
-5.98799400,4.59310398,2.06581888,0.00000000,3.03141832,2.19510300,0.00673650,0.89192579
-5.98199100,4.52727983,2.03599516,0.00000000,2.99832370,2.15814009,0.00634566,0.87894918
-5.97598799,4.45847416,2.00360204,0.00000000,2.95980545,2.12051554,0.00596657,0.86608351
-5.96998499,4.38625370,1.96836337,0.00000000,2.91580895,2.08193832,0.00559929,0.85332358
-5.96398199,4.31037557,1.93011416,0.00000000,2.86642009,2.04221182,0.00524394,0.84068269
-5.95797899,4.23079961,1.88881134,0.00000000,2.81186724,2.00124332,0.00490073,0.82819089
-5.95197599,4.14768842,1.84453816,0.00000000,2.75251622,1.95904680,0.00456995,0.81589166
-5.94597299,4.06139585,1.79750217,0.00000000,2.68885877,1.91573946,0.00425200,0.80383743
-5.93996998,3.97244549,1.74802723,0.00000000,2.62149534,1.87153262,0.00394738,0.79208436
-5.93396698,3.88150096,1.69654026,0.00000000,2.55111333,1.82671787,0.00365664,0.78068689
-5.92796398,3.78933047,1.64355360,0.00000000,2.47846228,1.78164961,0.00338038,0.76969239
-5.92196098,3.69676816,1.58964426,0.00000000,2.40432731,1.73672545,0.00311920,0.75913666
-5.91595798,3.60467471,1.53543106,0.00000000,2.32950247,1.69236550,0.00287365,0.74904033
-5.90995498,3.51389980,1.48155097,0.00000000,2.25476531,1.64899213,0.00264423,0.73940683
-5.90395198,3.42524826,1.42863592,0.00000000,2.18085405,1.60701112,0.00243134,0.73022179
-5.89794897,3.33945188,1.37729093,0.00000000,2.10844822,1.56679525,0.00223524,0.72145421
-5.89194597,3.25714775,1.32807464,0.00000000,2.03815356,1.52867103,0.00205605,0.71305917
-5.88594297,3.17886405,1.28148282,0.00000000,1.97049161,1.49290906,0.00189374,0.70498193
-5.87993997,3.10501314,1.23793538,0.00000000,1.90589406,1.45971802,0.00174814,0.69716317
-5.87393697,3.03589160,1.19776715,0.00000000,1.84470156,1.42924250,0.00161894,0.68954490
-5.86793397,2.97168641,1.16122243,0.00000000,1.78716674,1.40156402,0.00150571,0.68207663
-5.86193097,2.91248596,1.12845324,0.00000000,1.73346045,1.37670500,0.00140791,0.67472130
-5.85592796,2.85829459,1.09952088,0.00000000,1.68368072,1.35463493,0.00132498,0.66746062
-5.84992496,2.80904906,1.07440048,0.00000000,1.63786325,1.33527805,0.00125628,0.66029920
-5.84392196,2.76463549,1.05298790,0.00000000,1.59599277,1.31852186,0.00120123,0.65326735
-5.83791896,2.72490537,1.03510854,0.00000000,1.55801427,1.30422566,0.00115926,0.64642212
-5.83191596,2.68968957,1.02052743,0.00000000,1.52384334,1.29222874,0.00112988,0.63984665
-5.82591296,2.65880938,1.00896002,0.00000000,1.49337519,1.28235744,0.00111270,0.63364763
-5.81990995,2.63208415,1.00008323,0.00000000,1.46649169,1.27443103,0.00110747,0.62795121
-5.81390695,2.60933524,0.99354632,0.00000000,1.44306638,1.26826604,0.00111407,0.62289734
-5.80790395,2.59038640,0.98898112,0.00000000,1.42296725,1.26367903,0.00113252,0.61863315
-5.80190095,2.57506118,0.98601152,0.00000000,1.40605751,1.26048803,0.00116303,0.61530555
-5.79589795,2.56317774,0.98426186,0.00000000,1.39219456,1.25851264,0.00120593,0.61305358
