energy_ev,total_up,As_p_up,As_d_up,Sc_p_up,Sc_d_up,Te_p_up,Te_d_up
-6.00000000,0.33869709,0.08740851,0.00000000,0.11525009,0.06389481,0.13579492,0.00000000
-5.99399700,0.36479353,0.09232327,0.00000000,0.12260146,0.06829703,0.14868800,0.00000000
-5.98799400,0.39264146,0.09767501,0.00000000,0.13038697,0.07307679,0.16234385,0.00000000
-5.98199100,0.42244202,0.10357651,0.00000000,0.13868435,0.07830122,0.17677216,0.00000000
-5.97598799,0.45441041,0.11014818,0.00000000,0.14757731,0.08404062,0.19198294,0.00000000
-5.96998499,0.48876951,0.11751402,0.00000000,0.15715254,0.09036583,0.20798691,0.00000000
-5.96398199,0.52574216,0.12579675,0.00000000,0.16749610,0.09734526,0.22479560,0.00000000
-5.95797899,0.56554192,0.13511239,0.00000000,0.17868939,0.10504150,0.24242129,0.00000000
-5.95197599,0.60836274,0.14556452,0.00000000,0.19080461,0.11350774,0.26087640,0.00000000
-5.94597299,0.65436751,0.15723824,0.00000000,0.20390012,0.12278410,0.28017258,0.00000000
-5.93996998,0.70367609,0.17019432,0.00000000,0.21801571,0.13289398,0.30031912,0.00000000
-5.93396698,0.75635305,0.18446359,0.00000000,0.23316801,0.14384073,0.32132090,0.00000000
-5.92796398,0.81239568,0.20004206,0.00000000,0.24934627,0.15560464,0.34317571,0.00000000
-5.92196098,0.87172272,0.21688693,0.00000000,0.26650876,0.16814058,0.36587106,0.00000000
-5.91595798,0.93416450,0.23491373,0.00000000,0.28457996,0.18137645,0.38938061,0.00000000
-5.90995498,0.99945506,0.25399495,0.00000000,0.30344876,0.19521247,0.41366028,0.00000000
-5.90395198,1.06722673,0.27396021,0.00000000,0.32296782,0.20952156,0.43864437,0.00000000
-5.89794897,1.13700781,0.29459814,0.00000000,0.34295424,0.22415084,0.46424178,0.00000000
-5.89194597,1.20822386,0.31566006,0.00000000,0.36319173,0.23892427,0.49033278,0.00000000
-5.88594297,1.28020284,0.33686534,0.00000000,0.38343404,0.25364641,0.51676646,0.00000000
-5.87993997,1.35218446,0.35790836,0.00000000,0.40340995,0.26810724,0.54335932,0.00000000
-5.87393697,1.42333364,0.37846692,0.00000000,0.42282949,0.28208793,0.56989511,0.00000000
-5.86793397,1.49275823,0.39821176,0.00000000,0.44139130,0.29536732,0.59612630,0.00000000
-5.86193097,1.55953036,0.41681684,0.00000000,0.45879098,0.30772892,0.62177730,0.00000000
-5.85592796,1.62271115,0.43397007,0.00000000,0.47473002,0.31896808,0.64654948,0.00000000
-5.84992496,1.68137799,0.44938395,0.00000000,0.48892512,0.32889923,0.67012808,0.00000000
-5.84392196,1.73465353,0.46280576,0.00000000,0.50111753,0.33736267,0.69219084,0.00000000
-5.83791896,1.78173537,0.47402685,0.00000000,0.51108195,0.34423071,0.71241818,0.00000000
-5.83191596,1.82192537,0.48289058,0.00000000,0.51863487,0.34941291,0.73050461,0.00000000
-5.82591296,1.85465747,0.48929860,0.00000000,0.52364172,0.35286014,0.74617099,0.00000000
-5.81990995,1.87952279,0.49321526,0.00000000,0.52602287,0.35456728,0.75917709,0.00000000
-5.81390695,1.89629100,0.49466973,0.00000000,0.52575795,0.35457439,0.76933396,0.00000000
-5.80790395,1.90492695,0.49375600,0.00000000,0.52288854,0.35296637,0.77651565,0.00000000
-5.80190095,1.90560177,0.49063058,0.00000000,0.51751893,0.34987104,0.78066944,0.00000000
-5.79589795,1.89869784,0.48550803,0.00000000,0.50981510,0.34545570,0.78182434,0.00000000
-5.78989495,1.88480716,0.47865455,0.00000000,0.50000186,0.33992238,0.78009719,0.00000000
-5.78389195,1.86472308,0.47037980,0.00000000,0.48835817,0.33350191,0.77569603,0.00000000
-5.77788894,1.83942545,0.46102747,0.00000000,0.47521104,0.32644705,0.76892040,0.00000000
-5.77188594,1.81005952,0.45096471,0.00000000,0.46092796,0.31902501,0.76015840,0.00000000
-5.76588294,1.77790927,0.44057109,0.00000000,0.44590826,0.31150960,0.74988053,0.00000000
-5.75987994,1.74436578,0.43022737,0.00000000,0.43057367,0.30417324,0.73863017,0.00000000
-5.75387694,1.71089177,0.42030450,0.00000000,0.41535823,0.29727931,0.72701118,0.00000000
-5.74787394,1.67898317,0.41115323,0.00000000,0.40069801,0.29107490,0.71567271,0.00000000
-5.74187094,1.65012901,0.40309476,0.00000000,0.38702074,0.28578425,0.70529166,0.00000000
-5.73586793,1.62577067,0.39641251,0.00000000,0.37473570,0.28160320,0.69655344,0.00000000
-5.72986493,1.60726173,0.39134546,0.00000000,0.36422404,0.27869453,0.69013147,0.00000000
-5.72386193,1.59582952,0.38808298,0.00000000,0.35582983,0.27718459,0.68666598,0.00000000
-5.71785893,1.59253942,0.38676144,0.00000000,0.34985186,0.27716101,0.68674303,0.00000000
-5.71185593,1.59826290,0.38746245,0.00000000,0.34653656,0.27867166,0.69087413,0.00000000
-5.70585293,1.61365029,0.39021282,0.00000000,0.34607194,0.28172476,0.69947726,0.00000000
-5.69984992,1.63910890,0.39498606,0.00000000,0.34858301,0.28629013,0.71286002,0.00000000
-5.69384692,1.67478738,0.40170537,0.00000000,0.35412845,0.29230135,0.73120542,0.00000000
-5.68784392,1.72056676,0.41024793,0.00000000,0.36269891,0.29965899,0.75456085,0.00000000
-5.68184092,1.77605873,0.42045033,0.00000000,0.37421695,0.30823449,0.78283093,0.00000000
-5.67583792,1.84061134,0.43211494,0.00000000,0.38853863,0.31787480,0.81577445,0.00000000
-5.66983492,1.91332243,0.44501713,0.00000000,0.40545693,0.32840748,0.85300584,0.00000000
-5.66383192,1.99306060,0.45891294,0.00000000,0.42470692,0.33964629,0.89400130,0.00000000
-5.65782891,2.07849360,0.47354722,0.00000000,0.44597265,0.35139701,0.93810972,0.00000000
-5.65182591,2.16812346,0.48866191,0.00000000,0.46889577,0.36346340,0.98456808,0.00000000
-5.64582291,2.26032781,0.50400427,0.00000000,0.49308546,0.37565311,1.03252125,0.00000000
-5.63981991,2.35340610,0.51933488,0.00000000,0.51812977,0.38778351,1.08104546,0.00000000
