energy_ev,total_up,As_p_up,As_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,3.38099524,1.23810383,0.00000000,2.57807001,1.53286438,0.94955681,0.00000000
-5.99399700,3.39331940,1.23851137,0.00000000,2.57123350,1.54455629,0.94852716,0.00000000
-5.98799400,3.39760389,1.23637004,0.00000000,2.55721316,1.55306390,0.94473770,0.00000000
-5.98199100,3.39341040,1.23153135,0.00000000,2.53602460,1.55804379,0.93816597,0.00000000
-5.97598799,3.38044005,1.22389663,0.00000000,2.50777214,1.55922147,0.92882939,0.00000000
-5.96998499,3.35854565,1.21342056,0.00000000,2.47264889,1.55640087,0.91678635,0.00000000
-5.96398199,3.32774172,1.20011373,0.00000000,2.43093607,1.54947227,0.90213691,0.00000000
-5.95797899,3.28821139,1.18404392,0.00000000,2.38300111,1.53841843,0.88502298,0.00000000
-5.95197599,3.24030981,1.16533604,0.00000000,2.32929466,1.52331836,0.86562784,0.00000000
-5.94597299,3.18456342,1.14417069,0.00000000,2.27034624,1.50434854,0.84417485,0.00000000
-5.93996998,3.12166478,1.12078128,0.00000000,2.20675843,1.48178134,0.82092545,0.00000000
-5.93396698,3.05246293,1.09544973,0.00000000,2.13919961,1.45598052,0.79617615,0.00000000
-5.92796398,2.97794914,1.06850087,0.00000000,2.06839523,1.42739391,0.77025471,0.00000000
-5.92196098,2.89923835,1.04029562,0.00000000,1.99511761,1.39654339,0.74351539,0.00000000
-5.91595798,2.81754675,1.01122316,0.00000000,1.92017451,1.36401244,0.71633346,0.00000000
-5.90995498,2.73416598,0.98169227,0.00000000,1.84439646,1.33043163,0.68909897,0.00000000
-5.90395198,2.65043478,0.95212208,0.00000000,1.76862331,1.29646260,0.66221001,0.00000000
-5.89794897,2.56770884,0.92293245,0.00000000,1.69369007,1.26278096,0.63606551,0.00000000
-5.89194597,2.48732980,0.89453436,0.00000000,1.62041246,1.23005877,0.61105790,0.00000000
-5.88594297,2.41059433,0.86732030,0.00000000,1.54957256,1.19894709,0.58756573,0.00000000
-5.87993997,2.33872433,0.84165533,0.00000000,1.48190487,1.17005933,0.56594640,0.00000000
-5.87393697,2.27283903,0.81786860,0.00000000,1.41808311,1.14395577,0.54652939,0.00000000
-5.86793397,2.21393000,0.79624596,0.00000000,1.35870829,1.12112989,0.52960997,0.00000000
-5.86193097,2.16283975,0.77702361,0.00000000,1.30429824,1.10199692,0.51544364,0.00000000
-5.85592796,2.12024462,0.76038310,0.00000000,1.25527902,1.08688481,0.50424154,0.00000000
-5.84992496,2.08664243,0.74644776,0.00000000,1.21197842,1.07602814,0.49616676,0.00000000
-5.84392196,2.06234533,0.73528084,0.00000000,1.17462189,1.06956488,0.49133192,0.00000000
-5.83791896,2.04747808,0.72688521,0.00000000,1.14333088,1.06753621,0.48979783,0.00000000
-5.83191596,2.04198165,0.72120483,0.00000000,1.11812387,1.06988935,0.49157347,0.00000000
-5.82591296,2.04562223,0.71812801,0.00000000,1.09891989,1.07648322,0.49661723,0.00000000
-5.81990995,2.05800516,0.71749220,0.00000000,1.08554467,1.08709671,0.50483936,0.00000000
-5.81390695,2.07859343,0.71909039,0.00000000,1.07773906,1.10143927,0.51610561,0.00000000
-5.80790395,2.10672998,0.72267885,0.00000000,1.07516953,1.11916340,0.53024196,0.00000000
-5.80190095,2.14166313,0.72798597,0.00000000,1.07744047,1.13987856,0.54704022,0.00000000
-5.79589795,2.18257410,0.73472189,0.00000000,1.08410772,1.16316596,0.56626446,0.00000000
-5.78989495,2.22860556,0.74258863,0.00000000,1.09469306,1.18859368,0.58765783,0.00000000
-5.78389195,2.27889028,0.75129027,0.00000000,1.10869890,1.21573150,0.61094977,0.00000000
-5.77788894,2.33257837,0.76054283,0.00000000,1.12562276,1.24416481,0.63586313,0.00000000
-5.77188594,2.38886233,0.77008341,0.00000000,1.14497099,1.27350707,0.66212103,0.00000000
-5.76588294,2.44699860,0.77967811,0.00000000,1.16627105,1.30341023,0.68945306,0.00000000
-5.75987994,2.50632474,0.78912859,0.00000000,1.18908204,1.33357271,0.71760074,0.00000000
-5.75387694,2.56627148,0.79827667,0.00000000,1.21300296,1.36374455,0.74632173,0.00000000
-5.74787394,2.62636902,0.80700699,0.00000000,1.23767842,1.39372949,0.77539294,0.00000000
-5.74187094,2.68624745,0.81524746,0.00000000,1.26280161,1.42338391,0.80461204,0.00000000
-5.73586793,2.74563115,0.82296749,0.00000000,1.28811451,1.45261278,0.83379766,0.00000000
-5.72986493,2.80432771,0.83017412,0.00000000,1.31340538,1.48136268,0.86278809,0.00000000
-5.72386193,2.86221182,0.83690625,0.00000000,1.33850382,1.50961248,0.89143871,0.00000000
-5.71785893,2.91920529,0.84322719,0.00000000,1.36327377,1.53736204,0.91961835,0.00000000
-5.71185593,2.97525435,0.84921611,0.00000000,1.38760489,1.56461975,0.94720479,0.00000000
-5.70585293,3.03030547,0.85495863,0.00000000,1.41140299,1.59138954,0.97407986,0.00000000
-5.69984992,3.08428151,0.86053732,0.00000000,1.43458001,1.61765816,1.00012442,0.00000000
-5.69384692,3.13705949,0.86602245,0.00000000,1.45704439,1.64338362,1.02521369,0.00000000
