energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,S_s_up,S_s_down,S_p_up,S_p_down,Sb_p_up,Sb_p_down,Sb_d_up,Sb_d_down
-6.00000000,5.11494068,-5.11496950,2.27064578,-2.27064077,1.26972282,-1.26971444,0.03333422,-0.03333818,3.02794931,-3.02795243,0.24659610,-0.24660770,0.01035808,-0.01035802
-5.99399700,5.08639769,-5.08646318,2.26725777,-2.26726925,1.26523034,-1.26523370,0.03220793,-0.03221239,3.01829352,-3.01832133,0.24274680,-0.24275758,0.01035741,-0.01035737
-5.98799400,5.04709360,-5.04719634,2.25835305,-2.25838189,1.25713073,-1.25714601,0.03095018,-0.03095507,3.00082243,-3.00087555,0.23957296,-0.23958278,0.01035168,-0.01035167
-5.98199100,4.99688013,-4.99702026,2.24365333,-2.24370014,1.24538416,-1.24541136,0.02958334,-0.02958858,2.97534490,-2.97542365,0.23711380,-0.23712257,0.01033942,-0.01033944
-5.97598799,4.93570233,-4.93587947,2.22294675,-2.22301189,1.22999660,-1.23003556,0.02813097,-0.02813648,2.94175525,-2.94185953,0.23539065,-0.23539829,0.01031879,-0.01031885
-5.96998499,4.86362332,-4.86383653,2.19610356,-2.19618704,1.21102512,-1.21107545,0.02661719,-0.02662287,2.90005014,-2.90017946,0.23440641,-0.23441288,0.01028777,-0.01028786
-5.96398199,4.78084475,-4.78109250,2.16308855,-2.16319008,1.18858135,-1.18864251,0.02506592,-0.02507170,2.85034223,-2.85049569,0.23414548,-0.23415078,0.01024419,-0.01024433
-5.95797899,4.68772172,-4.68800194,2.12396974,-2.12408868,1.16283321,-1.16290445,0.02350030,-0.02350610,2.79286964,-2.79304590,0.23457388,-0.23457803,0.01018592,-0.01018611
-5.95197599,4.58477116,-4.58508120,2.07892273,-2.07905812,1.13400436,-1.13408477,0.02194209,-0.02194783,2.72800066,-2.72819799,0.23563966,-0.23564272,0.01011093,-0.01011116
-5.94597299,4.47267306,-4.47300977,2.02823060,-2.02838116,1.10237165,-1.10246015,0.02041113,-0.02041675,2.65623343,-2.65644974,0.23727370,-0.23727575,0.01001742,-0.01001771
-5.93996998,4.35226463,-4.35262442,1.97227946,-1.97244364,1.06826045,-1.06835587,0.01892501,-0.01893044,2.57819052,-2.57842337,0.23939073,-0.23939190,0.00990397,-0.00990430
-5.93396698,4.22452768,-4.22490662,1.91155005,-1.91172605,1.03203827,-1.03213931,0.01749870,-0.01750390,2.49460872,-2.49485540,0.24189081,-0.24189124,0.00976955,-0.00976993
-5.92796398,4.09057015,-4.09096400,1.84660589,-1.84679173,0.99410675,-0.99421204,0.01614447,-0.01614940,2.40632457,-2.40658216,0.24466110,-0.24466096,0.00961365,-0.00961408
-5.92196098,3.95160265,-3.95200701,1.77807873,-1.77827228,0.95489261,-0.95500075,0.01487176,-0.01487638,2.31425636,-2.31452181,0.24757807,-0.24757756,0.00943632,-0.00943679
-5.91595798,3.80891159,-3.80932200,1.70665209,-1.70685115,0.91483783,-0.91494741,0.01368728,-0.01369157,2.21938351,-2.21965368,0.25051006,-0.25050938,0.00923819,-0.00923870
-5.90995498,3.66383020,-3.66424222,1.63304383,-1.63324617,0.87438964,-0.87449927,0.01259514,-0.01259908,2.12272425,-2.12299601,0.25332020,-0.25331957,0.00902048,-0.00902103
-5.90395198,3.51770895,-3.51811826,1.55798850,-1.55819191,0.83399067,-0.83409902,0.01159710,-0.01160069,2.02531271,-2.02558298,0.25586963,-0.25586927,0.00878499,-0.00878558
-5.89794897,3.37188666,-3.37228917,1.48222034,-1.48242268,0.79406973,-0.79417556,0.01069290,-0.01069614,1.92817623,-1.92844210,0.25802099,-0.25802113,0.00853407,-0.00853468
-5.89194597,3.22766380,-3.22805567,1.40645754,-1.40665679,0.75503359,-0.75513573,0.00988060,-0.00988350,1.83231404,-1.83257275,0.25964203,-0.25964289,0.00827054,-0.00827116
-5.88594297,3.08627866,-3.08665641,1.33138832,-1.33158262,0.71725996,-0.71735736,0.00915700,-0.00915956,1.73867781,-1.73892685,0.26060923,-0.26061101,0.00799763,-0.00799826
-5.87993997,2.94888745,-2.94924796,1.25765933,-1.25784697,0.68109199,-0.68118375,0.00851802,-0.00852026,1.64815486,-1.64839196,0.26081136,-0.26081424,0.00771888,-0.00771951
-5.87393697,2.81654864,-2.81688919,1.18586633,-1.18604583,0.64683435,-0.64691967,0.00795911,-0.00796104,1.56155437,-1.56177756,0.26015279,-0.26015694,0.00743807,-0.00743869
-5.86793397,2.69021174,-2.69053004,1.11654752,-1.11671758,0.61475085,-0.61482906,0.00747565,-0.00747729,1.47959691,-1.47980452,0.25855642,-0.25856196,0.00715906,-0.00715966
-5.86193097,2.57071058,-2.57100472,1.05017925,-1.05033877,0.58506364,-0.58513421,0.00706329,-0.00706464,1.40290732,-1.40309796,0.25596615,-0.25597316,0.00688571,-0.00688629
