energy_ev,total_up,Nb_p_up,Nb_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,1.97460731,1.29976236,0.73181976,0.73920496,0.01008011,0.00177486,0.54664954
-5.99399700,1.93126710,1.26381122,0.71443620,0.72383620,0.00996483,0.00181912,0.53134466
-5.98799400,1.88115438,1.22364045,0.69473237,0.70642982,0.00980808,0.00185884,0.51353120
-5.98199100,1.82521976,1.17997189,0.67309217,0.68732110,0.00961362,0.00189347,0.49352388
-5.97598799,1.76446362,1.13354874,0.64991007,0.66685267,0.00938557,0.00192249,0.47166976
-5.96998499,1.69991820,1.08512174,0.62558382,0.64537003,0.00912837,0.00194542,0.44834060
-5.96398199,1.63263195,1.03543732,0.60050855,0.62321846,0.00884665,0.00196180,0.42392491
-5.95797899,1.56365661,0.98522799,0.57507231,0.60074125,0.00854517,0.00197128,0.39882014
-5.95197599,1.49403704,0.93520493,0.54965299,0.57827928,0.00822873,0.00197360,0.37342512
-5.94597299,1.42480367,0.88605279,0.52461666,0.55617143,0.00790215,0.00196865,0.34813290
-5.93996998,1.35696707,0.83842644,0.50031691,0.53475580,0.00757019,0.00195644,0.32332429
-5.93396698,1.29151431,0.79294915,0.47709504,0.51437118,0.00723754,0.00193717,0.29936212
-5.92796398,1.22940605,0.75021181,0.45528063,0.49535830,0.00690879,0.00191121,0.27658622
-5.92196098,1.17157386,0.71077262,0.43519215,0.47806059,0.00658841,0.00187913,0.25530933
-5.91595798,1.11891676,0.67515655,0.41713716,0.46282379,0.00628074,0.00184166,0.23581366
-5.90995498,1.07229630,0.64385426,0.40141176,0.44999427,0.00598996,0.00179971,0.21834820
-5.90395198,1.03252950,0.61731971,0.38829896,0.43991556,0.00572007,0.00175436,0.20312664
-5.89794897,1.00037910,0.59596630,0.37806572,0.43292309,0.00547483,0.00170678,0.19032578
-5.89194597,0.97654100,0.58016129,0.37095863,0.42933691,0.00525773,0.00165826,0.18008428
-5.88594297,0.96162870,0.57021828,0.36719806,0.42945262,0.00507195,0.00161013,0.17250170
-5.87993997,0.95615521,0.56638806,0.36697106,0.43353060,0.00492024,0.00156373,0.16763769
-5.87393697,0.96051280,0.56884801,0.37042320,0.44178409,0.00480487,0.00152037,0.16551135
-5.86793397,0.97495156,0.57769058,0.37764968,0.45436640,0.00472756,0.00148125,0.16610058
-5.86193097,0.99955772,0.59291141,0.38868618,0.47135804,0.00468936,0.00144745,0.16934170
-5.85592796,1.03423313,0.61439793,0.40350007,0.49275441,0.00469060,0.00141988,0.17512914
-5.84992496,1.07867709,0.64191917,0.42198248,0.51845479,0.00473081,0.00139922,0.18331549
-5.84392196,1.13237209,0.67511780,0.44394187,0.54825337,0.00480867,0.00138592,0.19371201
-5.83791896,1.19457486,0.71350502,0.46909971,0.58183313,0.00492195,0.00138016,0.20608969
-5.83191596,1.26431390,0.75645936,0.49708877,0.61876316,0.00506754,0.00138183,0.22018116
-5.82591296,1.34039453,0.80322984,0.52745446,0.65849994,0.00524146,0.00139056,0.23568345
-5.81990995,1.42141234,0.85294393,0.55965955,0.70039304,0.00543889,0.00140569,0.25226190
-5.81390695,1.50577522,0.90462079,0.59309240,0.74369526,0.00565428,0.00142633,0.26955512
-5.80790395,1.59173401,0.95718947,0.62707866,0.78757739,0.00588148,0.00145136,0.28718118
-5.80190095,1.67742118,1.00951197,0.66089627,0.83114703,0.00611383,0.00147948,0.30474487
-5.79589795,1.76089658,1.06041047,0.69379333,0.87347121,0.00634440,0.00150926,0.32184600
-5.78989495,1.84019885,1.10869796,0.72500827,0.91360194,0.00656616,0.00153916,0.33808843
-5.78389195,1.91340056,1.15321110,0.75379158,0.95060379,0.00677214,0.00156764,0.35308963
-5.77788894,1.97866510,1.19284404,0.77942822,0.98358237,0.00695573,0.00159317,0.36649046
-5.77188594,2.03430285,1.22658192,0.80125990,1.01171265,0.00711079,0.00161430,0.37796470
-5.76588294,2.07882433,1.25353243,0.81870611,1.03426579,0.00723192,0.00162971,0.38722800
-5.75987994,2.11098799,1.27295420,0.83128302,1.05063336,0.00731459,0.00163828,0.39404585
-5.75387694,2.12984044,1.28428054,0.83861955,1.06034781,0.00735531,0.00163906,0.39824011
-5.74787394,2.13474730,1.28713767,0.84046959,1.06309836,0.00735174,0.00163139,0.39969399
-5.74187094,2.12541337,1.28135640,0.83672008,1.05874148,0.00730273,0.00161484,0.39835492
-5.73586793,2.10189109,1.26697678,0.82739451,1.04730561,0.00720842,0.00158928,0.39423546
-5.72986493,2.06457715,1.24424571,0.81265161,1.02898991,0.00707015,0.00155485,0.38741197
-5.72386193,2.01419729,1.21360737,0.79277955,1.00415711,0.00689047,0.00151195,0.37802122
-5.71785893,1.95178038,1.17568722,0.76818575,0.97332101,0.00667305,0.00146124,0.36625501
-5.71185593,1.87862285,1.13127034,0.73938299,0.93712907,0.00642252,0.00140357,0.35235313
-5.70585293,1.79624536,1.08127503,0.70697238,0.89634114,0.00614434,0.00134002,0.33659484
-5.69984992,1.70634374,1.02672304,0.67162413,0.85180521,0.00584466,0.00127178,0.31928946
-5.69384692,1.61073629,0.96870773,0.63405685,0.80443135,0.00553009,0.00120019,0.30076629
-5.68784392,1.51130986,0.90836151,0.59501630,0.75516493,0.00520757,0.00112661,0.28136442
-5.68184092,1.40996667,0.84682385,0.55525453,0.70496016,0.00488413,0.00105247,0.26142279
-5.67583792,1.30857404,0.78521110,0.51551008,0.65475501,0.00456674,0.00097917,0.24127095
-5.66983492,1.20891849,0.72458906,0.47648987,0.60544823,0.00426218,0.00090804,0.22122068
-5.66383192,1.11266559,0.66594903,0.43885338,0.55787916,0.00397680,0.00084037,0.20155892
-5.65782891,1.02132643,0.61018804,0.40319937,0.51281080,0.00371651,0.00077731,0.18254213
-5.65182591,0.93623110,0.55809333,0.37005538,0.47091634,0.00348656,0.00071990,0.16439203
-5.64582291,0.85850935,0.51033118,0.33986998,0.43276910,0.00329152,0.00066901,0.14729299
-5.63981991,0.78907812,0.46744005,0.31300769,0.39883602,0.00313520,0.00062538,0.13139078
-5.63381691,0.72863533,0.42982744,0.28974640,0.36947405,0.00302055,0.00058955,0.11679268
-5.62781391,0.67765927,0.39777025,0.27027694,0.34492952,0.00294971,0.00056192,0.10356881
-5.62181091,0.63641279,0.37141793,0.25470446,0.32533968,0.00292387,0.00054269,0.09175434
-5.61580790,0.60495124,0.35079803,0.24305139,0.31073624,0.00294338,0.00053192,0.08135252
-5.60980490,0.58313352,0.33582345,0.23526154,0.30105051,0.00300764,0.00052946,0.07233823
-5.60380190,0.57063546,0.32630108,0.23120519,0.29611964,0.00311518,0.00053504,0.06466187
-5.59779890,0.56696485,0.32194140,0.23068478,0.29569380,0.00326366,0.00054823,0.05825332
-5.59179590,0.57147786,0.32236870,0.23344127,0.29944418,0.00344987,0.00056843,0.05302598
-5.58579290,0.58339648,0.32713183,0.23916091,0.30697151,0.00366982,0.00059494,0.04888059
-5.57978989,0.60182690,0.33571531,0.24748244,0.31781525,0.00391877,0.00062692,0.04570881
-5.57378689,0.62577876,0.34755079,0.25800475,0.33146327,0.00419132,0.00066344,0.04339654
-5.56778389,0.65418542,0.36202894,0.27029495,0.34736221,0.00448146,0.00070348,0.04182687
-5.56178089,0.68592512,0.37851162,0.28389694,0.36492844,0.00478273,0.00074595,0.04088267
-5.55577789,0.71984319,0.39634452,0.29834048,0.38355963,0.00508833,0.00078970,0.04044885
-5.54977489,0.75477509,0.41487012,0.31315061,0.40264694,0.00539125,0.00083359,0.04041434
-5.54377189,0.78957023,0.43344092,0.32785750,0.42158757,0.00568444,0.00087644,0.04067369
-5.53776888,0.82311599,0.45143277,0.34200639,0.43979763,0.00596094,0.00091712,0.04112851
-5.53176588,0.85436169,0.46825795,0.35516761,0.45672499,0.00621414,0.00095456,0.04168859
-5.52576288,0.88234179,0.48337792,0.36694622,0.47186168,0.00643785,0.00098776,0.04227282
-5.51975988,0.90619756,0.49631505,0.37699111,0.48475565,0.00662652,0.00101581,0.04280991
-5.51375688,0.92519658,0.50666321,0.38500320,0.49502128,0.00677540,0.00103795,0.04323892
-5.50775388,0.93874921,0.51409665,0.39074233,0.50234831,0.00688063,0.00105356,0.04350958
-5.50175088,0.94642132,0.51837685,0.39403267,0.50650882,0.00693940,0.00106216,0.04358243
-5.49574787,0.94794277,0.51935694,0.39476631,0.50736187,0.00694995,0.00106349,0.04342873
-5.48974487,0.94321106,0.51698358,0.39290484,0.50485561,0.00691168,0.00105741,0.04303021
-5.48374187,0.93228998,0.51129605,0.38847880,0.49902664,0.00682513,0.00104399,0.04237863
-5.47773887,0.91540322,0.50242251,0.38158506,0.48999676,0.00669192,0.00102348,0.04147514
-5.47173587,0.89292314,0.49057371,0.37238216,0.47796707,0.00651470,0.00099625,0.04032949
-5.46573287,0.86535515,0.47603417,0.36108370,0.46320967,0.00629706,0.00096286,0.03895912
-5.45972986,0.83331835,0.45915137,0.34795029,0.44605748,0.00604337,0.00092395,0.03738810
-5.45372686,0.79752322,0.44032326,0.33328009,0.42689235,0.00575863,0.00088027,0.03564606
-5.44772386,0.75874743,0.41998474,0.31739866,0.40613223,0.00544833,0.00083267,0.03376708
-5.44172086,0.71781065,0.39859357,0.30064825,0.38421779,0.00511825,0.00078200,0.03178859
-5.43571786,0.67554949,0.37661636,0.28337721,0.36159912,0.00477428,0.00072916,0.02975034
-5.42971486,0.63279365,0.35451515,0.26592979,0.33872307,0.00442229,0.00067502,0.02769354
-5.42371186,0.59034402,0.33273521,0.24863681,0.31602159,0.00406793,0.00062042,0.02566001
-5.41770885,0.54895368,0.31169430,0.23180746,0.29390168,0.00371654,0.00056616,0.02369170
-5.41170585,0.50931225,0.29177398,0.21572251,0.27273710,0.00337302,0.00051294,0.02183022
-5.40570285,0.47203415,0.27331297,0.20062919,0.25286212,0.00304175,0.00046142,0.02011667
-5.39969985,0.43765084,0.25660288,0.18673766,0.23456742,0.00272655,0.00041211,0.01859170
-5.39369685,0.40660703,0.24188624,0.17421924,0.21809805,0.00243062,0.00036547,0.01729563
-5.38769385,0.37926072,0.22935664,0.16320627,0.20365340,0.00215658,0.00032183,0.01626890
-5.38169085,0.35588664,0.21916098,0.15379342,0.19138894,0.00190647,0.00028143,0.01555247
-5.37568784,0.33668249,0.21140331,0.14604024,0.18141939,0.00168177,0.00024442,0.01518840
