energy_ev,total_up,Os_p_up,Os_d_up,Sb_p_up,Sb_d_up,Se_s_up,Se_p_up
-6.00000000,3.83832248,1.30810080,2.44768155,1.11980446,0.03408322,0.00416818,0.11157214
-5.99399700,3.92076844,1.32743052,2.51138888,1.13178211,0.03519753,0.00422415,0.10956378
-5.98799400,3.99506656,1.34499238,2.57091157,1.14056555,0.03620688,0.00428158,0.10736873
-5.98199100,4.06025096,1.36060568,2.62557139,1.14598518,0.03709634,0.00433845,0.10502261
-5.97598799,4.11552132,1.37413637,2.67477972,1.14793285,0.03785282,0.00439266,0.10256591
-5.96998499,4.16026638,1.38550285,2.71805632,1.14636274,0.03846548,0.00444215,0.10004280
-5.96398199,4.19408270,1.39468003,2.75504492,1.14129085,0.03892603,0.00448494,0.09749984
-5.95797899,4.21678748,1.40170117,2.78552498,1.13279333,0.03922911,0.00451924,0.09498466
-5.95197599,4.22842465,1.40665731,2.80941864,1.12100369,0.03937243,0.00454349,0.09254475
-5.94597299,4.22926354,1.40969423,2.82679250,1.10610862,0.03935691,0.00455640,0.09022630
-5.93996998,4.21978992,1.41100688,2.83785392,1.08834292,0.03918664,0.00455701,0.08807307
-5.93396698,4.20068941,1.41083150,2.84294186,1.06798317,0.03886880,0.00454470,0.08612546
-5.92796398,4.17282390,1.40943575,2.84251257,1.04534071,0.03841343,0.00451920,0.08441958
-5.92196098,4.13720173,1.40710723,2.83712084,1.02075369,0.03783311,0.00448057,0.08298655
-5.91595798,4.09494284,1.40414093,2.82739751,0.99457871,0.03714253,0.00442922,0.08185182
-5.90995498,4.04724041,1.40082628,2.81402444,0.96718205,0.03635807,0.00436582,0.08103473
-5.90395198,3.99532063,1.39743427,2.79770804,0.93893089,0.03549724,0.00429131,0.08054814
-5.89794897,3.94040234,1.39420545,2.77915269,0.91018473,0.03457814,0.00420681,0.08039829
-5.89194597,3.88365833,1.39133929,2.75903523,0.88128726,0.03361894,0.00411363,0.08058472
-5.88594297,3.82617988,1.38898549,2.73798175,0.85255893,0.03263732,0.00401317,0.08110042
