energy_ev,total_up,Bi_p_up,Bi_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,1.67662140,0.25072407,0.01744907,0.73239404,0.36888884,0.28665433,0.40733911
-5.99399700,1.69511496,0.26150792,0.01750899,0.76713121,0.37137417,0.28382591,0.41162272
-5.98799400,1.71461766,0.27421043,0.01757337,0.80640583,0.37365526,0.28004133,0.41570671
-5.98199100,1.73591154,0.28902063,0.01764644,0.85078230,0.37586990,0.27539164,0.41980264
-5.97598799,1.75983099,0.30611331,0.01773331,0.90079849,0.37817356,0.26999139,0.42413703
-5.96998499,1.78721941,0.32563822,0.01783968,0.95693398,0.38073116,0.26397402,0.42894053
-5.96398199,1.81888130,0.34770870,0.01797147,1.01957633,0.38370787,0.25748647,0.43443621
-5.95797899,1.85553203,0.37239024,0.01813436,1.08898703,0.38725921,0.25068310,0.44082730
-5.95197599,1.89774789,0.39968957,0.01833336,1.16526856,0.39152106,0.24371940,0.44828528
-5.94597299,1.94591872,0.42954478,0.01857238,1.24833427,0.39660014,0.23674559,0.45693848
-5.93996998,2.00020611,0.46181713,0.01885382,1.33788301,0.40256538,0.22990066,0.46686223
-5.93396698,2.06050924,0.49628516,0.01917818,1.43337993,0.40944073,0.22330688,0.47807068
-5.92796398,2.12644074,0.53264149,0.01954383,1.53404516,0.41719979,0.21706527,0.49051117
-5.92196098,2.19731429,0.57049279,0.01994683,1.63885146,0.42576278,0.21125206,0.50406113
-5.91595798,2.27214507,0.60936321,0.02038083,1.74653186,0.43499579,0.20591635,0.51852817
-5.90995498,2.34966380,0.64870141,0.02083716,1.85559764,0.44471269,0.20107915,0.53365315
-5.90395198,2.42834427,0.68789112,0.02130500,1.96436678,0.45467956,0.19673359,0.54911640
-5.89794897,2.50644355,0.72626506,0.02177163,2.07100212,0.46462155,0.19284653,0.56454681
-5.89194597,2.58205366,0.76312182,0.02222287,2.17355842,0.47423184,0.18936119,0.57953352
-5.88594297,2.65316240,0.79774514,0.02264354,2.27003659,0.48318235,0.18620089,0.59363971
-5.87993997,2.71772114,0.82942493,0.02301799,2.35844312,0.49113573,0.18327346,0.60641785
-5.87393697,2.77371631,0.85747902,0.02333069,2.43685239,0.49775805,0.18047623,0.61742593
-5.86793397,2.81924160,0.88127506,0.02356682,2.50346921,0.50273158,0.17770133,0.62624371
-5.86193097,2.85256764,0.90025129,0.02371285,2.55668892,0.50576719,0.17484093,0.63248838
-5.85592796,2.87220578,0.91393544,0.02375706,2.59515235,0.50661558,0.17179233,0.63582904
-5.84992496,2.87696334,0.92196092,0.02369001,2.61779313,0.50507707,0.16846252,0.63599905
