energy_ev,total_up,S_s_up,S_p_up,Si_p_up,Si_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.10596222,0.00449844,0.22112072,0.15355156,0.00000000,0.44158759,0.26799352
-5.99399700,1.06552229,0.00390699,0.21222394,0.15086625,0.00000000,0.41972885,0.25712800
-5.98799400,1.02640384,0.00342731,0.20366890,0.14800330,0.00000000,0.39868437,0.24676425
-5.98199100,0.98869681,0.00304937,0.19550560,0.14498258,0.00000000,0.37855946,0.23686873
-5.97598799,0.95254738,0.00276410,0.18779103,0.14183212,0.00000000,0.35945413,0.22742940
-5.96998499,0.91814917,0.00256345,0.18058690,0.13858713,0.00000000,0.34146143,0.21845382
-5.96398199,0.88573155,0.00244039,0.17395696,0.13528870,0.00000000,0.32466576,0.20996618
-5.95797899,0.85554606,0.00238896,0.16796414,0.13198225,0.00000000,0.30914099,0.20200364
-5.95197599,0.82785137,0.00240419,0.16266754,0.12871563,0.00000000,0.29494868,0.19461209
-5.94597299,0.80289783,0.00248215,0.15811945,0.12553722,0.00000000,0.28213629,0.18784177
-5.93996998,0.78091236,0.00261986,0.15436271,0.12249381,0.00000000,0.27073555,0.18174278
-5.93396698,0.76208446,0.00281537,0.15142824,0.11962859,0.00000000,0.26076104,0.17636098
-5.92796398,0.74655410,0.00306768,0.14933320,0.11697926,0.00000000,0.25220917,0.17173425
-5.92196098,0.73440222,0.00337688,0.14807966,0.11457635,0.00000000,0.24505754,0.16788950
-5.91595798,0.72564439,0.00374417,0.14765397,0.11244185,0.00000000,0.23926486,0.16484043
-5.90995498,0.72022787,0.00417194,0.14802695,0.11058824,0.00000000,0.23477155,0.16258631
-5.90395198,0.71803261,0.00466396,0.14915477,0.10901798,0.00000000,0.23150099,0.16111160
-5.89794897,0.71887594,0.00522547,0.15098066,0.10772350,0.00000000,0.22936161,0.16038668
-5.89194597,0.72252096,0.00586335,0.15343732,0.10668769,0.00000000,0.22824960,0.16036943
-5.88594297,0.72868823,0.00658629,0.15644994,0.10588487,0.00000000,0.22805247,0.16100764
