energy_ev,total_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,0.75043915,0.06197728,0.00000000,0.17254585,0.00000000,0.80478705,0.31484156
-5.99399700,0.78000288,0.06788328,0.00000000,0.19653984,0.00000000,0.79739775,0.31536269
-5.98799400,0.81661868,0.07476128,0.00000000,0.22514815,0.00000000,0.79071939,0.31689048
-5.98199100,0.86118531,0.08265150,0.00000000,0.25874451,0.00000000,0.78543551,0.31968471
-5.97598799,0.91453177,0.09157404,0.00000000,0.29766704,0.00000000,0.78222181,0.32398786
-5.96998499,0.97737992,0.10152599,0.00000000,0.34220107,0.00000000,0.78172251,0.33001534
-5.96398199,1.05030589,0.11247910,0.00000000,0.39256069,0.00000000,0.78452636,0.33794589
-5.95797899,1.13370175,0.12437788,0.00000000,0.44886991,0.00000000,0.79114320,0.34791244
-5.95197599,1.22773913,0.13713851,0.00000000,0.51114408,0.00000000,0.80198187,0.35999398
-5.94597299,1.33233650,0.15064838,0.00000000,0.57927252,0.00000000,0.81733052,0.37420867
-5.93996998,1.44713179,0.16476672,0.00000000,0.65300323,0.00000000,0.83734007,0.39050876
-5.93396698,1.57146235,0.17932603,0.00000000,0.73193089,0.00000000,0.86201176,0.40877739
-5.92796398,1.70435366,0.19413470,0.00000000,0.81548898,0.00000000,0.89118940,0.42882784
-5.92196098,1.84451835,0.20898049,0.00000000,0.90294694,0.00000000,0.92455693,0.45040517
-5.91595798,1.99036666,0.22363506,0.00000000,0.99341325,0.00000000,0.96164157,0.47319048
-5.90995498,2.14002885,0.23785936,0.00000000,1.08584490,0.00000000,1.00182279,0.49680777
-5.90395198,2.29138985,0.25140971,0.00000000,1.17906362,0.00000000,1.04434708,0.52083327
-5.89794897,2.44213568,0.26404441,0.00000000,1.27177868,0.00000000,1.08834800,0.54480689
-5.89194597,2.58981065,0.27553066,0.00000000,1.36261619,0.00000000,1.13287107,0.56824573
-5.88594297,2.73188366,0.28565150,0.00000000,1.45015386,0.00000000,1.17690271,0.59065883
-5.87993997,2.86582147,0.29421256,0.00000000,1.53296034,0.00000000,1.21940209,0.61156288
-5.87393697,2.98916614,0.30104819,0.00000000,1.60963766,0.00000000,1.25933479,0.63049822
-5.86793397,3.09961377,0.30602694,0.00000000,1.67886513,0.00000000,1.29570687,0.64704442
-5.86193097,3.19509102,0.30905592,0.00000000,1.73944280,0.00000000,1.32759802,0.66083483
-5.85592796,3.27382617,0.31008407,0.00000000,1.79033260,0.00000000,1.35419245,0.67156954
-5.84992496,3.33441149,0.30910393,0.00000000,1.83069520,0.00000000,1.37480609,0.67902602
-5.84392196,3.37585389,0.30615212,0.00000000,1.85992083,0.00000000,1.38890911,0.68306714
-5.83791896,3.39761141,0.30130830,0.00000000,1.87765235,0.00000000,1.39614271,0.68364609
-5.83191596,3.39961370,0.29469275,0.00000000,1.88379957,0.00000000,1.39632951,0.68080800
-5.82591296,3.38226541,0.28646268,0.00000000,1.87854378,0.00000000,1.38947716,0.67468821
-5.81990995,3.34643212,0.27680741,0.00000000,1.86233229,0.00000000,1.37577516,0.66550721
-5.81390695,3.29340942,0.26594277,0.00000000,1.83586293,0.00000000,1.35558503,0.65356260
-5.80790395,3.22487650,0.25410476,0.00000000,1.80005941,0.00000000,1.32942444,0.63921830
-5.80190095,3.14283627,0.24154292,0.00000000,1.75603835,0.00000000,1.29794614,0.62289163
