energy_ev,total_up,Hg_p_up,Hg_d_up,Si_p_up,Si_d_up,Te_p_up,Te_d_up
-6.00000000,0.84454616,0.57990117,0.16824445,0.17039036,0.00000000,0.14354448,0.00000000
-5.99399700,0.90458207,0.61817230,0.17618697,0.18162310,0.00000000,0.15668872,0.00000000
-5.98799400,0.97586705,0.66089034,0.18658196,0.19502638,0.00000000,0.17069034,0.00000000
-5.98199100,1.05806055,0.70757574,0.19936233,0.21049117,0.00000000,0.18545222,0.00000000
-5.97598799,1.15061344,0.75765213,0.21441770,0.22786825,0.00000000,0.20085651,0.00000000
-5.96998499,1.25276126,0.81045404,0.23159385,0.24696827,0.00000000,0.21676524,0.00000000
-5.96398199,1.36352076,0.86523645,0.25069271,0.26756241,0.00000000,0.23302134,0.00000000
-5.95797899,1.48169059,0.92118635,0.27147304,0.28938404,0.00000000,0.24945012,0.00000000
-5.95197599,1.60585707,0.97743618,0.29365201,0.31213122,0.00000000,0.26586132,0.00000000
-5.94597299,1.73440593,1.03307898,0.31690780,0.33547034,0.00000000,0.28205158,0.00000000
-5.93996998,1.86554058,1.08718529,0.34088342,0.35904087,0.00000000,0.29780758,0.00000000
-5.93396698,1.99730750,1.13882118,0.36519178,0.38246119,0.00000000,0.31290954,0.00000000
-5.92796398,2.12762873,1.18706753,0.38942201,0.40533564,0.00000000,0.32713532,0.00000000
-5.92196098,2.25434126,1.23103970,0.41314711,0.42726241,0.00000000,0.34026487,0.00000000
-5.91595798,2.37524259,1.26990746,0.43593274,0.44784232,0.00000000,0.35208504,0.00000000
-5.90995498,2.48814143,1.30291445,0.45734689,0.46668813,0.00000000,0.36239452,0.00000000
-5.90395198,2.59091193,1.32939650,0.47697030,0.48343416,0.00000000,0.37100890,0.00000000
-5.89794897,2.68154977,1.34879850,0.49440718,0.49774581,0.00000000,0.37776564,0.00000000
-5.89194597,2.75822782,1.36068879,0.50929584,0.50932867,0.00000000,0.38252864,0.00000000
-5.88594297,2.81934933,1.36477093,0.52131888,0.51793684,0.00000000,0.38519248,0.00000000
-5.87993997,2.86359608,1.36089196,0.53021244,0.52338004,0.00000000,0.38568585,0.00000000
-5.87393697,2.88996967,1.34904708,0.53577407,0.52552934,0.00000000,0.38397431,0.00000000
-5.86793397,2.89782360,1.32938024,0.53786897,0.52432101,0.00000000,0.38006192,0.00000000
-5.86193097,2.88688486,1.30218070,0.53643414,0.51975847,0.00000000,0.37399192,0.00000000
-5.85592796,2.85726371,1.26787548,0.53148031,0.51191215,0.00000000,0.36584617,0.00000000
-5.84992496,2.80945111,1.22701795,0.52309157,0.50091724,0.00000000,0.35574350,0.00000000
-5.84392196,2.74430375,1.18027301,0.51142250,0.48696943,0.00000000,0.34383687,0.00000000
-5.83791896,2.66301728,1.12839928,0.49669326,0.47031872,0.00000000,0.33030955,0.00000000
-5.83191596,2.56708888,1.07222905,0.47918238,0.45126171,0.00000000,0.31537037,0.00000000
-5.82591296,2.45827076,1.01264664,0.45921806,0.43013252,0.00000000,0.29924822,0.00000000
-5.81990995,2.33851665,0.95056612,0.43716795,0.40729287,0.00000000,0.28218615,0.00000000
-5.81390695,2.20992362,0.88690900,0.41342811,0.38312163,0.00000000,0.26443508,0.00000000
-5.80790395,2.07467163,0.82258294,0.38841150,0.35800434,0.00000000,0.24624760,0.00000000
-5.80190095,1.93496340,0.75846197,0.36253648,0.33232302,0.00000000,0.22787194,0.00000000
-5.79589795,1.79296685,0.69536902,0.33621585,0.30644678,0.00000000,0.20954641,0.00000000
-5.78989495,1.65076227,0.63406113,0.30984672,0.28072345,0.00000000,0.19149449,0.00000000
-5.78389195,1.51029602,0.57521784,0.28380157,0.25547248,0.00000000,0.17392077,0.00000000
-5.77788894,1.37334207,0.51943275,0.25842082,0.23097945,0.00000000,0.15700774,0.00000000
-5.77188594,1.24147228,0.46720854,0.23400702,0.20749210,0.00000000,0.14091367,0.00000000
-5.76588294,1.11603586,0.41895505,0.21082076,0.18521805,0.00000000,0.12577145,0.00000000
-5.75987994,0.99814798,0.37499054,0.18907824,0.16432411,0.00000000,0.11168841,0.00000000
-5.75387694,0.88868705,0.33554538,0.16895050,0.14493703,0.00000000,0.09874713,0.00000000
-5.74787394,0.78829990,0.30076810,0.15056414,0.12714562,0.00000000,0.08700694,0.00000000
-5.74187094,0.69741387,0.27073314,0.13400322,0.11100394,0.00000000,0.07650620,0.00000000
-5.73586793,0.61625437,0.24544989,0.11931229,0.09653537,0.00000000,0.06726505,0.00000000
-5.72986493,0.54486680,0.22487251,0.10650013,0.08373729,0.00000000,0.05928852,0.00000000
-5.72386193,0.48314132,0.20891014,0.09554409,0.07258615,0.00000000,0.05256983,0.00000000
-5.71785893,0.43083921,0.19743704,0.08639469,0.06304266,0.00000000,0.04709377,0.00000000
-5.71185593,0.38761959,0.19030245,0.07898027,0.05505691,0.00000000,0.04283994,0.00000000
-5.70585293,0.35306560,0.18733972,0.07321165,0.04857320,0.00000000,0.03978572,0.00000000
-5.69984992,0.32670893,0.18837466,0.06898647,0.04353448,0.00000000,0.03790903,0.00000000
