energy_ev,total_up,Ge_p_up,Ge_d_up,Hg_p_up,Hg_d_up,S_s_up,S_p_up
-6.00000000,1.47220838,0.26343910,0.00000000,1.01904321,0.35329474,0.03900208,0.35600989
-5.99399700,1.40460114,0.25120094,0.00000000,0.96413556,0.33771462,0.03854698,0.33761198
-5.98799400,1.33387599,0.23843139,0.00000000,0.90676403,0.32141969,0.03818208,0.31827314
-5.98199100,1.26152625,0.22536010,0.00000000,0.84793144,0.30478254,0.03796266,0.29836301
-5.97598799,1.18905309,0.21222191,0.00000000,0.78862517,0.28817821,0.03794659,0.27824564
-5.96998499,1.11792517,0.19925001,0.00000000,0.72979180,0.27197414,0.03819258,0.25827026
-5.96398199,1.04954058,0.18666938,0.00000000,0.67231459,0.25652063,0.03875843,0.23876288
-5.95797899,0.98519242,0.17469072,0.00000000,0.61699439,0.24214214,0.03969912,0.22001922
-5.95197599,0.92603868,0.16350501,0.00000000,0.56453452,0.22912958,0.04106492,0.20229900
-5.94597299,0.87307714,0.15327893,0.00000000,0.51552966,0.21773380,0.04289946,0.18582164
-5.93996998,0.82712572,0.14415114,0.00000000,0.47045889,0.20816033,0.04523791,0.17076346
-5.93396698,0.78880848,0.13622951,0.00000000,0.42968277,0.20056556,0.04810532,0.15725638
-5.92796398,0.75854731,0.12958941,0.00000000,0.39344404,0.19505423,0.05151518,0.14538789
-5.92196098,0.73655922,0.12427294,0.00000000,0.36187161,0.19167833,0.05546819,0.13520228
-5.91595798,0.72285888,0.12028911,0.00000000,0.33498738,0.19043733,0.05995141,0.12670297
-5.90995498,0.71726633,0.11761501,0.00000000,0.31271541,0.19127972,0.06493788,0.11985575
-5.90395198,0.71941925,0.11619775,0.00000000,0.29489275,0.19410572,0.07038654,0.11459269
-5.89794897,0.72878946,0.11595724,0.00000000,0.28128172,0.19877119,0.07624279,0.11081673
-5.89194597,0.74470315,0.11678961,0.00000000,0.27158281,0.20509245,0.08243947,0.10840662
-5.88594297,0.76636426,0.11857119,0.00000000,0.26544811,0.21285212,0.08889837,0.10722213
-5.87993997,0.79288045,0.12116304,0.00000000,0.26249468,0.22180564,0.09553229,0.10710938
-5.87393697,0.82329103,0.12441574,0.00000000,0.26231759,0.23168839,0.10224742,0.10790618
-5.86793397,0.85659605,0.12817440,0.00000000,0.26450243,0.24222332,0.10894625,0.10944726
-5.86193097,0.89178587,0.13228382,0.00000000,0.26863688,0.25312867,0.11553060,0.11156918
-5.85592796,0.92787032,0.13659348,0.00000000,0.27432138,0.26412576,0.12190492,0.11411500
-5.84992496,0.96390649,0.14096227,0.00000000,0.28117850,0.27494659,0.12797948,0.11693845
-5.84392196,0.99902449,0.14526295,0.00000000,0.28886102,0.28534079,0.13367347,0.11990752
-5.83791896,1.03244998,0.14938589,0.00000000,0.29705851,0.29508204,0.13891785,0.12290747
-5.83191596,1.06352292,0.15324221,0.00000000,0.30550240,0.30397340,0.14365760,0.12584312
-5.82591296,1.09171179,0.15676604,0.00000000,0.31396941,0.31185160,0.14785351,0.12864031
-5.81990995,1.11662250,0.15991588,0.00000000,0.32228330,0.31858993,0.15148322,0.13124663
