energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,0.74670092,0.21598449,0.00000000,0.00238911,0.24291705,0.13595147,0.19261048
-5.99399700,0.74748317,0.22158951,0.00000000,0.00242230,0.23895420,0.13915756,0.19765711
-5.98799400,0.75002098,0.22846229,0.00000000,0.00246654,0.23492091,0.14315887,0.20377084
-5.98199100,0.75463790,0.23664120,0.00000000,0.00252306,0.23096628,0.14797835,0.21099211
-5.97598799,0.76158259,0.24612888,0.00000000,0.00259260,0.22722732,0.15361716,0.21932977
-5.96998499,0.77101013,0.25688711,0.00000000,0.00267535,0.22382253,0.16005143,0.22875638
-5.96398199,0.78296682,0.26883310,0.00000000,0.00277098,0.22084636,0.16722998,0.23920485
-5.95797899,0.79737963,0.28183743,0.00000000,0.00287855,0.21836486,0.17507295,0.25056647
-5.95197599,0.81405102,0.29572400,0.00000000,0.00299654,0.21641272,0.18347181,0.26269080
-5.94597299,0.83265951,0.31027199,0.00000000,0.00312291,0.21499187,0.19229044,0.27538728
-5.93996998,0.85276623,0.32521996,0.00000000,0.00325511,0.21407169,0.20136773,0.28842886
-5.93396698,0.87382736,0.34027209,0.00000000,0.00339017,0.21359086,0.21052132,0.30155734
-5.92796398,0.89521192,0.35510623,0.00000000,0.00352480,0.21346060,0.21955261,0.31449052
-5.92196098,0.91622434,0.36938359,0.00000000,0.00365550,0.21356941,0.22825267,0.32693068
-5.91595798,0.93613061,0.38275973,0.00000000,0.00377866,0.21378871,0.23640906,0.33857425
-5.90995498,0.95418713,0.39489629,0.00000000,0.00389071,0.21397942,0.24381305,0.34912214
-5.90395198,0.96967069,0.40547303,0.00000000,0.00398822,0.21399892,0.25026702,0.35829039
-5.89794897,0.98190828,0.41419965,0.00000000,0.00406806,0.21370812,0.25559182,0.36582056
-5.89194597,0.99030541,0.42082685,0.00000000,0.00412747,0.21297839,0.25963353,0.37148948
-5.88594297,0.99437154,0.42515606,0.00000000,0.00416420,0.21169782,0.26226948,0.37511786
-5.87993997,0.99374146,0.42704748,0.00000000,0.00417657,0.20977676,0.26341325,0.37657742
-5.87393697,0.98819172,0.42642599,0.00000000,0.00416352,0.20715218,0.26301829,0.37579610
-5.86793397,0.97765135,0.42328467,0.00000000,0.00412471,0.20379087,0.26108007,0.37276121
-5.86193097,0.96220641,0.41768582,0.00000000,0.00406043,0.19969119,0.25763676,0.36752042
-5.85592796,0.94209835,0.40975934,0.00000000,0.00397170,0.19488349,0.25276814,0.36018037
-5.84992496,0.91771630,0.39969862,0.00000000,0.00386014,0.18942915,0.24659317,0.35090324
-5.84392196,0.88958368,0.38775418,0.00000000,0.00372798,0.18341825,0.23926596,0.33990122
-5.83791896,0.85834002,0.37422523,0.00000000,0.00357798,0.17696628,0.23097066,0.32742934
-5.83191596,0.82471875,0.35944970,0.00000000,0.00341330,0.17020979,0.22191525,0.31377684
-5.82591296,0.78952206,0.34379303,0.00000000,0.00323748,0.16330144,0.21232471,0.29925765
-5.81990995,0.75359411,0.32763633,0.00000000,0.00305429,0.15640461,0.20243371,0.28420024
-5.81390695,0.71779363,0.31136435,0.00000000,0.00286765,0.14968780,0.19247934,0.26893742
-5.80790395,0.68296719,0.29535371,0.00000000,0.00268157,0.14331927,0.18269390,0.25379635
-5.80190095,0.64992416,0.27996196,0.00000000,0.00250003,0.13746190,0.17329833,0.23908935
-5.79589795,0.61941445,0.26551771,0.00000000,0.00232697,0.13226876,0.16449632,0.22510566
-5.78989495,0.59210970,0.25231234,0.00000000,0.00216618,0.12787935,0.15646942,0.21210453
-5.78389195,0.56858868,0.24059335,0.00000000,0.00202134,0.12441690,0.14937327,0.20030984
-5.77788894,0.54932728,0.23055975,0.00000000,0.00189597,0.12198656,0.14333504,0.18990633
-5.77188594,0.53469335,0.22235936,0.00000000,0.00179343,0.12067481,0.13845224,0.18103758
-5.76588294,0.52494646,0.21608824,0.00000000,0.00171699,0.12054994,0.13479271,0.17380565
-5.75987994,0.52024230,0.21179202,0.00000000,0.00166982,0.12166353,0.13239599,0.16827236
-5.75387694,0.52064162,0.20946916,0.00000000,0.00165506,0.12405307,0.13127569,0.16446209
-5.74787394,0.52612296,0.20907577,0.00000000,0.00167590,0.12774524,0.13142299,0.16236585
-5.74187094,0.53659873,0.21053195,0.00000000,0.00173559,0.13276002,0.13281090,0.16194646
-5.73586793,0.55193372,0.21372924,0.00000000,0.00183754,0.13911521,0.13539923,0.16314463
-5.72986493,0.57196535,0.21853887,0.00000000,0.00198536,0.14683123,0.13913984,0.16588555
-5.72386193,0.59652457,0.22482051,0.00000000,0.00218292,0.15593583,0.14398219,0.17008579
-5.71785893,0.62545649,0.23243120,0.00000000,0.00243434,0.16646858,0.14987871,0.17566027
-5.71185593,0.65863981,0.24123394,0.00000000,0.00274407,0.17848479,0.15678982,0.18252880
-5.70585293,0.69600403,0.25110579,0.00000000,0.00311680,0.19205860,0.16468841,0.19062218
-5.69984992,0.73754356,0.26194495,0.00000000,0.00355749,0.20728504,0.17356344,0.19988742
-5.69384692,0.78332788,0.27367662,0.00000000,0.00407133,0.22428082,0.18342262,0.21029184
-5.68784392,0.83350726,0.28625734,0.00000000,0.00466357,0.24318376,0.19429380,0.22182598
-5.68184092,0.88831340,0.29967754,0.00000000,0.00533953,0.26415075,0.20622516,0.23450505
-5.67583792,0.94805481,0.31396217,0.00000000,0.00610440,0.28735422,0.21928403,0.24836880
-5.66983492,1.01310691,0.32916942,0.00000000,0.00696314,0.31297718,0.23355432,0.26347987
-5.66383192,1.08389714,0.34538729,0.00000000,0.00792028,0.34120704,0.24913280,0.27992061
-5.65782891,1.16088540,0.36272839,0.00000000,0.00897984,0.37222830,0.26612406,0.29778837
-5.65182591,1.24454076,0.38132295,0.00000000,0.01014505,0.40621457,0.28463466,0.31718951
-5.64582291,1.33531527,0.40131033,0.00000000,0.01141831,0.44332007,0.30476648,0.33823241
-5.63981991,1.43361595,0.42282949,0.00000000,0.01280094,0.48367115,0.32660973,0.36101957
-5.63381691,1.53977630,0.44600868,0.00000000,0.01429310,0.52735806,0.35023577,0.38563938
-5.62781391,1.65402853,0.47095486,0.00000000,0.01589365,0.57442748,0.37569021,0.41215769
-5.62181091,1.77647779,0.49774339,0.00000000,0.01760008,0.62487605,0.40298659,0.44060976
-5.61580790,1.90707962,0.52640843,0.00000000,0.01940842,0.67864523,0.43210091,0.47099283
-5.60980490,2.04562157,0.55693444,0.00000000,0.02131323,0.73561768,0.46296728,0.50325976
-5.60380190,2.19170993,0.58924939,0.00000000,0.02330753,0.79561528,0.49547497,0.53731405
-5.59779890,2.34476193,0.62321985,0.00000000,0.02538290,0.85839878,0.52946695,0.57300642
-5.59179590,2.50400391,0.65864841,0.00000000,0.02752942,0.92366911,0.56474003,0.61013326
-5.58579290,2.66847537,0.69527343,0.00000000,0.02973581,0.99107006,0.60104658,0.64843700
-5.57978989,2.83703856,0.73277138,0.00000000,0.03198940,1.06019218,0.63809773,0.68760850
-5.57378689,3.00839322,0.77076154,0.00000000,0.03427626,1.13057768,0.67556803,0.72729122
-5.56778389,3.18109577,0.80881317,0.00000000,0.03658127,1.20172590,0.71310121,0.76708733
-5.56178089,3.35358205,0.84645456,0.00000000,0.03888818,1.27309918,0.75031690,0.80656521
-5.55577789,3.52419279,0.88318400,0.00000000,0.04117970,1.34412896,0.78681803,0.84526836
-5.54977489,3.69120094,0.91848201,0.00000000,0.04343759,1.41422167,0.82219860,0.88272524
-5.54377189,3.85284002,0.95182442,0.00000000,0.04564281,1.48276460,0.85605160,0.91845972
-5.53776888,4.00733281,0.98269601,0.00000000,0.04777554,1.54913157,0.88797683,0.95200179
-5.53176588,4.15291978,1.01060397,0.00000000,0.04981543,1.61268849,0.91758837,0.98289832
-5.52576288,4.28788693,1.03509087,0.00000000,0.05174170,1.67279901,0.94452162,1.01072327
-5.51975988,4.41059266,1.05574673,0.00000000,0.05353339,1.72883046,0.96843968,1.03508732
-5.51375688,4.51949370,1.07221968,0.00000000,0.05516959,1.78016025,0.98903914,1.05564660
-5.50775388,4.61316986,1.08422507,0.00000000,0.05662975,1.82618302,1.00605509,1.07211024
-5.50175088,4.69034776,1.09155262,0.00000000,0.05789405,1.86631877,1.01926545,1.08424666
-5.49574787,4.74992336,1.09407155,0.00000000,0.05894374,1.90002200,1.02849467,1.09188857
-5.48974487,4.79098324,1.09173355,0.00000000,0.05976160,1.92679184,1.03361661,1.09493643
-5.48374187,4.81282448,1.08457360,0.00000000,0.06033239,1.94618328,1.03455688,1.09336048
-5.47773887,4.81497253,1.07270858,0.00000000,0.06064328,1.95781890,1.03129445,1.08720132
-5.47173587,4.79719689,1.05633392,0.00000000,0.06068432,1.96140102,1.02386255,1.07656900
-5.46573287,4.75952363,1.03571828,0.00000000,0.06044887,1.95672349,1.01234890,1.06164067
