energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,4.27902093,1.94964942,0.00000000,0.09284621,0.91890710,2.42638632,1.91814959
-5.99399700,4.44752354,1.99957039,0.00000000,0.09780957,0.96962444,2.51522403,1.97566681
-5.98799400,4.61470314,2.04604349,0.00000000,0.10254272,1.02216526,2.60028661,2.03119327
-5.98199100,4.77766324,2.08822772,0.00000000,0.10696298,1.07562981,2.68032187,2.08376671
-5.97598799,4.93335005,2.12526630,0.00000000,0.11098934,1.12904185,2.75404365,2.13237747
-5.96998499,5.07861916,2.15630713,0.00000000,0.11454459,1.18136874,2.82015682,2.17599082
-5.96398199,5.21031140,2.18052562,0.00000000,0.11755735,1.23154480,2.87738597,2.21357282
-5.95797899,5.32533575,2.19714938,0.00000000,0.11996415,1.27849738,2.92450731,2.24411903
-5.95197599,5.42075643,2.20548353,0.00000000,0.12171130,1.32117483,2.96038249,2.26668496
-5.94597299,5.49388117,2.20493577,0.00000000,0.12275657,1.35857553,2.98399344,2.28041711
-5.93996998,5.54234689,2.19503989,0.00000000,0.12307056,1.38977687,2.99447651,2.28458314
-5.93396698,5.56419912,2.17547659,0.00000000,0.12263775,1.41396295,2.99115457,2.27859976
-5.92796398,5.55796146,2.14609048,0.00000000,0.12145707,1.43045001,2.97356525,2.26205704
-5.92196098,5.52269166,2.10690233,0.00000000,0.11954208,1.43870811,2.94148400,2.23473778
-5.91595798,5.45802138,2.05811568,0.00000000,0.11692066,1.43837846,2.89494042,2.19663082
-5.90995498,5.36417754,2.00011747,0.00000000,0.11363424,1.42928510,2.83422693,2.14793771
-5.90395198,5.24198365,1.93347233,0.00000000,0.10973659,1.41144073,2.75989893,2.08907196
-5.89794897,5.09284112,1.85891068,0.00000000,0.10529225,1.38504605,2.67276619,2.02065098
-5.89194597,4.91869068,1.77731108,0.00000000,0.10037461,1.35048283,2.57387550,1.94348096
-5.88594297,4.72195592,1.68967759,0.00000000,0.09506374,1.30830083,2.46448531,1.85853520
-5.87993997,4.50547110,1.59711299,0.00000000,0.08944412,1.25919924,2.34603315,1.76692690
-5.87393697,4.27239661,1.50078914,0.00000000,0.08360225,1.20400351,2.22009734,1.66987778
-5.86793397,4.02612573,1.40191578,0.00000000,0.07762430,1.14363852,2.08835453,1.56868360
-5.86193097,3.77018681,1.30170904,0.00000000,0.07159396,1.07909943,1.95253486,1.46467851
-5.85592796,3.50814502,1.20136100,0.00000000,0.06559040,1.01142134,1.81437680,1.35919942
-5.84992496,3.24350770,1.10201167,0.00000000,0.05968653,0.94164919,1.67558332,1.25355211
