energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,0.92316905,0.08356463,0.00000000,0.54376818,0.00000000,0.17625725,0.07056392
-5.99399700,0.95226980,0.08818967,0.00000000,0.55916760,0.00000000,0.18104469,0.07228904
-5.98799400,0.97785415,0.09247952,0.00000000,0.57247726,0.00000000,0.18532517,0.07381016
-5.98199100,0.99948035,0.09637858,0.00000000,0.58344482,0.00000000,0.18904841,0.07510853
-5.97598799,1.01678299,0.09984174,0.00000000,0.59185971,0.00000000,0.19217757,0.07617064
-5.96998499,1.02949443,0.10283670,0.00000000,0.59756558,0.00000000,0.19469283,0.07698963
-5.96398199,1.03746416,0.10534592,0.00000000,0.60047166,0.00000000,0.19659447,0.07756660
-5.95797899,1.04067524,0.10736805,0.00000000,0.60056253,0.00000000,0.19790554,0.07791172
-5.95197599,1.03925677,0.10891898,0.00000000,0.59790573,0.00000000,0.19867381,0.07804516
-5.94597299,1.03349180,0.11003224,0.00000000,0.59265680,0.00000000,0.19897284,0.07799757
-5.93996998,1.02382012,0.11075880,0.00000000,0.58506137,0.00000000,0.19890228,0.07781039
-5.93396698,1.01083566,0.11116638,0.00000000,0.57545421,0.00000000,0.19858716,0.07753566
-5.92796398,0.99527841,0.11133807,0.00000000,0.56425500,0.00000000,0.19817623,0.07723558
-5.92196098,0.97802118,0.11137063,0.00000000,0.55196112,0.00000000,0.19783956,0.07698162
-5.91595798,0.96005151,0.11137224,0.00000000,0.53913744,0.00000000,0.19776523,0.07685344
-5.90995498,0.94244937,0.11146006,0.00000000,0.52640355,0.00000000,0.19815550,0.07693740
-5.90395198,0.92636138,0.11175753,0.00000000,0.51441877,0.00000000,0.19922245,0.07732502
-5.89794897,0.91297241,0.11239165,0.00000000,0.50386541,0.00000000,0.20118331,0.07811114
-5.89194597,0.90347547,0.11349027,0.00000000,0.49543075,0.00000000,0.20425566,0.07939206
-5.88594297,0.89904075,0.11517951,0.00000000,0.48978831,0.00000000,0.20865266,0.08126370
-5.87993997,0.90078472,0.11758145,0.00000000,0.48757890,0.00000000,0.21457843,0.08381967
-5.87393697,0.90974017,0.12081202,0.00000000,0.48939199,0.00000000,0.22222371,0.08714949
-5.86793397,0.92682789,0.12497930,0.00000000,0.49574785,0.00000000,0.23176194,0.09133695
-5.86193097,0.95283068,0.13018209,0.00000000,0.50708098,0.00000000,0.24334565,0.09645848
-5.85592796,0.98837036,0.13650876,0.00000000,0.52372525,0.00000000,0.25710346,0.10258179
-5.84992496,1.03388818,0.14403648,0.00000000,0.54590112,0.00000000,0.27313735,0.10976463
-5.84392196,1.08962914,0.15283055,0.00000000,0.57370544,0.00000000,0.29152047,0.11805364
-5.83791896,1.15563065,0.16294394,0.00000000,0.60710397,0.00000000,0.31229530,0.12748341
-5.83191596,1.23171558,0.17441688,0.00000000,0.64592712,0.00000000,0.33547202,0.13807565
-5.82591296,1.31749019,0.18727640,0.00000000,0.68986898,0.00000000,0.36102730,0.14983837
-5.81990995,1.41234683,0.20153586,0.00000000,0.73849000,0.00000000,0.38890314,0.16276531
-5.81390695,1.51547165,0.21719422,0.00000000,0.79122315,0.00000000,0.41900603,0.17683530
-5.80790395,1.62585698,0.23423523,0.00000000,0.84738386,0.00000000,0.45120614,0.19201173
-5.80190095,1.74231852,0.25262633,0.00000000,0.90618339,0.00000000,0.48533678,0.20824212
-5.79589795,1.86351670,0.27231738,0.00000000,0.96674547,0.00000000,0.52119407,0.22545766
-5.78989495,1.98798200,0.29323928,0.00000000,1.02812589,0.00000000,0.55853679,0.24357298
-5.78389195,2.11414341,0.31530239,0.00000000,1.08933439,0.00000000,0.59708677,0.26248585
-5.77788894,2.24035959,0.33839510,0.00000000,1.14935841,0.00000000,0.63652962,0.28207719
-5.77188594,2.36495164,0.36238246,0.00000000,1.20718779,0.00000000,0.67651615,0.30221115
-5.76588294,2.48623688,0.38710511,0.00000000,1.26183974,0.00000000,0.71666462,0.32273549
-5.75987994,2.60256238,0.41237867,0.00000000,1.31238323,0.00000000,0.75656372,0.34348227
-5.75387694,2.71233776,0.43799375,0.00000000,1.35796183,0.00000000,0.79577678,0.36426884
-5.74787394,2.81406599,0.46371673,0.00000000,1.39781444,0.00000000,0.83384698,0.38489939
-5.74187094,2.90637177,0.48929142,0.00000000,1.43129301,0.00000000,0.87030382,0.40516681
-5.73586793,2.98802665,0.51444183,0.00000000,1.45787673,0.00000000,0.90467076,0.42485527
-5.72986493,3.05797053,0.53887593,0.00000000,1.47718236,0.00000000,0.93647414,0.44374321
-5.72386193,3.11532926,0.56229063,0.00000000,1.48897036,0.00000000,0.96525304,0.46160705
-5.71785893,3.15942811,0.58437779,0.00000000,1.49314685,0.00000000,0.99057012,0.47822531
-5.71185593,3.18980133,0.60483129,0.00000000,1.48976154,0.00000000,1.01202307,0.49338344
-5.70585293,3.20619778,0.62335490,0.00000000,1.47900193,0.00000000,1.02925639,0.50687887
-5.69984992,3.20858301,0.63967078,0.00000000,1.46118426,0.00000000,1.04197306,0.51852660
-5.69384692,3.19713813,0.65352835,0.00000000,1.43674179,0.00000000,1.04994575,0.52816479
-5.68784392,3.17225575,0.66471319,0.00000000,1.40621106,0.00000000,1.05302705,0.53566045
