energy_ev,total_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,3.92252144,1.16741455,0.00000000,1.06134388,0.00000000,3.51315701,1.61297796
-5.99399700,3.99556778,1.19580081,0.00000000,1.07288341,0.00000000,3.57387002,1.64724380
-5.98799400,4.05483112,1.22098814,0.00000000,1.08039279,0.00000000,3.62092225,1.67627120
-5.98199100,4.09933263,1.24263291,0.00000000,1.08370567,0.00000000,3.65341207,1.69966093
-5.97598799,4.12834911,1.26045029,0.00000000,1.08272828,0.00000000,3.67065449,1.71711963
-5.96998499,4.14143214,1.27422334,0.00000000,1.07744169,0.00000000,3.67220167,1.72846734
-5.96398199,4.13842091,1.28381095,0.00000000,1.06790227,0.00000000,3.65785809,1.73364266
-5.95797899,4.11944867,1.28915432,0.00000000,1.05424023,0.00000000,3.62768994,1.73270511
-5.95197599,4.08494239,1.29028157,0.00000000,1.03665649,0.00000000,3.58202843,1.72583495
-5.94597299,4.03561576,1.28731036,0.00000000,1.01541796,0.00000000,3.52146680,1.71333019
-5.93996998,3.97245563,1.28044812,0.00000000,0.99085142,0.00000000,3.44685125,1.69560108
-5.93396698,3.89670236,1.26998988,0.00000000,0.96333629,0.00000000,3.35926587,1.67316197
-5.92796398,3.80982421,1.25631354,0.00000000,0.93329650,0.00000000,3.26001205,1.64662081
-5.92196098,3.71348665,1.23987248,0.00000000,0.90119166,0.00000000,3.15058293,1.61666641
-5.91595798,3.60951709,1.22118588,0.00000000,0.86750788,0.00000000,3.03263348,1.58405369
-5.90995498,3.49986581,1.20082659,0.00000000,0.83274833,0.00000000,2.90794701,1.54958723
-5.90395198,3.38656410,1.17940717,0.00000000,0.79742380,0.00000000,2.77839903,1.51410332
-5.89794897,3.27168038,1.15756437,0.00000000,0.76204353,0.00000000,2.64591930,1.47845117
-5.89194597,3.15727560,1.13594245,0.00000000,0.72710623,0.00000000,2.51245304,1.44347336
-5.88594297,3.04535883,1.11517615,0.00000000,0.69309167,0.00000000,2.37992242,1.40998639
-5.87993997,2.93784437,1.09587368,0.00000000,0.66045280,0.00000000,2.25018904,1.37876165
-5.87393697,2.83651140,1.07860047,0.00000000,0.62960861,0.00000000,2.12501861,1.35050738
