energy_ev,total_up,Ge_p_up,Ge_d_up,Os_p_up,Os_d_up,Te_p_up,Te_d_up
-6.00000000,5.13107850,1.59051148,0.00000000,2.41603450,2.69615149,1.17793538,0.00000000
-5.99399700,5.06948802,1.57523811,0.00000000,2.38993157,2.66782215,1.16907905,0.00000000
-5.98799400,5.00283896,1.55888442,0.00000000,2.36552745,2.63533300,1.15772807,0.00000000
-5.98199100,4.93219143,1.54162211,0.00000000,2.34304650,2.59930279,1.14409399,0.00000000
-5.97598799,4.85858723,1.52360132,0.00000000,2.32256877,2.56038916,1.12843636,0.00000000
-5.96998499,4.78303012,1.50495073,0.00000000,2.30403446,2.51927418,1.11105607,0.00000000
-5.96398199,4.70647047,1.48577988,0.00000000,2.28725533,2.47665050,1.09228742,0.00000000
-5.95797899,4.62979454,1.46618326,0.00000000,2.27193206,2.43320862,1.07248935,0.00000000
-5.95197599,4.55381839,1.44624588,0.00000000,2.25767695,2.38962557,1.05203623,0.00000000
-5.94597299,4.47928611,1.42605008,0.00000000,2.24404037,2.34655525,1.03130845,0.00000000
-5.93996998,4.40687235,1.40568281,0.00000000,2.23053996,2.30462068,1.01068343,0.00000000
-5.93396698,4.33718830,1.38524320,0.00000000,2.21669087,2.26440835,0.99052720,0.00000000
-5.92796398,4.27079088,1.36484978,0.00000000,2.20203575,2.22646457,0.97118715,0.00000000
-5.92196098,4.20819432,1.34464691,0.00000000,2.18617322,2.19129399,0.95298601,0.00000000
-5.91595798,4.14988334,1.32481007,0.00000000,2.16878340,2.15935999,0.93621742,0.00000000
-5.90995498,4.09632723,1.30554957,0.00000000,2.14964971,2.13108677,0.92114307,0.00000000
-5.90395198,4.04799391,1.28711261,0.00000000,2.12867592,2.10686284,0.90799152,0.00000000
-5.89794897,4.00536313,1.26978323,0.00000000,2.10589808,2.08704541,0.89695855,0.00000000
-5.89194597,3.96893789,1.25388033,0.00000000,2.08149091,2.07196521,0.88820877,0.00000000
-5.88594297,3.93925334,1.23975360,0.00000000,2.05576856,2.06193127,0.88187834,0.00000000
-5.87993997,3.91688222,1.22777743,0.00000000,2.02917998,2.05723500,0.87807835,0.00000000
-5.87393697,3.90243638,1.21834306,0.00000000,2.00229923,2.05815312,0.87689847,0.00000000
-5.86793397,3.89656360,1.21184907,0.00000000,1.97581114,2.06494878,0.87841055,0.00000000
-5.86193097,3.89993952,1.20869061,0.00000000,1.95049305,2.07787072,0.88267174,0.00000000
-5.85592796,3.91325435,1.20924751,0.00000000,1.92719327,2.09714988,0.88972679,0.00000000
-5.84992496,3.93719449,1.21387186,0.00000000,1.90680695,2.12299348,0.89960929,0.00000000
-5.84392196,3.97241932,1.22287515,0.00000000,1.89025019,2.15557657,0.91234168,0.00000000
-5.83791896,4.01953366,1.23651564,0.00000000,1.87843305,2.19503108,0.92793387,0.00000000
-5.83191596,4.07905673,1.25498612,0.00000000,1.87223205,2.24143297,0.94638065,0.00000000
-5.82591296,4.15138872,1.27840259,0.00000000,1.87246302,2.29478777,0.96765781,0.00000000
