energy_ev,total_up,Au_p_up,Au_d_up,Ge_p_up,Ge_d_up,Te_p_up,Te_d_up
-6.00000000,4.10806033,0.65980650,3.75918922,0.11096268,0.00000000,0.18197858,0.00000000
-5.99399700,4.00203977,0.66007717,3.65582167,0.10974841,0.00000000,0.17904104,0.00000000
-5.98799400,3.90332457,0.65988785,3.55951611,0.10901038,0.00000000,0.17587132,0.00000000
-5.98199100,3.81290233,0.65928190,3.47120126,0.10876800,0.00000000,0.17250653,0.00000000
-5.97598799,3.73155060,0.65831822,3.39159130,0.10903297,0.00000000,0.16899158,0.00000000
-5.96998499,3.65983230,0.65707133,3.32118173,0.10980854,0.00000000,0.16537932,0.00000000
-5.96398199,3.59809762,0.65563068,3.26025212,0.11108882,0.00000000,0.16173044,0.00000000
-5.95797899,3.54649169,0.65409927,3.20887508,0.11285812,0.00000000,0.15811315,0.00000000
-5.95197599,3.50496765,0.65259170,3.16693066,0.11509052,0.00000000,0.15460267,0.00000000
-5.94597299,3.47330403,0.65123186,3.13412533,0.11774966,0.00000000,0.15128039,0.00000000
-5.93996998,3.45112580,0.65015022,3.11001466,0.12078877,0.00000000,0.14823294,0.00000000
-5.93396698,3.43792802,0.64948108,3.09402838,0.12415110,0.00000000,0.14555097,0.00000000
-5.92796398,3.43310112,0.64935979,3.08549713,0.12777072,0.00000000,0.14332776,0.00000000
-5.92196098,3.43595694,0.64992008,3.08367956,0.13157371,0.00000000,0.14165773,0.00000000
-5.91595798,3.44575454,0.65129160,3.08778904,0.13547975,0.00000000,0.14063467,0.00000000
-5.90995498,3.46172490,0.65359771,3.09701902,0.13940404,0.00000000,0.14035000,0.00000000
-5.90395198,3.48309369,0.65695349,3.11056624,0.14325958,0.00000000,0.14089072,0.00000000
-5.89794897,3.50910137,0.66146390,3.12765116,0.14695962,0.00000000,0.14233743,0.00000000
-5.89194597,3.53901994,0.66722210,3.14753497,0.15042029,0.00000000,0.14476208,0.00000000
-5.88594297,3.57216575,0.67430771,3.16953281,0.15356315,0.00000000,0.14822577,0.00000000
-5.87993997,3.60790799,0.68278497,3.19302278,0.15631777,0.00000000,0.15277646,0.00000000
-5.87393697,3.64567244,0.69270063,3.21745059,0.15862393,0.00000000,0.15844663,0.00000000
-5.86793397,3.68494053,0.70408158,3.24232980,0.16043361,0.00000000,0.16525104,0.00000000
-5.86193097,3.72524361,0.71693205,3.26723772,0.16171242,0.00000000,0.17318453,0.00000000
-5.85592796,3.76615290,0.73123052,3.29180737,0.16244058,0.00000000,0.18222009,0.00000000
-5.84992496,3.80726559,0.74692639,3.31571581,0.16261328,0.00000000,0.19230712,0.00000000
