energy_ev,total_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,1.28446102,0.85736698,0.39558259,0.01368869,0.80930706,0.09388265,0.00010504
-5.99399700,1.31732631,0.86723307,0.40579536,0.01432096,0.82992194,0.09971172,0.00010609
-5.98799400,1.34772177,0.87487337,0.41529185,0.01495265,0.84910096,0.10538052,0.00010688
-5.98199100,1.37537160,0.88025513,0.42397062,0.01557743,0.86667370,0.11082207,0.00010741
-5.97598799,1.39999892,0.88335797,0.43172589,0.01618803,0.88246440,0.11597076,0.00010769
-5.96998499,1.42133195,0.88417529,0.43845016,0.01677639,0.89629574,0.12076378,0.00010773
-5.96398199,1.43911081,0.88271556,0.44403726,0.01733379,0.90799326,0.12514258,0.00010752
-5.95797899,1.45309465,0.87900346,0.44838569,0.01785107,0.91739025,0.12905417,0.00010710
-5.95197599,1.46306874,0.87308075,0.45140200,0.01831890,0.92433272,0.13245226,0.00010646
-5.94597299,1.46885118,0.86500661,0.45300419,0.01872802,0.92868434,0.13529826,0.00010562
-5.93996998,1.47029893,0.85485752,0.45312484,0.01906959,0.93033112,0.13756200,0.00010460
-5.93396698,1.46731292,0.84272671,0.45171391,0.01933544,0.92918562,0.13922225,0.00010341
-5.92796398,1.45984223,0.82872307,0.44874104,0.01951841,0.92519054,0.14026700,0.00010206
-5.92196098,1.44788708,0.81296987,0.44419739,0.01961255,0.91832171,0.14069347,0.00010056
-5.91595798,1.43150088,0.79560328,0.43809677,0.01961343,0.90859035,0.14050801,0.00009894
-5.90995498,1.41079132,0.77677097,0.43047623,0.01951827,0.89604460,0.13972574,0.00009720
-5.90395198,1.38592059,0.75663095,0.42139602,0.01932609,0.88077044,0.13837014,0.00009535
-5.89794897,1.35710507,0.73535083,0.41093898,0.01903776,0.86289208,0.13647249,0.00009342
-5.89194597,1.32461454,0.71310775,0.39920944,0.01865601,0.84257181,0.13407135,0.00009142
-5.88594297,1.28877114,0.69008888,0.38633172,0.01818539,0.82000944,0.13121201,0.00008936
-5.87993997,1.24994812,0.66649272,0.37244824,0.01763210,0.79544156,0.12794593,0.00008727
-5.87393697,1.20856862,0.64253111,0.35771749,0.01700387,0.76914035,0.12433031,0.00008518
-5.86793397,1.16510431,0.61843173,0.34231175,0.01630970,0.74141236,0.12042771,0.00008311
-5.86193097,1.12007404,0.59444112,0.32641479,0.01555963,0.71259698,0.11630568,0.00008111
-5.85592796,1.07404222,0.57082773,0.31021953,0.01476447,0.68306466,0.11203652,0.00007921
-5.84992496,1.02761686,0.54788495,0.29392577,0.01393549,0.65321494,0.10769701,0.00007748
-5.84392196,0.98144712,0.52593364,0.27773795,0.01308417,0.62347395,0.10336813,0.00007598
-5.83791896,0.93621999,0.50532389,0.26186302,0.01222192,0.59429166,0.09913476,0.00007477
-5.83191596,0.89265612,0.48643570,0.24650839,0.01135978,0.56613834,0.09508530,0.00007395
