energy_ev,total_up,Rh_p_up,Rh_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,0.04308392,0.03934647,0.02152003,0.00001250,0.00199679,0.02057890,0.00000008
-5.99399700,0.05062403,0.04615373,0.02532449,0.00001566,0.00234503,0.02415931,0.00000010
-5.98799400,0.05910348,0.05378158,0.02961598,0.00001954,0.00273634,0.02817865,0.00000014
-5.98199100,0.06856856,0.06226114,0.03442284,0.00002428,0.00317273,0.03265628,0.00000018
-5.97598799,0.07905654,0.07161301,0.03976992,0.00003003,0.00365579,0.03760668,0.00000023
-5.96998499,0.09059433,0.08184586,0.04567798,0.00003699,0.00418662,0.04303889,0.00000030
-5.96398199,0.10319748,0.09295532,0.05216328,0.00004535,0.00476577,0.04895590,0.00000039
-5.95797899,0.11686957,0.10492325,0.05923729,0.00005533,0.00539327,0.05535441,0.00000050
-5.95197599,0.13160205,0.11771753,0.06690665,0.00006718,0.00606854,0.06222473,0.00000064
-5.94597299,0.14737453,0.13129235,0.07517323,0.00008116,0.00679051,0.06955097,0.00000080
-5.93996998,0.16415558,0.14558905,0.08403450,0.00009755,0.00755760,0.07731145,0.00000101
-5.93396698,0.18190406,0.16053753,0.09348400,0.00011663,0.00836783,0.08547941,0.00000126
-5.92796398,0.20057071,0.17605813,0.10351196,0.00013869,0.00921890,0.09402387,0.00000156
-5.92196098,0.22010021,0.19206393,0.11410606,0.00016401,0.01010831,0.10291073,0.00000193
-5.91595798,0.24043334,0.20846345,0.12525220,0.00019287,0.01103348,0.11210393,0.00000237
-5.90995498,0.26150930,0.22516341,0.13693528,0.00022550,0.01199187,0.12156673,0.00000290
-5.90395198,0.28326794,0.24207172,0.14913993,0.00026211,0.01298114,0.13126283,0.00000353
-5.89794897,0.30565185,0.25910026,0.16185114,0.00030286,0.01399924,0.14115758,0.00000428
-5.89194597,0.32860820,0.27616753,0.17505475,0.00034785,0.01504454,0.15121892,0.00000517
-5.88594297,0.35209028,0.29320098,0.18873788,0.00039710,0.01611592,0.16141813,0.00000623
-5.87993997,0.37605869,0.31013888,0.20288917,0.00045056,0.01721288,0.17173043,0.00000747
-5.87393697,0.40048229,0.32693190,0.21749912,0.00050807,0.01833553,0.18213529,0.00000894
-5.86793397,0.42533891,0.34354410,0.23256028,0.00056939,0.01948473,0.19261661,0.00001068
-5.86193097,0.45061604,0.35995374,0.24806778,0.00063418,0.02066204,0.20316274,0.00001272
-5.85592796,0.47631165,0.37615362,0.26401998,0.00070199,0.02186983,0.21376642,0.00001513
-5.84992496,0.50243523,0.39215146,0.28041951,0.00077229,0.02311128,0.22442474,0.00001796
-5.84392196,0.52900942,0.40797008,0.29727482,0.00084449,0.02439042,0.23513932,0.00002130
-5.83791896,0.55607220,0.42364786,0.31460223,0.00091791,0.02571223,0.24591652,0.00002523
-5.83191596,0.58367982,0.43923928,0.33242855,0.00099185,0.02708269,0.25676812,0.00002984
-5.82591296,0.61191046,0.45481586,0.35079421,0.00106561,0.02850888,0.26771214,0.00003525
-5.81990995,0.64086852,0.47046735,0.36975686,0.00113848,0.02999909,0.27877412,0.00004160
-5.81390695,0.67068933,0.48630319,0.38939516,0.00120984,0.03156293,0.28998857,0.00004902
-5.80790395,0.70154389,0.50245407,0.40981262,0.00127912,0.03321140,0.30140068,0.00005768
-5.80190095,0.73364330,0.51907343,0.43114103,0.00134589,0.03495697,0.31306798,0.00006774
-5.79589795,0.76724225,0.53633848,0.45354330,0.00140986,0.03681353,0.32506193,0.00007939
-5.78989495,0.80264101,0.55445064,0.47721507,0.00147092,0.03879637,0.33746906,0.00009282
-5.78389195,0.84018540,0.57363486,0.50238495,0.00152914,0.04092191,0.35039159,0.00010823
-5.77788894,0.88026397,0.59413754,0.52931278,0.00158479,0.04320746,0.36394718,0.00012582
-5.77188594,0.92330225,0.61622281,0.55828581,0.00163834,0.04567070,0.37826767,0.00014577
-5.76588294,0.96975343,0.64016691,0.58961250,0.00169047,0.04832915,0.39349671,0.00016827
-5.75987994,1.02008565,0.66625053,0.62361393,0.00174201,0.05119944,0.40978607,0.00019347
-5.75387694,1.07476590,0.69474930,0.66061290,0.00179392,0.05429644,0.42729081,0.00022150
-5.74787394,1.13424093,0.72592250,0.70092104,0.00184729,0.05763238,0.44616330,0.00025245
-5.74187094,1.19891594,0.76000046,0.74482438,0.00190322,0.06121587,0.46654632,0.00028638
-5.73586793,1.26913196,0.79717106,0.79256795,0.00196284,0.06505099,0.48856555,0.00032328
-5.72986493,1.34514296,0.83756625,0.84434027,0.00202718,0.06913639,0.51232191,0.00036309
-5.72386193,1.42709415,0.88124903,0.90025848,0.00209716,0.07346454,0.53788398,0.00040567
-5.71785893,1.51500270,0.92820207,0.96035509,0.00217351,0.07802122,0.56528119,0.00045083
-5.71185593,1.60874235,0.97831853,1.02456727,0.00225673,0.08278520,0.59449813,0.00049833
-5.70585293,1.70803298,1.03139597,1.09272940,0.00234700,0.08772828,0.62547043,0.00054781
-5.69984992,1.81243629,1.08713407,1.16456970,0.00244422,0.09281554,0.65808253,0.00059891
-5.69384692,1.92135824,1.14513646,1.23971132,0.00254791,0.09800606,0.69216766,0.00065116
-5.68784392,2.03405863,1.20491708,1.31767823,0.00265728,0.10325382,0.72751004,0.00070410
-5.68184092,2.14966766,1.26591093,1.39790592,0.00277119,0.10850904,0.76384943,0.00075720
-5.67583792,2.26720908,1.32748911,1.47975644,0.00288816,0.11371954,0.80088771,0.00080993
-5.66983492,2.38562891,1.38897734,1.56253754,0.00300648,0.11883245,0.83829720,0.00086174
-5.66383192,2.50382855,1.44967754,1.64552468,0.00312422,0.12379590,0.87573047,0.00091214
-5.65782891,2.62070057,1.50889120,1.72798531,0.00323928,0.12856063,0.91283079,0.00096064
-5.65182591,2.73516548,1.56594351,1.80920392,0.00334953,0.13308158,0.94924298,0.00100680
-5.64582291,2.84620771,1.62020723,1.88850683,0.00345282,0.13731918,0.98462385,0.00105027
-5.63981991,2.95290880,1.67112482,1.96528550,0.00354712,0.14124042,1.01865173,0.00109076
-5.63381691,3.05447642,1.71822805,2.03901705,0.00363058,0.14481950,1.05103463,0.00112810
-5.62781391,3.15026763,1.76115394,2.10928138,0.00370161,0.14803815,1.08151666,0.00116220
-5.62181091,3.23980564,1.79965636,2.17577377,0.00375893,0.15088557,1.10988239,0.00119307
-5.61580790,3.32278927,1.83361283,2.23831283,0.00380164,0.15335797,1.13595916,0.00122083
-5.60980490,3.39909522,1.86302635,2.29684336,0.00382927,0.15545779,1.15961734,0.00124573
-5.60380190,3.46877331,1.88802224,2.35143437,0.00384178,0.15719276,1.18076876,0.00126806
-5.59779890,3.53203543,1.90884035,2.40227261,0.00383956,0.15857466,1.19936358,0.00128825
-5.59179590,3.58923931,1.92582339,2.44965214,0.00382345,0.15961816,1.21538613,0.00130678
-5.58579290,3.64086813,1.93940176,2.49396062,0.00379467,0.16033958,1.22885003,0.00132418
-5.57978989,3.68750759,1.95007613,2.53566334,0.00375479,0.16075586,1.23979310,0.00134102
-5.57378689,3.72982150,1.95839833,2.57528565,0.00370570,0.16088369,1.24827256,0.00135793
-5.56778389,3.76852721,1.96495174,2.61339466,0.00364949,0.16073889,1.25436063,0.00137550
-5.56178089,3.80437200,1.97033170,2.65058097,0.00358843,0.16033613,1.25814110,0.00139433
-5.55577789,3.83811103,1.97512702,2.68744095,0.00352483,0.15968890,1.25970672,0.00141500
-5.54977489,3.87048740,1.97990276,2.72456004,0.00346104,0.15880977,1.25915747,0.00143804
-5.54377189,3.90221470,1.98518501,2.76249723,0.00339930,0.15771087,1.25659976,0.00146392
-5.53776888,3.93396167,1.99144783,2.80177105,0.00334171,0.15640457,1.25214616,0.00149304
-5.53176588,3.96633917,1.99910236,2.84284683,0.00329017,0.15490418,1.24591546,0.00152573
-5.52576288,3.99988872,2.00848835,2.88612535,0.00324631,0.15322466,1.23803284,0.00156223
-5.51975988,4.03507259,2.01986777,2.93193271,0.00321144,0.15138328,1.22862972,0.00160268
-5.51375688,4.07226491,2.03342062,2.98051144,0.00318656,0.14940004,1.21784320,0.00164714
-5.50775388,4.11174361,2.04924267,3.03201277,0.00317229,0.14729791,1.20581477,0.00169554
-5.50175088,4.15368331,2.06734502,3.08649027,0.00316891,0.14510275,1.19268834,0.00174775
-5.49574787,4.19814912,2.08765548,3.14389491,0.00317632,0.14284300,1.17860753,0.00180350
-5.48974487,4.24509187,2.11002170,3.20407210,0.00319410,0.14054899,1.16371239,0.00186247
-5.48374187,4.29434519,2.13421597,3.26676079,0.00322149,0.13825212,1.14813577,0.00192422
-5.47773887,4.34562506,2.15994182,3.33159529,0.00325745,0.13598371,1.13199966,0.00198825
-5.47173587,4.39853261,2.18684236,3.39811017,0.00330070,0.13377386,1.11541175,0.00205398
