energy_ev,total_up,Ag_p_up,Ag_d_up,Se_s_up,Se_p_up,Sn_p_up,Sn_d_up
-6.00000000,2.55229184,1.56192099,1.64207265,0.02285736,0.51836834,0.13152817,0.00033842
-5.99399700,2.59020252,1.61520897,1.65890276,0.02369731,0.52768097,0.13587976,0.00034468
-5.98799400,2.62686158,1.66272280,1.67775289,0.02444287,0.53493121,0.13967411,0.00035019
-5.98199100,2.66241133,1.70416677,1.69874659,0.02508569,0.54012927,0.14288581,0.00035499
-5.97598799,2.69711905,1.73940159,1.72205608,0.02562105,0.54332765,0.14550586,0.00035912
-5.96998499,2.73136038,1.76844455,1.74789083,0.02604808,0.54461864,0.14754164,0.00036268
-5.96398199,2.76559503,1.79146266,1.77648151,0.02636987,0.54413040,0.14901624,0.00036573
-5.95797899,2.80033569,1.80875911,1.80805983,0.02659343,0.54202160,0.14996709,0.00036840
-5.95197599,2.83611123,1.82075336,1.84283506,0.02672956,0.53847496,0.15044406,0.00037081
-5.94597299,2.87342600,1.82795607,1.88096833,0.02679266,0.53368971,0.15050696,0.00037306
-5.93996998,2.91271746,1.83093991,1.92254635,0.02680030,0.52787355,0.15022278,0.00037529
-5.93396698,2.95431453,1.83030807,1.96755612,0.02677286,0.52123436,0.14966255,0.00037760
-5.92796398,2.99839942,1.82666205,2.01586248,0.02673292,0.51397203,0.14889828,0.00038009
-5.92196098,3.04497541,1.82057062,2.06719021,0.02670474,0.50627088,0.14799982,0.00038284
-5.91595798,3.09384298,1.81254169,2.12111231,0.02671355,0.49829305,0.14703212,0.00038590
-5.90995498,3.14458619,1.80299877,2.17704567,0.02678492,0.49017315,0.14605272,0.00038930
-5.90395198,3.19657082,1.79226320,2.23425497,0.02694406,0.48201448,0.14510982,0.00039305
-5.89794897,3.24895469,1.78054320,2.29186530,0.02721512,0.47388702,0.14424087,0.00039712
-5.89194597,3.30071035,1.76793029,2.34888307,0.02762052,0.46582725,0.14347177,0.00040146
-5.88594297,3.35065906,1.75440296,2.40422470,0.02818031,0.45783973,0.14281669,0.00040598
-5.87993997,3.39751453,1.73983742,2.45675160,0.02891157,0.44990045,0.14227845,0.00041060
-5.87393697,3.43993408,1.72402434,2.50530984,0.02982780,0.44196156,0.14184940,0.00041521
-5.86793397,3.47657443,1.70669050,2.54877233,0.03093847,0.43395729,0.14151278,0.00041966
-5.86193097,3.50614900,1.68752388,2.58608124,0.03224852,0.42581060,0.14124426,0.00042385
-5.85592796,3.52748343,1.66620031,2.61628830,0.03375797,0.41744021,0.14101382,0.00042762
-5.84992496,3.53956617,1.64241030,2.63859071,0.03546168,0.40876749,0.14078756,0.00043086
-5.84392196,3.54159135,1.61588399,2.65236071,0.03734908,0.39972296,0.14052956,0.00043345
-5.83791896,3.53299151,1.58641308,2.65716715,0.03940410,0.39025181,0.14020355,0.00043528
-5.83191596,3.51345868,1.55386835,2.65278803,0.04160520,0.38031836,0.13977436,0.00043627
-5.82591296,3.48295268,1.51821191,2.63921346,0.04392552,0.36990911,0.13920920,0.00043634
-5.81990995,3.44169683,1.47950377,2.61663916,0.04633319,0.35903431,0.13847849,0.00043545
-5.81390695,3.39016146,1.43790253,2.58545106,0.04879182,0.34772801,0.13755661,0.00043355
-5.80790395,3.32903690,1.39366061,2.54620233,0.05126111,0.33604667,0.13642222,0.00043064
-5.80190095,3.25919780,1.34711451,2.49958431,0.05369768,0.32406655,0.13505850,0.00042671
-5.79589795,3.18166120,1.29867108,2.44639326,0.05605602,0.31187998,0.13345319,0.00042178
-5.78989495,3.09754117,1.24879084,2.38749506,0.05828952,0.29959091,0.13159848,0.00041588
-5.78389195,3.00800259,1.19796956,2.32378972,0.06035174,0.28731008,0.12949098,0.00040904
-5.77788894,2.91421676,1.14671932,2.25617787,0.06219763,0.27514990,0.12713155,0.00040132
-5.77188594,2.81732100,1.09555012,2.18553062,0.06378482,0.26321968,0.12452528,0.00039275
-5.76588294,2.71838426,1.04495302,2.11266437,0.06507489,0.25162117,0.12168147,0.00038340
-5.75987994,2.61837986,0.99538567,2.03832122,0.06603455,0.24044483,0.11861368,0.00037331
-5.75387694,2.51816619,0.94726074,1.96315559,0.06663672,0.22976684,0.11533979,0.00036255
-5.74787394,2.41847549,0.90093752,1.88772704,0.06686139,0.21964713,0.11188208,0.00035118
-5.74187094,2.31991043,0.85671682,1.81249891,0.06669631,0.21012822,0.10826735,0.00033925
-5.73586793,2.22294749,0.81483894,1.73784201,0.06613739,0.20123511,0.10452679,0.00032684
-5.72986493,2.12794611,0.77548444,1.66404262,0.06518883,0.19297584,0.10069591,0.00031399
-5.72386193,2.03516226,0.73877718,1.59131339,0.06386302,0.18534289,0.09681415,0.00030077
-5.71785893,1.94476471,0.70478905,1.51980630,0.06218006,0.17831508,0.09292439,0.00028726
-5.71185593,1.85685279,0.67354581,1.44962629,0.06016712,0.17185983,0.08907218,0.00027353
-5.70585293,1.77147404,0.64503349,1.38084473,0.05785750,0.16593569,0.08530480,0.00025964
-5.69984992,1.68864079,0.61920469,1.31351176,0.05528957,0.16049488,0.08167002,0.00024567
-5.69384692,1.60834457,0.59598447,1.24766686,0.05250551,0.15548578,0.07821479,0.00023169
-5.68784392,1.53056788,0.57527538,1.18334728,0.04955001,0.15085518,0.07498379,0.00021778
-5.68184092,1.45529285,0.55696152,1.12059406,0.04646895,0.14655023,0.07201778,0.00020401
-5.67583792,1.38250688,0.54091145,1.05945562,0.04330806,0.14252006,0.06935220,0.00019045
-5.66983492,1.31220530,0.52698011,0.99998915,0.04011175,0.13871695,0.06701560,0.00017718
-5.66383192,1.24439144,0.51500980,0.94226005,0.03692197,0.13509719,0.06502843,0.00016424
-5.65782891,1.17907471,0.50483040,0.88633984,0.03377736,0.13162151,0.06340193,0.00015171
-5.65182591,1.11626715,0.49625930,0.83230295,0.03071242,0.12825525,0.06213744,0.00013962
-5.64582291,1.05597911,0.48910116,0.78022290,0.02775706,0.12496816,0.06122591,0.00012803
-5.63981991,0.99821472,0.48314792,0.73016821,0.02493620,0.12173417,0.06064797,0.00011697
-5.63381691,0.94296745,0.47817927,0.68219856,0.02226968,0.11853086,0.06037422,0.00010647
-5.62781391,0.89021655,0.47396384,0.63636132,0.01977231,0.11533904,0.06036610,0.00009655
-5.62181091,0.83992432,0.47026137,0.59268888,0.01745404,0.11214224,0.06057699,0.00008723
-5.61580790,0.79203475,0.46682574,0.55119675,0.01532036,0.10892626,0.06095371,0.00007851
-5.60980490,0.74647338,0.46340908,0.51188272,0.01337267,0.10567889,0.06143829,0.00007039
-5.60380190,0.70314860,0.45976662,0.47472677,0.01160888,0.10238970,0.06196998,0.00006286
-5.59779890,0.66195404,0.45566244,0.43969202,0.01002389,0.09905003,0.06248727,0.00005592
-5.59179590,0.62277209,0.45087552,0.40672638,0.00861022,0.09565300,0.06293010,0.00004955
-5.58579290,0.58547823,0.44520606,0.37576478,0.00735855,0.09219383,0.06324187,0.00004374
-5.57978989,0.54994584,0.43848169,0.34673196,0.00625825,0.08867008,0.06337141,0.00003845
-5.57378689,0.51605131,0.43056314,0.31954554,0.00529792,0.08508207,0.06327468,0.00003367
