energy_ev,total_up,Ir_p_up,Ir_d_up,Sn_p_up,Sn_d_up,Te_p_up,Te_d_up
-6.00000000,3.52975044,1.21513394,2.60051084,0.91834711,0.00225095,0.20186385,0.00000000
-5.99399700,3.51769805,1.20712406,2.59521408,0.91618491,0.00221308,0.20328664,0.00000000
-5.98799400,3.50058546,1.19828098,2.58598657,0.91302556,0.00217121,0.20386346,0.00000000
-5.98199100,3.47727185,1.18822661,2.57197632,0.90850408,0.00212497,0.20353865,0.00000000
-5.97598799,3.44678303,1.17662777,2.55244424,0.90232289,0.00207406,0.20227922,0.00000000
-5.96998499,3.40834664,1.16320759,2.52679117,0.89426060,0.00201834,0.20007595,0.00000000
-5.96398199,3.36142011,1.14775512,2.49457995,0.88417779,0.00195778,0.19694368,0.00000000
-5.95797899,3.30571055,1.13013314,2.45555167,0.87201973,0.00189250,0.19292095,0.00000000
-5.95197599,3.24118577,1.11028358,2.40963538,0.85781597,0.00182278,0.18806904,0.00000000
-5.94597299,3.16807629,1.08823067,2.35695119,0.84167704,0.00174900,0.18247025,0.00000000
-5.93996998,3.08686833,1.06408150,2.29780654,0.82378852,0.00167170,0.17622575,0.00000000
-5.93396698,2.99828836,1.03802410,2.23268610,0.80440278,0.00159151,0.16945290,0.00000000
-5.92796398,2.90328005,1.01032302,2.16223585,0.78382886,0.00150916,0.16228220,0.00000000
-5.92196098,2.80297460,0.98131258,2.08724207,0.76242094,0.00142544,0.15485400,0.00000000
-5.91595798,2.69865580,0.95138798,2.00860630,0.74056592,0.00134122,0.14731501,0.00000000
-5.90995498,2.59172123,0.92099449,1.92731722,0.71867051,0.00125735,0.13981481,0.00000000
-5.90395198,2.48364107,0.89061510,1.84442074,0.69714834,0.00117473,0.13250231,0.00000000
-5.89794897,2.37591582,0.86075686,1.76098935,0.67640744,0.00109419,0.12552238,0.00000000
-5.89194597,2.27003454,0.83193641,1.67809173,0.65683847,0.00101656,0.11901263,0.00000000
-5.88594297,2.16743458,0.80466491,1.59676375,0.63880388,0.00094259,0.11310042,0.00000000
-5.87993997,2.06946400,0.77943299,1.51798156,0.62262828,0.00087294,0.10790011,0.00000000
-5.87393697,1.97734757,0.75669580,1.44263761,0.60859009,0.00080820,0.10351065,0.00000000
-5.86793397,1.89215699,0.73685889,1.37151990,0.59691458,0.00074884,0.10001348,0.00000000
-5.86193097,1.81478586,0.72026499,1.30529512,0.58776827,0.00069523,0.09747070,0.00000000
-5.85592796,1.74592988,0.70718223,1.24449569,0.58125481,0.00064761,0.09592366,0.00000000
-5.84992496,1.68607237,0.69779408,1.18951088,0.57741215,0.00060612,0.09539191,0.00000000
-5.84392196,1.63547530,0.69219131,1.14058208,0.57621124,0.00057075,0.09587248,0.00000000
-5.83791896,1.59417601,0.69036635,1.09780198,0.57755603,0.00054141,0.09733965,0.00000000
-5.83191596,1.56198933,0.69221018,1.06111767,0.58128487,0.00051788,0.09974510,0.00000000
-5.82591296,1.53851531,0.69751205,1.03033728,0.58717338,0.00049985,0.10301854,0.00000000
-5.81990995,1.52315223,0.70596215,1.00514018,0.59493875,0.00048692,0.10706885,0.00000000
-5.81390695,1.51511482,0.71715732,0.98509014,0.60424557,0.00047861,0.11178573,0.00000000
-5.80790395,1.51345728,0.73060976,0.96965144,0.61471304,0.00047438,0.11704183,0.00000000
-5.80190095,1.51710085,0.74575861,0.95820738,0.62592373,0.00047364,0.12269543,0.00000000
-5.79589795,1.52486535,0.76198432,0.95008093,0.63743370,0.00047578,0.12859361,0.00000000
-5.78989495,1.53550404,0.77862523,0.94455694,0.64878382,0.00048016,0.13457584,0.00000000
-5.78389195,1.54774107,0.79499618,0.94090548,0.65951208,0.00048618,0.14047789,0.00000000
-5.77788894,1.56031045,0.81040829,0.93840578,0.66916674,0.00049323,0.14613609,0.00000000
-5.77188594,1.57199556,0.82418960,0.93636999,0.67731966,0.00050076,0.15139163,0.00000000
-5.76588294,1.58166796,0.83570552,0.93416620,0.68357969,0.00050829,0.15609491,0.00000000
-5.75987994,1.58832411,0.84437854,0.93123994,0.68760541,0.00051540,0.16010974,0.00000000
-5.75387694,1.59111887,0.84970641,0.92713347,0.68911687,0.00052176,0.16331719,0.00000000
-5.74787394,1.58939431,0.85127795,0.92150213,0.68790568,0.00052715,0.16561897,0.00000000
-5.74187094,1.58270269,0.84878596,0.91412711,0.68384315,0.00053146,0.16694025,0.00000000
-5.73586793,1.57082271,0.84203668,0.90492407,0.67688594,0.00053467,0.16723170,0.00000000
