energy_ev,total_up,Pb_p_up,Pb_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,4.84271474,0.37534302,0.00682771,0.00076279,3.41064772,3.71885759,1.29515013
-5.99399700,4.79297635,0.36965054,0.00676733,0.00076782,3.37991824,3.70466503,1.28212526
-5.98799400,4.74230021,0.36278531,0.00668407,0.00077496,3.35061203,3.69168616,1.27314279
-5.98199100,4.69245880,0.35487799,0.00658034,0.00078438,3.32396431,3.68131603,1.26866672
-5.97598799,4.64522190,0.34607238,0.00645891,0.00079619,3.30117801,3.67490613,1.26908548
-5.96998499,4.60230662,0.33652142,0.00632292,0.00081042,3.28338923,3.67372148,1.27469987
-5.96398199,4.56532540,0.32638289,0.00617576,0.00082701,3.27163175,3.67889718,1.28571170
-5.95797899,4.53573460,0.31581507,0.00602098,0.00084581,3.26680231,3.69139672,1.30221391
-5.95197599,4.51478618,0.30497244,0.00586222,0.00086658,3.26962863,3.71197392,1.32418273
-5.94597299,4.50348515,0.29400165,0.00570308,0.00088898,3.28064179,3.74114086,1.35147265
-5.93996998,4.50255514,0.28303798,0.00554706,0.00091261,3.30015494,3.77914357,1.38381481
-5.93396698,4.51241421,0.27220239,0.00539745,0.00093693,3.32824940,3.82594713,1.42081910
-5.92796398,4.53316212,0.26159928,0.00525728,0.00096140,3.36476948,3.88123115,1.46198053
-5.92196098,4.56458023,0.25131505,0.00512921,0.00098537,3.40932630,3.94439644,1.50668958
-5.91595798,4.60614382,0.24141750,0.00501551,0.00100819,3.46131074,4.01458255,1.55424671
-5.90995498,4.65704647,0.23195599,0.00491801,0.00102919,3.51991507,4.09069577,1.60388041
-5.90395198,4.71623506,0.22296239,0.00483805,0.00104773,3.58416209,4.17144626,1.65476814
-5.89794897,4.78245363,0.21445266,0.00477649,0.00106318,3.65294052,4.25539267,1.70605951
-5.89194597,4.85429378,0.20642894,0.00473369,0.00107501,3.72504478,4.34099212,1.75690056
-5.88594297,4.93024893,0.19888205,0.00470955,0.00108278,3.79921725,4.42665319,1.80645819
-5.87993997,5.00876979,0.19179419,0.00470348,0.00108615,3.87419093,4.51078956,1.85394361
-5.87393697,5.08831826,0.18514170,0.00471447,0.00108494,3.94873043,4.59187166,1.89863390
-5.86793397,5.16741746,0.17889779,0.00474114,0.00107911,4.02166960,4.66847442,1.93989055
-5.86193097,5.24469555,0.17303497,0.00478175,0.00106877,4.09194400,4.73931879,1.97717448
-5.85592796,5.31892185,0.16752725,0.00483427,0.00105420,4.15861727,4.80330580,2.01005683
-5.84992496,5.38903399,0.16235189,0.00489646,0.00103584,4.22090022,4.85954180,2.03822521
-5.84392196,5.45415562,0.15749069,0.00496590,0.00101428,4.27816251,4.90735443,2.06148539
-5.83791896,5.51360443,0.15293082,0.00504005,0.00099024,4.32993676,4.94629898,2.07975850
-5.83191596,5.56689101,0.14866514,0.00511635,0.00096456,4.37591549,4.97615565,2.09307414
-5.82591296,5.61370933,0.14469208,0.00519224,0.00093813,4.41594147,4.99691813,2.10155993
-5.81990995,5.65391992,0.14101509,0.00526524,0.00091194,4.44999251,5.00877464,2.10542805
-5.81390695,5.68752717,0.13764173,0.00533300,0.00088697,4.47816166,5.01208265,2.10495972
-5.80790395,5.71465215,0.13458246,0.00539333,0.00086420,4.50063405,5.00733852,2.10048819
-5.80190095,5.73550247,0.13184925,0.00544427,0.00084456,4.51766150,4.99514371,2.09238110
-5.79589795,5.75034066,0.12945398,0.00548410,0.00082890,4.52953618,4.97616882,2.08102295
-5.78989495,5.75945251,0.12740688,0.00551139,0.00081796,4.53656426,4.95111713,2.06679840
-5.78389195,5.76311649,0.12571488,0.00552499,0.00081233,4.53904080,4.92068876,2.05007675
-5.77788894,5.76157561,0.12438018,0.00552404,0.00081245,4.53722653,4.88554697,2.03119836
-5.77188594,5.75501244,0.12339887,0.00550799,0.00081858,4.53132751,4.84628758,2.01046313
-5.76588294,5.74352840,0.12275988,0.00547657,0.00083077,4.52147830,4.80341267,1.98812148
-5.75987994,5.72712796,0.12244413,0.00542979,0.00084889,4.50772918,4.75730936,1.96436785
-5.75387694,5.70570825,0.12242408,0.00536789,0.00087258,4.49003800,4.70823451,1.93933699
-5.74787394,5.67905475,0.12266359,0.00529134,0.00090133,4.46826692,4.65630596,1.91310282
-5.74187094,5.64684320,0.12311822,0.00520080,0.00093440,4.44218439,4.60150059,1.88568009
-5.73586793,5.60864800,0.12373590,0.00509705,0.00097093,4.41147234,4.54365952,1.85702851
-5.72986493,5.56395706,0.12445798,0.00498104,0.00100991,4.37573872,4.48250038,1.82705921
-5.72386193,5.51219267,0.12522064,0.00485379,0.00105021,4.33453490,4.41763632,1.79564349
-5.71785893,5.45273814,0.12595665,0.00471636,0.00109066,4.28737770,4.34860112,1.76262320
-5.71185593,5.38496904,0.12659738,0.00456989,0.00113004,4.23377517,4.27487963,1.72782281
-5.70585293,5.30828835,0.12707493,0.00441551,0.00116712,4.17325537,4.19594228,1.69106231
-5.69984992,5.22216380,0.12732449,0.00425438,0.00120075,4.10539697,4.11128220,1.65217089
-5.69384692,5.12616602,0.12728655,0.00408765,0.00122985,4.02986027,4.02045337,1.61100042
-5.68784392,5.02000571,0.12690912,0.00391645,0.00125344,3.94641738,3.92310802,1.56743859
-5.68184092,4.90356786,0.12614966,0.00374191,0.00127070,3.85497997,3.81903134,1.52142077
-5.67583792,4.77694138,0.12497678,0.00356515,0.00128101,3.75562304,3.70817178,1.47294032
-5.66983492,4.64044211,0.12337149,0.00338730,0.00128391,3.64860342,3.59066528,1.42205667
-5.66383192,4.49462796,0.12132799,0.00320944,0.00127916,3.53437174,3.46685195,1.36890075
-5.65782891,4.34030479,0.11885402,0.00303269,0.00126675,3.41357687,3.33728407,1.31367755
-5.65182591,4.17852227,0.11597058,0.00285814,0.00124685,3.28706225,3.20272485,1.25666545
-5.64582291,4.01055942,0.11271123,0.00268686,0.00121985,3.15585393,3.06413759,1.19821241
-5.63981991,3.83789996,0.10912073,0.00251993,0.00118632,3.02114030,2.92266549,1.13872900
-5.63381691,3.66219818,0.10525343,0.00235837,0.00114699,2.88424432,2.77960285,1.07867855
-5.62781391,3.48523653,0.10117109,0.00220317,0.00110272,2.74658906,2.63635884,1.01856480
-5.62181091,3.30887648,0.09694059,0.00205527,0.00105445,2.60965797,2.49441523,0.95891759
-5.61580790,3.13500477,0.09263135,0.00191551,0.00100322,2.47495142,2.35528005,0.90027715
-5.60980490,2.96547710,0.08831274,0.00178466,0.00095005,2.34394141,2.22043910,0.84317761
-5.60380190,2.80206183,0.08405160,0.00166337,0.00089600,2.21802624,2.09130744,0.78813055
-5.59779890,2.64638588,0.07990983,0.00155212,0.00084206,2.09848728,1.96918295,0.73560918
-5.59179590,2.49988531,0.07594235,0.00145131,0.00078915,1.98644938,1.85520402,0.68603387
-5.58579290,2.36376248,0.07219536,0.00136112,0.00073810,1.88284688,1.75031288,0.63975950
-5.57978989,2.23895168,0.06870505,0.00128159,0.00068963,1.78839640,1.65522640,0.59706529
-5.57378689,2.12609449,0.06549677,0.00121260,0.00064431,1.70357760,1.57041509,0.55814735
-5.56778389,2.02552577,0.06258467,0.00115384,0.00060257,1.62862258,1.49609136,0.52311422
-5.56178089,1.93727081,0.05997183,0.00110484,0.00056472,1.56351422,1.43220704,0.49198551
-5.55577789,1.86105336,0.05765081,0.00106499,0.00053088,1.50799342,1.37846037,0.46469371
-5.54977489,1.79631422,0.05560468,0.00103355,0.00050108,1.46157469,1.33431170,0.44108886
-5.54377189,1.74223915,0.05380828,0.00100965,0.00047519,1.42356936,1.29900721,0.42094592
-5.53776888,1.69779489,0.05222982,0.00099234,0.00045299,1.39311514,1.27160944,0.40397448
-5.53176588,1.66177157,0.05083261,0.00098062,0.00043415,1.36921079,1.25103330,0.38983029
-5.52576288,1.63282955,0.04957692,0.00097343,0.00041828,1.35075423,1.23608588,0.37812826
-5.51975988,1.60954866,0.04842182,0.00096973,0.00040494,1.33658251,1.22550853,0.36845614
-5.51375688,1.59047788,0.04732691,0.00096847,0.00039365,1.32551190,1.21801929,0.36038867
-5.50775388,1.57418333,0.04625396,0.00096868,0.00038391,1.31637654,1.21235432,0.35350131
-5.50175088,1.55929282,0.04516830,0.00096943,0.00037525,1.30806410,1.20730646,0.34738336
-5.49574787,1.54453529,0.04403995,0.00096988,0.00036721,1.29954729,1.20175979,0.34164978
-5.48974487,1.52877398,0.04284448,0.00096931,0.00035937,1.28991004,1.19471893,0.33595144
-5.48374187,1.51103220,0.04156357,0.00096710,0.00035138,1.27836774,1.18533229,0.32998348
-5.47773887,1.49051131,0.04018522,0.00096275,0.00034291,1.26428108,1.17290862,0.32349158
-5.47173587,1.46660061,0.03870374,0.00095587,0.00033375,1.24716333,1.15692674,0.31627595
-5.46573287,1.43887952,0.03711946,0.00094621,0.00032370,1.22668147,1.13703841,0.30819317
-5.45972986,1.40711242,0.03543817,0.00093362,0.00031266,1.20265136,1.11306475,0.29915576
-5.45372686,1.37123717,0.03367047,0.00091805,0.00030060,1.17502800,1.08498686,0.28912988
-5.44772386,1.33134832,0.03183090,0.00089954,0.00028754,1.14389158,1.05293147,0.27813118
-5.44172086,1.28767632,0.02993711,0.00087822,0.00027354,1.10943048,1.01715260,0.26621923
-5.43571786,1.24056398,0.02800887,0.00085426,0.00025873,1.07192222,0.97801042,0.25349092
-5.42971486,1.19044167,0.02606724,0.00082791,0.00024325,1.03171350,0.93594838,0.24007299
-5.42371186,1.13780234,0.02413374,0.00079943,0.00022729,0.98920036,0.89146979,0.22611430
-5.41770885,1.08317761,0.02222961,0.00076912,0.00021105,0.94480928,0.84511494,0.21177803
-5.41170585,1.02711586,0.02037525,0.00073726,0.00019473,0.89897997,0.79743950,0.19723425
-5.40570285,0.97016299,0.01858979,0.00070418,0.00017855,0.85215045,0.74899522,0.18265303
-5.39969985,0.91284642,0.01689079,0.00067016,0.00016270,0.80474465,0.70031321,0.16819838
-5.39369685,0.85566242,0.01529419,0.00063548,0.00014737,0.75716277,0.65189043,0.15402320
-5.38769385,0.79906700,0.01381434,0.00060043,0.00013276,0.70977435,0.60417926,0.14026528
-5.38169085,0.74347003,0.01246417,0.00056525,0.00011901,0.66291378,0.55758040,0.12704445
-5.37568784,0.68923233,0.01125556,0.00053016,0.00010626,0.61687811,0.51243874,0.11446074
