energy_ev,total_up,Mo_p_up,Mo_d_up,Pb_p_up,Pb_d_up,Te_p_up,Te_d_up
-6.00000000,2.26426346,2.23220905,1.04935026,0.28713405,0.00841579,1.36887193,0.00000000
-5.99399700,2.30074994,2.26221317,1.07154210,0.30134203,0.00840876,1.37696843,0.00000000
-5.98799400,2.34298895,2.29483967,1.09724275,0.31737077,0.00841062,1.38688518,0.00000000
-5.98199100,2.39133988,2.33058498,1.12653335,0.33522765,0.00842404,1.39889783,0.00000000
-5.97598799,2.44595482,2.36977701,1.15939685,0.35485550,0.00845109,1.41321024,0.00000000
-5.96998499,2.50674061,2.41253604,1.19570009,0.37612867,0.00849310,1.42993058,0.00000000
-5.96398199,2.57333143,2.45874521,1.23518109,0.39885170,0.00855055,1.44905230,0.00000000
-5.95797899,2.64507397,2.50803256,1.27744233,0.42276046,0.00862297,1.47044139,0.00000000
-5.95197599,2.72102674,2.55976612,1.32195073,0.44752615,0.00870893,1.49383076,0.00000000
-5.94597299,2.79997391,2.61306263,1.36804486,0.47276196,0.00880603,1.51882223,0.00000000
-5.93996998,2.88045386,2.66681015,1.41494901,0.49803234,0.00891097,1.54489630,0.00000000
-5.93396698,2.96080120,2.71970342,1.46179404,0.52286457,0.00901970,1.57142905,0.00000000
-5.92796398,3.03920074,2.77029062,1.50764376,0.54676227,0.00912749,1.59771552,0.00000000
-5.92196098,3.11375079,2.81702921,1.55152602,0.56922034,0.00922918,1.62299823,0.00000000
-5.91595798,3.18253271,2.85834801,1.59246667,0.58974083,0.00931937,1.64649916,0.00000000
-5.90995498,3.24368341,2.89271229,1.62952489,0.60784893,0.00939264,1.66745344,0.00000000
-5.90395198,3.29546694,2.91868862,1.66182808,0.62310867,0.00944377,1.68514284,0.00000000
-5.89794897,3.33634158,2.93500586,1.68860431,0.63513741,0.00946797,1.69892706,0.00000000
-5.89194597,3.36501893,2.94060928,1.70921080,0.64361868,0.00946110,1.70827105,0.00000000
-5.88594297,3.38051202,2.93470491,1.72315697,0.64831273,0.00941979,1.71276688,0.00000000
-5.87993997,3.38217004,2.91679203,1.73012066,0.64906438,0.00934165,1.71214890,0.00000000
-5.87393697,3.36969807,2.88668210,1.72995701,0.64580777,0.00922527,1.70630151,0.00000000
-5.86793397,3.34316104,2.84450369,1.72269947,0.63856797,0.00907036,1.69525914,0.00000000
-5.86193097,3.30297209,2.79069318,1.70855309,0.62745927,0.00887769,1.67919886,0.00000000
-5.85592796,3.24986643,2.72597243,1.68788067,0.61268035,0.00864905,1.65842603,0.00000000
-5.84992496,3.18486231,2.65131477,1.66118272,0.59450662,0.00838720,1.63335424,0.00000000
-5.84392196,3.10921189,2.56790165,1.62907238,0.57328014,0.00809568,1.60448090,0.00000000
-5.83791896,3.02434474,2.47707257,1.59224705,0.54939751,0.00777874,1.57236015,0.00000000
-5.83191596,2.93180740,2.38027104,1.55145822,0.52329646,0.00744108,1.53757469,0.00000000
-5.82591296,2.83320221,2.27898974,1.50748119,0.49544166,0.00708776,1.50070845,0.00000000
-5.81990995,2.73012879,2.17471747,1.46108641,0.46631043,0.00672395,1.46232155,0.00000000
-5.81390695,2.62413071,2.06889061,1.41301372,0.43637884,0.00635478,1.42292896,0.00000000
-5.80790395,2.51665002,1.96285102,1.36395071,0.40610892,0.00598522,1.38298386,0.00000000
-5.80190095,2.40899114,1.85781214,1.31451596,0.37593715,0.00561987,1.34286644,0.00000000
-5.79589795,2.30229505,1.75483405,1.26524763,0.34626488,0.00526294,1.30287825,0.00000000
-5.78989495,2.19752435,1.65480792,1.21659743,0.31745064,0.00491808,1.26324212,0.00000000
-5.78389195,2.09545843,1.55844969,1.16892979,0.28980467,0.00458840,1.22410695,0.00000000
-5.77788894,1.99669797,1.46630209,1.12252537,0.26358544,0.00427640,1.18555670,0.00000000
-5.77188594,1.90167719,1.37874391,1.07758843,0.23899831,0.00398400,1.14762245,0.00000000
-5.76588294,1.81068199,1.29600498,1.03425665,0.21619594,0.00371253,1.11029629,0.00000000
-5.75987994,1.72387201,1.21818524,0.99261271,0.19528034,0.00346279,1.07354593,0.00000000
-5.75387694,1.64130451,1.14527621,0.95269618,0.17630613,0.00323510,1.03732870,0.00000000
-5.74787394,1.56295821,1.07718311,0.91451510,0.15928485,0.00302934,1.00160405,0.00000000
-5.74187094,1.48875545,1.01374641,0.87805609,0.14418987,0.00284503,0.96634353,0.00000000
-5.73586793,1.41858129,0.95476141,0.84329267,0.13096179,0.00268139,0.93153795,0.00000000
-5.72986493,1.35229884,0.89999508,0.81019123,0.11951377,0.00253738,0.89720113,0.00000000
-5.72386193,1.28976022,0.84919968,0.77871461,0.10973697,0.00241176,0.86337050,0.00000000
-5.71785893,1.23081327,0.80212284,0.74882339,0.10150555,0.00230314,0.83010464,0.00000000
-5.71185593,1.17530436,0.75851431,0.72047519,0.09468142,0.00221002,0.79747834,0.00000000
-5.70585293,1.12307793,0.71812972,0.69362250,0.08911847,0.00213080,0.76557588,0.00000000
-5.69984992,1.07397370,0.68073190,0.66820955,0.08466636,0.00206386,0.73448311,0.00000000
-5.69384692,1.02782264,0.64609032,0.64416896,0.08117384,0.00200750,0.70427939,0.00000000
-5.68784392,0.98444256,0.61397961,0.62141860,0.07849161,0.00196003,0.67502996,0.00000000
-5.68184092,0.94363438,0.58417764,0.59985937,0.07647488,0.00191979,0.64677949,0.00000000
-5.67583792,0.90517989,0.55646377,0.57937427,0.07498546,0.00188510,0.61954739,0.00000000
-5.66983492,0.86884145,0.53061795,0.55982896,0.07389373,0.00185437,0.59332512,0.00000000
-5.66383192,0.83436410,0.50642078,0.54107405,0.07308026,0.00182605,0.56807581,0.00000000
-5.65782891,0.80148002,0.48365484,0.52294902,0.07243731,0.00179869,0.54373615,0.00000000
-5.65182591,0.76991527,0.46210722,0.50528760,0.07187009,0.00177096,0.52022017,0.00000000
-5.64582291,0.73939837,0.44157318,0.48792422,0.07129796,0.00174166,0.49742492,0.00000000
-5.63981991,0.70967012,0.42186057,0.47070129,0.07065534,0.00170976,0.47523718,0.00000000
-5.63381691,0.68049414,0.40279486,0.45347666,0.06989258,0.00167442,0.45354105,0.00000000
-5.62781391,0.65166732,0.38422421,0.43613088,0.06897657,0.00163498,0.43222559,0.00000000
-5.62181091,0.62302959,0.36602425,0.41857385,0.06789123,0.00159102,0.41119214,0.00000000
-5.61580790,0.59447231,0.34810240,0.40075040,0.06663771,0.00154232,0.39036076,0.00000000
-5.60980490,0.56594495,0.33040107,0.38264446,0.06523451,0.00148888,0.36967550,0.00000000
-5.60380190,0.53745961,0.31289994,0.36428177,0.06371731,0.00143095,0.34910812,0.00000000
-5.59779890,0.50909317,0.29561686,0.34573091,0.06213862,0.00136895,0.32866023,0.00000000
-5.59179590,0.48098726,0.27860758,0.32710270,0.06056733,0.00130352,0.30836367,0.00000000
-5.58579290,0.45334593,0.26196417,0.30854813,0.05908799,0.00123547,0.28827939,0.00000000
-5.57978989,0.42643149,0.24581244,0.29025501,0.05780005,0.00116575,0.26849492,0.00000000
-5.57378689,0.40055867,0.23030842,0.27244353,0.05681684,0.00109544,0.24912065,0.00000000
-5.56778389,0.37608770,0.21563418,0.25536121,0.05626457,0.00102570,0.23028540,0.00000000
-5.56178089,0.35341653,0.20199319,0.23927722,0.05628106,0.00095779,0.21213133,0.00000000
-5.55577789,0.33297265,0.18960549,0.22447675,0.05701439,0.00089301,0.19480887,0.00000000
-5.54977489,0.31520488,0.17870279,0.21125528,0.05862138,0.00083265,0.17847167,0.00000000
