energy_ev,total_up,Pb_p_up,Pb_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,3.17544054,0.36023723,0.00969624,1.15918193,2.71189716,0.23891104,0.00000000
-5.99399700,3.15771231,0.35310739,0.00962092,1.18689627,2.68504655,0.24180513,0.00000000
-5.98799400,3.13969313,0.34479252,0.00956838,1.21070093,2.65923210,0.24403609,0.00000000
-5.98199100,3.12166244,0.33541475,0.00953850,1.23018109,2.63487971,0.24555304,0.00000000
-5.97598799,3.10383056,0.32510804,0.00953044,1.24497035,2.61233417,0.24631083,0.00000000
-5.96998499,3.08633375,0.31401556,0.00954270,1.25476236,2.59184983,0.24627167,0.00000000
-5.96398199,3.06923504,0.30228713,0.00957315,1.25932168,2.57358698,0.24540687,0.00000000
-5.95797899,3.05253089,0.29007694,0.00961911,1.25849325,2.55761440,0.24369842,0.00000000
-5.95197599,3.03616359,0.27754155,0.00967747,1.25221043,2.54391806,0.24114051,0.00000000
-5.94597299,3.02003912,0.26483820,0.00974477,1.24050082,2.53241583,0.23774080,0.00000000
-5.93996998,3.00404944,0.25212350,0.00981740,1.22348998,2.52297751,0.23352139,0.00000000
-5.93396698,2.98809844,0.23955237,0.00989173,1.20140248,2.51544923,0.22851944,0.00000000
-5.92796398,2.97212994,0.22727730,0.00996428,1.17456041,2.50968107,0.22278743,0.00000000
-5.92196098,2.95615641,0.21544779,0.01003188,1.14337921,2.50555629,0.21639289,0.00000000
-5.91595798,2.94028654,0.20420993,0.01009183,1.10836084,2.50302064,0.20941775,0.00000000
-5.90995498,2.92475013,0.19370599,0.01014204,1.07008453,2.50210984,0.20195717,0.00000000
-5.90395198,2.90991832,0.18407399,0.01018114,1.02919536,2.50297359,0.19411794,0.00000000
-5.89794897,2.89631773,0.17544709,0.01020855,0.98639084,2.50589422,0.18601650,0.00000000
-5.89194597,2.88463703,0.16795282,0.01022457,0.94240601,2.51129857,0.17777654,0.00000000
-5.88594297,2.87572472,0.16171191,0.01023036,0.89799743,2.51976171,0.16952635,0.00000000
-5.87993997,2.87057740,0.15683689,0.01022795,0.85392636,2.53200159,0.16139594,0.00000000
-5.87393697,2.87031818,0.15343025,0.01022016,0.81094176,2.54886399,0.15351401,0.00000000
-5.86793397,2.87616525,0.15158225,0.01021051,0.76976343,2.57129777,0.14600486,0.00000000
-5.86193097,2.88939118,0.15136842,0.01020308,0.73106564,2.60032068,0.13898537,0.00000000
-5.85592796,2.91127412,0.15284673,0.01020236,0.69546183,2.63697676,0.13256203,0.00000000
-5.84992496,2.94304240,0.15605461,0.01021307,0.66349055,2.68228665,0.12682825,0.00000000
-5.84392196,2.98581459,0.16100590,0.01023993,0.63560299,2.73719270,0.12186187,0.00000000
-5.83791896,3.04053722,0.16768786,0.01028747,0.61215255,2.80250107,0.11772307,0.00000000
-5.83191596,3.10792320,0.17605842,0.01035979,0.59338640,2.87882347,0.11445271,0.00000000
-5.82591296,3.18839336,0.18604385,0.01046039,0.57943960,2.96652119,0.11207103,0.00000000
-5.81990995,3.28202437,0.19753700,0.01059192,0.57033160,3.06565436,0.11057700,0.00000000
-5.81390695,3.38850574,0.21039633,0.01075606,0.56596553,3.17593923,0.10994808,0.00000000
-5.80790395,3.50710860,0.22444589,0.01095334,0.56613023,3.29671604,0.11014064,0.00000000
-5.80190095,3.63666843,0.23947630,0.01118307,0.57050510,3.42692986,0.11109091,0.00000000
-5.79589795,3.77558376,0.25524697,0.01144326,0.57866777,3.56512616,0.11271649,0.00000000
-5.78989495,3.92183190,0.27148953,0.01173061,0.59010444,3.70946240,0.11491840,0.00000000
-5.78389195,4.07300223,0.28791238,0.01204058,0.60422284,3.85773639,0.11758368,0.00000000
-5.77788894,4.22634678,0.30420657,0.01236744,0.62036749,4.00743094,0.12058836,0.00000000
-5.77188594,4.37884720,0.32005258,0.01270447,0.63783693,4.15577428,0.12380093,0.00000000
-5.76588294,4.52729591,0.33512803,0.01304408,0.65590263,4.29981430,0.12708592,0.00000000
-5.75987994,4.66838918,0.34911597,0.01337809,0.67382886,4.43650420,0.13030787,0.00000000
-5.75387694,4.79882855,0.36171358,0.01369798,0.69089318,4.56279658,0.13333523,0.00000000
-5.74787394,4.91542691,0.37264079,0.01399514,0.70640681,4.67574226,0.13604425,0.00000000
-5.74187094,5.01521492,0.38164868,0.01426122,0.71973429,4.77258981,0.13832275,0.00000000
-5.73586793,5.09554347,0.38852713,0.01448839,0.73031166,4.85088172,0.14007356,0.00000000
-5.72986493,5.15417769,0.39311155,0.01466962,0.73766269,4.90854295,0.14121753,0.00000000
-5.72386193,5.18937854,0.39528825,0.01479895,0.74141251,4.94395797,0.14169608,0.00000000
-5.71785893,5.19996823,0.39499838,0.01487170,0.74129805,4.95603283,0.14147317,0.00000000
-5.71185593,5.18537660,0.39224009,0.01488465,0.73717520,4.94423936,0.14053653,0.00000000
-5.70585293,5.14566642,0.38706886,0.01483618,0.72902208,4.90863948,0.13889837,0.00000000
-5.69984992,5.08153625,0.37959609,0.01472627,0.71693871,4.84988860,0.13659516,0.00000000
-5.69384692,4.99430103,0.36998584,0.01455657,0.70114285,4.76921768,0.13368698,0.00000000
-5.68784392,4.88585117,0.35844998,0.01433027,0.68196241,4.66839513,0.13025597,0.00000000
-5.68184092,4.75859206,0.34524191,0.01405203,0.65982476,4.54967009,0.12640441,0.00000000
-5.67583792,4.61536685,0.33064913,0.01372777,0.63524330,4.41569981,0.12225214,0.00000000
-5.66983492,4.45936599,0.31498498,0.01336446,0.60880200,4.26946448,0.11793360,0.00000000
-5.66383192,4.29402743,0.29857994,0.01296986,0.58113845,4.11417320,0.11359456,0.00000000
-5.65782891,4.12293192,0.28177269,0.01255226,0.55292601,3.95316525,0.10938857,0.00000000
-5.65182591,3.94969746,0.26490140,0.01212017,0.52485581,3.78981077,0.10547328,0.00000000
-5.64582291,3.77787727,0.24829548,0.01168204,0.49761890,3.62741472,0.10200673,0.00000000
-5.63981991,3.61086475,0.23226811,0.01124601,0.47188942,3.46912770,0.09914357,0.00000000
-5.63381691,3.45180871,0.21710957,0.01081966,0.44830882,3.31786665,0.09703142,0.00000000
-5.62781391,3.30354107,0.20308182,0.01040981,0.42747169,3.17624774,0.09580735,0.00000000
-5.62181091,3.16851888,0.19041402,0.01002232,0.40991324,3.04653297,0.09559450,0.00000000
-5.61580790,3.04878136,0.17929939,0.00966203,0.39609872,2.93059130,0.09649894,0.00000000
-5.60980490,2.94592205,0.16989309,0.00933261,0.38641453,2.82987443,0.09860675,0.00000000
-5.60380190,2.86107551,0.16231115,0.00903659,0.38116133,2.74540658,0.10198143,0.00000000
-5.59779890,2.79491747,0.15663037,0.00877535,0.38054879,2.67778709,0.10666161,0.00000000
-5.59179590,2.74767682,0.15288899,0.00854919,0.38469209,2.62720440,0.11265913,0.00000000
-5.58579290,2.71915770,0.15108805,0.00835738,0.39360995,2.59345953,0.11995764,0.00000000
-5.57978989,2.70876980,0.15119323,0.00819828,0.40722429,2.57599711,0.12851162,0.00000000
-5.57378689,2.71556499,0.15313712,0.00806949,0.42536130,2.57394222,0.13824608,0.00000000
-5.56778389,2.73827865,0.15682181,0.00796797,0.44775404,2.58614113,0.14905682,0.00000000
-5.56178089,2.77537416,0.16212169,0.00789019,0.47404664,2.61120446,0.16081151,0.00000000
-5.55577789,2.82508934,0.16888636,0.00783227,0.50379995,2.64755159,0.17335152,0.00000000
-5.54977489,2.88548388,0.17694379,0.00779010,0.53649891,2.69345511,0.18649452,0.00000000
-5.54377189,2.95448714,0.18610351,0.00775950,0.57156154,2.74708490,0.20003802,0.00000000
-5.53776888,3.02994564,0.19615999,0.00773633,0.60834959,2.80655094,0.21376356,0.00000000
-5.53176588,3.10966999,0.20689609,0.00771658,0.64618071,2.86994490,0.22744172,0.00000000
-5.52576288,3.19148084,0.21808674,0.00769646,0.68434215,2.93537988,0.24083778,0.00000000
