energy_ev,total_up,B_p_up,B_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,3.37233897,0.03751846,0.00000000,0.02233829,0.11301166,3.11358131,1.54398872
-5.99399700,3.48033653,0.03845863,0.00000000,0.02249145,0.11516402,3.23318441,1.59491006
-5.98799400,3.58651381,0.03931522,0.00000000,0.02262499,0.11718011,3.35219973,1.64512761
-5.98199100,3.68967112,0.04007698,0.00000000,0.02273583,0.11903337,3.46940721,1.69418143
-5.97598799,3.78857071,0.04073402,0.00000000,0.02282091,0.12069827,3.58351251,1.74157505
-5.96998499,3.88194356,0.04127769,0.00000000,0.02287721,0.12214989,3.69315794,1.78677657
-5.96398199,3.96850125,0.04170053,0.00000000,0.02290185,0.12336372,3.79693938,1.82922309
-5.95797899,4.04695335,0.04199621,0.00000000,0.02289213,0.12431554,3.89342934,1.86832859
-5.95197599,4.11603038,0.04215950,0.00000000,0.02284562,0.12498157,3.98120605,1.90349535
-5.94597299,4.17451183,0.04218623,0.00000000,0.02276027,0.12533881,4.05888757,1.93412854
-5.93996998,4.22125806,0.04207330,0.00000000,0.02263452,0.12536560,4.12516962,1.95965334
-5.93396698,4.25524484,0.04181872,0.00000000,0.02246739,0.12504239,4.17886548,1.97953389
-5.92796398,4.27559843,0.04142171,0.00000000,0.02225854,0.12435254,4.21894569,1.99329290
-5.92196098,4.28162919,0.04088273,0.00000000,0.02200843,0.12328330,4.24457548,2.00053087
-5.91595798,4.27286155,0.04020363,0.00000000,0.02171828,0.12182671,4.25514750,2.00094373
-5.90995498,4.24905829,0.03938771,0.00000000,0.02139012,0.11998041,4.25030777,1.99433766
-5.90395198,4.21023708,0.03843981,0.00000000,0.02102677,0.11774835,4.22997293,1.98064017
-5.89794897,4.15667818,0.03736635,0.00000000,0.02063175,0.11514120,4.19433758,1.95990659
-5.89194597,4.08892200,0.03617539,0.00000000,0.02020918,0.11217653,4.14387071,1.93232142
-5.88594297,4.00775652,0.03487653,0.00000000,0.01976367,0.10887872,4.07930123,1.89819432
-5.87993997,3.91419468,0.03348089,0.00000000,0.01930008,0.10527850,4.00159297,1.85795086
-5.87393697,3.80944284,0.03200089,0.00000000,0.01882338,0.10141222,3.91191049,1.81211845
-5.86793397,3.69486176,0.03045016,0.00000000,0.01833839,0.09732087,3.81157727,1.76130823
-5.86193097,3.57192208,0.02884319,0.00000000,0.01784963,0.09304889,3.70202868,1.70619385
-5.85592796,3.44215673,0.02719513,0.00000000,0.01736108,0.08864280,3.58476205,1.64748834
-5.84992496,3.30711267,0.02552145,0.00000000,0.01687602,0.08414979,3.46128675,1.58592032
-5.84392196,3.16830440,0.02383760,0.00000000,0.01639692,0.07961631,3.33307659,1.52221087
-5.83791896,3.02717170,0.02215870,0.00000000,0.01592534,0.07508671,3.20152726,1.45705214
-5.83191596,2.88504349,0.02049923,0.00000000,0.01546189,0.07060209,3.06792059,1.39108885
-5.82591296,2.74310932,0.01887270,0.00000000,0.01500627,0.06619930,2.93339718,1.32490344
-5.81990995,2.60239952,0.01729147,0.00000000,0.01455735,0.06191016,2.79893848,1.25900542
-5.81390695,2.46377454,0.01576645,0.00000000,0.01411325,0.05776103,2.66535841,1.19382513
-5.80790395,2.32792309,0.01430702,0.00000000,0.01367155,0.05377260,2.53330438,1.12971204
-5.80190095,2.19536859,0.01292086,0.00000000,0.01322946,0.04995989,2.40326665,1.06693702
-5.79589795,2.06648273,0.01161399,0.00000000,0.01278404,0.04633261,2.27559488,1.00569828
-5.78989495,1.94150455,0.01039066,0.00000000,0.01233243,0.04289559,2.15052001,0.94613010
-5.78389195,1.82056345,0.00925354,0.00000000,0.01187201,0.03964946,2.02817958,0.88831362
-5.77788894,1.70370419,0.00820369,0.00000000,0.01140065,0.03659132,1.90864457,0.83228867
-5.77188594,1.59091226,0.00724082,0.00000000,0.01091683,0.03371561,1.79194584,0.77806589
-5.76588294,1.48213780,0.00636334,0.00000000,0.01041977,0.03101479,1.67809837,0.72563826
-5.75987994,1.37731696,0.00556862,0.00000000,0.00990950,0.02848016,1.56712206,0.67499136
-5.75387694,1.27638946,0.00485315,0.00000000,0.00938689,0.02610247,1.45905797,0.62611190
-5.74787394,1.17931179,0.00421271,0.00000000,0.00885361,0.02387248,1.35397942,0.57899411
-5.74187094,1.08606576,0.00364261,0.00000000,0.00831211,0.02178138,1.25199776,0.53364384
-5.73586793,0.99666241,0.00313780,0.00000000,0.00776546,0.01982112,1.15326301,0.49008053
-5.72986493,0.91114171,0.00269306,0.00000000,0.00721728,0.01798454,1.05795998,0.44833694
-5.72386193,0.82956863,0.00230312,0.00000000,0.00667151,0.01626549,0.96630050,0.40845726
-5.71785893,0.75202644,0.00196281,0.00000000,0.00613233,0.01465879,0.87851300,0.37049375
-5.71185593,0.67860809,0.00166710,0.00000000,0.00560394,0.01316010,0.79483031,0.33450257
-5.70585293,0.60940659,0.00141122,0.00000000,0.00509041,0.01176579,0.71547685,0.30053895
-5.69984992,0.54450538,0.00119067,0.00000000,0.00459554,0.01047272,0.64065618,0.26865255
-5.69384692,0.48396933,0.00100130,0.00000000,0.00412275,0.00927811,0.57053997,0.23888296
-5.68784392,0.42783708,0.00083929,0.00000000,0.00367495,0.00817926,0.50525873,0.21125601
-5.68184092,0.37611521,0.00070117,0.00000000,0.00325451,0.00717347,0.44489521,0.18578091
-5.67583792,0.32877448,0.00058382,0.00000000,0.00286318,0.00625784,0.38948046,0.16244842
-5.66983492,0.28574830,0.00048444,0.00000000,0.00250212,0.00542920,0.33899274,0.14123015
-5.66383192,0.24693331,0.00040058,0.00000000,0.00217186,0.00468404,0.29335914,0.12207893
-5.65782891,0.21219197,0.00033003,0.00000000,0.00187239,0.00401852,0.25245973,0.10493011
-5.65182591,0.18135689,0.00027090,0.00000000,0.00160316,0.00342845,0.21613369,0.08970378
-5.64582291,0.15423640,0.00022150,0.00000000,0.00136318,0.00290938,0.18418718,0.07630757
-5.63981991,0.13062113,0.00018038,0.00000000,0.00115109,0.00245663,0.15640221,0.06463995
-5.63381691,0.11029113,0.00014628,0.00000000,0.00096523,0.00206541,0.13254623,0.05459386
-5.62781391,0.09302312,0.00011812,0.00000000,0.00080372,0.00173091,0.11238181,0.04606028
-5.62181091,0.07859755,0.00009495,0.00000000,0.00066453,0.00144840,0.09567604,0.03893182
-5.61580790,0.06680520,0.00007597,0.00000000,0.00054558,0.00121329,0.08220924,0.03310601
-5.60980490,0.05745294,0.00006050,0.00000000,0.00044476,0.00102128,0.07178268,0.02848820
-5.60380190,0.05036861,0.00004795,0.00000000,0.00036001,0.00086838,0.06422504,0.02499400
-5.59779890,0.04540482,0.00003782,0.00000000,0.00028934,0.00075096,0.05939741,0.02255118
-5.59179590,0.04244152,0.00002969,0.00000000,0.00023089,0.00066584,0.05719676,0.02110100
-5.58579290,0.04138737,0.00002319,0.00000000,0.00018294,0.00061026,0.05755773,0.02059885
-5.57978989,0.04217982,0.00001805,0.00000000,0.00014391,0.00058188,0.06045263,0.02101437
-5.57378689,0.04478405,0.00001399,0.00000000,0.00011240,0.00057880,0.06588985,0.02233087
-5.56778389,0.04919060,0.00001082,0.00000000,0.00008717,0.00059950,0.07391045,0.02454416
-5.56178089,0.05541190,0.00000836,0.00000000,0.00006711,0.00064279,0.08458313,0.02766090
-5.55577789,0.06347779,0.00000648,0.00000000,0.00005130,0.00070776,0.09799765,0.03169626
-5.54977489,0.07342998,0.00000506,0.00000000,0.00003894,0.00079372,0.11425676,0.03667126
-5.54377189,0.08531580,0.00000399,0.00000000,0.00002934,0.00090011,0.13346687,0.04260961
-5.53776888,0.09918118,0.00000322,0.00000000,0.00002195,0.00102640,0.15572766,0.04953424
-5.53176588,0.11506322,0.00000268,0.00000000,0.00001631,0.00117206,0.18112084,0.05746356
-5.52576288,0.13298246,0.00000232,0.00000000,0.00001202,0.00133643,0.20969856,0.06640768
-5.51975988,0.15293519,0.00000210,0.00000000,0.00000880,0.00151865,0.24147168,0.07636454
-5.51375688,0.17488605,0.00000200,0.00000000,0.00000640,0.00171762,0.27639845,0.08731623
-5.50775388,0.19876122,0.00000198,0.00000000,0.00000462,0.00193192,0.31437406,0.09922562
-5.50175088,0.22444259,0.00000205,0.00000000,0.00000331,0.00215975,0.35522166,0.11203347
-5.49574787,0.25176312,0.00000218,0.00000000,0.00000235,0.00239893,0.39868522,0.12565613
-5.48974487,0.28050389,0.00000236,0.00000000,0.00000166,0.00264686,0.44442488,0.13998408
-5.48374187,0.31039290,0.00000260,0.00000000,0.00000117,0.00290056,0.49201518,0.15488134
-5.47773887,0.34110602,0.00000290,0.00000000,0.00000081,0.00315668,0.54094650,0.17018602
-5.47173587,0.37227010,0.00000326,0.00000000,0.00000056,0.00341155,0.59063009,0.18571180
-5.46573287,0.40346847,0.00000369,0.00000000,0.00000039,0.00366125,0.64040657,0.20125077
-5.45972986,0.43424855,0.00000422,0.00000000,0.00000026,0.00390171,0.68955813,0.21657719
-5.45372686,0.46413166,0.00000489,0.00000000,0.00000018,0.00412882,0.73732391,0.23145240
-5.44772386,0.49262453,0.00000574,0.00000000,0.00000012,0.00433849,0.78291838,0.24563059
-5.44172086,0.51923232,0.00000683,0.00000000,0.00000008,0.00452686,0.82555195,0.25886526
-5.43571786,0.54347259,0.00000826,0.00000000,0.00000005,0.00469036,0.86445321,0.27091621
-5.42971486,0.56488963,0.00001016,0.00000000,0.00000003,0.00482584,0.89889174,0.28155665
-5.42371186,0.58306861,0.00001269,0.00000000,0.00000002,0.00493070,0.92820083,0.29058027
-5.41770885,0.59764901,0.00001606,0.00000000,0.00000001,0.00500301,0.95179881,0.29780784
-5.41170585,0.60833651,0.00002058,0.00000000,0.00000001,0.00504154,0.96920828,0.30309320
-5.40570285,0.61491300,0.00002660,0.00000000,0.00000001,0.00504588,0.98007215,0.30632817
-5.39969985,0.61724420,0.00003460,0.00000000,0.00000000,0.00501643,0.98416598,0.30744628
-5.39369685,0.61528438,0.00004516,0.00000000,0.00000000,0.00495449,0.98140574,0.30642511
-5.38769385,0.60907817,0.00005905,0.00000000,0.00000000,0.00486218,0.97185088,0.30328718
-5.38169085,0.59875925,0.00007716,0.00000000,0.00000000,0.00474247,0.95570239,0.29809916
-5.37568784,0.58454600,0.00010064,0.00000000,0.00000000,0.00459914,0.93329598,0.29096970
-5.36968484,0.56673430,0.00013085,0.00000000,0.00000000,0.00443666,0.90509080,0.28204584
-5.36368184,0.54568798,0.00016942,0.00000000,0.00000000,0.00426019,0.87165411,0.27150809
-5.35767884,0.52182711,0.00021830,0.00000000,0.00000000,0.00407549,0.83364271,0.25956465
-5.35167584,0.49561493,0.00027976,0.00000000,0.00000000,0.00388882,0.79178195,0.24644479
-5.34567284,0.46754387,0.00035646,0.00000000,0.00000000,0.00370689,0.74684325,0.23239187
-5.33966983,0.43812124,0.00045142,0.00000000,0.00000000,0.00353682,0.69962116,0.21765618
-5.33366683,0.40785536,0.00056809,0.00000000,0.00000001,0.00338602,0.65091086,0.20248796
-5.32766383,0.37724238,0.00071031,0.00000000,0.00000001,0.00326226,0.60148695,0.18713085
-5.32166083,0.34675463,0.00088235,0.00000000,0.00000001,0.00317356,0.55208441,0.17181603
-5.31565783,0.31683045,0.00108885,0.00000000,0.00000002,0.00312824,0.50338217,0.15675715
-5.30965483,0.28786620,0.00133481,0.00000000,0.00000002,0.00313496,0.45598987,0.14214629
