energy_ev,total_up,B_p_up,B_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,0.46355037,0.05065047,0.00000000,0.09343519,0.12351624,0.00487532,0.15547957
-5.99399700,0.47953392,0.05314885,0.00000000,0.09796787,0.12946521,0.00507118,0.15954945
-5.98799400,0.49810109,0.05608834,0.00000000,0.10351673,0.13630574,0.00526431,0.16427421
-5.98199100,0.51952008,0.05950143,0.00000000,0.11014446,0.14412907,0.00545669,0.16974628
-5.97598799,0.54411409,0.06342498,0.00000000,0.11792098,0.15303953,0.00565074,0.17608009
-5.96998499,0.57225095,0.06789894,0.00000000,0.12692082,0.16315146,0.00584928,0.18340856
-5.96398199,0.60432907,0.07296467,0.00000000,0.13721956,0.17458527,0.00605543,0.19187829
-5.95797899,0.64076034,0.07866302,0.00000000,0.14888980,0.18746265,0.00627243,0.20164353
-5.95197599,0.68195053,0.08503216,0.00000000,0.16199658,0.20190133,0.00650363,0.21285915
-5.94597299,0.72827810,0.09210531,0.00000000,0.17659265,0.21800945,0.00675226,0.22567293
-5.93996998,0.78007248,0.09990850,0.00000000,0.19271369,0.23587980,0.00702133,0.24021755
-5.93396698,0.83759275,0.10845844,0.00000000,0.21037384,0.25558438,0.00731354,0.25660255
-5.92796398,0.90100794,0.11776058,0.00000000,0.22956179,0.27716935,0.00763114,0.27490679
-5.92196098,0.97037997,0.12780766,0.00000000,0.25023769,0.30065086,0.00797584,0.29517169
-5.91595798,1.04565039,0.13857857,0.00000000,0.27233113,0.32601188,0.00834876,0.31739573
-5.90995498,1.12663164,0.15003789,0.00000000,0.29574032,0.35320039,0.00875040,0.34153057
-5.90395198,1.21300372,0.16213600,0.00000000,0.32033279,0.38212892,0.00918061,0.36747894
-5.89794897,1.30431672,0.17480984,0.00000000,0.34594752,0.41267584,0.00963865,0.39509469
-5.89194597,1.39999925,0.18798437,0.00000000,0.37239859,0.44468811,0.01012323,0.42418501
-5.88594297,1.49937293,0.20157459,0.00000000,0.39948031,0.47798565,0.01063259,0.45451486
-5.87993997,1.60167217,0.21548816,0.00000000,0.42697352,0.51236710,0.01116461,0.48581343
-5.87393697,1.70606871,0.22962844,0.00000000,0.45465301,0.54761673,0.01171697,0.51778250
-5.86793397,1.81169966,0.24389785,0.00000000,0.48229553,0.58351210,0.01228723,0.55010626
-5.86193097,1.91769772,0.25820126,0.00000000,0.50968812,0.61983228,0.01287300,0.58246222
-5.85592796,2.02322207,0.27244944,0.00000000,0.53663627,0.65636585,0.01347204,0.61453256
-5.84992496,2.12748819,0.28656217,0.00000000,0.56297147,0.69291855,0.01408243,0.64601544
-5.84392196,2.22979490,0.30047090,0.00000000,0.58855762,0.72931988,0.01470256,0.67663566
-5.83791896,2.32954722,0.31412080,0.00000000,0.61329604,0.76542830,0.01533128,0.70615405
-5.83191596,2.42627335,0.32747211,0.00000000,0.63712857,0.80113469,0.01596785,0.73437501
-5.82591296,2.51963510,0.34050050,0.00000000,0.66003859,0.83636379,0.01661195,0.76115193
-5.81990995,2.60943066,0.35319667,0.00000000,0.68204983,0.87107347,0.01726363,0.78638999
-5.81390695,2.69558987,0.36556494,0.00000000,0.70322291,0.90525188,0.01792318,0.81004630
-5.80790395,2.77816202,0.37762114,0.00000000,0.72364988,0.93891259,0.01859105,0.83212735
-5.80190095,2.85729703,0.38938970,0.00000000,0.74344678,0.97208802,0.01926764,0.85268391
-5.79589795,2.93322114,0.40090034,0.00000000,0.76274493,1.00482164,0.01995320,0.87180374
-5.78989495,3.00620887,0.41218437,0.00000000,0.78168118,1.03715936,0.02064764,0.88960258
-5.78389195,3.07655282,0.42327102,0.00000000,0.80038784,1.06914079,0.02135038,0.90621400
-5.77788894,3.14453359,0.43418389,0.00000000,0.81898280,1.10079094,0.02206022,0.92177878
-5.77188594,3.21039163,0.44493793,0.00000000,0.83756049,1.13211298,0.02277525,0.93643440
-5.76588294,3.27430295,0.45553697,0.00000000,0.85618420,1.16308247,0.02349280,0.95030545
-5.75987994,3.33636029,0.46597211,0.00000000,0.87488014,1.19364371,0.02420945,0.96349549
-5.75387694,3.39656078,0.47622094,0.00000000,0.89363377,1.22370821,0.02492104,0.97608076
-5.74787394,3.45480105,0.48624779,0.00000000,0.91238837,1.25315557,0.02562281,0.98810618
-5.74187094,3.51087967,0.49600479,0.00000000,0.93104608,1.28183663,0.02630954,0.99958381
-5.73586793,3.56450674,0.50543376,0.00000000,0.94947119,1.30957864,0.02697570,1.01049371
-5.72986493,3.61531963,0.51446877,0.00000000,0.96749552,1.33619211,0.02761570,1.02078713
-5.72386193,3.66290366,0.52303905,0.00000000,0.98492546,1.36147875,0.02822411,1.03039156
-5.71785893,3.70681599,0.53107218,0.00000000,1.00155025,1.38523996,0.02879584,1.03921744
-5.71185593,3.74661105,0.53849717,0.00000000,1.01715091,1.40728522,0.02932641,1.04716571
-5.70585293,3.78186543,0.54524727,0.00000000,1.03150938,1.42743981,0.02981212,1.05413590
-5.69984992,3.81220083,0.55126235,0.00000000,1.04441730,1.44555123,0.03025015,1.06003398
-5.69384692,3.83730312,0.55649056,0.00000000,1.05568391,1.46149401,0.03063872,1.06477956
-5.68784392,3.85693680,0.56088931,0.00000000,1.06514280,1.47517256,0.03097709,1.06831196
-5.68184092,3.87095374,0.56442554,0.00000000,1.07265716,1.48652194,0.03126556,1.07059473
-5.67583792,3.87929619,0.56707514,0.00000000,1.07812333,1.49550668,0.03150542,1.07161854
-5.66983492,3.88199407,0.56882189,0.00000000,1.08147274,1.50211776,0.03169881,1.07140216
-5.66383192,3.87915724,0.56965585,0.00000000,1.08267218,1.50636820,0.03184857,1.06999180
-5.65782891,3.87096363,0.56957148,0.00000000,1.08172261,1.50828769,0.03195807,1.06745876
-5.65182591,3.85764457,0.56856579,0.00000000,1.07865677,1.50791679,0.03203097,1.06389578
