energy_ev,total_up,B_p_up,B_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.51542705,0.51399419,0.00000000,1.79476957,2.48465324,0.50355478,0.00000000
-5.99399700,3.50736983,0.52003373,0.00000000,1.81024675,2.48386542,0.49371074,0.00000000
-5.98799400,3.51187726,0.52779475,0.00000000,1.83209500,2.49190328,0.48572043,0.00000000
-5.98199100,3.53051574,0.53744114,0.00000000,1.86094329,2.50987167,0.47983923,0.00000000
-5.97598799,3.56458419,0.54909074,0.00000000,1.89731424,2.53867879,0.47630095,0.00000000
-5.96998499,3.61509508,0.56281297,0.00000000,1.94161848,2.57902147,0.47531613,0.00000000
-5.96398199,3.68276236,0.57862791,0.00000000,1.99415167,2.63137573,0.47707051,0.00000000
-5.95797899,3.76799591,0.59650678,0.00000000,2.05509383,2.69599241,0.48172316,0.00000000
-5.95197599,3.87090194,0.61637390,0.00000000,2.12451052,2.77289748,0.48940453,0.00000000
-5.94597299,3.99128871,0.63810974,0.00000000,2.20235567,2.86189676,0.50021395,0.00000000
-5.93996998,4.12867675,0.66155519,0.00000000,2.28847551,2.96258434,0.51421693,0.00000000
-5.93396698,4.28231320,0.68651668,0.00000000,2.38261351,3.07435447,0.53144201,0.00000000
-5.92796398,4.45118925,0.71277200,0.00000000,2.48441592,3.19641622,0.55187746,0.00000000
-5.92196098,4.63406039,0.74007666,0.00000000,2.59343781,3.32781052,0.57546788,0.00000000
-5.91595798,4.82946891,0.76817041,0.00000000,2.70914955,3.46742908,0.60211094,0.00000000
-5.90995498,5.03576806,0.79678395,0.00000000,2.83094356,3.61403484,0.63165451,0.00000000
-5.90395198,5.25114772,0.82564523,0.00000000,2.95814148,3.76628339,0.66389450,0.00000000
-5.89794897,5.47366124,0.85448556,0.00000000,3.09000165,3.92274527,0.69857360,0.00000000
-5.89194597,5.70125323,0.88304500,0.00000000,3.22572712,4.08192859,0.73538131,0.00000000
-5.88594297,5.93178806,0.91107705,0.00000000,3.36447423,4.24230186,0.77395541,0.00000000
-5.87993997,6.16307917,0.93835251,0.00000000,3.50536184,4.40231680,0.81388513,0.00000000
-5.87393697,6.39291876,0.96466240,0.00000000,3.64748128,4.56043081,0.85471611,0.00000000
-5.86793397,6.61910797,0.98981991,0.00000000,3.78990727,4.71512897,0.89595719,0.00000000
-5.86193097,6.83948724,1.01366150,0.00000000,3.93170951,4.86494548,0.93708896,0.00000000
-5.85592796,7.05196666,1.03604710,0.00000000,4.07196518,5.00848418,0.97757402,0.00000000
-5.84992496,7.25455613,1.05685955,0.00000000,4.20977211,5.14443812,1.01686847,0.00000000
-5.84392196,7.44539476,1.07600353,0.00000000,4.34426240,5.27160796,1.05443456,0.00000000
-5.83791896,7.62277932,1.09340401,0.00000000,4.47461633,5.38891895,1.08975378,0.00000000
-5.83191596,7.78519102,1.10900443,0.00000000,4.60007603,5.49543628,1.12234015,0.00000000
-5.82591296,7.93132018,1.12276491,0.00000000,4.71995863,5.59037864,1.15175298,0.00000000
-5.81990995,8.06008809,1.13466045,0.00000000,4.83366835,5.67312966,1.17760864,0.00000000
-5.81390695,8.17066553,1.14467951,0.00000000,4.94070701,5.74324696,1.19959080,0.00000000
-5.80790395,8.26248714,1.15282284,0.00000000,5.04068262,5.80046875,1.21745868,0.00000000
-5.80190095,8.33526128,1.15910283,0.00000000,5.13331540,5.84471750,1.23105281,0.00000000
-5.79589795,8.38897489,1.16354338,0.00000000,5.21844128,5.87610082,1.24029819,0.00000000
-5.78989495,8.42389293,1.16618014,0.00000000,5.29601232,5.89490923,1.24520442,0.00000000
-5.78389195,8.44055236,1.16706125,0.00000000,5.36609445,5.90161090,1.24586305,0.00000000
-5.77788894,8.43975085,1.16624852,0.00000000,5.42886240,5.89684349,1.24244201,0.00000000
-5.77188594,8.42253029,1.16381870,0.00000000,5.48459244,5.88140319,1.23517752,0.00000000
-5.76588294,8.39015576,1.15986499,0.00000000,5.53365333,5.85623120,1.22436384,0.00000000
-5.75987994,8.34409069,1.15449857,0.00000000,5.57649624,5.82239817,1.21034126,0.00000000
-5.75387694,8.28596892,1.14784986,0.00000000,5.61364435,5.78108686,1.19348304,0.00000000
-5.74787394,8.21756467,1.14006964,0.00000000,5.64568284,5.73357348,1.17418179,0.00000000
-5.74187094,8.14076146,1.13132964,0.00000000,5.67325000,5.68120826,1.15283604,0.00000000
-5.73586793,8.05752063,1.12182271,0.00000000,5.69702991,5.62539559,1.12983754,0.00000000
-5.72986493,7.96985055,1.11176229,0.00000000,5.71774700,5.56757398,1.10555983,0.00000000
-5.72386193,7.87977684,1.10138116,0.00000000,5.73616249,5.50919627,1.08034869,0.00000000
-5.71785893,7.78931412,1.09092949,0.00000000,5.75307237,5.45171000,1.05451466,0.00000000
-5.71185593,7.70043940,1.08067195,0.00000000,5.76930645,5.39653807,1.02832796,0.00000000
-5.70585293,7.61506681,1.07088400,0.00000000,5.78572739,5.34505942,1.00201581,0.00000000
-5.69984992,7.53502358,1.06184730,0.00000000,5.80322891,5.29858971,0.97576229,0.00000000
-5.69384692,7.46202655,1.05384427,0.00000000,5.82273179,5.25836148,0.94971024,0.00000000
-5.68784392,7.39765874,1.04715177,0.00000000,5.84517659,5.22550383,0.92396519,0.00000000
-5.68184092,7.34334554,1.04203412,0.00000000,5.87151208,5.20102121,0.89860076,0.00000000
-5.67583792,7.30032995,1.03873547,0.00000000,5.90267856,5.18577146,0.87366511,0.00000000
-5.66983492,7.26964690,1.03747181,0.00000000,5.93958567,5.18044318,0.84918796,0.00000000
-5.66383192,7.25209670,1.03842272,0.00000000,5.98308483,5.18553287,0.82518769,0.00000000
-5.65782891,7.24821824,1.04172327,0.00000000,6.03393676,5.20132250,0.80167799,0.00000000
-5.65182591,7.25826286,1.04745628,0.00000000,6.09277521,5.22785852,0.77867372,0.00000000
-5.64582291,7.28217007,1.05564543,0.00000000,6.16006855,5.26493323,0.75619566,0.00000000
-5.63981991,7.31954695,1.06624944,0.00000000,6.23608098,5.31207020,0.73427385,0.00000000
-5.63381691,7.36965264,1.07915777,0.00000000,6.32083578,5.36851472,0.71294938,0.00000000
-5.62781391,7.43139017,1.09418819,0.00000000,6.41408289,5.43323097,0.69227469,0.00000000
-5.62181091,7.50330691,1.11108655,0.00000000,6.51527306,5.50490691,0.67231236,0.00000000
-5.61580790,7.58360549,1.12952876,0.00000000,6.62354082,5.58196793,0.65313258,0.00000000
-5.60980490,7.67016593,1.14912544,0.00000000,6.73769788,5.66259978,0.63480957,0.00000000
-5.60380190,7.76057962,1.16942894,0.00000000,6.85623832,5.74478099,0.61741714,0.00000000
