energy_ev,total_up,B_p_up,B_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,0.93130099,0.05770617,0.00000000,0.57059374,0.22580982,0.25804188,0.00000000
-5.99399700,0.91624585,0.05677345,0.00000000,0.56137841,0.22216516,0.25384218,0.00000000
-5.98799400,0.89508446,0.05545936,0.00000000,0.54843132,0.21704654,0.24795564,0.00000000
-5.98199100,0.86826219,0.05379161,0.00000000,0.53202620,0.21056249,0.24050349,0.00000000
-5.97598799,0.83634256,0.05180507,0.00000000,0.51250968,0.20285057,0.23163988,0.00000000
-5.96998499,0.79998815,0.04954073,0.00000000,0.49028962,0.19407266,0.22154644,0.00000000
-5.96398199,0.75993909,0.04704429,0.00000000,0.46582198,0.18440989,0.21042631,0.00000000
-5.95797899,0.71699018,0.04436482,0.00000000,0.43959677,0.17405698,0.19849762,0.00000000
-5.95197599,0.67196743,0.04155337,0.00000000,0.41212381,0.16321666,0.18598694,0.00000000
-5.94597299,0.62570528,0.03866156,0.00000000,0.38391870,0.15209410,0.17312286,0.00000000
-5.93996998,0.57902514,0.03574032,0.00000000,0.35548976,0.14089176,0.16012996,0.00000000
-5.93396698,0.53271616,0.03283881,0.00000000,0.32732619,0.12980465,0.14722342,0.00000000
-5.92796398,0.48751877,0.03000342,0.00000000,0.29988799,0.11901634,0.13460431,0.00000000
-5.92196098,0.44411136,0.02727710,0.00000000,0.27359773,0.10869570,0.12245591,0.00000000
-5.91595798,0.40310029,0.02469883,0.00000000,0.24883437,0.09899435,0.11094080,0.00000000
-5.90995498,0.36501332,0.02230333,0.00000000,0.22592902,0.09004501,0.10019902,0.00000000
-5.90395198,0.33029609,0.02012097,0.00000000,0.20516271,0.08196046,0.09034707,0.00000000
-5.89794897,0.29931152,0.01817791,0.00000000,0.18676572,0.07483325,0.08147769,0.00000000
-5.89194597,0.27234150,0.01649627,0.00000000,0.17091837,0.06873592,0.07366037,0.00000000
-5.88594297,0.24959046,0.01509451,0.00000000,0.15775287,0.06372159,0.06694239,0.00000000
-5.87993997,0.23119015,0.01398782,0.00000000,0.14735596,0.05982494,0.06135026,0.00000000
-5.87393697,0.21720527,0.01318853,0.00000000,0.13977192,0.05706324,0.05689139,0.00000000
-5.86793397,0.20763918,0.01270644,0.00000000,0.13500570,0.05543749,0.05355590,0.00000000
-5.86193097,0.20243951,0.01254920,0.00000000,0.13302600,0.05493354,0.05131844,0.00000000
-5.85592796,0.20150322,0.01272245,0.00000000,0.13376798,0.05552305,0.05013990,0.00000000
-5.84992496,0.20468090,0.01322994,0.00000000,0.13713563,0.05716434,0.04996896,0.00000000
-5.84392196,0.21178032,0.01407346,0.00000000,0.14300375,0.05980310,0.05074358,0.00000000
-5.83791896,0.22256918,0.01525266,0.00000000,0.15121943,0.06337299,0.05239213,0.00000000
-5.83191596,0.23677716,0.01676473,0.00000000,0.16160345,0.06779612,0.05483456,0.00000000
-5.82591296,0.25409769,0.01860401,0.00000000,0.17395150,0.07298359,0.05798338,0.00000000
-5.81990995,0.27418951,0.02076147,0.00000000,0.18803545,0.07883605,0.06174458,0.00000000
-5.81390695,0.29667845,0.02322425,0.00000000,0.20360511,0.08524443,0.06601866,0.00000000
-5.80790395,0.32115986,0.02597516,0.00000000,0.22039036,0.09209087,0.07070174,0.00000000
-5.80190095,0.34720175,0.02899226,0.00000000,0.23810415,0.09925002,0.07568675,0.00000000
-5.79589795,0.37434924,0.03224856,0.00000000,0.25644631,0.10659060,0.08086494,0.00000000
-5.78989495,0.40213020,0.03571198,0.00000000,0.27510838,0.11397736,0.08612758,0.00000000
-5.78389195,0.43006244,0.03934540,0.00000000,0.29377951,0.12127341,0.09136789,0.00000000
-5.77788894,0.45766226,0.04310711,0.00000000,0.31215328,0.12834287,0.09648327,0.00000000
-5.77188594,0.48445442,0.04695142,0.00000000,0.32993549,0.13505383,0.10137765,0.00000000
-5.76588294,0.50998316,0.05082966,0.00000000,0.34685260,0.14128142,0.10596403,0.00000000
-5.75987994,0.53382404,0.05469141,0.00000000,0.36266063,0.14691111,0.11016708,0.00000000
-5.75387694,0.55559628,0.05848603,0.00000000,0.37715423,0.15184182,0.11392565,0.00000000
-5.74787394,0.57497488,0.06216439,0.00000000,0.39017550,0.15598896,0.11719525,0.00000000
-5.74187094,0.59170230,0.06568070,0.00000000,0.40162219,0.15928719,0.11995014,0.00000000
-5.73586793,0.60559894,0.06899453,0.00000000,0.41145496,0.16169264,0.12218518,0.00000000
-5.72986493,0.61657195,0.07207272,0.00000000,0.41970313,0.16318471,0.12391712,0.00000000
-5.72386193,0.62462200,0.07489117,0.00000000,0.42646873,0.16376716,0.12518543,0.00000000
-5.71785893,0.62984733,0.07743651,0.00000000,0.43192839,0.16346853,0.12605239,0.00000000
-5.71185593,0.63244494,0.07970733,0.00000000,0.43633285,0.16234176,0.12660253,0.00000000
-5.70585293,0.63270858,0.08171506,0.00000000,0.44000383,0.16046308,0.12694138,0.00000000
-5.69984992,0.63102345,0.08348442,0.00000000,0.44332820,0.15793012,0.12719338,0.00000000
-5.69384692,0.62785750,0.08505314,0.00000000,0.44674941,0.15485933,0.12749913,0.00000000
-5.68784392,0.62374961,0.08647134,0.00000000,0.45075613,0.15138282,0.12801190,0.00000000
-5.68184092,0.61929489,0.08780006,0.00000000,0.45586853,0.14764458,0.12889358,0.00000000
-5.67583792,0.61512729,0.08910944,0.00000000,0.46262221,0.14379641,0.13030998,0.00000000
-5.66983492,0.61190038,0.09047619,0.00000000,0.47155040,0.13999350,0.13242581,0.00000000
-5.66383192,0.61026659,0.09198075,0.00000000,0.48316473,0.13638997,0.13539931,0.00000000
-5.65782891,0.61085572,0.09370402,0.00000000,0.49793541,0.13313444,0.13937682,0.00000000
-5.65182591,0.61425356,0.09572392,0.00000000,0.51627117,0.13036572,0.14448730,0.00000000
-5.64582291,0.62098120,0.09811188,0.00000000,0.53850005,0.12820896,0.15083717,0.00000000
-5.63981991,0.63147597,0.10092938,0.00000000,0.56485150,0.12677214,0.15850553,0.00000000
-5.63381691,0.64607474,0.10422476,0.00000000,0.59544079,0.12614326,0.16754004,0.00000000
-5.62781391,0.66500015,0.10803048,0.00000000,0.63025631,0.12638809,0.17795352,0.00000000
-5.62181091,0.68835056,0.11236082,0.00000000,0.66915071,0.12754877,0.18972165,0.00000000
-5.61580790,0.71609409,0.11721032,0.00000000,0.71183619,0.12964313,0.20278172,0.00000000
