energy_ev,total_up,Al_p_up,Al_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.04778090,0.06644504,0.00000000,0.02199899,0.14342435,0.92721199,0.06218921
-5.99399700,1.01352477,0.06589835,0.00000000,0.01973606,0.14357798,0.89818510,0.06020282
-5.98799400,0.98306477,0.06552879,0.00000000,0.01761750,0.14450438,0.87165193,0.05850591
-5.98199100,0.95688973,0.06535712,0.00000000,0.01566122,0.14632064,0.84789515,0.05713745
-5.97598799,0.93539870,0.06540004,0.00000000,0.01388094,0.14913988,0.82711732,0.05613158
-5.96998499,0.91891146,0.06567085,0.00000000,0.01228643,0.15307121,0.80945273,0.05551813
-5.96398199,0.90768061,0.06618013,0.00000000,0.01088385,0.15821951,0.79498096,0.05532314
-5.95797899,0.90190371,0.06693638,0.00000000,0.00967621,0.16468484,0.78374092,0.05556944
-5.95197599,0.90173424,0.06794660,0.00000000,0.00866373,0.17256125,0.77574410,0.05627700
-5.94597299,0.90729010,0.06921674,0.00000000,0.00784429,0.18193491,0.77098611,0.05746317
-5.93996998,0.91865880,0.07075190,0.00000000,0.00721387,0.19288151,0.76945538,0.05914259
-5.93396698,0.93589857,0.07255631,0.00000000,0.00676684,0.20546287,0.77113849,0.06132693
-5.92796398,0.95903513,0.07463299,0.00000000,0.00649632,0.21972285,0.77602167,0.06402421
-5.92196098,0.98805423,0.07698324,0.00000000,0.00639435,0.23568269,0.78408845,0.06723796
-5.91595798,1.02289039,0.07960580,0.00000000,0.00645208,0.25333603,0.79531365,0.07096607
-5.90995498,1.06341271,0.08249594,0.00000000,0.00665986,0.27264376,0.80965430,0.07519950
-5.90395198,1.10940875,0.08564434,0.00000000,0.00700725,0.29352915,0.82703820,0.07992094
-5.89794897,1.16056802,0.08903596,0.00000000,0.00748302,0.31587360,0.84735120,0.08510349
-5.89194597,1.21646648,0.09264908,0.00000000,0.00807512,0.33951325,0.87042432,0.09070944
-5.88594297,1.27655356,0.09645430,0.00000000,0.00877060,0.36423696,0.89602187,0.09668938
