energy_ev,total_up,Ga_p_up,Ga_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,2.88344949,0.03171859,0.00000000,1.78112318,0.95217251,0.00314823,0.83352860
-5.99399700,3.00730506,0.03469570,0.00000000,1.86521160,0.99182452,0.00297795,0.88080583
-5.98799400,3.12916450,0.03779926,0.00000000,1.94966283,1.03042402,0.00282735,0.92799381
-5.98199100,3.24731644,0.04099774,0.00000000,2.03341147,1.06739974,0.00269689,0.97447873
-5.97598799,3.36004479,0.04425516,0.00000000,2.11533848,1.10219295,0.00258657,1.01962816
-5.96998499,3.46566687,0.04753162,0.00000000,2.19429615,1.13426972,0.00249596,1.06280187
-5.96398199,3.56257248,0.05078404,0.00000000,2.26913578,1.16313270,0.00242419,1.10336361
-5.95797899,3.64926271,0.05396711,0.00000000,2.33873736,1.18833247,0.00237006,1.14069379
-5.95197599,3.72438776,0.05703444,0.00000000,2.40204059,1.20947794,0.00233208,1.17420288
-5.94597299,3.78678259,0.05993981,0.00000000,2.45807612,1.22624566,0.00230858,1.20334523
-5.93996998,3.83549948,0.06263852,0.00000000,2.50599617,1.23838784,0.00229777,1.22763296
-5.93396698,3.86983643,0.06508891,0.00000000,2.54510328,1.24573885,0.00229783,1.24664955
-5.92796398,3.88936040,0.06725369,0.00000000,2.57487616,1.24821999,0.00230705,1.26006258
-5.92196098,3.89392450,0.06910136,0.00000000,2.59499140,1.24584232,0.00232383,1.26763510
-5.91595798,3.88367816,0.07060745,0.00000000,2.60534005,1.23870751,0.00234686,1.26923516
-5.90995498,3.85906974,0.07175548,0.00000000,2.60603798,1.22700651,0.00237508,1.26484284
-5.90395198,3.82084081,0.07253781,0.00000000,2.59742926,1.21101595,0.00240781,1.25455430
-5.89794897,3.77001193,0.07295604,0.00000000,2.58008195,1.19109234,0.00244469,1.23858261
-5.89194597,3.70785982,0.07302114,0.00000000,2.55477600,1.16766399,0.00248579,1.21725478
-5.88594297,3.63588607,0.07275320,0.00000000,2.52248315,1.14122083,0.00253150,1.19100517
-5.87993997,3.55577801,0.07218077,0.00000000,2.48433920,1.11230227,0.00258254,1.16036496
-5.87393697,3.46936261,0.07133991,0.00000000,2.44160932,1.08148336,0.00263989,1.12594824
-5.86793397,3.37855459,0.07027283,0.00000000,2.39564745,1.04935962,0.00270471,1.08843476
-5.86193097,3.28530037,0.06902632,0.00000000,2.34785103,1.01653086,0.00277825,1.04855023
-5.85592796,3.19151957,0.06764999,0.00000000,2.29961276,0.98358461,0.00286177,1.00704458
-5.84992496,3.09904618,0.06619425,0.00000000,2.25227134,0.95107961,0.00295639,0.96466928
-5.84392196,3.00957158,0.06470846,0.00000000,2.20706292,0.91952991,0.00306304,0.92215441
-5.83791896,2.92459158,0.06323892,0.00000000,2.16507570,0.88939031,0.00318229,0.88018665
