energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,0.52289594,0.04101039,0.00000000,0.00064624,0.30065635,0.51206624,0.13822907
-5.99399700,0.50026115,0.03940762,0.00000000,0.00063802,0.28824269,0.49062331,0.13235887
-5.98799400,0.47892985,0.03770803,0.00000000,0.00063478,0.27594657,0.47078758,0.12665664
-5.98199100,0.45906260,0.03593591,0.00000000,0.00063726,0.26389572,0.45273463,0.12117217
-5.97598799,0.44090255,0.03411961,0.00000000,0.00064633,0.25225868,0.43672247,0.11597551
-5.96998499,0.42475850,0.03229032,0.00000000,0.00066294,0.24123524,0.42307484,0.11115250
-5.96398199,0.41098583,0.03048090,0.00000000,0.00068811,0.23104606,0.41216215,0.10679985
-5.95797899,0.39996622,0.02872452,0.00000000,0.00072288,0.22192184,0.40438086,0.10302000
-5.95197599,0.39208664,0.02705353,0.00000000,0.00076825,0.21409253,0.40013192,0.09991593
-5.94597299,0.38771850,0.02549832,0.00000000,0.00082515,0.20777684,0.39979906,0.09758607
-5.93996998,0.38719742,0.02408627,0.00000000,0.00089440,0.20317228,0.40372752,0.09611945
-5.93396698,0.39080426,0.02284093,0.00000000,0.00097665,0.20044624,0.41220377,0.09559124
-5.92796398,0.39874791,0.02178130,0.00000000,0.00107231,0.19972799,0.42543690,0.09605880
-5.92196098,0.41115021,0.02092128,0.00000000,0.00118154,0.20110209,0.44354210,0.09755830
-5.91595798,0.42803363,0.02026936,0.00000000,0.00130421,0.20460317,0.46652679,0.10010202
-5.90995498,0.44931173,0.01982835,0.00000000,0.00143981,0.21021224,0.49427981,0.10367635
-5.90395198,0.47478311,0.01959546,0.00000000,0.00158751,0.21785465,0.52656421,0.10824065
-5.89794897,0.50412885,0.01956240,0.00000000,0.00174607,0.22739972,0.56301378,0.11372689
-5.89194597,0.53691372,0.01971569,0.00000000,0.00191386,0.23866215,0.60313387,0.12004017
-5.88594297,0.57259137,0.02003710,0.00000000,0.00208888,0.25140506,0.64630655,0.12706009
-5.87993997,0.61051337,0.02050422,0.00000000,0.00226879,0.26534477,0.69180018,0.13464304
-5.87393697,0.64994214,0.02109112,0.00000000,0.00245092,0.28015716,0.73878342,0.14262521
-5.86793397,0.69006741,0.02176909,0.00000000,0.00263235,0.29548550,0.78634336,0.15082649
-5.86193097,0.73002594,0.02250752,0.00000000,0.00280995,0.31094949,0.83350735,0.15905490
