energy_ev,total_up,Ga_p_up,Ga_d_up,Se_s_up,Se_p_up,W_p_up,W_d_up
-6.00000000,0.79843752,0.02211487,0.00000000,0.00417060,0.25893800,0.76977400,0.17777300
-5.99399700,0.75783558,0.02098933,0.00000000,0.00395858,0.24576756,0.73063206,0.16873246
-5.98799400,0.71413713,0.01977838,0.00000000,0.00373037,0.23159400,0.68850389,0.15900265
-5.98199100,0.66812867,0.01850370,0.00000000,0.00349006,0.21667209,0.64414801,0.14875864
-5.97598799,0.62059744,0.01718702,0.00000000,0.00324180,0.20125690,0.59832356,0.13817567
-5.96998499,0.57230936,0.01584950,0.00000000,0.00298957,0.18559665,0.55176912,0.12742425
-5.96398199,0.52398934,0.01451119,0.00000000,0.00273717,0.16992632,0.50518367,0.11666576
-5.95797899,0.47630441,0.01319053,0.00000000,0.00248808,0.15446212,0.45921037,0.10604870
-5.95197599,0.42985021,0.01190399,0.00000000,0.00224542,0.13939717,0.41442353,0.09570569
-5.94597299,0.38514120,0.01066581,0.00000000,0.00201188,0.12489826,0.37131917,0.08575125
-5.93996998,0.34260448,0.00948780,0.00000000,0.00178968,0.11110386,0.33030909,0.07628048
-5.93396698,0.30257725,0.00837930,0.00000000,0.00158059,0.09812330,0.29171841,0.06736846
-5.92796398,0.26530755,0.00734718,0.00000000,0.00138590,0.08603702,0.25578628,0.05907040
-5.92196098,0.23095803,0.00639593,0.00000000,0.00120647,0.07489774,0.22266950,0.05142251
-5.91595798,0.19961197,0.00552786,0.00000000,0.00104272,0.06473246,0.19244839,0.04444335
-5.90995498,0.17128138,0.00474329,0.00000000,0.00089473,0.05554509,0.16513453,0.03813558
-5.90395198,0.14591629,0.00404086,0.00000000,0.00076223,0.04731940,0.14067974,0.03248807
-5.89794897,0.12341486,0.00341772,0.00000000,0.00064469,0.04002238,0.11898583,0.02747815
-5.89194597,0.10363373,0.00286993,0.00000000,0.00054136,0.03360753,0.09991460,0.02307391
-5.88594297,0.08639823,0.00239262,0.00000000,0.00045132,0.02801821,0.08329764,0.01923645
-5.87993997,0.07151195,0.00198038,0.00000000,0.00037356,0.02319071,0.06894558,0.01592204
-5.87393697,0.05876549,0.00162739,0.00000000,0.00030698,0.01905715,0.05665656,0.01308406
-5.86793397,0.04794421,0.00132772,0.00000000,0.00025045,0.01554790,0.04622363,0.01067471
-5.86193097,0.03883470,0.00107545,0.00000000,0.00020286,0.01259376,0.03744104,0.00864649
-5.85592796,0.03123013,0.00086485,0.00000000,0.00016314,0.01012767,0.03010937,0.00695335
-5.84992496,0.02493433,0.00069051,0.00000000,0.00013025,0.00808599,0.02403951,0.00555159
-5.84392196,0.01976476,0.00054734,0.00000000,0.00010325,0.00640954,0.01905546,0.00440060
-5.83791896,0.01555448,0.00043075,0.00000000,0.00008125,0.00504418,0.01499627,0.00346318
-5.83191596,0.01215316,0.00033656,0.00000000,0.00006349,0.00394117,0.01171702,0.00270588
-5.82591296,0.00942743,0.00026107,0.00000000,0.00004925,0.00305724,0.00908911,0.00209900
-5.81990995,0.00726051,0.00020106,0.00000000,0.00003793,0.00235452,0.00699995,0.00161654
-5.81390695,0.00555151,0.00015374,0.00000000,0.00002900,0.00180031,0.00535228,0.00123604
-5.80790395,0.00421430,0.00011671,0.00000000,0.00002201,0.00136666,0.00406306,0.00093831
-5.80190095,0.00317621,0.00008796,0.00000000,0.00001659,0.00103002,0.00306222,0.00070718
-5.79589795,0.00237664,0.00006582,0.00000000,0.00001241,0.00077072,0.00229135,0.00052915
-5.78989495,0.00176558,0.00004889,0.00000000,0.00000922,0.00057256,0.00170222,0.00039310
-5.78389195,0.00130221,0.00003606,0.00000000,0.00000680,0.00042230,0.00125548,0.00028994
-5.77788894,0.00095355,0.00002641,0.00000000,0.00000498,0.00030923,0.00091933,0.00021231
-5.77188594,0.00069323,0.00001920,0.00000000,0.00000362,0.00022481,0.00066835,0.00015435
-5.76588294,0.00050036,0.00001386,0.00000000,0.00000261,0.00016226,0.00048240,0.00011140
-5.75987994,0.00035856,0.00000993,0.00000000,0.00000187,0.00011628,0.00034569,0.00007983
-5.75387694,0.00025509,0.00000706,0.00000000,0.00000133,0.00008273,0.00024594,0.00005680
-5.74787394,0.00018018,0.00000499,0.00000000,0.00000094,0.00005843,0.00017372,0.00004012
-5.74187094,0.00012636,0.00000350,0.00000000,0.00000066,0.00004098,0.00012182,0.00002813
-5.73586793,0.00008797,0.00000244,0.00000000,0.00000046,0.00002853,0.00008482,0.00001959
-5.72986493,0.00006081,0.00000168,0.00000000,0.00000032,0.00001972,0.00005863,0.00001354
-5.72386193,0.00004173,0.00000116,0.00000000,0.00000022,0.00001353,0.00004023,0.00000929
-5.71785893,0.00002843,0.00000079,0.00000000,0.00000015,0.00000922,0.00002741,0.00000633
-5.71185593,0.00001923,0.00000053,0.00000000,0.00000010,0.00000624,0.00001854,0.00000428
-5.70585293,0.00001292,0.00000036,0.00000000,0.00000007,0.00000419,0.00001245,0.00000288
-5.69984992,0.00000861,0.00000024,0.00000000,0.00000004,0.00000279,0.00000830,0.00000192
-5.69384692,0.00000570,0.00000016,0.00000000,0.00000003,0.00000185,0.00000550,0.00000127
-5.68784392,0.00000375,0.00000010,0.00000000,0.00000002,0.00000122,0.00000361,0.00000083
-5.68184092,0.00000245,0.00000007,0.00000000,0.00000001,0.00000079,0.00000236,0.00000054
-5.67583792,0.00000158,0.00000004,0.00000000,0.00000001,0.00000051,0.00000153,0.00000035
-5.66983492,0.00000102,0.00000003,0.00000000,0.00000001,0.00000033,0.00000098,0.00000023
-5.66383192,0.00000065,0.00000002,0.00000000,0.00000000,0.00000021,0.00000063,0.00000014
-5.65782891,0.00000041,0.00000001,0.00000000,0.00000000,0.00000013,0.00000040,0.00000009
-5.65182591,0.00000026,0.00000001,0.00000000,0.00000000,0.00000008,0.00000025,0.00000006
-5.64582291,0.00000016,0.00000000,0.00000000,0.00000000,0.00000005,0.00000016,0.00000004
-5.63981991,0.00000010,0.00000000,0.00000000,0.00000000,0.00000003,0.00000010,0.00000002
-5.63381691,0.00000006,0.00000000,0.00000000,0.00000000,0.00000002,0.00000006,0.00000001
-5.62781391,0.00000004,0.00000000,0.00000000,0.00000000,0.00000001,0.00000004,0.00000001
-5.62181091,0.00000002,0.00000000,0.00000000,0.00000000,0.00000001,0.00000002,0.00000001
-5.61580790,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000
-5.60980490,0.00000001,0.00000000,0.00000000,0.00000000,0.00000000,0.00000001,0.00000000
-5.60380190,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.59779890,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.59179590,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.58579290,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.57978989,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.57378689,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.56778389,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.56178089,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.55577789,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
-5.54977489,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
