energy_ev,total_up,In_p_up,In_d_up,S_s_up,S_p_up,Ta_p_up,Ta_d_up
-6.00000000,2.10753241,0.12206863,0.00745451,0.00275740,0.58323044,1.93374646,0.48274560
-5.99399700,2.12775114,0.12493524,0.00746985,0.00282628,0.59594463,1.95061547,0.48804198
-5.98799400,2.13623365,0.12696822,0.00744946,0.00287616,0.60482616,1.95696175,0.49053943
-5.98199100,2.13259428,0.12812401,0.00739223,0.00290600,0.60966267,1.95239472,0.49015722
-5.97598799,2.11669582,0.12837751,0.00729781,0.00291519,0.61032749,1.93674685,0.48687374
-5.96998499,2.08865975,0.12772306,0.00716661,0.00290360,0.60678461,1.91008511,0.48072823
-5.96398199,2.04886748,0.12617470,0.00699984,0.00287153,0.59909052,1.87271412,0.47182060
-5.95797899,1.99795250,0.12376580,0.00679950,0.00281975,0.58739282,1.82517080,0.46030902
-5.95197599,1.93678342,0.12054800,0.00656831,0.00274948,0.57192565,1.76821055,0.44640566
-5.94597299,1.86643889,0.11658954,0.00630967,0.00266232,0.55300215,1.70278570,0.43037045
-5.93996998,1.78817541,0.11197311,0.00602753,0.00256024,0.53100444,1.63001727,0.41250347
-5.93396698,1.70338956,0.10679322,0.00572631,0.00244551,0.50637151,1.55116134,0.39313602
-5.92796398,1.61357646,0.10115333,0.00541075,0.00232061,0.47958571,1.46757170,0.37262094
-5.92196098,1.52028631,0.09516282,0.00508578,0.00218821,0.45115840,1.38066046,0.35132256
-5.91595798,1.42508097,0.08893391,0.00475638,0.00205106,0.42161544,1.29185854,0.32960677
-5.90995498,1.32949253,0.08257869,0.00442747,0.00191198,0.39148324,1.20257764,0.30783156
-5.90395198,1.23498539,0.07620645,0.00410374,0.00177371,0.36127567,1.11417528,0.28633840
-5.89794897,1.14292334,0.06992119,0.00378960,0.00163897,0.33148259,1.02792425,0.26544486
-5.89194597,1.05454272,0.06381965,0.00348906,0.00151031,0.30256012,0.94498728,0.24543860
-5.88594297,0.97093214,0.05798970,0.00320566,0.00139014,0.27492294,0.86639779,0.22657288
-5.87993997,0.89301923,0.05250916,0.00294245,0.00128069,0.24893876,0.79304670,0.20906373
-5.87393697,0.82156403,0.04744513,0.00270195,0.00118396,0.22492474,0.72567533,0.19308853
-5.86793397,0.75715871,0.04285364,0.00248614,0.00110175,0.20314597,0.66487386,0.17878612
-5.86193097,0.70023259,0.03877968,0.00229650,0.00103562,0.18381545,0.61108469,0.16625801
-5.85592796,0.65106169,0.03525755,0.00213399,0.00098690,0.16709557,0.56460971,0.15557063
-5.84992496,0.60978131,0.03231132,0.00199914,0.00095672,0.15310045,0.52562043,0.14675823
-5.84392196,0.57640066,0.02995555,0.00189206,0.00094592,0.14189900,0.49416994,0.13982613
-5.83791896,0.55081823,0.02819591,0.00181250,0.00095515,0.13351827,0.47020556,0.13475416
-5.83191596,0.53283681,0.02702998,0.00175986,0.00098480,0.12794671,0.45358125,0.13149992
-5.82591296,0.52217729,0.02644780,0.00173328,0.00103502,0.12513726,0.44406907,0.13000169
-5.81990995,0.51849060,0.02643251,0.00173164,0.00110567,0.12501002,0.44136899,0.13018092
-5.81390695,0.52136723,0.02696073,0.00175361,0.00119637,0.12745432,0.44511686,0.13194411
-5.80790395,0.53034447,0.02800295,0.00179761,0.00130641,0.13233041,0.45489029,0.13518409
