energy_ev,total_up,In_p_up,In_d_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,0.31356691,0.02532853,0.00027405,0.20563973,0.06324997,0.00562364,0.19691000
-5.99399700,0.36062285,0.02926282,0.00032288,0.23782015,0.07223953,0.00637599,0.22594050
-5.98799400,0.41234060,0.03361938,0.00037813,0.27343351,0.08201911,0.00718369,0.25773167
-5.98199100,0.46875582,0.03840877,0.00044015,0.31255594,0.09257637,0.00804339,0.29227742
-5.97598799,0.52983938,0.04363704,0.00050924,0.35521898,0.10388650,0.00895055,0.32952866
-5.96998499,0.59549250,0.04930526,0.00058562,0.40140471,0.11591196,0.00989949,0.36939041
-5.96398199,0.66554403,0.05540933,0.00066944,0.45104221,0.12860267,0.01088345,0.41172005
-5.95797899,0.73975013,0.06193990,0.00076072,0.50400547,0.14189662,0.01189468,0.45632711
-5.95197599,0.81779645,0.06888249,0.00085942,0.56011307,0.15572100,0.01292462,0.50297450
-5.94597299,0.89930299,0.07621794,0.00096537,0.61912974,0.16999377,0.01396407,0.55138132
-5.93996998,0.98383150,0.08392295,0.00107828,0.68076991,0.18462559,0.01500341,0.60122714
-5.93396698,1.07089527,0.09197092,0.00119780,0.74470305,0.19952216,0.01603279,0.65215774
-5.92796398,1.15997104,0.10033289,0.00132343,0.81056089,0.21458673,0.01704244,0.70379197
-5.92196098,1.25051248,0.10897863,0.00145464,0.87794611,0.22972279,0.01802282,0.75572961
-5.91595798,1.34196488,0.11787782,0.00159082,0.94644222,0.24483684,0.01896491,0.80755992
-5.90995498,1.43378028,0.12700120,0.00173131,1.01562416,0.25984104,0.01986037,0.85887047
-5.90395198,1.52543241,0.13632165,0.00187544,1.08506928,0.27465574,0.02070169,0.90925599
-5.89794897,1.61643088,0.14581520,0.00202256,1.15436794,0.28921166,0.02148236,0.95832688
-5.89194597,1.70633391,0.15546175,0.00217201,1.22313352,0.30345182,0.02219689,1.00571705
-5.88594297,1.79475901,0.16524560,0.00232324,1.29101104,0.31733306,0.02284090,1.05109086
-5.87993997,1.88139133,0.17515562,0.00247574,1.35768426,0.33082706,0.02341107,1.09414893
-5.87393697,1.96598913,0.18518517,0.00262911,1.42288070,0.34392101,0.02390512,1.13463274
-5.86793397,2.04838651,0.19533157,0.00278306,1.48637452,0.35661780,0.02432171,1.17232786
-5.86193097,2.12849309,0.20559538,0.00293741,1.54798708,0.36893588,0.02466035,1.20706599
