energy_ev,total_up,In_p_up,In_d_up,Mo_p_up,Mo_d_up,Se_s_up,Se_p_up
-6.00000000,3.80894043,0.13581396,0.01147997,2.73682247,1.30854261,0.00143924,1.70020367
-5.99399700,3.75720057,0.13223742,0.01137767,2.71019974,1.28278547,0.00128504,1.68424787
-5.98799400,3.69381490,0.12828410,0.01125448,2.67627016,1.25271352,0.00114578,1.66216382
-5.98199100,3.61968683,0.12399861,0.01111128,2.63558028,1.21871232,0.00102082,1.63421724
-5.97598799,3.53584212,0.11942969,0.01094919,2.58874904,1.18121916,0.00090943,1.60073792
-5.96998499,3.44340590,0.11462956,0.01076958,2.53645220,1.14071493,0.00081081,1.56211458
-5.96398199,3.34357825,0.10965320,0.01057404,2.47940617,1.09771496,0.00072420,1.51878894
-5.95797899,3.23760940,0.10455762,0.01036429,2.41835213,1.05275923,0.00064885,1.47124920
-5.95197599,3.12677587,0.09940107,0.01014223,2.35404126,1.00640242,0.00058415,1.42002313
-5.94597299,3.01235838,0.09424233,0.00990983,2.28722202,0.95920406,0.00052957,1.36567090
-5.93996998,2.89562253,0.08914006,0.00966912,2.21862990,0.91171929,0.00048474,1.30877793
-5.93396698,2.77780276,0.08415221,0.00942217,2.14898013,0.86449041,0.00044942,1.24994771
-5.92796398,2.66008999,0.07933549,0.00917109,2.07896345,0.81803956,0.00042356,1.18979479
-5.92196098,2.54362291,0.07474496,0.00891797,2.00924468,0.77286261,0.00040725,1.12893797
-5.91595798,2.42948257,0.07043371,0.00866494,1.94046388,0.72942440,0.00040074,1.06799367
-5.90995498,2.31868994,0.06645253,0.00841415,1.87323921,0.68815512,0.00040442,1.00756937
-5.90395198,2.21220535,0.06284964,0.00816775,1.80817092,0.64944791,0.00041884,0.94825730
-5.89794897,2.11092920,0.05967045,0.00792795,1.74584531,0.61365724,0.00044461,0.89062805
-5.89194597,2.01570268,0.05695717,0.00769702,1.68683780,0.58109792,0.00048246,0.83522424
-5.88594297,1.92730762,0.05474847,0.00747726,1.63171415,0.55204448,0.00053314,0.78255405
-5.87993997,1.84646455,0.05307893,0.00727100,1.58102898,0.52673042,0.00059742,0.73308472
-5.87393697,1.77382827,0.05197843,0.00708061,1.53532102,0.50534730,0.00067605,0.68723600
-5.86793397,1.70998041,0.05147140,0.00690840,1.49510465,0.48804329,0.00076967,0.64537352
-5.86193097,1.65541882,0.05157594,0.00675663,1.46085777,0.47492105,0.00087882,0.60780233
-5.85592796,1.61054408,0.05230283,0.00662738,1.43300620,0.46603504,0.00100386,0.57476071
-5.84992496,1.57564352,0.05365452,0.00652249,1.41190523,0.46138818,0.00114488,0.54641448
-5.84392196,1.55087359,0.05562407,0.00644350,1.39781929,0.46092818,0.00130175,0.52285198
-5.83791896,1.53624193,0.05819421,0.00639150,1.39090084,0.46454373,0.00147397,0.50408015
-5.83191596,1.53159023,0.06133646,0.00636704,1.39116992,0.47206106,0.00166070,0.49002194
-5.82591296,1.53657947,0.06501054,0.00637010,1.39849584,0.48324114,0.00186070,0.48051526
-5.81990995,1.55067921,0.06916403,0.00639996,1.41258256,0.49777821,0.00207232,0.47531387
-5.81390695,1.57316203,0.07373243,0.00645515,1.43295904,0.51529993,0.00229351,0.47409038
-5.80790395,1.60310468,0.07863959,0.00653346,1.45897599,0.53536963,0.00252182,0.47644149
-5.80190095,1.63939677,0.08379868,0.00663192,1.48980978,0.55749104,0.00275443,0.48189555
-5.79589795,1.68075742,0.08911363,0.00674687,1.52447424,0.58111560,0.00298822,0.48992256
-5.78989495,1.72576032,0.09448104,0.00687399,1.56184040,0.60565249,0.00321983,0.49994615
-5.78389195,1.77286652,0.09979258,0.00700844,1.60066384,0.63048132,0.00344572,0.51135771
-5.77788894,1.82046422,0.10493776,0.00714502,1.63961902,0.65496702,0.00366232,0.52353197
-5.77188594,1.86691430,0.10980702,0.00727827,1.67733918,0.67847668,0.00386610,0.53584368
-5.76588294,1.91059969,0.11429501,0.00740274,1.71246037,0.70039765,0.00405371,0.54768497
-5.75987994,1.94997664,0.11830400,0.00751312,1.74366759,0.72015611,0.00422211,0.55848250
-5.75387694,1.98362557,0.12174710,0.00760448,1.76974102,0.73723541,0.00436865,0.56771399
-5.74787394,2.01029910,0.12455136,0.00767242,1.78960009,0.75119331,0.00449124,0.57492336
-5.74187094,2.02896502,0.12666042,0.00771328,1.80234325,0.76167716,0.00458840,0.57973383
-5.73586793,2.03884203,0.12803676,0.00772428,1.80728159,0.76843642,0.00465935,0.58185850
-5.72986493,2.03942639,0.12866319,0.00770362,1.80396437,0.77133165,0.00470408,0.58110784
-5.72386193,2.03050826,0.12854373,0.00765056,1.79219547,0.77033966,0.00472337,0.57739380
-5.71785893,2.01217669,0.12770371,0.00756545,1.77203971,0.76555432,0.00471879,0.57073037
-5.71185593,1.98481297,0.12618900,0.00744972,1.74381876,0.75718289,0.00469265,0.56123046
-5.70585293,1.94907273,0.12406459,0.00730584,1.70809685,0.74553816,0.00464798,0.54909930
-5.69984992,1.90585738,0.12141229,0.00713716,1.66565699,0.73102638,0.00458838,0.53462457
-5.69384692,1.85627639,0.11832790,0.00694783,1.61746875,0.71413175,0.00451796,0.51816371
-5.68784392,1.80160200,0.11491780,0.00674263,1.56464931,0.69539790,0.00444115,0.50012899
-5.68184092,1.74321859,0.11129514,0.00652674,1.50841938,0.67540735,0.00436260,0.48097083
-5.67583792,1.68256874,0.10757577,0.00630556,1.45005618,0.65475957,0.00428695,0.46116025
-5.66983492,1.62109852,0.10387417,0.00608450,1.39084551,0.63404886,0.00421870,0.44117101
-5.66383192,1.56020424,0.10029936,0.00586876,1.33203494,0.61384260,0.00416203,0.42146227
-5.65782891,1.50118283,0.09695115,0.00566314,1.27479009,0.59466116,0.00412061,0.40246229
-5.65182591,1.44518778,0.09391672,0.00547190,1.22015564,0.57695979,0.00409753,0.38455399
-5.64582291,1.39319214,0.09126774,0.00529855,1.16902260,0.56111358,0.00409508,0.36806264
-5.63981991,1.34596000,0.08905814,0.00514579,1.12210274,0.54740572,0.00411473,0.35324626
-5.63381691,1.30402708,0.08732254,0.00501539,1.07991113,0.53601958,0.00415702,0.34028889
-5.62781391,1.26769081,0.08607545,0.00490819,1.04275685,0.52703479,0.00422156,0.32929690
-5.62181091,1.23701005,0.08531122,0.00482405,1.01074208,0.52042737,0.00430699,0.32029845
-5.61580790,1.21181386,0.08500476,0.00476194,0.98376911,0.51607365,0.00441105,0.31324585
-5.60980490,1.19171868,0.08511298,0.00471994,0.96155452,0.51375804,0.00453064,0.30802067
-5.60380190,1.17615281,0.08557678,0.00469542,0.94364979,0.51318386,0.00466195,0.30444132
-5.59779890,1.16438697,0.08632369,0.00468508,0.92946708,0.51398699,0.00480053,0.30227265
-5.59179590,1.15556947,0.08727091,0.00468515,0.91830895,0.51575165,0.00494153,0.30123718
-5.58579290,1.14876438,0.08832861,0.00469153,0.90940072,0.51802758,0.00507978,0.30102732
-5.57978989,1.14299119,0.08940346,0.00469997,0.90192399,0.52034807,0.00521006,0.30131826
-5.57378689,1.13726433,0.09040214,0.00470620,0.89505015,0.52224791,0.00532720,0.30178083
-5.56778389,1.13063095,0.09123476,0.00470612,0.88797236,0.52328082,0.00542635,0.30209398
-5.56178089,1.12220579,0.09181809,0.00469593,0.87993501,0.52303541,0.00550307,0.30195626
-5.55577789,1.11120165,0.09207833,0.00467230,0.87025960,0.52114941,0.00555352,0.30109602
-5.54977489,1.09695477,0.09195349,0.00463239,0.85836625,0.51732137,0.00557458,0.29928000
-5.54377189,1.07894410,0.09139525,0.00457404,0.84379016,0.51131969,0.00556396,0.29631990
-5.53776888,1.05680421,0.09037015,0.00449574,0.82619279,0.50298863,0.00552023,0.29207698
-5.53176588,1.03033154,0.08886027,0.00439670,0.80536744,0.49225110,0.00544288,0.28646443
-5.52576288,0.99948411,0.08686319,0.00427684,0.78123952,0.47910848,0.00533231,0.27944767
-5.51975988,0.96437512,0.08439143,0.00413675,0.75386166,0.46363735,0.00518978,0.27104264
-5.51375688,0.92526093,0.08147137,0.00397766,0.72340437,0.44598364,0.00501736,0.26131222
-5.50775388,0.88252440,0.07814160,0.00380134,0.69014264,0.42635442,0.00481780,0.25036113
-5.50175088,0.83665442,0.07445108,0.00361002,0.65443965,0.40500789,0.00459448,0.23832963
-5.49574787,0.78822283,0.07045685,0.00340633,0.61672820,0.38224207,0.00435118,0.22538625
-5.48974487,0.73785981,0.06622173,0.00319310,0.57749087,0.35838274,0.00409204,0.21172006
-5.48374187,0.68622889,0.06181188,0.00297335,0.53723991,0.33377115,0.00382133,0.19753273
-5.47773887,0.63400267,0.05729448,0.00275011,0.49649763,0.30875209,0.00354339,0.18303083
-5.47173587,0.58184016,0.05273551,0.00252635,0.45577810,0.28366277,0.00326242,0.16841856
-5.46573287,0.53036661,0.04819780,0.00230491,0.41557082,0.25882288,0.00298241,0.15389129
-5.45972986,0.48015633,0.04373936,0.00208837,0.37632681,0.23452614,0.00270704,0.13963003
-5.45372686,0.43171916,0.03941202,0.00187905,0.33844752,0.21103363,0.00243958,0.12579695
-5.44772386,0.38549048,0.03526051,0.00167893,0.30227676,0.18856893,0.00218286,0.11253212
-5.44172086,0.34182513,0.03132176,0.00148962,0.26809555,0.16731507,0.00193920,0.09995143
-5.43571786,0.30099484,0.02762472,0.00131237,0.23611989,0.14741332,0.00171041,0.08814553
-5.42971486,0.26318892,0.02419032,0.00114807,0.20650117,0.12896357,0.00149781,0.07717998
-5.42371186,0.22851793,0.02103191,0.00099725,0.17932885,0.11202617,0.00130224,0.06709614
-5.41770885,0.19701964,0.01815571,0.00086012,0.15463504,0.09662486,0.00112409,0.05791290
-5.41170585,0.16866678,0.01556165,0.00073658,0.13240058,0.08275073,0.00096336,0.04962896
-5.40570285,0.14337611,0.01324418,0.00062631,0.11256209,0.07036665,0.00081969,0.04222553
-5.39969985,0.12101815,0.01119326,0.00052876,0.09501956,0.05941218,0.00069244,0.03566923
-5.39369685,0.10142715,0.00939532,0.00044323,0.07964420,0.04980851,0.00058075,0.02991510
-5.38769385,0.08441079,0.00783420,0.00036888,0.06628608,0.04146331,0.00048359,0.02490954
-5.38169085,0.06975940,0.00649215,0.00030482,0.05478131,0.03427534,0.00039979,0.02059308
-5.37568784,0.05725425,0.00535059,0.00025009,0.04495863,0.02813855,0.00032815,0.01690289
-5.36968484,0.04667484,0.00439097,0.00020371,0.03664508,0.02294577,0.00026742,0.01377501
-5.36368184,0.03780510,0.00359539,0.00016476,0.02967092,0.01859179,0.00021637,0.01114623
-5.35767884,0.03043837,0.00294722,0.00013229,0.02387351,0.01497589,0.00017382,0.00895555
-5.35167584,0.02438132,0.00243157,0.00010547,0.01910033,0.01200377,0.00013866,0.00714536
-5.34567284,0.01945673,0.00203576,0.00008348,0.01521122,0.00958900,0.00010984,0.00566232
-5.33966983,0.01550543,0.00174960,0.00006561,0.01207981,0.00765402,0.00008642,0.00445780
-5.33366683,0.01238732,0.00156573,0.00005119,0.00959430,0.00613064,0.00006755,0.00348825
-5.32766383,0.00998181,0.00147985,0.00003965,0.00765774,0.00496033,0.00005248,0.00271519
-5.32166083,0.00818765,0.00149088,0.00003050,0.00618784,0.00409416,0.00004056,0.00210516
-5.31565783,0.00692241,0.00160121,0.00002329,0.00511649,0.00349258,0.00003122,0.00162946
-5.30965483,0.00612161,0.00181677,0.00001765,0.00438907,0.00312502,0.00002400,0.00126382
-5.30365183,0.00573776,0.00214717,0.00001329,0.00396351,0.00296941,0.00001848,0.00098802
-5.29764882,0.00573910,0.00260581,0.00000993,0.00380937,0.00301165,0.00001435,0.00078547
-5.29164582,0.00610844,0.00320983,0.00000737,0.00390680,0.00324500,0.00001133,0.00064282
-5.28564282,0.00684181,0.00398014,0.00000543,0.00424548,0.00366945,0.00000921,0.00054950
-5.27963982,0.00794714,0.00494125,0.00000397,0.00482361,0.00429106,0.00000783,0.00049734
