energy_ev,total_up,Au_p_up,Au_d_up,In_p_up,In_d_up,Te_p_up,Te_d_up
-6.00000000,2.69437349,0.97678479,2.08047505,0.13690144,0.00458887,0.27375678,0.00000000
-5.99399700,2.60990516,0.93844246,2.01570705,0.12893987,0.00445932,0.26751162,0.00000000
-5.98799400,2.51968218,0.89837328,1.94652489,0.12134551,0.00430940,0.26031913,0.00000000
-5.98199100,2.42466872,0.85709470,1.87362247,0.11419277,0.00414170,0.25229338,0.00000000
-5.97598799,2.32588938,0.81513919,1.79773997,0.10754670,0.00395911,0.24356155,0.00000000
-5.96998499,2.22440298,0.77303888,1.71964596,0.10146205,0.00376465,0.23425944,0.00000000
-5.96398199,2.12127517,0.73131021,1.64011840,0.09598250,0.00356144,0.22452691,0.00000000
-5.95797899,2.01755084,0.69043940,1.55992519,0.09114000,0.00335255,0.21450340,0.00000000
-5.95197599,1.91422778,0.65086907,1.47980534,0.08695428,0.00314098,0.20432374,0.00000000
-5.94597299,1.81223254,0.61298675,1.40045153,0.08343258,0.00292949,0.19411442,0.00000000
-5.93996998,1.71239974,0.57711557,1.32249485,0.08056959,0.00272062,0.18399037,0.00000000
-5.93396698,1.61545548,0.54350757,1.24649234,0.07834774,0.00251661,0.17405246,0.00000000
-5.92796398,1.52200566,0.51233983,1.17291788,0.07673783,0.00231934,0.16438567,0.00000000
-5.92196098,1.43252939,0.48371347,1.10215665,0.07569990,0.00213037,0.15505808,0.00000000
-5.91595798,1.34737771,0.45765555,1.03450324,0.07518456,0.00195088,0.14612052,0.00000000
-5.90995498,1.26677723,0.43412362,0.97016341,0.07513462,0.00178170,0.13760697,0.00000000
-5.90395198,1.19083844,0.41301265,0.90925901,0.07548698,0.00162337,0.12953560,0.00000000
-5.89794897,1.11956790,0.39416397,0.85183580,0.07617481,0.00147611,0.12191027,0.00000000
-5.89194597,1.05288347,0.37737572,0.79787350,0.07712991,0.00133988,0.11472249,0.00000000
-5.88594297,0.99063169,0.36241436,0.74729740,0.07828506,0.00121447,0.10795365,0.00000000
-5.87993997,0.93260627,0.34902653,0.69999090,0.07957647,0.00109945,0.10157742,0.00000000
-5.87393697,0.87856669,0.33695091,0.65580825,0.08094602,0.00099431,0.09556215,0.00000000
-5.86793397,0.82825599,0.32592944,0.61458682,0.08234326,0.00089842,0.08987326,0.00000000
-5.86193097,0.78141693,0.31571750,0.57615826,0.08372712,0.00081112,0.08447538,0.00000000
-5.85592796,0.73780572,0.30609264,0.54035830,0.08506712,0.00073173,0.07933424,0.00000000
-5.84992496,0.69720295,0.29686153,0.50703443,0.08634408,0.00065959,0.07441831,0.00000000
-5.84392196,0.65942127,0.28786500,0.47605163,0.08755028,0.00059406,0.06970001,0.00000000
-5.83791896,0.62430967,0.27898101,0.44729574,0.08868907,0.00053453,0.06515658,0.00000000
-5.83191596,0.59175458,0.27012554,0.42067473,0.08977375,0.00048047,0.06077057,0.00000000
-5.82591296,0.56167774,0.26125160,0.39611780,0.09082609,0.00043139,0.05653002,0.00000000
-5.81990995,0.53403147,0.25234645,0.37357274,0.09187423,0.00038685,0.05242827,0.00000000
-5.81390695,0.50879178,0.24342732,0.35300189,0.09295029,0.00034648,0.04846354,0.00000000
-5.80790395,0.48594982,0.23453601,0.33437689,0.09408764,0.00030996,0.04463838,0.00000000
-5.80190095,0.46550251,0.22573267,0.31767297,0.09531816,0.00027698,0.04095882,0.00000000
-5.79589795,0.44744282,0.21708920,0.30286292,0.09666940,0.00024730,0.03743357,0.00000000
-5.78989495,0.43175062,0.20868257,0.28991143,0.09816208,0.00022069,0.03407314,0.00000000
-5.78389195,0.41838440,0.20058850,0.27876995,0.09980778,0.00019693,0.03088897,0.00000000
-5.77788894,0.40727466,0.19287589,0.26937265,0.10160724,0.00017584,0.02789268,0.00000000
-5.77188594,0.39831918,0.18560201,0.26163348,0.10354912,0.00015722,0.02509536,0.00000000
-5.76588294,0.39138058,0.17880900,0.25544478,0.10560955,0.00014090,0.02250701,0.00000000
-5.75987994,0.38628630,0.17252152,0.25067731,0.10775228,0.00012670,0.02013615,0.00000000
-5.75387694,0.38283095,0.16674585,0.24718178,0.10992966,0.00011444,0.01798955,0.00000000
-5.74787394,0.38078103,0.16147025,0.24479192,0.11208425,0.00010396,0.01607211,0.00000000
-5.74187094,0.37988168,0.15666663,0.24332870,0.11415110,0.00009510,0.01438687,0.00000000
-5.73586793,0.37986520,0.15229326,0.24260572,0.11606053,0.00008770,0.01293523,0.00000000
-5.72986493,0.38046085,0.14829856,0.24243528,0.11774139,0.00008162,0.01171713,0.00000000
-5.72386193,0.38140557,0.14462544,0.24263508,0.11912449,0.00007676,0.01073153,0.00000000
-5.71785893,0.38245499,0.14121627,0.24303500,0.12014617,0.00007299,0.00997678,0.00000000
-5.71185593,0.38339431,0.13801796,0.24348384,0.12075180,0.00007026,0.00945119,0.00000000
-5.70585293,0.38404864,0.13498704,0.24385558,0.12089901,0.00006852,0.00915360,0.00000000
-5.69984992,0.38429221,0.13209458,0.24405504,0.12056059,0.00006775,0.00908393,0.00000000
-5.69384692,0.38405622,0.12933045,0.24402265,0.11972682,0.00006800,0.00924390,0.00000000
-5.68784392,0.38333501,0.12670716,0.24373812,0.11840722,0.00006934,0.00963751,0.00000000
-5.68184092,0.38219034,0.12426270,0.24322301,0.11663156,0.00007189,0.01027177,0.00000000
-5.67583792,0.38075358,0.12206263,0.24254202,0.11445023,0.00007581,0.01115713,0.00000000
-5.66983492,0.37922585,0.12020109,0.24180301,0.11193381,0.00008132,0.01230805,0.00000000
-5.66383192,0.37787601,0.11880084,0.24115578,0.10917188,0.00008869,0.01374334,0.00000000
-5.65782891,0.37703660,0.11801219,0.24078960,0.10627127,0.00009824,0.01548643,0.00000000
-5.65182591,0.37709778,0.11801093,0.24092957,0.10335360,0.00011031,0.01756543,0.00000000
-5.64582291,0.37849938,0.11899519,0.24183189,0.10055238,0.00012531,0.02001307,0.00000000
-5.63981991,0.38172111,0.12118134,0.24377802,0.09800958,0.00014368,0.02286631,0.00000000
-5.63381691,0.38727119,0.12479891,0.24706798,0.09587200,0.00016587,0.02616571,0.00000000
-5.62781391,0.39567333,0.13008464,0.25201262,0.09428729,0.00019236,0.02995451,0.00000000
-5.62181091,0.40745245,0.13727573,0.25892518,0.09339991,0.00022362,0.03427733,0.00000000
-5.61580790,0.42311905,0.14660242,0.26811207,0.09334702,0.00026012,0.03917864,0.00000000
-5.60980490,0.44315270,0.15828000,0.27986303,0.09425447,0.00030229,0.04470077,0.00000000
-5.60380190,0.46798470,0.17250042,0.29444090,0.09623285,0.00035052,0.05088174,0.00000000
-5.59779890,0.49798046,0.18942368,0.31207103,0.09937388,0.00040513,0.05775278,0.00000000
-5.59179590,0.53342187,0.20916939,0.33293073,0.10374703,0.00046634,0.06533575,0.00000000
-5.58579290,0.57449027,0.23180847,0.35713903,0.10939663,0.00053427,0.07364039,0.00000000
-5.57978989,0.62125061,0.25735569,0.38474699,0.11633939,0.00060891,0.08266174,0.00000000
-5.57378689,0.67363749,0.28576304,0.41572910,0.12456260,0.00069012,0.09237766,0.00000000
-5.56778389,0.73144378,0.31691450,0.44997620,0.13402293,0.00077758,0.10274674,0.00000000
-5.56178089,0.79431259,0.35062247,0.48729023,0.14464599,0.00087082,0.11370664,0.00000000
-5.55577789,0.86173330,0.38662620,0.52738144,0.15632679,0.00096918,0.12517314,0.00000000
-5.54977489,0.93304230,0.42459249,0.56986829,0.16893092,0.00107183,0.13703985,0.00000000
-5.54377189,1.00742887,0.46411884,0.61428050,0.18229678,0.00117780,0.14917886,0.00000000
-5.53776888,1.08394664,0.50473917,0.66006527,0.19623857,0.00128593,0.16144227,0.00000000
-5.53176588,1.16153057,0.54593219,0.70659700,0.21055025,0.00139496,0.17366470,0.00000000
-5.52576288,1.23901941,0.58713208,0.75319021,0.22501013,0.00150352,0.18566674,0.00000000
-5.51975988,1.31518305,0.62774155,0.79911549,0.23938626,0.00161015,0.19725921,0.00000000
-5.51375688,1.38875416,0.66714655,0.84361807,0.25344220,0.00171338,0.20824823,0.00000000
-5.50775388,1.45846303,0.70473248,0.88593848,0.26694322,0.00181173,0.21844081,0.00000000
-5.50175088,1.52307436,0.73990108,0.92533442,0.27966249,0.00190375,0.22765080,0.00000000
-5.49574787,1.58142477,0.77208747,0.96110322,0.29138726,0.00198812,0.23570499,0.00000000
-5.48974487,1.63245937,0.80077672,0.99260388,0.30192465,0.00206360,0.24244899,0.00000000
-5.48374187,1.67526604,0.82551921,1.01927784,0.31110692,0.00212916,0.24775284,0.00000000
-5.47773887,1.70910598,0.84594420,1.04066770,0.31879598,0.00218393,0.25151582,0.00000000
-5.47173587,1.73343926,0.86177118,1.05643295,0.32488703,0.00222729,0.25367054,0.00000000
-5.46573287,1.74794439,0.87281846,1.06636233,0.32931123,0.00225887,0.25418585,0.00000000
-5.45972986,1.75253117,0.87900886,1.07038216,0.33203730,0.00227852,0.25306870,0.00000000
-5.45372686,1.74734643,0.88037234,1.06856047,0.33307206,0.00228641,0.25036463,0.00000000
-5.44772386,1.73277260,0.87704551,1.06110686,0.33245996,0.00228291,0.24615708,0.00000000
-5.44172086,1.70941939,0.86926843,1.04836820,0.33028176,0.00226870,0.24056550,0.00000000
-5.43571786,1.67810911,0.85737867,1.03082049,0.32665229,0.00224465,0.23374225,0.00000000
-5.42971486,1.63985647,0.84180338,1.00905730,0.32171769,0.00221186,0.22586870,0.00000000
-5.42371186,1.59584387,0.82304947,0.98377541,0.31565211,0.00217164,0.21715041,0.00000000
-5.41770885,1.54739314,0.80169265,0.95575824,0.30865403,0.00212542,0.20781187,0.00000000
-5.41170585,1.49593503,0.77836555,0.92585769,0.30094252,0.00207479,0.19809087,0.00000000
-5.40570285,1.44297723,0.75374550,0.89497499,0.29275329,0.00202144,0.18823268,0.00000000
-5.39969985,1.39007213,0.72854222,0.86404121,0.28433481,0.00196709,0.17848438,0.00000000
-5.39369685,1.33878487,0.70348561,0.83399775,0.27594446,0.00191353,0.16908942,0.00000000
-5.38769385,1.29066240,0.67931381,0.80577726,0.26784475,0.00186252,0.16028247,0.00000000
-5.38169085,1.24720378,0.65676166,0.78028524,0.26029952,0.00181580,0.15228483,0.00000000
-5.37568784,1.20983217,0.63654931,0.75838241,0.25357011,0.00177504,0.14530029,0.00000000
-5.36968484,1.17986830,0.61937099,0.74086799,0.24791149,0.00174181,0.13951155,0.00000000
-5.36368184,1.15850561,0.60588385,0.72846389,0.24356807,0.00171755,0.13507716,0.00000000
-5.35767884,1.14678686,0.59669651,0.72179978,0.24076944,0.00170354,0.13212899,0.00000000
-5.35167584,1.14558223,0.59235746,0.72139919,0.23972569,0.00170086,0.13077007,0.00000000
-5.34567284,1.15556887,0.59334308,0.72766652,0.24062251,0.00171038,0.13107297,0.00000000
-5.33966983,1.17721211,0.60004541,0.74087531,0.24361603,0.00173272,0.13307842,0.00000000
-5.33366683,1.21074862,0.61275982,0.76115774,0.24882757,0.00176823,0.13679442,0.00000000
-5.32766383,1.25617190,0.63167285,0.78849600,0.25633832,0.00181693,0.14219557,0.00000000
-5.32166083,1.31322089,0.65685075,0.82271558,0.26618426,0.00187858,0.14922287,0.00000000
-5.31565783,1.38137220,0.68822906,0.86348125,0.27835156,0.00195256,0.15778391,0.00000000
-5.30965483,1.45983714,0.72560403,0.91029599,0.29277264,0.00203796,0.16775349,0.00000000
-5.30365183,1.54756400,0.76862647,0.96250350,0.30932327,0.00213353,0.17897486,0.00000000
-5.29764882,1.64324681,0.81679877,1.01929466,0.32782101,0.00223769,0.19126150,0.00000000
-5.29164582,1.74534082,0.86947558,1.07971834,0.34802512,0.00234857,0.20439965,0.00000000
-5.28564282,1.85208555,0.92586903,1.14269666,0.36963835,0.00246407,0.21815153,0.00000000
-5.27963982,1.96153524,0.98505842,1.20704482,0.39231059,0.00258184,0.23225940,0.00000000
-5.27363682,2.07159679,1.04600514,1.27149526,0.41564462,0.00269937,0.24645025,0.00000000
-5.26763382,2.18007445,1.10757230,1.33472569,0.43920376,0.00281405,0.26044134,0.00000000
-5.26163082,2.28472033,1.16854915,1.39539043,0.46252149,0.00292323,0.27394627,0.00000000
-5.25562781,2.38328955,1.22767961,1.45215407,0.48511270,0.00302428,0.28668149,0.00000000
-5.24962481,2.47359809,1.28369415,1.50372645,0.50648623,0.00311468,0.29837320,0.00000000
-5.24362181,2.55358157,1.33534389,1.54889781,0.52615835,0.00319209,0.30876427,0.00000000
-5.23761881,2.62135273,1.38143593,1.58657262,0.54366664,0.00325440,0.31762093,0.00000000
-5.23161581,2.67525536,1.42086827,1.61580097,0.55858379,0.00329982,0.32473919,0.00000000
-5.22561281,2.71391255,1.45266310,1.63580618,0.57053062,0.00332689,0.32995038,0.00000000
-5.21960980,2.73626712,1.47599690,1.64600734,0.57918791,0.00333458,0.33312597,0.00000000
-5.21360680,2.74161253,1.49022615,1.64603601,0.58430644,0.00332227,0.33418107,0.00000000
-5.20760380,2.72961286,1.49490736,1.63574620,0.58571480,0.00328980,0.33307681,0.00000000
-5.20160080,2.70031096,1.48981055,1.61521721,0.58332464,0.00323743,0.32982115,0.00000000
-5.19559780,2.65412432,1.47492555,1.58474926,0.57713302,0.00316587,0.32446831,0.00000000
-5.18959480,2.59182890,1.45046084,1.54485197,0.56722193,0.00307624,0.31711675,0.00000000
-5.18359180,2.51453151,1.41683490,1.49622636,0.55375483,0.00297000,0.30790573,0.00000000
-5.17758879,2.42363201,1.37466055,1.43974102,0.53697050,0.00284894,0.29701066,0.00000000
-5.17158579,2.32077707,1.32472306,1.37640354,0.51717441,0.00271509,0.28463741,0.00000000
-5.16558279,2.20780721,1.26795284,1.30732845,0.49472806,0.00257067,0.27101583,0.00000000
-5.15957979,2.08669972,1.20539427,1.23370300,0.47003683,0.00241803,0.25639270,0.00000000
-5.15357679,1.95950950,1.13817178,1.15675207,0.44353674,0.00225955,0.24102445,0.00000000
