energy_ev,total_up,C_s_up,C_p_up,S_s_up,S_p_up,V_p_up,V_d_up
-6.00000000,0.91098538,0.00169449,0.12801903,0.00065935,0.30228011,0.15751801,0.13170284
-5.99399700,0.88719536,0.00172037,0.12466906,0.00066958,0.29442927,0.15280374,0.12841244
-5.98799400,0.85865256,0.00174582,0.12066230,0.00068092,0.28497352,0.14728573,0.12444249
-5.98199100,0.82593656,0.00177265,0.11608345,0.00069400,0.27409878,0.14108817,0.11987616
-5.97598799,0.78970781,0.00180283,0.11102821,0.00070953,0.26201856,0.13434576,0.11480861
-5.96998499,0.75068525,0.00183843,0.10560006,0.00072825,0.24896670,0.12719950,0.10934367
-5.96398199,0.70962252,0.00188153,0.09990690,0.00075093,0.23518956,0.11979235,0.10359049
-5.95797899,0.66728402,0.00193415,0.09405759,0.00077831,0.22093816,0.11226505,0.09765995
-5.95197599,0.62442169,0.00199816,0.08815872,0.00081106,0.20646054,0.10475220,0.09166132
-5.94597299,0.58175341,0.00207519,0.08231151,0.00084979,0.19199462,0.09737872,0.08569899
-5.93996998,0.53994394,0.00216658,0.07660918,0.00089496,0.17776190,0.09025692,0.07986973
-5.93396698,0.49958890,0.00227325,0.07113467,0.00094688,0.16396210,0.08348412,0.07426026
-5.92796398,0.46120244,0.00239572,0.06595894,0.00100566,0.15076905,0.07714099,0.06894541
-5.92196098,0.42520866,0.00253398,0.06113985,0.00107125,0.13832778,0.07129055,0.06398683
-5.91595798,0.39193715,0.00268755,0.05672153,0.00114336,0.12675290,0.06597791,0.05943232
-5.90995498,0.36162239,0.00285540,0.05273438,0.00122149,0.11612838,0.06123070,0.05531578
-5.90395198,0.33440702,0.00303605,0.04919566,0.00130494,0.10650837,0.05706000,0.05165767
-5.89794897,0.31034838,0.00322758,0.04611046,0.00139284,0.09791930,0.05346201,0.04846609
-5.89194597,0.28942824,0.00342769,0.04347323,0.00148418,0.09036282,0.05042002,0.04573825
-5.88594297,0.27156491,0.00363388,0.04126962,0.00157785,0.08381964,0.04790686,0.04346245
-5.87993997,0.25662742,0.00384352,0.03947862,0.00167271,0.07825395,0.04588763,0.04162032
-5.87393697,0.24445109,0.00405402,0.03807496,0.00176764,0.07361828,0.04432257,0.04018932
-5.86793397,0.23485399,0.00426305,0.03703162,0.00186167,0.06985870,0.04317016,0.03914541
-5.86193097,0.22765366,0.00446868,0.03632236,0.00195400,0.06692000,0.04239006,0.03846582
-5.85592796,0.22268367,0.00466958,0.03592427,0.00204415,0.06475088,0.04194618,0.03813173
-5.84992496,0.21980943,0.00486528,0.03582025,0.00213200,0.06330892,0.04180945,0.03813092
-5.84392196,0.21894283,0.00505628,0.03600120,0.00221793,0.06256508,0.04196049,0.03846023
-5.83791896,0.22005528,0.00524428,0.03646809,0.00230287,0.06250781,0.04239193,0.03912768
-5.83191596,0.22318869,0.00543232,0.03723365,0.00238840,0.06314646,0.04311039,0.04015435
-5.82591296,0.22846418,0.00562486,0.03832370,0.00247678,0.06451407,0.04413814,0.04157579
-5.81990995,0.23608798,0.00582791,0.03977806,0.00257102,0.06666920,0.04551419,0.04344294
-5.81390695,0.24635446,0.00604900,0.04165095,0.00267490,0.06969701,0.04729495,0.04582253
-5.80790395,0.25964589,0.00629716,0.04401095,0.00279295,0.07370923,0.04955435,0.04879685
-5.80190095,0.27642875,0.00658284,0.04694029,0.00293044,0.07884325,0.05238334,0.05246294
-5.79589795,0.29724658,0.00691769,0.05053364,0.00309331,0.08526003,0.05588881,0.05693101
-5.78989495,0.32270921,0.00731440,0.05489626,0.00328809,0.09314097,0.06019183,0.06232226
-5.78389195,0.35347844,0.00778632,0.06014159,0.00352178,0.10268375,0.06542537,0.06876599
-5.77788894,0.39025040,0.00834715,0.06638827,0.00380170,0.11409711,0.07173129,0.07639606
-5.77188594,0.43373477,0.00901048,0.07375666,0.00413529,0.12759468,0.07925679,0.08534677
-5.76588294,0.48463147,0.00978936,0.08236487,0.00452995,0.14338812,0.08815038,0.09574827
-5.75987994,0.54360519,0.01069575,0.09232450,0.00499282,0.16167945,0.09855735,0.10772156
-5.75387694,0.61125877,0.01174000,0.10373618,0.00553050,0.18265313,0.11061498,0.12137333
-5.74787394,0.68810609,0.01293038,0.11668498,0.00614886,0.20646797,0.12444749,0.13679077
-5.74187094,0.77454564,0.01427251,0.13123600,0.00685280,0.23324910,0.14016103,0.15403651
-5.73586793,0.87083588,0.01576896,0.14743018,0.00764600,0.26308065,0.15783884,0.17314409
-5.72986493,0.97707346,0.01741884,0.16528073,0.00853077,0.29599904,0.17753672,0.19411395
-5.72386193,1.09317555,0.01921749,0.18477011,0.00950784,0.33198770,0.19927911,0.21691043
-5.71785893,1.21886733,0.02115635,0.20584799,0.01057626,0.37097314,0.22305595,0.24145978
-5.71185593,1.35367550,0.02322284,0.22843017,0.01173331,0.41282291,0.24882052,0.26764953
-5.70585293,1.49692864,0.02540054,0.25239875,0.01297449,0.45734554,0.27648830,0.29532915
-5.69984992,1.64776469,0.02766939,0.27760343,0.01429355,0.50429260,0.30593717,0.32431234
-5.69384692,1.80514573,0.03000611,0.30386410,0.01568257,0.55336289,0.33700890,0.35438063
-5.68784392,1.96787971,0.03238479,0.33097466,0.01713211,0.60420871,0.36951183,0.38528854
-5.68184092,2.13464838,0.03477757,0.35870790,0.01863142,0.65644388,0.40322491,0.41676980
-5.67583792,2.30404045,0.03715543,0.38682129,0.02016866,0.70965328,0.43790278,0.44854470
-5.66983492,2.47458843,0.03948916,0.41506340,0.02173117,0.76340346,0.47328177,0.48032799
-5.66383192,2.64480753,0.04175024,0.44318086,0.02330576,0.81725372,0.50908657,0.51183721
-5.65782891,2.81323478,0.04391182,0.47092518,0.02487896,0.87076720,0.54503726,0.54280084
-5.65182591,2.97846647,0.04594965,0.49805955,0.02643731,0.92352146,0.58085639,0.57296603
-5.64582291,3.13919200,0.04784294,0.52436487,0.02796760,0.97511781,0.61627589,0.60210540
-5.63981991,3.29422262,0.04957505,0.54964509,0.02945704,1.02518915,0.65104331,0.63002275
-5.63381691,3.44251375,0.05113405,0.57373136,0.03089347,1.07340590,0.68492738,0.65655712
-5.62781391,3.58317991,0.05251318,0.59648498,0.03226541,1.11947972,0.71772250,0.68158532
-5.62181091,3.71550203,0.05371094,0.61779895,0.03356211,1.16316499,0.74925211,0.70502263
-5.61580790,3.83892711,0.05473111,0.63759824,0.03477361,1.20425830,0.77937100,0.72682186
-5.60980490,3.95306097,0.05558247,0.65583870,0.03589063,1.24259591,0.80796629,0.74697073
-5.60380190,4.05765515,0.05627840,0.67250491,0.03690457,1.27804982,0.83495757,0.76548796
-5.59779890,4.15258942,0.05683616,0.68760714,0.03780740,1.31052278,0.86029604,0.78241824
-5.59179590,4.23785156,0.05727621,0.70117762,0.03859162,1.33994285,0.88396304,0.79782660
-5.58579290,4.31351612,0.05762121,0.71326651,0.03925015,1.36625804,0.90596814,0.81179238
-5.57978989,4.37972406,0.05789516,0.72393780,0.03977638,1.38943155,0.92634694,0.82440329
-5.57378689,4.43666448,0.05812231,0.73326540,0.04016414,1.40943802,0.94515888,0.83574991
-5.56778389,4.48455986,0.05832624,0.74132961,0.04040779,1.42626118,0.96248505,0.84592086
-5.56178089,4.52365533,0.05852890,0.74821417,0.04050235,1.43989290,0.97842618,0.85499887
-5.55577789,4.55421234,0.05874978,0.75400392,0.04044366,1.45033381,0.99310071,0.86305788
-5.54977489,4.57650643,0.05900517,0.75878303,0.04022856,1.45759525,1.00664283,0.87016112
-5.54377189,4.59082835,0.05930761,0.76263389,0.03985518,1.46170213,1.01920050,0.87636021
-5.53776888,4.59748762,0.05966539,0.76563628,0.03932316,1.46269651,1.03093299,0.88169499
-5.53176588,4.59681698,0.06008234,0.76786685,0.03863385,1.46064115,1.04200797,0.88619406
-5.52576288,4.58917663,0.06055767,0.76939870,0.03779057,1.45562271,1.05259780,0.88987559
-5.51975988,4.57495663,0.06108601,0.77030073,0.03679873,1.44775391,1.06287490,0.89274834
-5.51375688,4.55457644,0.06165760,0.77063679,0.03566594,1.43717443,1.07300611,0.89481262
-5.50775388,4.52848076,0.06225859,0.77046443,0.03440203,1.42405010,1.08314612,0.89606097
-5.50175088,4.49713131,0.06287148,0.76983319,0.03301895,1.40857031,1.09342990,0.89647851
-5.49574787,4.46099444,0.06347568,0.76878259,0.03153068,1.39094361,1.10396470,0.89604304
-5.48974487,4.42052537,0.06404808,0.76733969,0.02995292,1.37139174,1.11482159,0.89472464
-5.48374187,4.37614983,0.06456381,0.76551668,0.02830286,1.35014234,1.12602737,0.89248524
