energy_ev,total_up,C_s_up,C_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,2.38972436,0.00956191,0.35736824,3.75926515,1.15463612,0.48593022,0.00000000
-5.99399700,2.41275087,0.00980472,0.35421607,3.75807438,1.18385820,0.48309583,0.00000000
-5.98799400,2.44464767,0.01011062,0.35081017,3.76546122,1.21927692,0.48242737,0.00000000
-5.98199100,2.48638787,0.01047972,0.34724588,3.78285149,1.26147768,0.48409382,0.00000000
-5.97598799,2.53895887,0.01091101,0.34364663,3.81174212,1.31104089,0.48824875,0.00000000
-5.96998499,2.60331575,0.01140231,0.34015729,3.85363549,1.36851392,0.49502441,0.00000000
-5.96398199,2.68033067,0.01195029,0.33693646,3.90996495,1.43438076,0.50452563,0.00000000
-5.95797899,2.77073975,0.01255044,0.33414798,3.98201398,1.50903066,0.51682384,0.00000000
-5.95197599,2.87508932,0.01319712,0.33195221,4.07083214,1.59272635,0.53195116,0.00000000
-5.94597299,2.99368353,0.01388363,0.33049726,4.17715178,1.68557349,0.54989488,0.00000000
-5.93996998,3.12653571,0.01460227,0.32991076,4.30130930,1.78749224,0.57059241,0.00000000
-5.93396698,3.27332576,0.01534444,0.33029242,4.44317537,1.89819260,0.59392705,0.00000000
-5.92796398,3.43336597,0.01610072,0.33170786,4.60209796,2.01715475,0.61972483,0.00000000
-5.92196098,3.60557745,0.01686101,0.33418388,4.77686232,2.14361582,0.64775266,0.00000000
-5.91595798,3.78847915,0.01761464,0.33770552,4.96567076,2.27656414,0.67771816,0.00000000
-5.90995498,3.98019112,0.01835052,0.34221491,5.16614510,2.41474206,0.70927133,0.00000000
-5.90395198,4.17845294,0.01905731,0.34761211,5.37535313,2.55665792,0.74200831,0.00000000
-5.89794897,4.38065799,0.01972358,0.35375779,5.58985970,2.70060768,0.77547737,0.00000000
-5.89194597,4.58390323,0.02033805,0.36047766,5.80580161,2.84470588,0.80918708,0.00000000
-5.88594297,4.78505352,0.02088976,0.36756839,6.01898458,2.98692572,0.84261665,0.00000000
-5.87993997,4.98081894,0.02136831,0.37480493,6.22499896,3.12514700,0.87522824,0.00000000
-5.87393697,5.16784256,0.02176413,0.38194856,6.41935025,3.25721073,0.90648080,0.00000000
-5.86793397,5.34279569,0.02206867,0.38875567,6.59759911,3.38097846,0.93584513,0.00000000
-5.86193097,5.50247690,0.02227469,0.39498657,6.75550522,3.49439415,0.96281944,0.00000000
-5.85592796,5.64391107,0.02237644,0.40041415,6.88916878,3.59554622,0.98694499,0.00000000
-5.84992496,5.76444407,0.02236990,0.40483187,6.99516333,3.68272716,1.00782089,0.00000000
-5.84392196,5.86182912,0.02225288,0.40806090,7.07065390,3.75448815,1.02511750,0.00000000
-5.83791896,5.93430080,0.02202522,0.40995598,7.11349509,3.80968614,1.03858774,0.00000000
-5.83191596,5.98063349,0.02168879,0.41040982,7.12230449,3.84752143,1.04807573,0.00000000
-5.82591296,6.00018123,0.02124752,0.40935600,7.09650798,3.86756366,1.05352214,0.00000000
-5.81990995,5.99289723,0.02070736,0.40677014,7.03635506,3.86976519,1.05496618,0.00000000
-5.81390695,5.95933211,0.02007612,0.40266946,6.94290332,3.85446108,1.05254372,0.00000000
-5.80790395,5.90061070,0.01936331,0.39711079,6.81797320,3.82235552,1.04648191,0.00000000
-5.80190095,5.81838871,0.01857991,0.39018714,6.66407537,3.77449558,1.03709014,0.00000000
-5.79589795,5.71479126,0.01773804,0.38202318,6.48431421,3.71223320,1.02474814,0.00000000
-5.78989495,5.59233623,0.01685070,0.37276966,6.28227241,3.63717750,1.00989145,0.00000000
-5.78389195,5.45384605,0.01593139,0.36259730,6.06188208,3.55113950,0.99299508,0.00000000
-5.77788894,5.30235224,0.01499376,0.35169032,5.82728850,3.45607198,0.97455626,0.00000000
-5.77188594,5.14099701,0.01405130,0.34023997,5.58271278,3.35400715,0.95507692,0.00000000
-5.76588294,4.97293642,0.01311700,0.32843834,5.33231943,3.24699510,0.93504685,0.00000000
-5.75987994,4.80124945,0.01220304,0.31647272,5.08009444,3.13704557,0.91492838,0.00000000
-5.75387694,4.62885656,0.01132064,0.30452072,4.82973863,3.02607568,0.89514315,0.00000000
-5.74787394,4.45845111,0.01047977,0.29274639,4.58458008,2.91586537,0.87606159,0.00000000
-5.74187094,4.29244584,0.00968911,0.28129738,4.34750826,2.80802235,0.85799550,0.00000000
-5.73586793,4.13293576,0.00895591,0.27030321,4.12093130,2.70395728,0.84119399,0.00000000
-5.72986493,3.98167816,0.00828604,0.25987471,3.90675662,2.60486963,0.82584266,0.00000000
-5.72386193,3.84008903,0.00768398,0.25010450,3.70639379,2.51174395,0.81206595,0.00000000
-5.71785893,3.70925464,0.00715294,0.24106838,3.52077779,2.42535570,0.79993234,0.00000000
-5.71185593,3.58995629,0.00669494,0.23282756,3.35040958,2.34628540,0.78946178,0.00000000
-5.70585293,3.48270534,0.00631096,0.22543138,3.19541049,2.27493933,0.78063486,0.00000000
-5.69984992,3.38778558,0.00600113,0.21892047,3.05558647,2.21157495,0.77340296,0.00000000
-5.69384692,3.30529961,0.00576483,0.21332999,2.93049792,2.15632880,0.76769878,0.00000000
-5.68784392,3.23521583,0.00560087,0.20869275,2.81953100,2.10924501,0.76344641,0.00000000
-5.68184092,3.17741299,0.00550761,0.20504202,2.72196666,2.07030224,0.76057036,0.00000000
-5.67583792,3.13171957,0.00548305,0.20241384,2.63704384,2.03943750,0.75900307,0.00000000
-5.66983492,3.09794571,0.00552496,0.20084863,2.56401406,2.01656538,0.75869035,0.00000000
