energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.35671035,0.04135773,0.05543145,0.00028203,0.01636125,0.00117537,0.14900726
-5.99399700,0.38630880,0.04471180,0.06005969,0.00034458,0.01753285,0.00138487,0.16194535
-5.98799400,0.41594686,0.04804909,0.06470208,0.00041814,0.01865501,0.00162607,0.17505717
-5.98199100,0.44534715,0.05133478,0.06931641,0.00050393,0.01970842,0.00190246,0.18824691
-5.97598799,0.47423992,0.05453503,0.07386151,0.00060318,0.02067421,0.00221758,0.20142162
-5.96998499,0.50237190,0.05761813,0.07829851,0.00071705,0.02153462,0.00257501,0.21449431
-5.96398199,0.52951465,0.06055559,0.08259210,0.00084657,0.02227352,0.00297825,0.22738695
-5.95797899,0.55547214,0.06332313,0.08671149,0.00099266,0.02287702,0.00343064,0.24003297
-5.95197599,0.58008703,0.06590158,0.09063127,0.00115599,0.02333393,0.00393528,0.25237940
-5.94597299,0.60324548,0.06827760,0.09433200,0.00133700,0.02363627,0.00449492,0.26438832
-5.93996998,0.62488017,0.07044416,0.09780042,0.00153580,0.02377951,0.00511183,0.27603774
-5.93396698,0.64497146,0.07240088,0.10102950,0.00175213,0.02376286,0.00578777,0.28732176
-5.92796398,0.66354675,0.07415409,0.10401806,0.00198534,0.02358930,0.00652380,0.29825012
-5.92196098,0.68067797,0.07571672,0.10677021,0.00223433,0.02326559,0.00732030,0.30884715
-5.91595798,0.69647767,0.07710793,0.10929450,0.00249754,0.02280210,0.00817684,0.31915033
-5.90995498,0.71109375,0.07835270,0.11160293,0.00277295,0.02221248,0.00909214,0.32920844
-5.90395198,0.72470349,0.07948116,0.11370989,0.00305805,0.02151334,0.01006408,0.33907960
-5.89794897,0.73750696,0.08052787,0.11563103,0.00334995,0.02072372,0.01108967,0.34882924
-5.89194597,0.74972044,0.08153115,0.11738224,0.00364531,0.01986459,0.01216507,0.35852826
-5.88594297,0.76157014,0.08253218,0.11897873,0.00394051,0.01895819,0.01328565,0.36825133
-5.87993997,0.77328647,0.08357436,0.12043431,0.00423167,0.01802752,0.01444602,0.37807556
-5.87393697,0.78509909,0.08470247,0.12176093,0.00451474,0.01709564,0.01564017,0.38807951
-5.86793397,0.79723285,0.08596203,0.12296845,0.00478566,0.01618513,0.01686147,0.39834244
-5.86193097,0.80990465,0.08739861,0.12406473,0.00504039,0.01531754,0.01810284,0.40894390
-5.85592796,0.82332097,0.08905716,0.12505589,0.00527510,0.01451288,0.01935677,0.41996335
-5.84992496,0.83767604,0.09098135,0.12594686,0.00548623,0.01378923,0.02061548,0.43147981
-5.84392196,0.85315019,0.09321292,0.12674201,0.00567062,0.01316234,0.02187093,0.44357133
-5.83791896,0.86990826,0.09579086,0.12744590,0.00582560,0.01264537,0.02311490,0.45631404
-5.83191596,0.88809763,0.09875063,0.12806404,0.00594907,0.01224870,0.02433903,0.46978075
-5.82591296,0.90784560,0.10212317,0.12860346,0.00603954,0.01197978,0.02553486,0.48403888
-5.81990995,0.92925600,0.10593388,0.12907330,0.00609620,0.01184305,0.02669383,0.49914769
-5.81390695,0.95240488,0.11020143,0.12948501,0.00611889,0.01183997,0.02780728,0.51515488
-5.80790395,0.97733530,0.11493655,0.12985236,0.00610813,0.01196906,0.02886648,0.53209249
-5.80190095,1.00405136,0.12014074,0.13019121,0.00606508,0.01222595,0.02986261,0.54997241
-5.79589795,1.03251184,0.12580501,0.13051884,0.00599148,0.01260363,0.03078682,0.56878154
-5.78989495,1.06262373,0.13190873,0.13085319,0.00588957,0.01309253,0.03163024,0.58847712
-5.78389195,1.09423630,0.13841859,0.13121178,0.00576207,0.01368081,0.03238408,0.60898238
-5.77788894,1.12713624,0.14528792,0.13161051,0.00561203,0.01435459,0.03303972,0.63018296
-5.77188594,1.16104438,0.15245630,0.13206244,0.00544277,0.01509824,0.03358886,0.65192441
-5.76588294,1.19561479,0.15984955,0.13257658,0.00525782,0.01589470,0.03402373,0.67401127
-5.75987994,1.23043654,0.16738037,0.13315688,0.00506081,0.01672583,0.03433727,0.69620781
-5.75387694,1.26503868,0.17494937,0.13380140,0.00485540,0.01757277,0.03452338,0.71824091
-5.74787394,1.29889872,0.18244678,0.13450195,0.00464528,0.01841632,0.03457721,0.73980496
-5.74187094,1.33145449,0.18975472,0.13524395,0.00443407,0.01923736,0.03449542,0.76056900
-5.73586793,1.36211946,0.19674994,0.13600694,0.00422533,0.02001725,0.03427643,0.78018592
-5.72986493,1.39030102,0.20330716,0.13676540,0.00402258,0.02073823,0.03392066,0.79830342
-5.72386193,1.41542118,0.20930267,0.13749011,0.00382925,0.02138383,0.03343077,0.81457656
-5.71785893,1.43693894,0.21461823,0.13814989,0.00364877,0.02193924,0.03281176,0.82868117
-5.71185593,1.45437335,0.21914506,0.13871360,0.00348455,0.02239164,0.03207110,0.84032778
-5.70585293,1.46732627,0.22278777,0.13915245,0.00334004,0.02273053,0.03121876,0.84927533
-5.69984992,1.47550357,0.22546806,0.13944229,0.00321873,0.02294795,0.03026709,0.85534396
-5.69384692,1.47873383,0.22712795,0.13956589,0.00312425,0.02303865,0.02923072,0.85842627
-5.68784392,1.47698321,0.22773249,0.13951498,0.00306032,0.02300023,0.02812634,0.85849639
-5.68184092,1.47036573,0.22727169,0.13929195,0.00303077,0.02283315,0.02697236,0.85561621
-5.67583792,1.45914802,0.22576168,0.13891103,0.00303956,0.02254069,0.02578859,0.84993846
-5.66983492,1.44374807,0.22324486,0.13839889,0.00309072,0.02212879,0.02459576,0.84170608
-5.66383192,1.42472749,0.21978912,0.13779451,0.00318828,0.02160587,0.02341508,0.83124791
-5.65782891,1.40277759,0.21548610,0.13714841,0.00333623,0.02098254,0.02226773,0.81897055
-5.65182591,1.37869916,0.21044854,0.13652105,0.00353836,0.02027127,0.02117435,0.80534664
-5.64582291,1.35337693,0.20480674,0.13598056,0.00379817,0.01948596,0.02015452,0.79089982
