energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.37615691,0.00504524,0.58850198,0.02356362,0.11072338,0.59966984,0.36248558
-5.99399700,1.36760370,0.00500305,0.58501797,0.02334634,0.11006578,0.59787153,0.36091608
-5.98799400,1.35589501,0.00497148,0.58015749,0.02312628,0.10914234,0.59361051,0.35895209
-5.98199100,1.34113750,0.00495033,0.57397743,0.02289887,0.10795720,0.58693318,0.35662084
-5.97598799,1.32348669,0.00493913,0.56655823,0.02265926,0.10651697,0.57794038,0.35395242
-5.96998499,1.30314304,0.00493716,0.55800131,0.02240266,0.10483082,0.56678279,0.35097907
-5.96398199,1.28034587,0.00494349,0.54842551,0.02212452,0.10291061,0.55365451,0.34773413
-5.95797899,1.25536579,0.00495698,0.53796272,0.02182078,0.10077084,0.53878511,0.34425085
-5.95197599,1.22849555,0.00497635,0.52675296,0.02148809,0.09842856,0.52243055,0.34056085
-5.94597299,1.20004008,0.00500014,0.51493911,0.02112388,0.09590309,0.50486347,0.33669260
-5.93996998,1.17030599,0.00502679,0.50266155,0.02072656,0.09321576,0.48636331,0.33266977
-5.93396698,1.13959127,0.00505463,0.49005306,0.02029545,0.09038944,0.46720673,0.32850972
-5.92796398,1.10817560,0.00508190,0.47723424,0.01983090,0.08744808,0.44765876,0.32422221
-5.92196098,1.07631203,0.00510680,0.46430957,0.01933416,0.08441624,0.42796507,0.31980846
-5.91595798,1.04422027,0.00512747,0.45136469,0.01880733,0.08131852,0.40834568,0.31526064
-5.90995498,1.01208222,0.00514204,0.43846457,0.01825328,0.07817911,0.38899027,0.31056196
-5.90395198,0.98003989,0.00514869,0.42565313,0.01767549,0.07502141,0.37005533,0.30568733
-5.89794897,0.94819589,0.00514560,0.41295406,0.01707797,0.07186766,0.35166300,0.30060471
-5.89194597,0.91661639,0.00513107,0.40037285,0.01646509,0.06873878,0.33390164,0.29527704
-5.88594297,0.88533643,0.00510353,0.38789994,0.01584154,0.06565428,0.31682804,0.28966469
-5.87993997,0.85436728,0.00506155,0.37551480,0.01521219,0.06263233,0.30047079,0.28372836
-5.87393697,0.82370521,0.00500396,0.36319060,0.01458205,0.05968987,0.28483478,0.27743231
-5.86793397,0.79334124,0.00492982,0.35089929,0.01395624,0.05684294,0.26990639,0.27074758
-5.86193097,0.76327120,0.00483850,0.33861669,0.01333996,0.05410697,0.25565898,0.26365522
-5.85592796,0.73350537,0.00472970,0.32632734,0.01273848,0.05149720,0.24205846,0.25614911
-5.84992496,0.70407713,0.00460350,0.31402871,0.01215715,0.04902895,0.22906854,0.24823842
-5.84392196,0.67504999,0.00446031,0.30173462,0.01160143,0.04671804,0.21665537,0.23994927
-5.83791896,0.64652251,0.00430097,0.28947763,0.01107683,0.04458096,0.20479150,0.23132569
-5.83191596,0.61863082,0.00412663,0.27731011,0.01058898,0.04263503,0.19345879,0.22242966
-5.82591296,0.59154841,0.00393883,0.26530420,0.01014352,0.04089838,0.18265033,0.21334026
-5.81990995,0.56548332,0.00373937,0.25355033,0.00974606,0.03938976,0.17237132,0.20415186
-5.81390695,0.54067271,0.00353034,0.24215472,0.00940213,0.03812823,0.16263891,0.19497153
-5.80790395,0.51737517,0.00331399,0.23123567,0.00911701,0.03713271,0.15348119,0.18591573
-5.80190095,0.49586121,0.00309272,0.22091916,0.00889559,0.03642135,0.14493533,0.17710643
-5.79589795,0.47640244,0.00286901,0.21133379,0.00874226,0.03601085,0.13704530,0.16866688
-5.78989495,0.45926008,0.00264530,0.20260550,0.00866068,0.03591572,0.12985911,0.16071730
-5.78389195,0.44467355,0.00242397,0.19485228,0.00865362,0.03614753,0.12342608,0.15337059
-5.77788894,0.43284970,0.00220728,0.18817927,0.00872284,0.03671425,0.11779407,0.14672841
-5.77188594,0.42395349,0.00199729,0.18267446,0.00886887,0.03761961,0.11300718,0.14087776
-5.76588294,0.41810065,0.00179583,0.17840533,0.00909097,0.03886281,0.10910392,0.13588831
