energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,0.75275408,0.25529231,0.15980177,0.00952912,0.26616046,0.00739132,0.12096247
-5.99399700,0.79986778,0.27417213,0.16980087,0.01003675,0.28405600,0.00802959,0.12734124
-5.98799400,0.84849960,0.29429796,0.18006973,0.01053696,0.30276350,0.00876304,0.13357668
-5.98199100,0.89797564,0.31548199,0.19046218,0.01102057,0.32205920,0.00958876,0.13954546
-5.97598799,0.94762337,0.33752118,0.20083280,0.01147870,0.34171471,0.01050313,0.14513032
-5.96998499,0.99678611,0.36020015,0.21104000,0.01190309,0.36150115,0.01150167,0.15022366
-5.96398199,1.04483639,0.38329385,0.22094899,0.01228627,0.38119301,0.01257882,0.15473088
-5.95797899,1.09118774,0.40657021,0.23043425,0.01262173,0.40057160,0.01372780,0.15857323
-5.95197599,1.13530456,0.42979267,0.23938170,0.01290408,0.41942800,0.01494037,0.16169009
-5.94597299,1.17670981,0.45272262,0.24769034,0.01312913,0.43756555,0.01620678,0.16404067
-5.93996998,1.21499047,0.47512179,0.25527342,0.01329393,0.45480180,0.01751565,0.16560489
-5.93396698,1.24980066,0.49675470,0.26205911,0.01339677,0.47096996,0.01885392,0.16638356
-5.92796398,1.28086258,0.51739115,0.26799064,0.01343713,0.48591986,0.02020697,0.16639776
-5.92196098,1.30796551,0.53680870,0.27302608,0.01341563,0.49951864,0.02155865,0.16568755
-5.91595798,1.33096295,0.55479545,0.27713770,0.01333388,0.51165098,0.02289157,0.16430989
-5.90995498,1.34976855,0.57115276,0.28031104,0.01319435,0.52221923,0.02418733,0.16233616
-5.90395198,1.36435078,0.58569815,0.28254373,0.01300024,0.53114329,0.02542694,0.15984905
-5.89794897,1.37472706,0.59826824,0.28384421,0.01275533,0.53836046,0.02659115,0.15693931
-5.89194597,1.38095747,0.60872156,0.28423039,0.01246378,0.54382519,0.02766106,0.15370216
-5.88594297,1.38313838,0.61694131,0.28372819,0.01213007,0.54750883,0.02861850,0.15023385
-5.87993997,1.38139623,0.62283771,0.28237031,0.01175879,0.54939933,0.02944665,0.14662820
-5.87393697,1.37588174,0.62635000,0.28019491,0.01135461,0.54950090,0.03013052,0.14297357
-5.86793397,1.36676452,0.62744791,0.27724454,0.01092213,0.54783358,0.03065739,0.13935006
-5.86193097,1.35422834,0.62613239,0.27356506,0.01046590,0.54443268,0.03101727,0.13582734
-5.85592796,1.33846693,0.62243569,0.26920483,0.00999030,0.53934808,0.03120321,0.13246295
-5.84992496,1.31968047,0.61642057,0.26421385,0.00949957,0.53264335,0.03121156,0.12930127
-5.84392196,1.29807276,0.60817878,0.25864319,0.00899778,0.52439463,0.03104205,0.12637315
-5.83791896,1.27384894,0.59782880,0.25254437,0.00848884,0.51468935,0.03069784,0.12369610
-5.83191596,1.24721396,0.58551287,0.24596893,0.00797651,0.50362476,0.03018541,0.12127518
-5.82591296,1.21837169,0.57139365,0.23896805,0.00746437,0.49130638,0.02951437,0.11910441
-5.81990995,1.18752460,0.55565036,0.23159229,0.00695588,0.47784630,0.02869708,0.11716859
-5.81390695,1.15487427,0.53847488,0.22389144,0.00645436,0.46336162,0.02774835,0.11544566
-5.80790395,1.12062242,0.52006785,0.21591438,0.00596295,0.44797291,0.02668493,0.11390917
-5.80190095,1.08497262,0.50063492,0.20770919,0.00548465,0.43180285,0.02552503,0.11253102
-5.79589795,1.04813253,0.48038340,0.19932322,0.00502225,0.41497515,0.02428784,0.11128418
