energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,0.15519710,0.00010277,0.04085427,0.00490022,0.02970542,0.00692324,0.02389639
-5.99399700,0.16791553,0.00012100,0.04413110,0.00543652,0.03224709,0.00745031,0.02596111
-5.98799400,0.18328950,0.00014243,0.04823209,0.00602554,0.03519000,0.00846896,0.02840089
-5.98199100,0.20125700,0.00016768,0.05316362,0.00666433,0.03850462,0.01005035,0.03120355
-5.97598799,0.22180536,0.00019753,0.05895183,0.00735013,0.04216520,0.01228832,0.03436292
-5.96998499,0.24498026,0.00023290,0.06564565,0.00808060,0.04615095,0.01530190,0.03788017
-5.96398199,0.27089564,0.00027490,0.07332010,0.00885408,0.05044738,0.01923782,0.04176517
-5.95797899,0.29974402,0.00032486,0.08207956,0.00966987,0.05504783,0.02427283,0.04603810
-5.95197599,0.33180689,0.00038431,0.09206102,0.01052860,0.05995505,0.03061564,0.05073095
-5.94597299,0.36746438,0.00045504,0.10343693,0.01143249,0.06518285,0.03850830,0.05588902
-5.93996998,0.40720351,0.00053909,0.11641745,0.01238571,0.07075758,0.04822688,0.06157226
-5.93396698,0.45162392,0.00063877,0.13125183,0.01339462,0.07671939,0.06008113,0.06785619
-5.92796398,0.50144012,0.00075663,0.14822842,0.01446800,0.08312310,0.07441279,0.07483244
-5.92196098,0.55747922,0.00089546,0.16767312,0.01561715,0.09003858,0.09159247,0.08260864
-5.91595798,0.62067303,0.00105824,0.18994584,0.01685589,0.09755041,0.11201473,0.09130747
-5.90995498,0.69204364,0.00124813,0.21543478,0.01820048,0.10575673,0.13609111,0.10106496
-5.90395198,0.77268185,0.00146835,0.24454805,0.01966927,0.11476726,0.16424105,0.11202756
-5.89794897,0.86371790,0.00172214,0.27770290,0.02128228,0.12470023,0.19688070,0.12434836
-5.89194597,0.96628456,0.00201262,0.31531216,0.02306059,0.13567846,0.23440934,0.13818208
-5.88594297,1.08147289,0.00234271,0.35776827,0.02502552,0.14782441,0.27719404,0.15367909
-5.87993997,1.21028157,0.00271498,0.40542515,0.02719773,0.16125436,0.32555236,0.17097845
-5.87393697,1.35356106,0.00313149,0.45857830,0.02959611,0.17607199,0.37973394,0.19020032
-5.86793397,1.51195460,0.00359366,0.51744396,0.03223667,0.19236145,0.43990135,0.21143778
-5.86193097,1.68583825,0.00410213,0.58213794,0.03513133,0.21018023,0.50611101,0.23474856
-5.85592796,1.87526275,0.00465660,0.65265528,0.03828676,0.22955224,0.57829503,0.26014695
-5.84992496,2.07990028,0.00525571,0.72885156,0.04170322,0.25046135,0.65624497,0.28759641
-5.84392196,2.29899913,0.00589695,0.81042728,0.04537367,0.27284583,0.73959844,0.31700316
-5.83791896,2.53134962,0.00657657,0.89691611,0.04928293,0.29659409,0.82782962,0.34821137
-5.83191596,2.77526404,0.00728954,0.98767828,0.05340721,0.32154200,0.92024463,0.38100023
-5.82591296,3.02857346,0.00802961,1.08189992,0.05771393,0.34747212,1.01598250,0.41508331
-5.81990995,3.28864301,0.00878932,1.17859905,0.06216183,0.37411508,1.11402249,0.45011050
-5.81390695,3.55240725,0.00956015,1.27663877,0.06670157,0.40115327,1.21319803,0.48567265
-5.80790395,3.81642575,0.01033267,1.37474762,0.07127666,0.42822679,1.31221744,0.52130899
-5.80190095,4.07695825,0.01109677,1.47154697,0.07582473,0.45494166,1.40969122,0.55651732
-5.79589795,4.33005776,0.01184195,1.56558488,0.08027929,0.48088008,1.50416520,0.59076663
-5.78989495,4.57167890,0.01255759,1.65537536,0.08457164,0.50561238,1.59415878,0.62351176
-5.78389195,4.79779761,0.01323332,1.73944173,0.08863311,0.52871028,1.67820683,0.65420979
-5.77788894,5.00453802,0.01385936,1.81636258,0.09239745,0.54976093,1.75490391,0.68233731
-5.77188594,5.18830120,0.01442687,1.88481835,0.09580321,0.56838116,1.82294888,0.70740807
-5.76588294,5.34589033,0.01492830,1.94363669,0.09879615,0.58423133,1.88118819,0.72899007
-5.75987994,5.47462696,0.01535770,1.99183449,0.10133147,0.59702816,1.92865586,0.74672155
-5.75387694,5.57245277,0.01571099,2.02865478,0.10337574,0.60655596,1.96460836,0.76032498
-5.74787394,5.63801230,0.01598617,2.05359669,0.10490854,0.61267575,1.98855277,0.76961844
-5.74187094,5.67071252,0.01618345,2.06643701,0.10592364,0.61533180,2.00026685,0.77452389
-5.73586793,5.67075624,0.01630532,2.06724227,0.10642969,0.61455535,1.99980991,0.77507180
-5.72986493,5.63914773,0.01635652,2.05637076,0.10645035,0.61046517,1.98752407,0.77140205
-5.72386193,5.57766980,0.01634395,2.03446415,0.10602394,0.60326515,1.96402548,0.76376087
-5.71785893,5.48883346,0.01627645,2.00242908,0.10520248,0.59323878,1.93018609,0.75249401
-5.71185593,5.37580196,0.01616456,1.96140955,0.10405025,0.58074095,1.88710654,0.73803638
-5.70585293,5.24229266,0.01602016,1.91275106,0.10264190,0.56618729,1.83608126,0.72089865
-5.69984992,5.09246071,0.01585611,1.85795826,0.10106018,0.55004158,1.77855751,0.70165127
-5.69384692,4.93076958,0.01568578,1.79864765,0.09939339,0.53280179,1.71608977,0.68090675
-5.68784392,4.76185351,0.01552266,1.73649749,0.09773262,0.51498513,1.65029160,0.65930069
-5.68184092,4.59037757,0.01537982,1.67319665,0.09616891,0.49711297,1.58278672,0.63747248
-5.67583792,4.42090032,0.01526956,1.61039462,0.09479046,0.47969589,1.51516133,0.61604636
-5.66983492,4.25774428,0.01520290,1.54965426,0.09367988,0.46321963,1.44891925,0.59561348
-5.66383192,4.10487820,0.01518928,1.49240899,0.09291169,0.44813216,1.38544159,0.57671553
-5.65782891,3.96581477,0.01523618,1.43992568,0.09255014,0.43483237,1.32595195,0.55983052
