energy_ev,total_up,total_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,3.04334621,-0.29096527,1.27370189,-0.02986464,0.67647902,-0.03619913,0.01250556,-0.00000017,0.88052619,-0.08174287,0.09260704,-0.00431457,0.38139603,-0.06192736
-5.99399700,2.87756269,-0.24999822,1.19930882,-0.02565765,0.64376376,-0.03110495,0.01237638,-0.00000024,0.83132468,-0.07023616,0.08925886,-0.00370957,0.36143251,-0.05320757
-5.98799400,2.73230581,-0.21330750,1.13562802,-0.02189650,0.61537859,-0.02654198,0.01237287,-0.00000034,0.78852907,-0.05993123,0.08650201,-0.00316737,0.34362816,-0.04539721
-5.98199100,2.60890662,-0.18074894,1.08330880,-0.01856722,0.59160000,-0.02249242,0.01250000,-0.00000049,0.75254937,-0.05078791,0.08437224,-0.00268600,0.32812691,-0.03846545
-5.97598799,2.50809716,-0.15212255,1.04269698,-0.01565077,0.57257882,-0.01893153,0.01275947,-0.00000071,0.72361073,-0.04275043,0.08288879,-0.00226267,0.31500762,-0.03236945
-5.96998499,2.43002809,-0.12718727,1.01384061,-0.01312476,0.55834368,-0.01582940,0.01314970,-0.00000102,0.70175803,-0.03575165,0.08205454,-0.00189396,0.30428683,-0.02705753
-5.96398199,2.37429847,-0.10567503,0.99650233,-0.01096517,0.54880690,-0.01315280,0.01366582,-0.00000146,0.68686443,-0.02971702,0.08185662,-0.00157610,0.29592266,-0.02247209
-5.95797899,2.33999597,-0.08730399,0.99017739,-0.00914803,0.54377254,-0.01086672,0.01429973,-0.00000209,0.67864311,-0.02456838,0.08226720,-0.00130513,0.28981983,-0.01855241
-5.95197599,2.32574531,-0.07179059,0.99411670,-0.00765112,0.54294618,-0.00893593,0.01504025,-0.00000298,0.67666191,-0.02022745,0.08324457,-0.00107707,0.28583533,-0.01523711
-5.94597299,2.32976340,-0.05886032,1.00735397,-0.00645562,0.54594616,-0.00732631,0.01587336,-0.00000420,0.68035997,-0.01661893,0.08473445,-0.00088816,0.28378479,-0.01246641
-5.93996998,2.34991960,-0.04825729,1.02873628,-0.00554777,0.55231586,-0.00600604,0.01678248,-0.00000589,0.68906635,-0.01367333,0.08667146,-0.00073497,0.28344907,-0.01018403
-5.93396698,2.38379957,-0.03975258,1.05695735,-0.00492057,0.56153685,-0.00494662,0.01774879,-0.00000821,0.70201982,-0.01132947,0.08898076,-0.00061456,0.28458121,-0.00833884
-5.92796398,2.42877183,-0.03315167,1.09059287,-0.00457557,0.57304279,-0.00412380,0.01875168,-0.00001136,0.71838969,-0.00953679,0.09157986,-0.00052463,0.28691342,-0.00688635
-5.92196098,2.48205571,-0.02830101,1.12813728,-0.00452475,0.58623361,-0.00351844,0.01976917,-0.00001560,0.73729723,-0.00825738,0.09438059,-0.00046362,0.29016408,-0.00578985
-5.91595798,2.54078989,-0.02509401,1.16804123,-0.00479258,0.60049007,-0.00311717,0.02077849,-0.00002127,0.75783737,-0.00746800,0.09729107,-0.00043089,0.29404470,-0.00502153
-5.90995498,2.60210042,-0.02347679,1.20874934,-0.00541829,0.61518833,-0.00291320,0.02175656,-0.00002881,0.77910035,-0.00716196,0.10021783,-0.00042680,0.29826670,-0.00456346
-5.90395198,2.66316744,-0.02345376,1.24873730,-0.00645834,0.62971441,-0.00290692,0.02268059,-0.00003875,0.80019304,-0.00735108,0.10306801,-0.00045288,0.30254797,-0.00440844
