energy_ev,total_up,total_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.03700372,-1.56921370,0.01464683,-0.01144288,0.38570295,-0.30225683,0.27580553,-0.21261139,0.54906424,-0.41604446,0.07854630,-0.06093050,0.55366645,-0.42406985
-5.99399700,2.11331728,-1.66185234,0.01520325,-0.01215951,0.40040619,-0.32047770,0.28597018,-0.22526279,0.57001291,-0.44070375,0.08165565,-0.06472227,0.57416702,-0.44881726
-5.98799400,2.18287921,-1.75507769,0.01569860,-0.01287102,0.41385806,-0.33883080,0.29512356,-0.23792981,0.58903849,-0.46537941,0.08448886,-0.06852125,0.59284455,-0.47375307
-5.98199100,2.24480949,-1.84778798,0.01612639,-0.01356966,0.42589703,-0.35710667,0.30314664,-0.25046352,0.60591569,-0.48980093,0.08701261,-0.07228737,0.60945246,-0.49857194
-5.97598799,2.29845730,-1.93891033,0.01648153,-0.01424753,0.43640483,-0.37510025,0.30995195,-0.26271794,0.62047840,-0.51370373,0.08920115,-0.07598035,0.62380686,-0.52297748
-5.96998499,2.34340688,-2.02740287,0.01676035,-0.01489662,0.44530771,-0.39261150,0.31548473,-0.27455071,0.63262121,-0.53682979,0.09103648,-0.07955981,0.63578798,-0.54668259
-5.96398199,2.37947577,-2.11225848,0.01696066,-0.01550885,0.45257622,-0.40944636,0.31972313,-0.28582399,0.64229886,-0.55892862,0.09250826,-0.08298544,0.64533956,-0.56941024
-5.95797899,2.40670589,-2.19251079,0.01708162,-0.01607621,0.45822369,-0.42541818,0.32267733,-0.29640567,0.64952382,-0.57975874,0.09361353,-0.08621731,0.65246627,-0.59089485
-5.95197599,2.42534797,-2.26724254,0.01712374,-0.01659080,0.46230344,-0.44034962,0.32438780,-0.30617091,0.65436193,-0.59908964,0.09435602,-0.08921620,0.65722935,-0.61088431
-5.94597299,2.43584035,-2.33559659,0.01708869,-0.01704499,0.46490488,-0.45407505,0.32492269,-0.31500407,0.65692665,-0.61670444,0.09474549,-0.09194416,0.65974069,-0.62914278
-5.93996998,2.43878313,-2.39678928,0.01697918,-0.01743154,0.46614877,-0.46644349,0.32437464,-0.32280081,0.65737197,-0.63240307,0.09479673,-0.09436504,0.66015577,-0.64545409
-5.93396698,2.43490917,-2.45012595,0.01679877,-0.01774379,0.46618178,-0.47732185,0.32285692,-0.32947061,0.65588459,-0.64600602,0.09452861,-0.09644523,0.65866569,-0.65962580
-5.92796398,2.42505312,-2.49501788,0.01655174,-0.01797578,0.46517070,-0.48659851,0.32049937,-0.33493925,0.65267559,-0.65735850,0.09396301,-0.09815445,0.65548879,-0.67149368
-5.92196098,2.41011990,-2.53099999,0.01624286,-0.01812247,0.46329639,-0.49418688,0.31744403,-0.33915143,0.64797204,-0.66633480,0.09312383,-0.09946651,0.65086213,-0.68092639
-5.91595798,2.39105383,-2.55774805,0.01587726,-0.01817988,0.46074786,-0.50002897,0.31384088,-0.34207319,0.64200894,-0.67284262,0.09203604,-0.10036023,0.64503325,-0.68783018
-5.90995498,2.36880942,-2.57509464,0.01546030,-0.01814527,0.45771652,-0.50409848,0.30984355,-0.34369406,0.63502173,-0.67682722,0.09072486,-0.10082014,0.63825246,-0.69215318
-5.90395198,2.34432469,-2.58304221,0.01499742,-0.01801726,0.45439081,-0.50640338,0.30560532,-0.34402877,0.62723957,-0.67827486,0.08921508,-0.10083726,0.63076588,-0.69388911
-5.89794897,2.31849752,-2.58177256,0.01449409,-0.01779594,0.45095132,-0.50698761,0.30127546,-0.34311826,0.61887966,-0.67721551,0.08753053,-0.10040966,0.62280940,-0.69307992
-5.89194597,2.29216554,-2.57165133,0.01395572,-0.01748296,0.44756649,-0.50593176,0.29699585,-0.34103009,0.61014262,-0.67372432,0.08569370,-0.09954283,0.61460371,-0.68981734
-5.88594297,2.26608951,-2.55322692,0.01338762,-0.01708155,0.44438880,-0.50335261,0.29289808,-0.33785783,0.60120899,-0.66792185,0.08372555,-0.09824993,0.60635034,-0.68424275
-5.87993997,2.24094022,-2.52722313,0.01279502,-0.01659646,0.44155165,-0.49940131,0.28910089,-0.33371968,0.59223666,-0.65997274,0.08164544,-0.09655168,0.59822869,-0.67654562
-5.87393697,2.21728886,-2.49452536,0.01218304,-0.01603396,0.43916675,-0.49426025,0.28570811,-0.32875607,0.58335947,-0.65008282,0.07947117,-0.09447610,0.59039417,-0.66696013
-5.86793397,2.19560044,-2.45616047,0.01155672,-0.01540164,0.43732214,-0.48813870,0.28280701,-0.32312645,0.57468648,-0.63849463,0.07721906,-0.09205790,0.58297702,-0.65576010
-5.86193097,2.17623016,-2.41327083,0.01092107,-0.01470834,0.43608067,-0.48126714,0.28046700,-0.31700525,0.56630213,-0.62548150,0.07490422,-0.08933773,0.57608216,-0.64325251
-5.85592796,2.15942246,-2.36708338,0.01028103,-0.01396384,0.43547912,-0.47389073,0.27873892,-0.31057721,0.55826691,-0.61134035,0.07254069,-0.08636106,0.56978960,-0.62976951
-5.84992496,2.14531254,-2.31887483,0.00964159,-0.01317871,0.43552779,-0.46626192,0.27765462,-0.30403224,0.55061865,-0.59638348,0.07014164,-0.08317706,0.56415554,-0.61565952
