energy_ev,total_up,Cu_p_up,Cu_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,0.96412833,0.11757752,0.26874658,0.00559882,0.17683067,0.03581978,0.20988546
-5.99399700,1.00254259,0.12315352,0.28329584,0.00611166,0.18430306,0.03831615,0.21665294
-5.98799400,1.05728028,0.13134944,0.30191529,0.00673735,0.19491471,0.04130632,0.22692456
-5.98199100,1.12701640,0.14202002,0.32428003,0.00747163,0.20842922,0.04475369,0.24039157
-5.97598799,1.21034533,0.15500272,0.35003872,0.00830896,0.22459332,0.04861734,0.25673142
-5.96998499,1.30577832,0.17011556,0.37881270,0.00924230,0.24313593,0.05285178,0.27560788
-5.96398199,1.41173973,0.18715509,0.41019508,0.01026301,0.26376708,0.05740678,0.29667072
-5.95797899,1.52656395,0.20589456,0.44375011,0.01136068,0.28617701,0.06222725,0.31955534
-5.95197599,1.64849473,0.22608285,0.47901341,0.01252312,0.31003586,0.06725323,0.34388286
-5.94597299,1.77568854,0.24744438,0.51549340,0.01373632,0.33499416,0.07242009,0.36926083
-5.93996998,1.90622337,0.26968017,0.55267415,0.01498454,0.36068458,0.07765890,0.39528496
-5.93396698,2.03811387,0.29247040,0.59002010,0.01625044,0.38672490,0.08289708,0.42154201
-5.92796398,2.16933347,0.31547843,0.62698254,0.01751530,0.41272254,0.08805928,0.44761404
-5.92196098,2.29784355,0.33835637,0.66300805,0.01875937,0.43828044,0.09306850,0.47308398
-5.91595798,2.42162924,0.36075207,0.69754866,0.01996221,0.46300443,0.09784750,0.49754246
-5.90995498,2.53874104,0.38231732,0.73007352,0.02110316,0.48651173,0.10232036,0.52059584
-5.90395198,2.64734079,0.40271711,0.76008170,0.02216186,0.50844035,0.10641425,0.54187503
-5.89794897,2.74575030,0.42163942,0.78711568,0.02311875,0.52845906,0.11006120,0.56104480
-5.89194597,2.83250054,0.43880519,0.81077492,0.02395561,0.54627746,0.11320003,0.57781335
-5.88594297,2.90637905,0.45397805,0.83072894,0.02465614,0.56165570,0.11577814,0.59194137
-5.87993997,2.96647332,0.46697327,0.84672924,0.02520639,0.57441328,0.11775315,0.60325047
-5.87393697,3.01220751,0.47766546,0.85861950,0.02559526,0.58443661,0.11909439,0.61163024
-5.86793397,3.04337060,0.48599457,0.86634333,0.02581478,0.59168466,0.11978409,0.61704378
-5.86193097,3.06013403,0.49196980,0.86994931,0.02586046,0.59619246,0.11981816,0.61953107
-5.85592796,3.06305721,0.49567121,0.86959275,0.02573138,0.59807214,0.11920668,0.61921016
-5.84992496,3.05308028,0.49724868,0.86553396,0.02543024,0.59751120,0.11797387,0.61627579
-5.84392196,3.03150354,0.49691826,0.85813304,0.02496329,0.59476808,0.11615771,0.61099556
-5.83791896,2.99995394,0.49495593,0.84784118,0.02434015,0.59016499,0.11380905,0.60370361
-5.83191596,2.96033952,0.49168892,0.83518874,0.02357348,0.58407822,0.11099043,0.59479196
-5.82591296,2.91479337,0.48748497,0.82077046,0.02267858,0.57692619,0.10777446,0.58469997
-5.81990995,2.86560902,0.48273983,0.80522847,0.02167298,0.56915579,0.10424195,0.57390210
-5.81390695,2.81516976,0.47786354,0.78923349,0.02057587,0.56122735,0.10047986,0.56289463
-5.80790395,2.76587459,0.47326616,0.77346519,0.01940759,0.55359893,0.09657905,0.55218170
-5.80190095,2.72006376,0.46934343,0.75859222,0.01818906,0.54671050,0.09263203,0.54226136
-5.79589795,2.67994658,0.46646299,0.74525279,0.01694128,0.54096871,0.08873066,0.53361209
-5.78989495,2.64753456,0.46495188,0.73403643,0.01568476,0.53673273,0.08496401,0.52668027
-5.78389195,2.62458206,0.46508566,0.72546754,0.01443917,0.53430179,0.08141633,0.52186916
-5.77788894,2.61253677,0.46707986,0.71999129,0.01322289,0.53390495,0.07816519,0.51952964
-5.77188594,2.61250151,0.47108392,0.71796235,0.01205275,0.53569332,0.07527987,0.51995305
-5.76588294,2.62520853,0.47717789,0.71963646,0.01094378,0.53973519,0.07282003,0.52336625
-5.75987994,2.65100683,0.48537213,0.72516538,0.00990910,0.54601409,0.07083457,0.52992901
-5.75387694,2.68986235,0.49560981,0.73459488,0.00895984,0.55442984,0.06936083,0.53973361
-5.74787394,2.74137074,0.50777206,0.74786591,0.00810512,0.56480253,0.06842398,0.55280649
-5.74187094,2.80478132,0.52168562,0.76481866,0.00735217,0.57687914,0.06803671,0.56911175
-5.73586793,2.87903119,0.53713232,0.78519920,0.00670639,0.59034260,0.06819912,0.58855622
-5.72986493,2.96278750,0.55386010,0.80866854,0.00617149,0.60482281,0.06889890,0.61099561
-5.72386193,3.05449612,0.57159492,0.83481356,0.00574969,0.61990925,0.07011167,0.63624159
-5.71785893,3.15243476,0.59005300,0.86315956,0.00544187,0.63516463,0.07180162,0.66406926
-5.71185593,3.25476851,0.60895273,0.89318404,0.00524773,0.65013918,0.07392234,0.69422472
-5.70585293,3.35960602,0.62802583,0.92433141,0.00516595,0.66438497,0.07641787,0.72643262
-5.69984992,3.46505472,0.64702726,0.95602823,0.00519432,0.67746997,0.07922406,0.76040319
-5.69384692,3.56927357,0.66574335,0.98769881,0.00532989,0.68899127,0.08227008,0.79583892
-5.68784392,3.67052238,0.68399820,1.01878081,0.00556903,0.69858724,0.08548020,0.83244059
-5.68184092,3.76720667,0.70165795,1.04874068,0.00590751,0.70594818,0.08877582,0.86991277
-5.67583792,3.85791769,0.71863308,1.07708877,0.00634060,0.71082546,0.09207762,0.90796890
-5.66983492,3.94146717,0.73487884,1.10339370,0.00686307,0.71303877,0.09530791,0.94633601
-5.66383192,4.01691675,0.75039411,1.12729604,0.00746930,0.71248147,0.09839302,0.98475925
-5.65782891,4.08360194,0.76521895,1.14852080,0.00815329,0.70912404,0.10126574,1.02300648
-5.65182591,4.14115097,0.77943132,1.16688866,0.00890877,0.70301559,0.10386769,1.06087295
-5.64582291,4.18949830,0.79314342,1.18232555,0.00972927,0.69428348,0.10615146,1.09818626
-5.63981991,4.22889305,0.80649794,1.19487028,0.01060826,0.68313109,0.10808263,1.13481169
-5.63381691,4.25990226,0.81966476,1.20467992,0.01153930,0.66983401,0.10964130,1.17065767
-5.62781391,4.28340872,0.83283820,1.21203253,0.01251620,0.65473449,0.11082323,1.20568144
-5.62181091,4.30060321,0.84623514,1.21732700,0.01353324,0.63823453,0.11164049,1.23989461
-5.61580790,4.31297056,0.86009396,1.22107965,0.01458534,0.62078759,0.11212145,1.27336815
-5.60980490,4.32226928,0.87467422,1.22391728,0.01566835,0.60288919,0.11231022,1.30623651
-5.60380190,4.33050393,0.89025684,1.22656668,0.01677921,0.58506637,0.11226540,1.33870028
-5.59779890,4.33989007,0.90714444,1.22984031,0.01791615,0.56786638,0.11205830,1.37102691
-5.59179590,4.35281113,0.92566142,1.23461840,0.01907884,0.55184469,0.11177047,1.40354880
-5.58579290,4.37176729,0.94615322,1.24182747,0.02026848,0.53755243,0.11149085,1.43665852
-5.57978989,4.39931637,0.96898428,1.25241581,0.02148782,0.52552369,0.11131247,1.47080045
-5.57378689,4.43800742,0.99453432,1.26732616,0.02274111,0.51626275,0.11132892,1.50645893
-5.56778389,4.49030784,1.02319247,1.28746658,0.02403389,0.51023159,0.11163060,1.54414247
-5.56178089,4.55852569,1.05534899,1.31367991,0.02537278,0.50783798,0.11230115,1.58436463
-5.55577789,4.64472898,1.09138463,1.34671321,0.02676509,0.50942440,0.11341391,1.62762152
-5.54977489,4.75066470,1.13165765,1.38718780,0.02821837,0.51525821,0.11502876,1.67436697
-5.54377189,4.87768014,1.17648887,1.43557132,0.02973991,0.52552327,0.11718945,1.72498609
-5.53776888,5.02664999,1.22614527,1.49215285,0.03133613,0.54031338,0.11992143,1.77976832
-5.53176588,5.19791245,1.28082286,1.55702222,0.03301197,0.55962786,0.12323048,1.83888152
