energy_ev,total_up,Hf_p_up,Hf_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,2.58713603,0.95431070,0.51542317,0.03080358,0.97178224,0.06506234,0.32657802
-5.99399700,2.56270091,0.92285762,0.51232664,0.03069177,0.95719334,0.06430319,0.33195636
-5.98799400,2.55058521,0.89802526,0.51149691,0.03055096,0.94823740,0.06388234,0.33770598
-5.98199100,2.55094061,0.88007985,0.51293789,0.03037596,0.94507912,0.06383698,0.34370341
-5.97598799,2.56360297,0.86913538,0.51659471,0.03016043,0.94774484,0.06419323,0.34980919
-5.96998499,2.58809185,0.86514896,0.52235438,0.02989733,0.95611905,0.06496504,0.35587189
-5.96398199,2.62361819,0.86791985,0.53004804,0.02957925,0.96994445,0.06615350,0.36173263
-5.95797899,2.66909990,0.87709243,0.53945454,0.02919892,0.98882561,0.06774651,0.36722974
-5.95197599,2.72318506,0.89216301,0.55030541,0.02874967,1.01223612,0.06971888,0.37220358
-5.94597299,2.78428207,0.91249062,0.56229099,0.02822584,1.03952936,0.07203277,0.37650112
-5.93996998,2.85059631,0.93731148,0.57506763,0.02762320,1.06995251,0.07463859,0.37998024
-5.93396698,2.92017239,0.96575713,0.58826581,0.02693928,1.10266377,0.07747625,0.38251355
-5.92796398,2.99094131,0.99687580,0.60149902,0.02617358,1.13675239,0.08047671,0.38399164
-5.92196098,3.06077155,1.02965668,0.61437326,0.02532776,1.17126115,0.08356388,0.38432568
-5.91595798,3.12752307,1.06305646,0.62649690,0.02440563,1.20521085,0.08665674,0.38344938
-5.90995498,3.18910311,1.09602769,0.63749086,0.02341308,1.23762623,0.08967164,0.38132033
-5.90395198,3.24352254,1.12754805,0.64699878,0.02235800,1.26756272,0.09252477,0.37792073
-5.89794897,3.28895138,1.15664996,0.65469698,0.02124993,1.29413327,0.09513457,0.37325760
-5.89194597,3.32377210,1.18244934,0.66030406,0.02009985,1.31653448,0.09742421,0.36736257
-5.88594297,3.34662918,1.20417290,0.66358973,0.01891979,1.33407132,0.09932385,0.36029130
-5.87993997,3.35647328,1.22118292,0.66438280,0.01772246,1.34617946,0.10077280,0.35212268
-5.87393697,3.35259875,1.23299865,0.66257784,0.01652091,1.35244456,0.10172132,0.34295784
-5.86793397,3.33467292,1.23931343,0.65814055,0.01532809,1.35261770,0.10213211,0.33291896
-5.86193097,3.30275604,1.24000714,0.65111130,0.01415662,1.34662637,0.10198144,0.32214810
-5.85592796,3.25731094,1.23515303,0.64160691,0.01301840,1.33458045,0.10125975,0.31080590
-5.84992496,3.19920170,1.22501891,0.62982045,0.01192446,1.31677293,0.09997192,0.29907028
-5.84392196,3.12968124,1.21006242,0.61601892,0.01088471,1.29367517,0.09813693,0.28713507
-5.83791896,3.05036784,1.19092035,0.60053895,0.00990782,1.26592675,0.09578724,0.27520862
-5.83191596,2.96321121,1.16839258,0.58378049,0.00900120,1.23432026,0.09296754,0.26351237
-5.82591296,2.87044915,1.14342077,0.56619868,0.00817092,1.19978137,0.08973338,0.25227934
-5.81990995,2.77455620,1.11706280,0.54829421,0.00742174,1.16334496,0.08614928,0.24175269
-5.81390695,2.67818586,1.09046370,0.53060224,0.00675719,1.12612799,0.08228678,0.23218412
-5.80790395,2.58410851,1.06482393,0.51368058,0.00617965,1.08930021,0.07822223,0.22383246
-5.80190095,2.49514692,1.04136632,0.49809710,0.00569042,1.05405345,0.07403461,0.21696218
-5.79589795,2.41411183,1.02130258,0.48441714,0.00528989,1.02157084,0.06980335,0.21184208
-5.78989495,2.34373941,1.00580048,0.47319108,0.00497759,0.99299670,0.06560625,0.20874401
-5.78389195,2.28663283,0.99595294,0.46494260,0.00475237,0.96940829,0.06151760,0.20794184
-5.77788894,2.24520957,0.99274976,0.46015791,0.00461249,0.95179018,0.05760655,0.20971047
-5.77188594,2.22165605,0.99705299,0.45927629,0.00455574,0.94101202,0.05393574,0.21432503
-5.76588294,2.21789046,1.00957658,0.46268218,0.00457952,0.93781034,0.05056029,0.22206007
-5.75987994,2.23553468,1.03087076,0.47069895,0.00468095,0.94277479,0.04752704,0.23318871
-5.75387694,2.27589523,1.06131164,0.48358450,0.00485699,0.95633902,0.04487426,0.24798170
-5.74787394,2.33995329,1.10109591,0.50152861,0.00510445,0.97877628,0.04263149,0.26670598
-5.74187094,2.42836280,1.15024075,0.52465205,0.00542015,1.01019959,0.04081983,0.28962284
-5.73586793,2.54145584,1.20858853,0.55300712,0.00580094,1.05056611,0.03945233,0.31698517
-5.72986493,2.67925366,1.27581587,0.58657953,0.00624379,1.09968524,0.03853469,0.34903383
-5.72386193,2.84148190,1.35144636,0.62529131,0.00674583,1.15722973,0.03806600,0.38599275
-5.71785893,3.02758803,1.43486629,0.66900422,0.00730443,1.22274919,0.03803963,0.42806272
-5.71185593,3.23675929,1.52534228,0.71752357,0.00791722,1.29568503,0.03844411,0.47541366
-5.70585293,3.46793944,1.62204012,0.77060187,0.00858211,1.37538604,0.03926396,0.52817546
-5.69984992,3.71984261,1.72404373,0.82794215,0.00929731,1.46112373,0.04048053,0.58642741
-5.69384692,3.99096342,1.83037345,0.88920049,0.01006128,1.55210676,0.04207263,0.65018648
-5.68784392,4.27958240,1.94000290,0.95398784,0.01087269,1.64749368,0.04401706,0.71939481
-5.68184092,4.58376668,2.05187370,1.02187081,0.01173035,1.74640357,0.04628898,0.79390693
-5.67583792,4.90136655,2.16490789,1.09237165,0.01263307,1.84792429,0.04886210,0.87347730
-5.66983492,5.23000870,2.27801764,1.16496742,0.01357952,1.95111828,0.05170874,0.95774898
-5.66383192,5.56708811,2.39011250,1.23908887,0.01456808,2.05502597,0.05479967,1.04624431
-5.65782891,5.90976057,2.50010447,1.31411924,0.01559663,2.15866743,0.05810391,1.13835826
-5.65182591,6.25493855,2.60691146,1.38939356,0.01666231,2.26104265,0.06158842,1.23335560
-5.64582291,6.59929298,2.70945986,1.46419904,0.01776139,2.36113137,0.06521775,1.33037241
-5.63981991,6.93926384,2.80668707,1.53777707,0.01888900,2.45789331,0.06895372,1.42842264
-5.63381691,7.27108190,2.89754492,1.60932734,0.02003900,2.55026974,0.07275518,1.52641017
-5.62781391,7.59080365,2.98100468,1.67801462,0.02120383,2.63718726,0.07657785,1.62314645
-5.62181091,7.89436060,3.05606456,1.74297839,0.02237445,2.71756464,0.08037433,1.71737360
-5.61580790,8.17762333,3.12176013,1.80334555,0.02354029,2.79032313,0.08409436,1.80779244
-5.60980490,8.43647952,3.17717777,1.85824610,0.02468934,2.85440085,0.08768524,1.89309467
-5.60380190,8.66692421,3.22147132,1.90683147,0.02580827,2.90877085,0.09109247,1.97199808
-5.59779890,8.86515940,3.25388126,1.94829496,0.02688264,2.95246287,0.09426072,2.04328330
-5.59179590,9.02769906,3.27375581,1.98189365,0.02789722,2.98458789,0.09713487,2.10583061
-5.58579290,9.15147509,3.28057295,2.00697066,0.02883633,3.00436454,0.09966131,2.15865503
-5.57978989,9.23393888,3.27396199,2.02297693,0.02968428,3.01114613,0.10178933,2.20093796
-5.57378689,9.27315345,3.25372344,2.02949126,0.03042580,3.00444682,0.10347259,2.23205389
-5.56778389,9.26787077,3.21984563,2.02623760,0.03104658,2.98396541,0.10467054,2.25159055
-5.56178089,9.21758984,3.17251690,2.01309848,0.03153370,2.94960537,0.10534982,2.25936167
-5.55577789,9.12259168,3.11213218,1.99012387,0.03187612,2.90148946,0.10548545,2.25541138
-5.54977489,8.98394871,3.03929302,1.95753470,0.03206509,2.83996818,0.10506185,2.24001018
-5.54377189,8.80350714,2.95480076,1.91572071,0.03209453,2.76562084,0.10407353,2.21364251
-5.53776888,8.58384274,2.85964266,1.86523264,0.03196124,2.67924912,0.10252557,2.17698669
-5.53176588,8.32819147,2.75497129,1.80676887,0.03166514,2.58186289,0.10043362,2.13088818
-5.52576288,8.04035809,2.64207819,1.74115714,0.03120929,2.47465877,0.09782363,2.07632766
-5.51975988,7.72460696,2.52236262,1.66933216,0.03059989,2.35899232,0.09473122,2.01438559
-5.51375688,7.38554016,2.39729709,1.59231003,0.02984611,2.23634487,0.09120072,1.94620500
-5.50775388,7.02796857,2.26839117,1.51116071,0.02895989,2.10828651,0.08728393,1.87295446
-5.50175088,6.65678178,2.13715518,1.42697977,0.02795557,1.97643691,0.08303865,1.79579296
-5.49574787,6.27682279,2.00506576,1.34086065,0.02684953,1.84242563,0.07852706,1.71583825
-5.48974487,5.89277249,1.87353443,1.25386854,0.02565975,1.70785363,0.07381398,1.63413992
-5.48374187,5.50904860,1.74388089,1.16701702,0.02440530,1.57425760,0.06896517,1.55165825
-5.47773887,5.12972240,1.61731168,1.08124818,0.02310588,1.44307844,0.06404560,1.46924923
-5.47173587,4.75845559,1.49490518,0.99741692,0.02178135,1.31563501,0.05911794,1.38765600
-5.46573287,4.39845839,1.37760307,0.91627964,0.02045122,1.19310403,0.05424111,1.30750641
-5.45972986,4.05246868,1.26620821,0.83848766,0.01913430,1.07650637,0.04946912,1.22931611
-5.45372686,3.72275098,1.16138857,0.76458499,0.01784826,0.96670011,0.04485014,1.15349631
-5.44772386,3.41111326,1.06368640,0.69501028,0.01660937,0.86437987,0.04042586,1.08036523
-5.44172086,3.11893847,0.97353185,0.63010231,0.01543219,0.77008209,0.03623102,1.01016191
-5.43571786,2.84722784,0.89125988,0.57010851,0.01432941,0.68419542,0.03229334,0.94306133
-5.42971486,2.59665202,0.81712920,0.51519562,0.01331168,0.60697533,0.02863359,0.87918968
-5.42371186,2.36760678,0.75134230,0.46546194,0.01238755,0.53856184,0.02526592,0.81863874
-5.41770885,2.16026990,0.69406524,0.42095024,0.01156340,0.47899942,0.02219833,0.76147864
-5.41170585,1.97465623,0.64544628,0.38166074,0.01084344,0.42825775,0.01943329,0.70776828
-5.40570285,1.81066843,0.60563250,0.34756358,0.01022977,0.38625256,0.01696854,0.65756320
-5.39969985,1.66814164,0.57478375,0.31861018,0.00972241,0.35286548,0.01479776,0.61092061
-5.39369685,1.54688064,0.55308329,0.29474318,0.00931945,0.32796210,0.01291146,0.56790183
-5.38769385,1.44668879,0.54074501,0.27590462,0.00901706,0.31140769,0.01129776,0.52857217
-5.38169085,1.36738846,0.53801687,0.26204224,0.00880975,0.30308003,0.00994309,0.49299884
-5.37568784,1.30883331,0.54518065,0.25311383,0.00869042,0.30287898,0.00883293,0.46124731
-5.36968484,1.27091274,0.56254808,0.24908955,0.00865057,0.31073275,0.00795236,0.43337650
-5.36368184,1.25354951,0.59045364,0.24995251,0.00868052,0.32660065,0.00728661,0.40943359
-5.35767884,1.25669138,0.62924422,0.25569759,0.00876957,0.35047254,0.00682146,0.38944866
-5.35167584,1.28029784,0.67926601,0.26632874,0.00890625,0.38236519,0.00654351,0.37342976
-5.34567284,1.32432306,0.74084912,0.28185504,0.00907860,0.42231564,0.00644044,0.36135875
-5.33966983,1.38869599,0.81429022,0.30228575,0.00927439,0.47037218,0.00650107,0.35318800
-5.33366683,1.47329869,0.89983385,0.32762450,0.00948139,0.52658315,0.00671547,0.34883837
-5.32766383,1.57794381,0.99765264,0.35786300,0.00968769,0.59098419,0.00707483,0.34819827
-5.32166083,1.70235195,1.10782735,0.39297457,0.00988194,0.66358427,0.00757140,0.35112400
-5.31565783,1.84612988,1.23032693,0.43290747,0.01005364,0.74435119,0.00819833,0.35744122
-5.30965483,2.00875013,1.36498949,0.47757868,0.01019334,0.83319697,0.00894945,0.36694742
-5.30365183,2.18953280,1.51150467,0.52686793,0.01029293,0.92996372,0.00981904,0.37941535
-5.29764882,2.38763006,1.66939812,0.58061261,0.01034575,1.03441045,0.01080157,0.39459711
-5.29164582,2.60201411,1.83801880,0.63860340,0.01034677,1.14620149,0.01189147,0.41222883
-5.28564282,2.83146894,2.01652971,0.70058102,0.01029268,1.26489674,0.01308284,0.43203579
-5.27963982,3.07458644,2.20390273,0.76623415,0.01018189,1.38994447,0.01436920,0.45373771
-5.27363682,3.32976734,2.39891810,0.83519864,0.01001454,1.52067677,0.01574329,0.47705417
-5.26763382,3.59522697,2.60016905,0.90705809,0.00979244,1.65630813,0.01719683,0.50170990
-5.26163082,3.86900631,2.80607196,0.98134575,0.00951891,1.79593721,0.01872041,0.52743996
-5.25562781,4.14898805,3.01488212,1.05754784,0.00919865,1.93855205,0.02030333,0.55399440
-5.24962481,4.43291762,3.22471529,1.13510813,0.00883752,2.08303858,0.02193358,0.58114259
-5.24362181,4.71842879,3.43357468,1.21343367,0.00844232,2.22819244,0.02359778,0.60867684
-5.23761881,5.00307341,3.63938306,1.29190156,0.00802056,2.37273378,0.02528125,0.63641532
-5.23161581,5.28435450,3.84001934,1.36986667,0.00758016,2.51532494,0.02696812,0.66420413
-5.22561281,5.55976217,4.03335871,1.44666992,0.00712929,2.65459038,0.02864151,0.69191854
-5.21960980,5.82681121,4.21731542,1.52164718,0.00667605,2.78913855,0.03028371,0.71946322
-5.21360680,6.08307977,4.38988690,1.59413840,0.00622831,2.91758522,0.03187644,0.74677157
-5.20760380,6.32624800,4.54919791,1.66349703,0.00579351,3.03857761,0.03340124,0.77380413
-5.20160080,6.55413595,4.69354347,1.72909932,0.00537852,3.15081883,0.03483972,0.80054622
-5.19559780,6.76473983,4.82142893,1.79035358,0.00498951,3.25309214,0.03617398,0.82700482
-5.18959480,6.95626598,4.93160604,1.84670932,0.00463184,3.34428433,0.03738699,0.85320500
-5.18359180,7.12716198,5.02310371,1.89766597,0.00431007,3.42340792,0.03846298,0.87918603
-5.17758879,7.27614432,5.09525227,1.94278146,0.00402786,3.48962161,0.03938778,0.90499731
-5.17158579,7.40222239,5.14770054,1.98168027,0.00378803,3.54224855,0.04014923,0.93069463
-5.16558279,7.50471842,5.18042496,2.01406117,0.00359255,3.58079215,0.04073743,0.95633666
-5.15957979,7.58328316,5.19373050,2.03970435,0.00344258,3.60494904,0.04114510,0.98198213
-5.15357679,7.63790721,5.18824339,2.05847805,0.00333853,3.61461898,0.04136772,1.00768776
-5.14757379,7.66892792,5.16489584,2.07034441,0.00328011,3.60991145,0.04140374,1.03350720
