energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up
-6.00000000,10.87100208,1.44778458,6.03300409,0.01562100,0.69521940,0.07693543,2.47173543
-5.99399700,10.83818025,1.44393982,6.02635274,0.01661062,0.70124204,0.07773829,2.44623502
-5.98799400,10.80365131,1.44033281,6.01892899,0.01760808,0.70777884,0.07848074,2.41924829
-5.98199100,10.76994035,1.43739108,6.01220778,0.01860083,0.71500395,0.07915947,2.39131571
-5.97598799,10.73926636,1.43549145,6.00751261,0.01957582,0.72308051,0.07977169,2.36288663
-5.96998499,10.71350083,1.43495302,6.00598945,0.02051982,0.73215779,0.08031556,2.33431121
-5.96398199,10.69414493,1.43603293,6.00859045,0.02141976,0.74236883,0.08079055,2.30583797
-5.95797899,10.68232498,1.43892461,6.01606738,0.02226306,0.75382851,0.08119783,2.27761672
-5.95197599,10.67880461,1.44375840,6.02897419,0.02303802,0.76663205,0.08154065,2.24970653
-5.94597299,10.68401101,1.45060419,6.04767727,0.02373409,0.78085385,0.08182465,2.22208787
-5.93996998,10.69807218,1.45947565,6.07237205,0.02434218,0.79654648,0.08205813,2.19467813
-5.93396698,10.72086167,1.47033551,6.10310391,0.02485488,0.81373988,0.08225214,2.16734918
-5.92796398,10.75204677,1.48310157,6.13979154,0.02526663,0.83244050,0.08242058,2.13994595
-5.92196098,10.79113703,1.49765285,6.18225094,0.02557379,0.85263063,0.08258004,2.11230485
-5.91595798,10.83752962,1.51383552,6.23021842,0.02577474,0.87426762,0.08274960,2.08427082
-5.90995498,10.89054942,1.53146841,6.28337135,0.02586978,0.89728335,0.08295043,2.05571226
-5.90395198,10.94948201,1.55034783,6.34134584,0.02586107,0.92158373,0.08320535,2.02653294
-5.89794897,11.01359895,1.57025156,6.40375093,0.02575247,0.94704874,0.08353821,1.99668060
-5.89194597,11.08217546,1.59094228,6.47017942,0.02554934,0.97353277,0.08397323,1.96615184
-5.88594297,11.15450135,1.61217031,6.54021580,0.02525831,1.00086583,0.08453428,1.93499345
-5.87993997,11.22988672,1.63367598,6.61344200,0.02488708,1.02885541,0.08524417,1.90330037
