energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,7.34595633,-6.22561477,2.64155654,-2.48689989,1.98098611,-1.28901515,0.00783457,-0.00958214,2.47944110,-1.86149526,1.71850890,-1.82745165,0.00000000,-0.00000000
-5.99399700,7.42948231,-6.28755543,2.63297073,-2.47594711,2.05375457,-1.34197447,0.00760942,-0.00944653,2.53985488,-1.90454758,1.68887231,-1.80747219,0.00000000,-0.00000000
-5.98799400,7.50860080,-6.35110010,2.62376335,-2.46280339,2.12551085,-1.39778907,0.00738154,-0.00929391,2.59911305,-1.94946087,1.65803721,-1.78569006,0.00000000,-0.00000000
-5.98199100,7.58254494,-6.41631369,2.61423778,-2.44809503,2.19557885,-1.45622737,0.00715262,-0.00912595,2.65672092,-1.99617938,1.62622051,-1.76235529,0.00000000,-0.00000000
-5.97598799,7.65046218,-6.48324000,2.60462310,-2.43244899,2.26325407,-1.51702573,0.00692400,-0.00894458,2.71215331,-2.04462933,1.59360278,-1.73771989,0.00000000,-0.00000000
-5.96998499,7.71143143,-6.55186478,2.59507672,-2.41646648,2.32781309,-1.57988513,0.00669673,-0.00875185,2.76486350,-2.09470912,1.56032843,-1.71202224,0.00000000,-0.00000000
-5.96398199,7.76449083,-6.62208439,2.58569301,-2.40070019,2.38852583,-1.64446882,0.00647155,-0.00854989,2.81429567,-2.14628101,1.52650954,-1.68547407,0.00000000,-0.00000000
-5.95797899,7.80867459,-6.69368206,2.57651676,-2.38563631,2.44467045,-1.71040080,0.00624896,-0.00834070,2.85990044,-2.19916470,1.49223227,-1.65825097,0.00000000,-0.00000000
-5.95197599,7.84305618,-6.76631314,2.56756034,-2.37168195,2.49555047,-1.77726575,0.00602932,-0.00812617,2.90115261,-2.25313317,1.45756527,-1.63048677,0.00000000,-0.00000000
-5.94597299,7.86679533,-6.83949985,2.55882275,-2.35915841,2.54051359,-1.84461016,0.00581293,-0.00790798,2.93757045,-2.30791108,1.42256897,-1.60227207,0.00000000,-0.00000000
-5.93996998,7.87918543,-6.91263529,2.55030911,-2.34829992,2.57897152,-1.91194475,0.00560014,-0.00768761,2.96873532,-2.36317556,1.38730491,-1.57365664,0.00000000,-0.00000000
-5.93396698,7.87969843,-6.98499596,2.54204888,-2.33925765,2.61041994,-1.97874829,0.00539148,-0.00746637,2.99431067,-2.41855938,1.35184398,-1.54465526,0.00000000,-0.00000000
