energy_ev,total_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,1.81379082,0.47211463,0.70793727,0.04380284,0.11817282,0.52455541,0.00000000
-5.99399700,1.93247920,0.50196444,0.75268186,0.04818534,0.12268948,0.56387987,0.00000000
-5.98799400,2.05363991,0.53288692,0.79858065,0.05265846,0.12734324,0.60382832,0.00000000
-5.98199100,2.17603294,0.56462062,0.84517197,0.05716957,0.13208799,0.64397597,0.00000000
-5.97598799,2.29829852,0.59686493,0.89193975,0.06166135,0.13686857,0.68386731,0.00000000
-5.96998499,2.41899765,0.62928899,0.93832865,0.06607304,0.14162294,0.72302898,0.00000000
-5.96398199,2.53665904,0.66154257,0.98376189,0.07034204,0.14628485,0.76098445,0.00000000
-5.95797899,2.64983032,0.69326817,1.02766129,0.07440565,0.15078690,0.79726958,0.00000000
-5.95197599,2.75713124,0.72411396,1.06946826,0.07820302,0.15506381,0.83144855,0.00000000
-5.94597299,2.85730621,0.75374681,1.10866504,0.08167711,0.15905582,0.86312946,0.00000000
-5.93996998,2.94927370,0.78186472,1.14479491,0.08477666,0.16271197,0.89197864,0.00000000
-5.93396698,3.03216977,0.80820808,1.17748049,0.08745804,0.16599319,0.91773314,0.00000000
-5.92796398,3.10538358,0.83256905,1.20643896,0.08968697,0.16887487,0.94021066,0.00000000
-5.92196098,3.16858280,0.85479860,1.23149362,0.09143989,0.17134900,0.95931637,0.00000000
-5.91595798,3.22172752,0.87481083,1.25258088,0.09270501,0.17342558,0.97504624,0.00000000
-5.90995498,3.26507177,0.89258428,1.26975246,0.09348297,0.17513325,0.98748675,0.00000000
-5.90395198,3.29915233,0.90816018,1.28317243,0.09378699,0.17651922,0.99681076,0.00000000
-5.89794897,3.32476536,0.92163776,1.29310942,0.09364260,0.17764823,1.00326985,0.00000000
-5.89194597,3.34293173,0.93316688,1.29992407,0.09308684,0.17860085,1.00718351,0.00000000
-5.88594297,3.35485284,0.94293838,1.30405258,0.09216702,0.17947097,1.00892547,0.00000000
-5.87993997,3.36185881,0.95117263,1.30598694,0.09093907,0.18036264,1.00890807,0.00000000
-5.87393697,3.36535165,0.95810704,1.30625294,0.08946553,0.18138641,1.00756525,0.00000000
-5.86793397,3.36674598,0.96398313,1.30538694,0.08781322,0.18265525,1.00533494,0.00000000
-5.86193097,3.36740994,0.96903369,1.30391252,0.08605083,0.18428022,1.00264174,0.00000000
-5.85592796,3.36860905,0.97347096,1.30231805,0.08424635,0.18636613,0.99988054,0.00000000
-5.84992496,3.37145520,0.97747617,1.30103629,0.08246456,0.18900721,0.99740188,0.00000000
-5.84392196,3.37686309,0.98119092,1.30042668,0.08076467,0.19228305,0.99549941,0.00000000
-5.83791896,3.38551537,0.98471085,1.30076127,0.07919819,0.19625494,0.99440019,0.00000000
-5.83191596,3.39783796,0.98808174,1.30221455,0.07780708,0.20096275,0.99425778,0.00000000
-5.82591296,3.41398593,0.99129803,1.30485766,0.07662241,0.20642240,0.99514851,0.00000000
-5.81990995,3.43384015,0.99430381,1.30865691,0.07566332,0.21262410,0.99707078,0.00000000
-5.81390695,3.45701434,0.99699603,1.31347664,0.07493660,0.21953138,0.99994734,0.00000000
-5.80790395,3.48287181,0.99922966,1.31908593,0.07443671,0.22708096,1.00363019,0.00000000
-5.80190095,3.51055074,1.00082450,1.32516893,0.07414628,0.23518345,1.00790782,0.00000000
-5.79589795,3.53899670,1.00157313,1.33133803,0.07403713,0.24372492,1.01251443,0.00000000
-5.78989495,3.56700106,1.00124973,1.33714941,0.07407161,0.25256928,1.01714056,0.00000000
-5.78389195,3.59324344,0.99961935,1.34212013,0.07420443,0.26156139,1.02144490,0.00000000
-5.77788894,3.61633694,0.99644715,1.34574619,0.07438460,0.27053081,1.02506661,0.00000000
-5.77188594,3.63487444,0.99150745,1.34752087,0.07455769,0.27929616,1.02763795,0.00000000
-5.76588294,3.64747464,0.98459216,1.34695256,0.07466807,0.28766985,1.02879679,0.00000000
-5.75987994,3.65282652,0.97551850,1.34358181,0.07466123,0.29546311,1.02819859,0.00000000
-5.75387694,3.64973113,0.96413572,1.33699677,0.07448589,0.30249117,1.02552783,0.00000000
-5.74787394,3.63713965,0.95033079,1.32684694,0.07409606,0.30857841,1.02050841,0.00000000
-5.74187094,3.61418709,0.93403296,1.31285464,0.07345268,0.31356327,1.01291304,0.00000000
-5.73586793,3.58022073,0.91521712,1.29482415,0.07252503,0.31730287,1.00257137,0.00000000
-5.72986493,3.53482313,0.89390602,1.27264822,0.07129173,0.31967715,0.98937686,0.00000000
-5.72386193,3.47782905,0.87017131,1.24631209,0.06974137,0.32059229,0.97329226,0.00000000
-5.71785893,3.40933638,0.84413342,1.21589482,0.06787265,0.31998352,0.95435365,0.00000000
-5.71185593,3.32971083,0.81596044,1.18156813,0.06569420,0.31781699,0.93267303,0.00000000
-5.70585293,3.23958458,0.78586592,1.14359294,0.06322401,0.31409088,0.90843950,0.00000000
-5.69984992,3.13984902,0.75410581,1.10231368,0.06048852,0.30883550,0.88191895,0.00000000
-5.69384692,3.03164204,0.72097452,1.05815076,0.05752146,0.30211261,0.85345228,0.00000000
-5.68784392,2.91633013,0.68680022,1.01159148,0.05436249,0.29401376,0.82345235,0.00000000
-5.68184092,2.79548599,0.65193962,0.96317956,0.05105572,0.28465801,0.79239944,0.00000000
-5.67583792,2.67086214,0.61677212,0.91350389,0.04764817,0.27418880,0.76083552,0.00000000
-5.66983492,2.54436126,0.58169365,0.86318659,0.04418832,0.26277037,0.72935728,0.00000000
-5.66383192,2.41800388,0.54711030,0.81287085,0.04072468,0.25058372,0.69860800,0.00000000
-5.65782891,2.29389420,0.51343176,0.76320894,0.03730461,0.23782222,0.66926843,0.00000000
-5.65182591,2.17418468,0.48106485,0.71485050,0.03397325,0.22468716,0.64204667,0.00000000
-5.64582291,2.06104012,0.45040716,0.66843152,0.03077274,0.21138327,0.61766729,0.00000000
-5.63981991,1.95660177,0.42184096,0.62456416,0.02774177,0.19811433,0.59685967,0.00000000
