energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up
-6.00000000,2.11776086,0.00516834,0.35976606,0.67209310,0.52421223,0.00936387,0.65852819
-5.99399700,2.09980958,0.00460037,0.34957163,0.66840239,0.51845106,0.00931688,0.66310868
-5.98799400,2.07700843,0.00407693,0.33864788,0.66324036,0.51149426,0.00929719,0.66600110
-5.98199100,2.04883814,0.00359881,0.32699009,0.65635881,0.50323799,0.00929499,0.66693081
-5.97598799,2.01489457,0.00316578,0.31461918,0.64755930,0.49360617,0.00930034,0.66565111
-5.96998499,1.97490390,0.00277674,0.30158069,0.63669786,0.48255368,0.00930356,0.66195295
-5.96398199,1.92873377,0.00242984,0.28794275,0.62368802,0.47006869,0.00929558,0.65567347
-5.95797899,1.87639996,0.00212269,0.27379357,0.60850226,0.45617391,0.00926825,0.64670314
-5.95197599,1.81806849,0.00185245,0.25923828,0.59117190,0.44092683,0.00921460,0.63499105
-5.94597299,1.75405310,0.00161602,0.24439552,0.57178536,0.42441884,0.00912907,0.62054825
-5.93996998,1.68480846,0.00141017,0.22939377,0.55048511,0.40677345,0.00900763,0.60344892
-5.93396698,1.61091928,0.00123165,0.21436776,0.52746332,0.38814357,0.00884787,0.58382946
-5.92796398,1.53308607,0.00107728,0.19945504,0.50295654,0.36870814,0.00864901,0.56188542
-5.92196098,1.45210809,0.00094406,0.18479274,0.47723952,0.34866803,0.00841188,0.53786666
-5.91595798,1.36886424,0.00082917,0.17051487,0.45061863,0.32824174,0.00813878,0.51207079
-5.90995498,1.28429289,0.00073010,0.15675002,0.42342495,0.30766070,0.00783338,0.48483534
-5.90395198,1.19937120,0.00064460,0.14361961,0.39600750,0.28716473,0.00750047,0.45652906
-5.89794897,1.11509505,0.00057072,0.13123671,0.36872676,0.26699756,0.00714581,0.42754274
-5.89194597,1.03246013,0.00050681,0.11970545,0.34194880,0.24740275,0.00677583,0.39827988
-5.88594297,0.95244499,0.00045150,0.10912090,0.31604010,0.22862007,0.00639743,0.36914771
-5.87993997,0.87599642,0.00040369,0.09956946,0.29136336,0.21088248,0.00601773,0.34054898
-5.87393697,0.80401772,0.00036255,0.09112968,0.26827432,0.19441375,0.00564384,0.31287451
-5.86793397,0.73735982,0.00032742,0.08387337,0.24711949,0.17942676,0.00528263,0.28649711
-5.86193097,0.67681553,0.00029788,0.07786693,0.22823495,0.16612247,0.00494060,0.26176668
-5.85592796,0.62311640,0.00027367,0.07317281,0.21194590,0.15468949,0.00462371,0.23900662
-5.84992496,0.57693215,0.00025466,0.06985103,0.19856685,0.14530410,0.00433726,0.21851163
-5.84392196,0.53887202,0.00024087,0.06796051,0.18840226,0.13813070,0.00408584,0.20054651
-5.83791896,0.50948737,0.00023239,0.06756032,0.18174720,0.13332241,0.00387329,0.18534595
-5.83191596,0.48927502,0.00022943,0.06871051,0.17888787,0.13102172,0.00370270,0.17311501
-5.82591296,0.47868048,0.00023225,0.07147268,0.18010154,0.13136097,0.00357642,0.16402998
-5.81990995,0.47810037,0.00024120,0.07591004,0.18565579,0.13446253,0.00349617,0.15823931
-5.81390695,0.48788361,0.00025664,0.08208701,0.19580659,0.14043854,0.00346308,0.15586444
-5.80790395,0.50833052,0.00027898,0.09006825,0.21079525,0.14939001,0.00347780,0.15700016
-5.80190095,0.53968990,0.00030867,0.09991725,0.23084396,0.16140532,0.00354059,0.16171448
-5.79589795,0.58215362,0.00034615,0.11169432,0.25615004,0.17655806,0.00365146,0.17004770
-5.78989495,0.63584888,0.00039188,0.12545423,0.28687893,0.19490417,0.00381028,0.18201092
-5.78389195,0.70082854,0.00044632,0.14124340,0.32315612,0.21647861,0.00401684,0.19758381
-5.77788894,0.77705981,0.00050989,0.15909688,0.36505843,0.24129165,0.00427098,0.21671200
-5.77188594,0.86441213,0.00058299,0.17903517,0.41260492,0.26932490,0.00457269,0.23930410
-5.76588294,0.96264507,0.00066600,0.20106111,0.46574794,0.30052749,0.00492211,0.26522892
-5.75987994,1.07139721,0.00075922,0.22515686,0.52436500,0.33481259,0.00531966,0.29431297
