energy_ev,total_up,N_s_up,N_p_up,Te_p_up,Te_d_up,Y_p_up,Y_d_up
-6.00000000,1.72399666,0.00437837,0.15507134,0.93673114,0.00000000,0.55896548,0.28920198
-5.99399700,1.67412790,0.00435771,0.15624470,0.90039223,0.00000000,0.54108931,0.28348331
-5.98799400,1.62882274,0.00432617,0.15743079,0.86730593,0.00000000,0.52554812,0.27837818
-5.98199100,1.58905148,0.00428479,0.15862740,0.83814360,0.00000000,0.51271382,0.27402045
-5.97598799,1.55555693,0.00423473,0.15982029,0.81343606,0.00000000,0.50287154,0.27050882
-5.96998499,1.52883573,0.00417731,0.16098347,0.79356019,0.00000000,0.49621164,0.26790423
-5.96398199,1.50912896,0.00411388,0.16208020,0.77873118,0.00000000,0.49282485,0.26622883
-5.95797899,1.49642229,0.00404586,0.16306455,0.76900028,0.00000000,0.49270065,0.26546641
-5.95197599,1.49045528,0.00397469,0.16388364,0.76425800,0.00000000,0.49572897,0.26556435
-5.94597299,1.49073922,0.00390176,0.16448027,0.76424262,0.00000000,0.50170502,0.26643690
-5.93996998,1.49658271,0.00382842,0.16479589,0.76855348,0.00000000,0.51033722,0.26796965
-5.93396698,1.50712375,0.00375595,0.16477393,0.77666837,0.00000000,0.52125783,0.27002503
-5.92796398,1.52136715,0.00368552,0.16436300,0.78796466,0.00000000,0.53403606,0.27244854
-5.92196098,1.53822577,0.00361821,0.16352021,0.80174300,0.00000000,0.54819304,0.27507554
-5.91595798,1.55656399,0.00355497,0.16221415,0.81725304,0.00000000,0.56321835,0.27773825
-5.90995498,1.57524191,0.00349667,0.16042752,0.83372020,0.00000000,0.57858741,0.28027282
-5.90395198,1.59315863,0.00344410,0.15815934,0.85037241,0.00000000,0.59377919,0.28252602
-5.89794897,1.60929307,0.00339795,0.15542653,0.86646619,0.00000000,0.60829360,0.28436154
-5.89194597,1.62274095,0.00335889,0.15226480,0.88131088,0.00000000,0.62166801,0.28566541
-5.88594297,1.63274644,0.00332757,0.14872893,0.89429049,0.00000000,0.63349210,0.28635058
-5.87993997,1.63872766,0.00330463,0.14489223,0.90488210,0.00000000,0.64342077,0.28636028
-5.87393697,1.64029481,0.00329075,0.14084530,0.91267044,0.00000000,0.65118430,0.28567026
