energy_ev,total_up,Cd_p_up,Cd_d_up,N_s_up,N_p_up,Te_p_up,Te_d_up
-6.00000000,0.24870136,0.07745525,0.04307400,0.01325769,0.01291825,0.10092547,0.00000000
-5.99399700,0.28038354,0.08649220,0.04970817,0.01441720,0.01464560,0.11285825,0.00000000
-5.98799400,0.31612795,0.09693171,0.05706815,0.01583546,0.01657833,0.12639189,0.00000000
-5.98199100,0.35592671,0.10878036,0.06514948,0.01752226,0.01870764,0.14153156,0.00000000
-5.97598799,0.39969399,0.12202194,0.07393395,0.01948265,0.02102158,0.15825006,0.00000000
-5.96998499,0.44725810,0.13661441,0.08338794,0.02171626,0.02350468,0.17648502,0.00000000
-5.96398199,0.49835557,0.15248752,0.09346118,0.02421671,0.02613774,0.19613680,0.00000000
-5.95797899,0.55262782,0.16954116,0.10408599,0.02697113,0.02889769,0.21706742,0.00000000
-5.95197599,0.60962087,0.18764466,0.11517712,0.02995978,0.03175770,0.23910072,0.00000000
-5.94597299,0.66878860,0.20663729,0.12663220,0.03315585,0.03468746,0.26202381,0.00000000
-5.93996998,0.72949978,0.22632999,0.13833302,0.03652550,0.03765366,0.28559002,0.00000000
-5.93396698,0.79104912,0.24650846,0.15014751,0.04002806,0.04062067,0.30952335,0.00000000
-5.92796398,0.85267221,0.26693768,0.16193249,0.04361658,0.04355143,0.33352440,0.00000000
-5.92196098,0.91356427,0.28736779,0.17353718,0.04723855,0.04640850,0.35727774,0.00000000
-5.91595798,0.97290209,0.30754124,0.18480724,0.05083697,0.04915526,0.38046056,0.00000000
-5.90995498,1.02986873,0.32720100,0.19558945,0.05435162,0.05175725,0.40275223,0.00000000
-5.90395198,1.08367997,0.34609958,0.20573664,0.05772056,0.05418353,0.42384466,0.00000000
-5.89794897,1.13361163,0.36400857,0.21511280,0.06088184,0.05640803,0.44345276,0.00000000
-5.89194597,1.17902653,0.38072825,0.22359818,0.06377524,0.05841094,0.46132498,0.00000000
-5.88594297,1.21940006,0.39609689,0.23109405,0.06634416,0.06017987,0.47725304,0.00000000
-5.87993997,1.25434293,0.40999927,0.23752698,0.06853741,0.06171092,0.49108073,0.00000000
-5.87393697,1.28362016,0.42237400,0.24285247,0.07031091,0.06300947,0.50271113,0.00000000
-5.86793397,1.30716523,0.43321922,0.24705757,0.07162919,0.06409071,0.51211194,0.00000000
-5.86193097,1.32508850,0.44259634,0.25016252,0.07246665,0.06497990,0.51931868,0.00000000
-5.85592796,1.33767942,0.45063147,0.25222126,0.07280850,0.06571217,0.52443535,0.00000000
