energy_ev,total_up,C_s_up,C_p_up,Mg_p_up,Mg_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,1.82433306,0.01565457,0.04341470,1.03425340,0.00000000,0.01677158,1.14869446,0.43370666,0.12973714
-5.99399700,1.87455958,0.01710408,0.04314198,1.06934309,0.00000000,0.01783956,1.18186306,0.44589315,0.13427990
-5.98799400,1.92659817,0.01861248,0.04287114,1.10474000,0.00000000,0.01900070,1.21642378,0.45832819,0.13896530
-5.98199100,1.98021533,0.02016601,0.04260157,1.14019306,0.00000000,0.02025754,1.25223971,0.47096169,0.14377391
-5.97598799,2.03510294,0.02174852,0.04233058,1.17542566,0.00000000,0.02161110,1.28912328,0.48373345,0.14868151
-5.96998499,2.09088490,0.02334164,0.04205378,1.21014130,0.00000000,0.02306064,1.32683982,0.49657454,0.15365935
-5.96398199,2.14712387,0.02492503,0.04176550,1.24402894,0.00000000,0.02460344,1.36511123,0.50940841,0.15867449
-5.95797899,2.20332791,0.02647682,0.04145921,1.27676771,0.00000000,0.02623456,1.40361962,0.52215165,0.16369016
-5.95197599,2.25895660,0.02797404,0.04112797,1.30803081,0.00000000,0.02794663,1.44201082,0.53471440,0.16866594
-5.94597299,2.31342679,0.02939315,0.04076478,1.33748878,0.00000000,0.02972974,1.47989776,0.54700037,0.17355805
-5.93996998,2.36611814,0.03071063,0.04036294,1.36481214,0.00000000,0.03157127,1.51686385,0.55890666,0.17831956
-5.93396698,2.41637866,0.03190366,0.03991635,1.38967371,0.00000000,0.03345597,1.55246658,0.57032344,0.18290066
-5.92796398,2.46353085,0.03295068,0.03941972,1.41175083,0.00000000,0.03536594,1.58624169,0.58113369,0.18724895
-5.92196098,2.50687878,0.03383214,0.03886875,1.43072790,0.00000000,0.03728086,1.61770815,0.59121323,0.19130988
-5.91595798,2.54571672,0.03453101,0.03826021,1.44629947,0.00000000,0.03917826,1.64637429,0.60043119,0.19502729
-5.90995498,2.57933958,0.03503341,0.03759200,1.45817426,0.00000000,0.04103387,1.67174524,0.60865109,0.19834414
-5.90395198,2.60705543,0.03532902,0.03686318,1.46608011,0.00000000,0.04282213,1.69333197,0.61573272,0.20120342
-5.89794897,2.62820024,0.03541152,0.03607390,1.46977016,0.00000000,0.04451678,1.71066171,0.62153473,0.20354926
-5.89194597,2.64215456,0.03527878,0.03522539,1.46903004,0.00000000,0.04609150,1.72328982,0.62591817,0.20532819
-5.88594297,2.64836174,0.03493299,0.03431990,1.46368582,0.00000000,0.04752061,1.73081271,0.62875069,0.20649057
-5.87993997,2.64634715,0.03438068,0.03336060,1.45361262,0.00000000,0.04877984,1.73288130,0.62991135,0.20699213
