energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up,Sc_p_up,Sc_d_up
-6.00000000,2.15896539,0.01237226,0.01046008,1.04731307,0.89031285,0.03361787,1.07337468,0.35390860,0.09012312
-5.99399700,2.24611908,0.01156426,0.01099096,1.09091769,0.92368690,0.03574231,1.11903587,0.36406409,0.09427213
-5.98799400,2.33655740,0.01083360,0.01153264,1.13575858,0.95848222,0.03789930,1.16626059,0.37449161,0.09851432
-5.98199100,2.42881055,0.01018164,0.01207757,1.18097005,0.99418800,0.04006293,1.21428008,0.38497212,0.10278000
-5.97598799,2.52136171,0.00960853,0.01261798,1.22567039,1.03026580,0.04220705,1.26230449,0.39528817,0.10699852
-5.96998499,2.61268128,0.00911339,0.01314604,1.26898362,1.06616091,0.04430591,1.30954119,0.40522856,0.11109991
-5.96398199,2.70126363,0.00869452,0.01365403,1.31006197,1.10131519,0.04633471,1.35521421,0.41459319,0.11501678
-5.95797899,2.78566496,0.00834969,0.01413451,1.34810820,1.13518087,0.04827019,1.39858404,0.42319776,0.11868600
-5.95197599,2.86454101,0.00807639,0.01458052,1.38239721,1.16723505,0.05009127,1.43896703,0.43087845,0.12205046
-5.94597299,2.93668304,0.00787207,0.01498566,1.41229566,1.19699416,0.05177951,1.47575383,0.43749611,0.12506058
-5.93996998,3.00105062,0.00773442,0.01534430,1.43727923,1.22402782,0.05331963,1.50842574,0.44293997,0.12767560
-5.93396698,3.05679987,0.00766154,0.01565165,1.45694639,1.24797152,0.05469986,1.53656860,0.44713066,0.12986466
-5.92796398,3.10330554,0.00765216,0.01590387,1.47102833,1.26853753,0.05591220,1.55988329,0.45002225,0.13160744
-5.92196098,3.14017615,0.00770571,0.01609809,1.47939455,1.28552334,0.05695259,1.57819245,0.45160349,0.13289449
-5.91595798,3.16726095,0.00782242,0.01623250,1.48205375,1.29881721,0.05782084,1.59144298,0.45189770,0.13372717
-5.90995498,3.18464847,0.00800331,0.01630627,1.47914997,1.30840051,0.05852058,1.59970412,0.45096177,0.13411716
-5.90395198,3.19265617,0.00825012,0.01631958,1.47095421,1.31434643,0.05905887,1.60316103,0.44888378,0.13408564
-5.89794897,3.19181169,0.00856520,0.01627355,1.45785176,1.31681509,0.05944587,1.60210416,0.44577962,0.13366205
-5.89194597,3.18282598,0.00895130,0.01617015,1.44032566,1.31604507,0.05969420,1.59691463,0.44178859,0.13288262
-5.88594297,3.16655960,0.00941137,0.01601211,1.41893728,1.31234160,0.05981837,1.58804630,0.43706803,0.13178865
-5.87993997,3.14398337,0.00994821,0.01580280,1.39430441,1.30606193,0.05983404,1.57600529,0.43178736,0.13042461
-5.87393697,3.11613498,0.01056419,0.01554612,1.36707817,1.29759836,0.05975724,1.56132766,0.42612157,0.12883624
