energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,Na_s_up,Na_s_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.15009282,-2.03968035,0.00458207,-0.02552425,0.11252967,-0.17008345,0.33659777,-0.68256555,0.43437268,-0.36492240,0.07316597,-0.34144200,0.01304783,-0.03236734,0.50394147,-1.07029168
-5.99399700,1.17769664,-1.91287479,0.00449563,-0.02289010,0.11630941,-0.15984637,0.32211109,-0.62910261,0.45731127,-0.34670357,0.07145231,-0.32563950,0.01350495,-0.03057899,0.51137457,-1.00146808
-5.98799400,1.20882049,-1.78756347,0.00444877,-0.02040793,0.12043992,-0.14974937,0.31021621,-0.57754818,0.48008546,-0.32832378,0.07017395,-0.30933682,0.01411501,-0.02878649,0.52078301,-0.93361342
-5.98199100,1.24240670,-1.66452377,0.00443193,-0.01809207,0.12481650,-0.13981249,0.30066165,-0.52813934,0.50226336,-0.30988545,0.06924793,-0.29264710,0.01487849,-0.02699841,0.53171043,-0.86720019
-5.97598799,1.27744509,-1.54450176,0.00443603,-0.01595271,0.12933316,-0.13006252,0.29319666,-0.48107663,0.52343561,-0.29150318,0.06860060,-0.27568923,0.01579473,-0.02522457,0.54372446,-0.80266734
-5.96998499,1.31298953,-1.42820654,0.00445263,-0.01399614,0.13388509,-0.12053188,0.28757613,-0.43652351,0.54322427,-0.27330213,0.06816805,-0.25858643,0.01686163,-0.02347587,0.55642281,-0.74041832
-5.96398199,1.34817146,-1.31630554,0.00447406,-0.01222498,0.13837104,-0.11125742,0.28356445,-0.39460699,0.56129078,-0.25541589,0.06789610,-0.24146462,0.01807523,-0.02176408,0.56943764,-0.68081996
-5.95797899,1.38220993,-1.20942024,0.00449347,-0.01063862,0.14269558,-0.10227906,0.28093828,-0.35541929,0.57734296,-0.23798405,0.06773996,-0.22445072,0.01942941,-0.02010157,0.58243818,-0.62420202
-5.95197599,1.41441820,-1.10812258,0.00450496,-0.00923358,0.14677130,-0.09363839,0.27948818,-0.31902015,0.59114070,-0.22114939,0.06766347,-0.20767074,0.02091547,-0.01850106,0.59513160,-0.57085730
-5.94597299,1.44420690,-1.01293173,0.00450357,-0.00800403,0.15052074,-0.08537727,0.27901924,-0.28543986,0.60250013,-0.20505500,0.06763814,-0.19124784,0.02252189,-0.01697541,0.60726231,-0.52104206
-5.93996998,1.47108401,-0.92431120,0.00448537,-0.00694224,0.15387807,-0.07753651,0.27935088,-0.25468257,0.61129629,-0.18984128,0.06764189,-0.17530037,0.02423404,-0.01553734,0.61860992,-0.47497663
-5.93396698,1.49465213,-0.84266641,0.00444742,-0.00603900,0.15679045,-0.07015471,0.28031598,-0.22672976,0.61746417,-0.17564300,0.06765772,-0.15993995,0.02603409,-0.01419921,0.62898613,-0.43284613
-5.92796398,1.51460343,-0.76834268,0.00438776,-0.00528408,0.15921915,-0.06326722,0.28175958,-0.20154385,0.62099820,-0.16258653,0.06767230,-0.14526978,0.02790093,-0.01297285,0.63823086,-0.39480132
-5.92196098,1.53071313,-0.70162367,0.00430538,-0.00466654,0.16114024,-0.05690531,0.28353732,-0.17907164,0.62195030,-0.15078729,0.06767459,-0.13138302,0.02981031,-0.01186938,0.64620810,-0.36095931
-5.91595798,1.54283197,-0.64273034,0.00420016,-0.00417514,0.16254510,-0.05109556,0.28551394,-0.15924754,0.62042671,-0.14034751,0.06765464,-0.11836164,0.03173510,-0.01089906,0.65280163,-0.33140443
-5.90995498,1.55087854,-0.59182043,0.00407277,-0.00379850,0.16344048,-0.04585943,0.28756210,-0.14199660,0.61658368,-0.13135443,0.06760244,-0.10627541,0.03364562,-0.01007118,0.65791128,-0.30618901
-5.90395198,1.55483209,-0.54898856,0.00392459,-0.00352538,0.16384844,-0.04121304,0.28956145,-0.12723710,0.61062251,-0.12387883,0.06750714,-0.09518141,0.03551026,-0.00939400,0.66144978,-0.28533419
-5.89794897,1.55472623,-0.51426677,0.00375760,-0.00334476,0.16380595,-0.03716711,0.29139844,-0.11488285,0.60278391,-0.11797398,0.06735648,-0.08512377,0.03729611,-0.00887459,0.66334059,-0.26883071
-5.89194597,1.55064410,-0.48762558,0.00357425,-0.00324601,0.16336431,-0.03372705,0.29296663,-0.10484503,0.59334221,-0.11367506,0.06713650,-0.07613385,0.03896980,-0.00851884,0.66351683,-0.25663978
-5.88594297,1.54271508,-0.46897547,0.00337737,-0.00321888,0.16258834,-0.03089314,0.29416772,-0.09703362,0.58259937,-0.11099890,0.06683159,-0.06823065,0.04049834,-0.00833135,0.66192137,-0.24869390
-5.87993997,1.53111316,-0.45816864,0.00317004,-0.00325356,0.16155540,-0.02866074,0.29491310,-0.09135842,0.57087918,-0.10994408,0.06642479,-0.06142150,0.04185012,-0.00831533,0.65850815,-0.24489769
-5.87393697,1.51605666,-0.45500102,0.00295543,-0.00334068,0.16035420,-0.02702064,0.29512596,-0.08772963,0.55852157,-0.11049135,0.06589837,-0.05570298,0.04299583,-0.00847255,0.65324439,-0.24512881
-5.86793397,1.49780908,-0.45921437,0.00273676,-0.00347127,0.15908338,-0.02595924,0.29474364,-0.08605801,0.54587719,-0.11260427,0.06523455,-0.05106189,0.04390943,-0.00880320,0.64611371,-0.24923875
-5.86193097,1.47668044,-0.47049851,0.00251716,-0.00363676,0.15784992,-0.02545882,0.29372018,-0.08625473,0.53330216,-0.11623001,0.06441642,-0.04747627,0.04456900,-0.00930580,0.63711970,-0.25705371
-5.85592796,1.45302854,-0.48849347,0.00229958,-0.00382897,0.15676717,-0.02549774,0.29202877,-0.08823081,0.52115304,-0.12130039,0.06342890,-0.04491647,0.04495749,-0.00997705,0.62628967,-0.26837549
-5.84992496,1.42725939,-0.51279170,0.00208675,-0.00404007,0.15595272,-0.02605054,0.28966381,-0.09189628,0.50978165,-0.12773290,0.06225969,-0.04334609,0.04506338,-0.01081169,0.61367818,-0.28298234
-5.84392196,1.39982631,-0.54294027,0.00188110,-0.00426260,0.15552584,-0.02708804,0.28664259,-0.09715909,0.49952996,-0.13543185,0.06090020,-0.04272275,0.04488107,-0.01180241,0.59937009,-0.30062990
-5.83791896,1.37122685,-0.57844308,0.00168476,-0.00448949,0.15560468,-0.02857738,0.28300620,-0.10392392,0.49072460,-0.14428955,0.05934630,-0.04299883,0.04441113,-0.01293970,0.58348268,-0.32105220
-5.83191596,1.34199742,-0.61876329,0.00149949,-0.00471405,0.15630312,-0.03048201,0.27881968,-0.11209076,0.48367111,-0.15418751,0.05759897,-0.04412193,0.04366033,-0.01421179,0.56616668,-0.34396276
-5.82591296,1.31270498,-0.66332589,0.00132672,-0.00493007,0.15772730,-0.03276178,0.27417125,-0.12155361,0.47864777,-0.16499760,0.05566466,-0.04603526,0.04264146,-0.01560465,0.54760595,-0.36905592
-5.81990995,1.28393624,-0.71152075,0.00116757,-0.00513181,0.15997202,-0.03537296,0.26917070,-0.13219914,0.47589904,-0.17658331,0.05355553,-0.04867784,0.04137292,-0.01710194,0.52801590,-0.39600823
-5.81390695,1.25628409,-0.76270598,0.00102282,-0.00531411,0.16311691,-0.03826838,0.26394697,-0.14390555,0.47562884,-0.18880096,0.05128935,-0.05198460,0.03987817,-0.01868520,0.50764037,-0.42448025
-5.80790395,1.23033213,-0.81621203,0.00089301,-0.00547242,0.16722269,-0.04139773,0.25864493,-0.15654168,0.47799365,-0.20150095,0.04888925,-0.05588645,0.03818499,-0.02033393,0.48674741,-0.45411856
-5.80190095,1.20663779,-0.87134636,0.00077845,-0.00560285,0.17232755,-0.04470785,0.25342177,-0.16996637,0.48309587,-0.21452908,0.04638321,-0.06031031,0.03632464,-0.02202590,0.46562392,-0.48455807
-5.79589795,1.18571488,-0.92739891,0.00067925,-0.00570227,0.17844386,-0.04814330,0.24844290,-0.18402827,0.49097777,-0.22772795,0.04380345,-0.06517913,0.03433092,-0.02373744,0.44456960,-0.51542472
-5.78989495,1.16801673,-0.98364832,0.00059544,-0.00576829,0.18555545,-0.05164702,0.24387792,-0.19856597,0.50161635,-0.24093834,0.04118562,-0.07041211,0.03223920,-0.02544386,0.42389033,-0.54633856
-5.78389195,1.15392072,-1.03936896,0.00052693,-0.00579932,0.19361555,-0.05516112,0.23989655,-0.21340874,0.51491965,-0.25400087,0.03856791,-0.07592490,0.03008549,-0.02711992,0.40389161,-0.57691707
-5.77788894,1.14371550,-1.09383871,0.00047361,-0.00579461,0.20254570,-0.05862788,0.23666512,-0.22837758,0.53072479,-0.26675757,0.03599016,-0.08163006,0.02790547,-0.02874032,0.38487210,-0.60677898
-5.77188594,1.13759149,-1.14634737,0.00043542,-0.00575415,0.21223569,-0.06199082,0.23434339,-0.24328689,0.54879829,-0.27905375,0.03349290,-0.08743766,0.02573366,-0.03028029,0.36711786,-0.63554825
-5.76588294,1.13563571,-1.19620564,0.00041231,-0.00567874,0.22254469,-0.06519591,0.23308229,-0.25794651,0.56883883,-0.29073986,0.03111647,-0.09325610,0.02360270,-0.03171608,0.35089730,-0.66285835
-5.75987994,1.13783117,-1.24275451,0.00040433,-0.00556985,0.23330364,-0.06819278,0.23302225,-0.27216423,0.59048261,-0.30167358,0.02890014,-0.09899307,0.02154270,-0.03302557,0.33645721,-0.68835679
-5.75387694,1.14406120,-1.28537489,0.00041164,-0.00542963,0.24431888,-0.07093600,0.23429247,-0.28574862,0.61331154,-0.31172194,0.02688139,-0.10455675,0.01958076,-0.03418870,0.32401992,-0.71170975
-5.74787394,1.15411847,-1.32349724,0.00043450,-0.00526077,0.25537702,-0.07338629,0.23701086,-0.29851221,0.63686393,-0.32076357,0.02509517,-0.10985714,0.01774064,-0.03518802,0.31378155,-0.73260672
-5.74187094,1.16771842,-1.35661105,0.00047330,-0.00506641,0.26625080,-0.07551169,0.24128459,-0.31027486,0.66064755,-0.32869096,0.02357335,-0.11480748,0.01604258,-0.03600899,0.30591135,-0.75076524
-5.73586793,1.18451616,-1.38427388,0.00052852,-0.00485005,0.27670594,-0.07728855,0.24721120,-0.32086723,0.68415450,-0.33541277,0.02234418,-0.11932579,0.01450317,-0.03664028,0.30055194,-0.76593533
-5.72986493,1.20412614,-1.40611978,0.00060074,-0.00461543,0.28650848,-0.07870239,0.25487983,-0.33013433,0.70687745,-0.34085602,0.02143192,-0.12333643,0.01313543,-0.03707402,0.29782022,-0.77790392
-5.72386193,1.22614305,-1.42186682,0.00069059,-0.00436644,0.29543250,-0.07974855,0.26437248,-0.33793893,0.72832642,-0.34496822,0.02085638,-0.12677155,0.01194892,-0.03730582,0.29780872,-0.78649875
-5.71785893,1.25016303,-1.43132357,0.00079871,-0.00410698,0.30326783,-0.08043260,0.27576499,-0.34416487,0.74804542,-0.34771924,0.02063272,-0.12957259,0.01094993,-0.03733480,0.30058702,-0.79159203
-5.71185593,1.27580351,-1.43439418,0.00092572,-0.00384087,0.30982727,-0.08077048,0.28912751,-0.34872003,0.76562808,-0.34910291,0.02077107,-0.13169149,0.01014176,-0.03716348,0.30620309,-0.79310342
-5.70585293,1.30272068,-1.43108206,0.00107216,-0.00357181,0.31495324,-0.08078833,0.30452423,-0.35153902,0.78073153,-0.34913823,0.02127635,-0.13309182,0.00952496,-0.03679757,0.31468419,-0.79100246
-5.69984992,1.33062340,-1.42149183,0.00123844,-0.00330322,0.31852320,-0.08052216,0.32201217,-0.35258536,0.79308781,-0.34787012,0.02214803,-0.13374965,0.00909764,-0.03624571,0.32603712,-0.78531028
-5.69384692,1.35928253,-1.40582942,0.00142477,-0.00303827,0.32045392,-0.08001708,0.34163914,-0.35185322,0.80251222,-0.34536959,0.02337996,-0.13365410,0.00885573,-0.03551913,0.34024784,-0.77610048
-5.68784392,1.38853538,-1.38440032,0.00163110,-0.00277977,0.32070412,-0.07932637,0.36344051,-0.34936860,0.80890810,-0.34173325,0.02496017,-0.13280767,0.00879321,-0.03463132,0.35728017,-0.76349915
-5.68184092,1.41828481,-1.35760580,0.00185712,-0.00253018,0.31927548,-0.07851026,0.38743527,-0.34518988,0.81226798,-0.33708221,0.02687082,-0.13122622,0.00890239,-0.03359758,0.37707385,-0.74768395
-5.67583792,1.44849317,-1.32593717,0.00210213,-0.00229160,0.31621201,-0.07763447,0.41362121,-0.33940785,0.81267084,-0.33156017,0.02908815,-0.12893865,0.00917407,-0.03243468,0.39954199,-0.72888227
-5.66983492,1.47917160,-1.28996807,0.00236508,-0.00206574,0.31159772,-0.07676859,0.44196968,-0.33214506,0.81027580,-0.32533079,0.03158258,-0.12598629,0.00959770,-0.03116041,0.42456802,-0.70736844
-5.66383192,1.51036545,-1.25034496,0.00264450,-0.00185398,0.30555278,-0.07598425,0.47242014,-0.32355467,0.80531260,-0.31857435,0.03431885,-0.12242199,0.01016150,-0.02979326,0.45200266,-0.68345998
-5.65782891,1.54213688,-1.20777595,0.00293851,-0.00165735,0.29822849,-0.07535321,0.50487490,-0.31381872,0.79806939,-0.31148375,0.03725639,-0.11830899,0.01085261,-0.02835201,0.48166096,-0.65751309
-5.65182591,1.57454589,-1.16301821,0.00324484,-0.00147661,0.28980108,-0.07494539,0.53919442,-0.30314588,0.78887854,-0.30425983,0.04034983,-0.11371952,0.01165715,-0.02685546,0.51332002,-0.62991723
-5.64582291,1.60763118,-1.11686424,0.00356082,-0.00131223,0.28046493,-0.07482683,0.57519359,-0.29176884,0.77810127,-0.29710642,0.04354961,-0.10873330,0.01256036,-0.02532217,0.54671746,-0.60108924
-5.63981991,1.64139220,-1.07012742,0.00388344,-0.00116449,0.27042548,-0.07505774,0.61263931,-0.27994129,0.76611200,-0.29022486,0.04680287,-0.10343583,0.01354663,-0.02377017,0.58155127,-0.57146677
-5.63381691,1.67577377,-1.02362713,0.00420945,-0.00103351,0.25989207,-0.07569065,0.65124980,-0.26793461,0.75328308,-0.28380857,0.05005446,-0.09791672,0.01459969,-0.02221680,0.61748092,-0.54150149
-5.62781391,1.71065428,-0.97817392,0.00453536,-0.00091925,0.24907121,-0.07676873,0.69069574,-0.25603439,0.73997092,-0.27803762,0.05324806,-0.09226784,0.01570272,-0.02067853,0.65413038,-0.51165206
-5.62181091,1.74583856,-0.93455509,0.00485763,-0.00082162,0.23816054,-0.07832433,0.73060357,-0.24453676,0.72650401,-0.27307356,0.05632752,-0.08658163,0.01683849,-0.01917086,0.69109263,-0.48237714
-5.61580790,1.78105590,-0.89352119,0.00517270,-0.00074045,0.22734371,-0.08037781,0.77056091,-0.23374464,0.71317346,-0.26905485,0.05923814,-0.08094941,0.01798961,-0.01770818,0.72793617,-0.45412844
-5.60980490,1.81596356,-0.85577364,0.00547718,-0.00067557,0.21678641,-0.08293675,0.81012410,-0.22396399,0.70022634,-0.26609291,0.06192815,-0.07545976,0.01913876,-0.01630374,0.76421301,-0.42734420
-5.60380190,1.85015584,-0.82195403,0.00576791,-0.00062680,0.20663364,-0.08599554,0.84882768,-0.21549996,0.68786214,-0.26426907,0.06435001,-0.07019706,0.02026892,-0.01496952,0.79946817,-0.40244304
-5.59779890,1.88317807,-0.79263508,0.00604217,-0.00059401,0.19700827,-0.08953547,0.88619559,-0.20865315,0.67623221,-0.26363269,0.06646177,-0.06524016,0.02136370,-0.01371628,0.83325036,-0.37981825
-5.59179590,1.91454504,-0.76831368,0.00629774,-0.00057708,0.18801096,-0.09352520,0.92175370,-0.20371579,0.66544209,-0.26420028,0.06822815,-0.06066124,0.02240765,-0.01255347,0.86512340,-0.35983279
-5.58579290,1.94376292,-0.74940594,0.00653310,-0.00057595,0.17972112,-0.09792178,0.95504321,-0.20096799,0.65555631,-0.26595595,0.06962160,-0.05652474,0.02338660,-0.01148923,0.89467798,-0.34281480
-5.57978989,1.97035327,-0.73624433,0.00674748,-0.00059059,0.17219900,-0.10267212,0.98563443,-0.20067393,0.64660533,-0.26885308,0.07062299,-0.05288657,0.02428795,-0.01053040,0.92154338,-0.32905379
-5.57378689,1.99387811,-0.72907682,0.00694102,-0.00062104,0.16548854,-0.10771489,1.01314037,-0.20307806,0.63859387,-0.27281723,0.07122214,-0.04979338,0.02510105,-0.00968254,0.94539848,-0.31879737
-5.56778389,2.01396454,-0.72806772,0.00711483,-0.00066732,0.15962074,-0.11298284,1.03722968,-0.20840124,0.63151011,-0.27775000,0.07141798,-0.04728202,0.02581746,-0.00894987,0.96598184,-0.31224866
-5.56178089,2.03032761,-0.73330029,0.00727111,-0.00072950,0.15461735,-0.11840539,1.05763812,-0.21683687,0.62533511,-0.28353405,0.07121849,-0.04537915,0.02643125,-0.00833538,0.98310022,-0.30956409
