energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,Li_s_up,Li_s_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.14223729,-0.74839472,0.01049105,-0.01237599,0.25319233,-0.17687367,0.36925966,-0.14615805,0.34794620,-0.13625935,0.08432046,-0.08898559,0.00871662,-0.01466145,0.22226578,-0.17981692
-5.99399700,1.14136304,-0.68591278,0.01050743,-0.01137261,0.25163771,-0.16240904,0.37147286,-0.13401408,0.34440937,-0.12511993,0.08799819,-0.08081509,0.00805922,-0.01350483,0.22510287,-0.16450032
-5.98799400,1.14195777,-0.62488500,0.01062235,-0.01039707,0.25002162,-0.14825397,0.37279728,-0.12217558,0.34211559,-0.11422487,0.09203967,-0.07291306,0.00745202,-0.01236118,0.22858275,-0.14956375
-5.98199100,1.14399818,-0.56595352,0.01083658,-0.00945885,0.24832696,-0.13455718,0.37318455,-0.11076395,0.34107976,-0.10369164,0.09643741,-0.06536295,0.00689830,-0.01124382,0.23271376,-0.13516711
-5.97598799,1.14743774,-0.50968799,0.01114846,-0.00856667,0.24653724,-0.12145228,0.37260654,-0.09988817,0.34128966,-0.09362601,0.10117932,-0.05823482,0.00640022,-0.01016480,0.23749626,-0.12145064
-5.96998499,1.15221480,-0.45658092,0.01155395,-0.00772839,0.24463869,-0.10905655,0.37105770,-0.08964399,0.34270882,-0.08412116,0.10624865,-0.05158527,0.00595892,-0.00913472,0.24292346,-0.10853394
-5.96398199,1.15826034,-0.40704635,0.01204669,-0.00695105,0.24262223,-0.09747044,0.36855652,-0.08011375,0.34528016,-0.07525738,0.11162403,-0.04545784,0.00557469,-0.00816263,0.24898236,-0.09651591
-5.95797899,1.16550493,-0.36142179,0.01261820,-0.00624082,0.24048502,-0.08677772,0.36514588,-0.07136681,0.34892998,-0.06710226,0.11727954,-0.03988390,0.00524716,-0.00725602,0.25565454,-0.08547552
-5.95197599,1.17388476,-0.31997284,0.01325808,-0.00560306,0.23823166,-0.07704638,0.36089248,-0.06346050,0.35357219,-0.05971139,0.12318499,-0.03488382,0.00497540,-0.00642085,0.26291699,-0.07547326
-5.94597299,1.18334638,-0.28290020,0.01395438,-0.00504241,0.23587496,-0.06832997,0.35588521,-0.05644155,0.35911266,-0.05312946,0.12930622,-0.03046849,0.00475816,-0.00566168,0.27074285,-0.06655316
