energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ca_p_up,Ca_p_down,Ca_d_up,Ca_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,0.91605404,-0.91670073,0.02242458,-0.02245561,0.05690127,-0.05693016,0.00663253,-0.00663981,0.00000000,-0.00000000,0.23697112,-0.23726487,0.28152297,-0.28150585,0.00248213,-0.00248503,0.44487587,-0.44525330
-5.99399700,0.86831382,-0.86884233,0.02050957,-0.02053837,0.05346967,-0.05348709,0.00614806,-0.00615460,0.00000000,-0.00000000,0.21674292,-0.21700396,0.27781832,-0.27775616,0.00229114,-0.00229364,0.41970508,-0.42003171
-5.98799400,0.82824897,-0.82865210,0.01874222,-0.01876870,0.05070915,-0.05071407,0.00571546,-0.00572122,0.00000000,-0.00000000,0.19886146,-0.19908786,0.27669970,-0.27658909,0.00212867,-0.00213074,0.39797852,-0.39825183
-5.98199100,0.79620141,-0.79647400,0.01712749,-0.01715160,0.04866060,-0.04865217,0.00533684,-0.00534179,0.00000000,-0.00000000,0.18341829,-0.18360875,0.27831558,-0.27815373,0.00199638,-0.00199799,0.37982732,-0.38004571
-5.97598799,0.77238242,-0.77252130,0.01566689,-0.01568866,0.04735397,-0.04733152,0.00501326,-0.00501739,0.00000000,-0.00000000,0.17046455,-0.17061834,0.28277712,-0.28256191,0.00189557,-0.00189670,0.36532178,-0.36548454
-5.96998499,0.75687735,-0.75688138,0.01435888,-0.01437836,0.04680783,-0.04677092,0.00474480,-0.00474812,0.00000000,-0.00000000,0.16001335,-0.16013029,0.29015621,-0.28988627,0.00182715,-0.00182780,0.35447527,-0.35458253
-5.96398199,0.74965110,-0.74952108,0.01319929,-0.01321656,0.04702914,-0.04697754,0.00453067,-0.00453320,0.00000000,-0.00000000,0.15204246,-0.15212289,0.30048351,-0.30015830,0.00179167,-0.00179182,0.34724851,-0.34730118
-5.95797899,0.75055390,-0.75029257,0.01218171,-0.01219690,0.04801298,-0.04794673,0.00436928,-0.00437104,0.00000000,-0.00000000,0.14649715,-0.14654190,0.31374660,-0.31336645,0.00178930,-0.00178894,0.34355392,-0.34355364
-5.95197599,0.75932720,-0.75893917,0.01129801,-0.01131126,0.04974249,-0.04966188,0.00425836,-0.00425940,0.00000000,-0.00000000,0.14329312,-0.14330345,0.32988812,-0.32945433,0.00181978,-0.00181893,0.34325994,-0.34320900
-5.94597299,0.77560959,-0.77510131,0.01053874,-0.01055020,0.05218893,-0.05209451,0.00419506,-0.00419541,0.00000000,-0.00000000,0.14231942,-0.14229701,0.34880428,-0.34831915,0.00188250,-0.00188117,0.34619510,-0.34609643
-5.93996998,0.79894283,-0.79832252,0.00989350,-0.00990334,0.05531184,-0.05520443,0.00417604,-0.00417576,0.00000000,-0.00000000,0.14344143,-0.14338830,0.37034379,-0.36981065,0.00197645,-0.00197465,0.35215199,-0.35200907
-5.93396698,0.82877835,-0.82805592,0.00935137,-0.00935977,0.05905953,-0.05894023,0.00419758,-0.00419673,0.00000000,-0.00000000,0.14650386,-0.14642237,0.39430758,-0.39373079,0.00210021,-0.00209796,0.36089091,-0.36070774
-5.92796398,0.86448449,-0.86367140,0.00890120,-0.00890832,0.06336978,-0.06323993,0.00425564,-0.00425428,0.00000000,-0.00000000,0.15133389,-0.15122667,0.42044945,-0.41983441,0.00225198,-0.00224932,0.37214360,-0.37192463
-5.92196098,0.90535497,-0.90446406,0.00853186,-0.00853788,0.06817089,-0.06803205,0.00434601,-0.00434421,0.00000000,-0.00000000,0.15774457,-0.15761444,0.44847819,-0.44783125,0.00242961,-0.00242656,0.38561702,-0.38536709
-5.91595798,0.95061909,-0.94966445,0.00823253,-0.00823761,0.07338307,-0.07323699,0.00446434,-0.00446216,0.00000000,-0.00000000,0.16553840,-0.16538837,0.47806115,-0.47738952,0.00263056,-0.00262717,0.40099745,-0.40072173
-5.90995498,0.99945422,-0.99845083,0.00799280,-0.00799710,0.07892024,-0.07876882,0.00460623,-0.00460374,0.00000000,-0.00000000,0.17451146,-0.17434461,0.50882970,-0.50814131,0.00285198,-0.00284830,0.41795504,-0.41765894
-5.90395198,1.05100066,-1.04996413,0.00780288,-0.00780654,0.08469224,-0.08453749,0.00476735,-0.00476462,0.00000000,-0.00000000,0.18445795,-0.18427736,0.54038662,-0.53968992,0.00309074,-0.00308682,0.43614909,-0.43583816
-5.89794897,1.10437938,-1.10332555,0.00765364,-0.00765679,0.09060746,-0.09045139,0.00494350,-0.00494058,0.00000000,-0.00000000,0.19517521,-0.19498389,0.57231555,-0.57161927,0.00334349,-0.00333937,0.45523409,-0.45491391
-5.89194597,1.15871247,-1.15765698,0.00753668,-0.00753945,0.09657579,-0.09642037,0.00513067,-0.00512763,0.00000000,-0.00000000,0.20646934,-0.20627013,0.60419225,-0.60350511,0.00360668,-0.00360243,0.47486658,-0.47454265
-5.88594297,1.21314614,-1.21210394,0.00744442,-0.00744691,0.10251188,-0.10235894,0.00532519,-0.00532208,0.00000000,-0.00000000,0.21816117,-0.21795661,0.63559765,-0.63492808,0.00387673,-0.00387241,0.49471294,-0.49439051
-5.87993997,1.26687575,-1.26586059,0.00737007,-0.00737237,0.10833861,-0.10818977,0.00552375,-0.00552062,0.00000000,-0.00000000,0.23009264,-0.22988490,0.66613220,-0.66548798,0.00415005,-0.00414571,0.51445778,-0.51414173
-5.87393697,1.31917221,-1.31819609,0.00730763,-0.00730984,0.11399063,-0.11384719,0.00572354,-0.00572043,0.00000000,-0.00000000,0.24213331,-0.24192404,0.69543109,-0.69481899,0.00442319,-0.00441888,0.53381296,-0.53350762
-5.86793397,1.36940871,-1.36848138,0.00725196,-0.00725413,0.11941782,-0.11928070,0.00592231,-0.00591925,0.00000000,-0.00000000,0.25418675,-0.25397700,0.72317962,-0.72260512,0.00469292,-0.00468869,0.55252677,-0.55223578
-5.86193097,1.41708667,-1.41621511,0.00719868,-0.00720088,0.12458854,-0.12445817,0.00611842,-0.00611543,0.00000000,-0.00000000,0.26619663,-0.26598676,0.74912820,-0.74859510,0.00495635,-0.00495225,0.57039294,-0.57011907
-5.85592796,1.46185956,-1.46104755,0.00714423,-0.00714651,0.12949241,-0.12936872,0.00631096,-0.00630804,0.00000000,-0.00000000,0.27815212,-0.27794169,0.77310599,-0.77261617,0.00521108,-0.00520714,0.58725910,-0.58700416
-5.84992496,1.50355321,-1.50280103,0.00708584,-0.00708822,0.13414260,-0.13402491,0.00649976,-0.00649691,0.00000000,-0.00000000,0.29009224,-0.28987997,0.79503247,-0.79458569,0.00545525,-0.00545149,0.60303410,-0.60279878
-5.84392196,1.54218137,-1.54148549,0.00702150,-0.00702400,0.13857725,-0.13846430,0.00668543,-0.00668263,0.00000000,-0.00000000,0.30210890,-0.30189261,0.81492629,-0.81452001,0.00568765,-0.00568409,0.61769381,-0.61747763
-5.83791896,1.57795495,-1.57730799,0.00694996,-0.00695258,0.14286006,-0.14274995,0.00686938,-0.00686659,0.00000000,-0.00000000,0.31434822,-0.31412484,0.83291037,-0.83253974,0.00590780,-0.00590444,0.63128485,-0.63108612
-5.83191596,1.61128417,-1.61067495,0.00687070,-0.00687345,0.14707977,-0.14697005,0.00705379,-0.00705098,0.00000000,-0.00000000,0.32700990,-0.32677548,0.84921305,-0.84887090,0.00611597,-0.00611280,0.64392594,-0.64374176
-5.82591296,1.64277253,-1.64218627,0.00678393,-0.00678678,0.15134859,-0.15123627,0.00724158,-0.00723869,0.00000000,-0.00000000,0.34034442,-0.34009423,0.86416454,-0.86384159,0.00631323,-0.00631023,0.65580640,-0.65563271
-5.81990995,1.67320222,-1.67262100,0.00669053,-0.00669346,0.15579938,-0.15568102,0.00743632,-0.00743329,0.00000000,-0.00000000,0.35464783,-0.35437645,0.87818862,-0.87787371,0.00650139,-0.00649854,0.66718177,-0.66701345
-5.81390695,1.70351084,-1.70291411,0.00659201,-0.00659498,0.16058174,-0.16045355,0.00764212,-0.00763889,0.00000000,-0.00000000,0.37025426,-0.36995571,0.89178950,-0.89146997,0.00668298,-0.00668023,0.67836631,-0.67819737
-5.80790395,1.73475967,-1.73412501,0.00649047,-0.00649344,0.16585688,-0.16571489,0.00786353,-0.00786001,0.00000000,-0.00000000,0.38752591,-0.38719389,0.90553412,-0.90519626,0.00686117,-0.00685846,0.68972257,-0.68954634
