energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down,V_p_up,V_p_down,V_d_up,V_d_down
-6.00000000,0.81945239,-0.81945241,0.00406838,-0.00406838,0.01267109,-0.01267109,0.08985290,-0.08985290,0.06939921,-0.06939921,0.03042758,-0.03042758,0.45893954,-0.45893955,0.18468695,-0.18468697,0.12540068,-0.12540068
-5.99399700,0.84842969,-0.84842972,0.00417500,-0.00417500,0.01394735,-0.01394735,0.09690795,-0.09690796,0.07276551,-0.07276551,0.03064032,-0.03064032,0.47617605,-0.47617606,0.19907120,-0.19907121,0.12749392,-0.12749392
-5.98799400,0.87861585,-0.87861588,0.00432442,-0.00432442,0.01530730,-0.01530730,0.10455788,-0.10455789,0.07624666,-0.07624667,0.03079944,-0.03079944,0.49416164,-0.49416165,0.21420405,-0.21420407,0.12974597,-0.12974597
-5.98199100,0.91004163,-0.91004166,0.00451416,-0.00451416,0.01674518,-0.01674518,0.11279324,-0.11279324,0.07983004,-0.07983004,0.03091536,-0.03091536,0.51290331,-0.51290333,0.22999017,-0.22999019,0.13219016,-0.13219016
-5.97598799,0.94266910,-0.94266913,0.00474063,-0.00474063,0.01825291,-0.01825291,0.12158969,-0.12158970,0.08349712,-0.08349712,0.03099762,-0.03099762,0.53236804,-0.53236806,0.24630727,-0.24630729,0.13485072,-0.13485072
-5.96998499,0.97638254,-0.97638257,0.00499926,-0.00499926,0.01982012,-0.01982012,0.13090709,-0.13090710,0.08722328,-0.08722328,0.03105425,-0.03105425,0.55247782,-0.55247784,0.26300633,-0.26300635,0.13774066,-0.13774066
-5.96398199,1.01098344,-1.01098348,0.00528448,-0.00528448,0.02143412,-0.02143413,0.14068905,-0.14068906,0.09097796,-0.09097797,0.03109132,-0.03109132,0.57310717,-0.57310719,0.27991326,-0.27991328,0.14086027,-0.14086027
-5.95797899,1.04619023,-1.04619026,0.00558991,-0.00558991,0.02308014,-0.02308014,0.15086326,-0.15086327,0.09472533,-0.09472533,0.03111262,-0.03111262,0.59408336,-0.59408338,0.29683200,-0.29683201,0.14419628,-0.14419629
-5.95197599,1.08164322,-1.08164325,0.00590847,-0.00590847,0.02474153,-0.02474153,0.16134248,-0.16134249,0.09842536,-0.09842537,0.03111939,-0.03111939,0.61518952,-0.61518954,0.31354906,-0.31354908,0.14772176,-0.14772177
-5.94597299,1.11691483,-1.11691486,0.00623256,-0.00623256,0.02640016,-0.02640016,0.17202630,-0.17202631,0.10203547,-0.10203547,0.03111035,-0.03111035,0.63617084,-0.63617087,0.32983956,-0.32983957,0.15139684,-0.15139684
-5.93996998,1.15152493,-1.15152497,0.00655424,-0.00655424,0.02803693,-0.02803693,0.18280370,-0.18280371,0.10551248,-0.10551248,0.03108179,-0.03108179,0.65674370,-0.65674372,0.34547434,-0.34547436,0.15517028,-0.15517029
-5.93396698,1.18496094,-1.18496097,0.00686545,-0.00686545,0.02963227,-0.02963227,0.19355635,-0.19355637,0.10881500,-0.10881500,0.03102783,-0.03102783,0.67660736,-0.67660738,0.36022827,-0.36022829,0.15898186,-0.15898187
-5.92796398,1.21670176,-1.21670179,0.00715824,-0.00715824,0.03116688,-0.03116688,0.20416256,-0.20416258,0.11190604,-0.11190604,0.03094091,-0.03094091,0.69545795,-0.69545796,0.37388910,-0.37388911,0.16276541,-0.16276542
-5.92196098,1.24624476,-1.24624479,0.00742496,-0.00742496,0.03262235,-0.03262235,0.21450180,-0.21450181,0.11475580,-0.11475580,0.03081224,-0.03081224,0.71300410,-0.71300412,0.38626676,-0.38626678,0.16645252,-0.16645252
-5.91595798,1.27313448,-1.27313451,0.00765855,-0.00765855,0.03398193,-0.03398193,0.22445964,-0.22445965,0.11734444,-0.11734444,0.03063251,-0.03063251,0.72898350,-0.72898352,0.39720266,-0.39720268,0.16997657,-0.16997658
-5.90995498,1.29699165,-1.29699168,0.00785267,-0.00785267,0.03523129,-0.03523129,0.23393293,-0.23393294,0.11966479,-0.11966479,0.03039246,-0.03039246,0.74317962,-0.74317964,0.40657845,-0.40657846,0.17327713,-0.17327713
-5.90395198,1.31754118,-1.31754120,0.00800193,-0.00800193,0.03635917,-0.03635918,0.24283505,-0.24283506,0.12172472,-0.12172473,0.03008363,-0.03008363,0.75543773,-0.75543774,0.41432399,-0.41432400,0.17630421,-0.17630421
-5.89794897,1.33463754,-1.33463756,0.00810204,-0.00810204,0.03735807,-0.03735807,0.25110083,-0.25110084,0.12354922,-0.12354922,0.02969898,-0.02969898,0.76567945,-0.76567947,0.42042407,-0.42042408,0.17902241,-0.17902242
-5.89194597,1.34828615,-1.34828617,0.00814994,-0.00814994,0.03822476,-0.03822477,0.25869120,-0.25869121,0.12518180,-0.12518180,0.02923344,-0.02923344,0.77391494,-0.77391495,0.42492347,-0.42492347,0.18141456,-0.18141457
-5.88594297,1.35865958,-1.35865960,0.00814388,-0.00814388,0.03896076,-0.03896076,0.26559704,-0.26559704,0.12668539,-0.12668539,0.02868439,-0.02868439,0.78025199,-0.78025200,0.42793010,-0.42793011,0.18348469,-0.18348470
-5.87993997,1.36610720,-1.36610722,0.00808343,-0.00808343,0.03957254,-0.03957254,0.27184213,-0.27184214,0.12814239,-0.12814239,0.02805201,-0.02805201,0.78490145,-0.78490146,0.42961604,-0.42961605,0.18526016,-0.18526017
-5.87393697,1.37115779,-1.37115780,0.00796952,-0.00796952,0.04007169,-0.04007169,0.27748504,-0.27748505,0.12965395,-0.12965395,0.02733947,-0.02733947,0.78817846,-0.78817847,0.43021614,-0.43021614,0.18679277,-0.18679277
-5.86793397,1.37451423,-1.37451424,0.00780435,-0.00780435,0.04047479,-0.04047479,0.28261956,-0.28261957,0.13133839,-0.13133839,0.02655297,-0.02655297,0.79049920,-0.79049920,0.43002428,-0.43002428,0.18815870,-0.18815870
-5.86193097,1.37704025,-1.37704026,0.00759131,-0.00759131,0.04080311,-0.04080311,0.28737386,-0.28737386,0.13332876,-0.13332877,0.02570163,-0.02570163,0.79237297,-0.79237298,0.42938720,-0.42938721,0.18945731,-0.18945731
-5.85592796,1.37973920,-1.37973922,0.00733485,-0.00733485,0.04108212,-0.04108212,0.29190794,-0.29190795,0.13576957,-0.13576958,0.02479721,-0.02479721,0.79438976,-0.79438977,0.42869609,-0.42869609,0.19080868,-0.19080869
-5.84992496,1.38372544,-1.38372545,0.00704030,-0.00704030,0.04134075,-0.04134075,0.29640966,-0.29640966,0.13881270,-0.13881270,0.02385372,-0.02385372,0.79720347,-0.79720348,0.42837592,-0.42837592,0.19235003,-0.19235003
-5.84392196,1.39018888,-1.39018890,0.00671367,-0.00671367,0.04161052,-0.04161052,0.30108911,-0.30108912,0.14261267,-0.14261268,0.02288693,-0.02288692,0.80151130,-0.80151131,0.42887312,-0.42887312,0.19423100,-0.19423101
-5.83791896,1.40035404,-1.40035406,0.00636148,-0.00636148,0.04192445,-0.04192445,0.30617167,-0.30617168,0.14732133,-0.14732134,0.02191373,-0.02191373,0.80802982,-0.80802983,0.43064157,-0.43064157,0.19660817,-0.19660818
-5.83191596,1.41543469,-1.41543472,0.00599050,-0.00599050,0.04231585,-0.04231585,0.31188978,-0.31188979,0.15308213,-0.15308214,0.02095155,-0.02095154,0.81746870,-0.81746872,0.43412758,-0.43412759,0.19963866,-0.19963867
-5.82591296,1.43658587,-1.43658591,0.00560757,-0.00560757,0.04281702,-0.04281702,0.31847374,-0.31847375,0.16002414,-0.16002415,0.02001762,-0.02001762,0.83050274,-0.83050277,0.43975424,-0.43975425,0.20347345,-0.20347346
