energy_ev,total_up,C_s_up,C_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,3.12223779,0.00624270,0.60550600,1.74591695,1.01438465,0.11548770,0.59545981,0.50987623,0.20376052
-5.99399700,3.16214763,0.00601770,0.60973623,1.73095594,1.01938371,0.11810108,0.60580229,0.51645950,0.20897081
-5.98799400,3.19832452,0.00579738,0.61330170,1.71287431,1.02441950,0.12056947,0.61509591,0.52231766,0.21384854
-5.98199100,3.22963731,0.00558506,0.61592926,1.69152376,1.02906070,0.12285040,0.62316487,0.52733353,0.21831673
-5.97598799,3.25494486,0.00538337,0.61735444,1.66678291,1.03286317,0.12489778,0.62982965,0.53137548,0.22229760
-5.96998499,3.27313381,0.00519427,0.61733014,1.63856747,1.03538372,0.12666333,0.63491368,0.53430278,0.22571500
-5.96398199,3.28315864,0.00501901,0.61563508,1.60684027,1.03619452,0.12809823,0.63825055,0.53597222,0.22849694
-5.95797899,3.28408187,0.00485825,0.61208178,1.57162057,1.03489759,0.12915499,0.63969153,0.53624555,0.23057821
-5.95197599,3.27511258,0.00471203,0.60652353,1.53299216,1.03113878,0.12978930,0.63911291,0.53499727,0.23190296
-5.94597299,3.25564145,0.00457994,0.59886019,1.49110969,1.02462054,0.12996196,0.63642291,0.53212245,0.23242696
-5.93996998,3.22527049,0.00446120,0.58904242,1.44620280,1.01511296,0.12964067,0.63156765,0.52754410,0.23211963
-5.93396698,3.18383597,0.00435472,0.57707429,1.39857778,1.00246266,0.12880159,0.62453592,0.52121959,0.23096559
-5.92796398,3.13142355,0.00425928,0.56301403,1.34861647,0.98659891,0.12743064,0.61536260,0.51314595,0.22896568
-5.92196098,3.06837461,0.00417359,0.54697290,1.29677237,0.96753704,0.12552447,0.60413035,0.50336353,0.22613746
-5.91595798,2.99528364,0.00409641,0.52911232,1.24356402,0.94537877,0.12309095,0.59096966,0.49195804,0.22251503
-5.90995498,2.91298663,0.00402658,0.50963926,1.18956587,0.92030955,0.12014932,0.57605721,0.47906072,0.21814833
-5.90395198,2.82254118,0.00396313,0.48880018,1.13539693,0.89259319,0.11672986,0.55961257,0.46484667,0.21310187
-5.89794897,2.72519896,0.00390526,0.46687376,1.08170771,0.86256377,0.11287307,0.54189339,0.44953152,0.20745288
-5.89194597,2.62237216,0.00385241,0.44416271,1.02916603,0.83061559,0.10862857,0.52318948,0.43336645,0.20128912
-5.88594297,2.51559504,0.00380422,0.42098506,0.97844214,0.79719131,0.10405359,0.50381581,0.41663200,0.19470636
-5.87993997,2.40648255,0.00376050,0.39766528,0.93019400,0.76276902,0.09921117,0.48410483,0.39963086,0.18780565
-5.87393697,2.29668764,0.00372119,0.37452547,0.88505319,0.72784872,0.09416828,0.46439855,0.38267999,0.18069042
-5.86793397,2.18785895,0.00368633,0.35187714,0.84361204,0.69293876,0.08899370,0.44504047,0.36610247,0.17346378
-5.86193097,2.08160061,0.00365601,0.33001375,0.80641251,0.65854281,0.08375605,0.42636773,0.35021938,0.16622578
-5.85592796,1.97943540,0.00363025,0.30920429,0.77393713,0.62514779,0.07852178,0.40870389,0.33534201,0.15907101
-5.84992496,1.88277253,0.00360901,0.28968801,0.74660232,0.59321317,0.07335338,0.39235221,0.32176476,0.15208651
-5.84392196,1.79288082,0.00359212,0.27167057,0.72475416,0.56316188,0.06830784,0.37758988,0.30975874,0.14535002
-5.83791896,1.71086788,0.00357922,0.25532145,0.70866652,0.53537311,0.06343537,0.36466318,0.29956650,0.13892867
-5.83191596,1.63766532,0.00356977,0.24077276,0.69854145,0.51017694,0.05877841,0.35378357,0.29139773,0.13287813
-5.82591296,1.57402012,0.00356303,0.22811932,0.69451152,0.48785093,0.05437112,0.34512481,0.28542607,0.12724216
-5.81990995,1.52049144,0.00355806,0.21741974,0.69664362,0.46861839,0.05023902,0.33882095,0.28178703,0.12205261
-5.81390695,1.47745266,0.00355374,0.20869857,0.70494390,0.45264830,0.04639916,0.33496526,0.28057687,0.11732976
-5.80790395,1.44509749,0.00354884,0.20194908,0.71936323,0.44005646,0.04286041,0.33360994,0.28185245,0.11308300
-5.80190095,1.42344962,0.00354202,0.19713661,0.73980272,0.43090772,0.03962420,0.33476649,0.28563181,0.10931180
-5.79589795,1.41237478,0.00353192,0.19420216,0.76611889,0.42521892,0.03668527,0.33840674,0.29189558,0.10600685
-5.78989495,1.41159459,0.00351722,0.19306610,0.79812812,0.42296230,0.03403273,0.34446448,0.30058879,0.10315132
-5.78389195,1.42070128,0.00349671,0.19363180,0.83561007,0.42406904,0.03165113,0.35283749,0.31162336,0.10072223
-5.77788894,1.43917276,0.00346930,0.19578899,0.87830994,0.42843284,0.02952158,0.36339013,0.32488087,0.09869182
-5.77188594,1.46638756,0.00343415,0.19941680,0.92593964,0.43591328,0.02762290,0.37595638,0.34021584,0.09702885
-5.76588294,1.50163931,0.00339066,0.20438639,0.97817796,0.44633893,0.02593262,0.39034327,0.35745921,0.09569986
-5.75987994,1.54415075,0.00333855,0.21056317,1.03466993,0.45951016,0.02442797,0.40633483,0.37642223,0.09467027
-5.75387694,1.59308704,0.00327781,0.21780860,1.09502591,0.47520168,0.02308665,0.42369646,0.39690058,0.09390542
-5.74787394,1.64756873,0.00320878,0.22598157,1.15882064,0.49316492,0.02188755,0.44217971,0.41867880,0.09337138
-5.74187094,1.70668435,0.00313211,0.23493957,1.22559286,0.51313031,0.02081124,0.46152745,0.44153489,0.09303568
-5.73586793,1.76950292,0.00304872,0.24453958,1.29484579,0.53480960,0.01984029,0.48147936,0.46524508,0.09286787
-5.72986493,1.83508638,0.00295982,0.25463885,1.36604906,0.55789842,0.01895954,0.50177757,0.48958862,0.09283993
-5.72386193,1.90250214,0.00286679,0.26509563,1.43864209,0.58207912,0.01815610,0.52217238,0.51435248,0.09292656
-5.71785893,1.97083568,0.00277122,0.27576996,1.51203936,0.60702394,0.01741935,0.54242777,0.53933578,0.09310537
