energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Pd_p_up,Pd_d_up,S_s_up,S_p_up
-6.00000000,3.66050147,0.00772196,0.51195868,0.91848588,0.39162686,2.25217352,1.37075498,0.02572079,1.20341883
-5.99399700,3.72508521,0.00769817,0.52254427,0.93415375,0.39765446,2.30257582,1.39649000,0.02628586,1.22071935
-5.98799400,3.78679133,0.00765962,0.53223158,0.94898444,0.40405222,2.35054771,1.42085416,0.02672428,1.23729262
-5.98199100,3.84471429,0.00760801,0.54082063,0.96290274,0.41071445,2.39551870,1.44337697,0.02702980,1.25305949
-5.97598799,3.89805612,0.00754550,0.54814125,0.97584473,0.41753935,2.43700604,1.46363704,0.02719892,1.26796477
-5.96998499,3.94612503,0.00747457,0.55405432,0.98775392,0.42442920,2.47461089,1.48126522,0.02723093,1.28197113
-5.96398199,3.98833195,0.00739794,0.55845223,0.99857800,0.43129058,2.50801214,1.49594638,0.02712783,1.29505294
-5.95797899,4.02418568,0.00731839,0.56125840,1.00826621,0.43803445,2.53695891,1.50742023,0.02689420,1.30719046
-5.95197599,4.05328737,0.00723863,0.56242615,1.01676753,0.44457633,2.56126241,1.51548125,0.02653694,1.31836460
-5.94597299,4.07532496,0.00716122,0.56193708,1.02402984,0.45083653,2.58078815,1.51997808,0.02606499,1.32855263
-5.93996998,4.09006815,0.00708842,0.55979908,1.02999993,0.45674043,2.59544909,1.52081234,0.02548898,1.33772479
-5.93396698,4.09736424,0.00702212,0.55604407,1.03462444,0.46221884,2.60520043,1.51793738,0.02482086,1.34584211
-5.92796398,4.09713519,0.00696378,0.55072577,1.03785149,0.46720851,2.61003638,1.51135670,0.02407348,1.35285532
-5.92196098,4.08937586,0.00691433,0.54391744,1.03963293,0.47165262,2.60998923,1.50112244,0.02326024,1.35870501
-5.91595798,4.07415367,0.00687421,0.53570975,1.03992704,0.47550148,2.60513073,1.48733372,0.02239472,1.36332291
-5.90995498,4.05160928,0.00684329,0.52620889,1.03870147,0.47871324,2.59557550,1.47013501,0.02149029,1.36663419
-5.90395198,4.02195838,0.00682093,0.51553477,1.03593624,0.48125471,2.58148629,1.44971436,0.02055987,1.36856091
-5.89794897,3.98549404,0.00680600,0.50381945,1.03162666,0.48310232,2.56308033,1.42630150,0.01961564,1.36902620
-5.89194597,3.94258941,0.00679692,0.49120574,1.02578606,0.48424311,2.54063626,1.40016561,0.01866887,1.36795930
-5.88594297,3.89370040,0.00679174,0.47784582,1.01844814,0.48467580,2.51450084,1.37161285,0.01772978,1.36530113
-5.87993997,3.83936775,0.00678820,0.46389987,1.00966887,0.48441198,2.48509455,1.34098338,0.01680747,1.36101026
-5.87393697,3.78021827,0.00678387,0.44953472,0.99952788,0.48347718,2.45291551,1.30864794,0.01590984,1.35506908
-5.86793397,3.71696467,0.00677619,0.43492228,0.98812922,0.48191207,2.41854072,1.27500377,0.01504365,1.34748976
-5.86193097,3.65040362,0.00676262,0.42023788,0.97560149,0.47977346,2.38262425,1.24047003,0.01421454,1.33831993
-5.85592796,3.58141171,0.00674072,0.40565832,0.96209726,0.47713513,2.34589188,1.20548256,0.01342713,1.32764756
-5.84992496,3.51093894,0.00670827,0.39135977,0.94779180,0.47408846,2.30913189,1.17048809,0.01268505,1.31560491
-5.84392196,3.43999975,0.00666333,0.37751543,0.93288099,0.47074261,2.27318199,1.13593802,0.01199114,1.30237106
-5.83791896,3.36966121,0.00660435,0.36429307,0.91757858,0.46722435,2.23891266,1.10228170,0.01134749,1.28817297
